# _root_ Murata said , however , it will invest about 1.4 billion yen ( $ 9.9 million ) in the new company .
#goldHeads=2,0,2,2,2,7,2,7,12,9,9,8,14,12,14,14,14,8,21,21,18,2,
#predictedHeads=2,0,2,2,7,7,2,7,12,9,9,8,14,12,14,14,14,8,21,21,18,2,
(0,1),-1.77018 # DEPENDENCYPART_ARC
(0,2),-1.57139 # DEPENDENCYPART_ARC
(0,4),-3.31593 # DEPENDENCYPART_ARC
(0,7),-2.22898 # DEPENDENCYPART_ARC
(0,8),-2.65756 # DEPENDENCYPART_ARC
(1,2),0.01333 # DEPENDENCYPART_ARC
(1,3),-1.0597 # DEPENDENCYPART_ARC
(1,4),-1.65538 # DEPENDENCYPART_ARC
(1,5),-1.52802 # DEPENDENCYPART_ARC
(1,7),-1.53262 # DEPENDENCYPART_ARC
(1,12),-1.65591 # DEPENDENCYPART_ARC
(1,22),-2.00344 # DEPENDENCYPART_ARC
(2,1),1.00653 # DEPENDENCYPART_ARC
(2,3),0.818796 # DEPENDENCYPART_ARC
(2,4),-0.815936 # DEPENDENCYPART_ARC
(2,5),-1.06444 # DEPENDENCYPART_ARC
(2,7),-1.29624 # DEPENDENCYPART_ARC
(2,8),-1.45356 # DEPENDENCYPART_ARC
(2,9),-1.75375 # DEPENDENCYPART_ARC
(2,12),-2.15053 # DEPENDENCYPART_ARC
(2,17),-1.53835 # DEPENDENCYPART_ARC
(2,18),-1.87054 # DEPENDENCYPART_ARC
(2,22),-0.794493 # DEPENDENCYPART_ARC
(4,1),-1.48802 # DEPENDENCYPART_ARC
(4,3),0.339159 # DEPENDENCYPART_ARC
(4,5),0.00855093 # DEPENDENCYPART_ARC
(4,6),-1.26475 # DEPENDENCYPART_ARC
(4,7),-1.20787 # DEPENDENCYPART_ARC
(4,8),-1.54591 # DEPENDENCYPART_ARC
(4,9),-1.73696 # DEPENDENCYPART_ARC
(4,10),-1.75018 # DEPENDENCYPART_ARC
(4,11),-1.79741 # DEPENDENCYPART_ARC
(5,4),-0.17695 # DEPENDENCYPART_ARC
(6,5),0.192975 # DEPENDENCYPART_ARC
(6,8),-0.856611 # DEPENDENCYPART_ARC
(7,1),-1.02965 # DEPENDENCYPART_ARC
(7,2),-0.723793 # DEPENDENCYPART_ARC
(7,3),-1.05133 # DEPENDENCYPART_ARC
(7,4),-1.06801 # DEPENDENCYPART_ARC
(7,5),-0.174866 # DEPENDENCYPART_ARC
(7,6),0.990095 # DEPENDENCYPART_ARC
(7,8),1.40769 # DEPENDENCYPART_ARC
(7,9),-0.608351 # DEPENDENCYPART_ARC
(7,17),-0.911244 # DEPENDENCYPART_ARC
(7,18),-1.21857 # DEPENDENCYPART_ARC
(7,22),-0.395102 # DEPENDENCYPART_ARC
(8,1),-1.9634 # DEPENDENCYPART_ARC
(8,3),-2.52067 # DEPENDENCYPART_ARC
(8,4),-2.09972 # DEPENDENCYPART_ARC
(8,5),-1.45486 # DEPENDENCYPART_ARC
(8,6),-1.12347 # DEPENDENCYPART_ARC
(8,7),-0.728354 # DEPENDENCYPART_ARC
(8,9),0.41364 # DEPENDENCYPART_ARC
(8,10),-0.587307 # DEPENDENCYPART_ARC
(8,11),-1.07542 # DEPENDENCYPART_ARC
(8,12),-0.490133 # DEPENDENCYPART_ARC
(8,14),-1.07478 # DEPENDENCYPART_ARC
(8,17),-0.921436 # DEPENDENCYPART_ARC
(8,18),-0.664083 # DEPENDENCYPART_ARC
(8,20),-1.11621 # DEPENDENCYPART_ARC
(8,21),-1.02239 # DEPENDENCYPART_ARC
(8,22),-0.445984 # DEPENDENCYPART_ARC
(9,1),-1.89587 # DEPENDENCYPART_ARC
(9,3),-2.44912 # DEPENDENCYPART_ARC
(9,5),-1.8282 # DEPENDENCYPART_ARC
(9,8),-0.450013 # DEPENDENCYPART_ARC
(9,10),0.650173 # DEPENDENCYPART_ARC
(9,11),-0.254015 # DEPENDENCYPART_ARC
(9,12),-0.941906 # DEPENDENCYPART_ARC
(9,14),-0.911615 # DEPENDENCYPART_ARC
(9,15),-0.835858 # DEPENDENCYPART_ARC
(9,16),-0.745956 # DEPENDENCYPART_ARC
(9,18),-1.08187 # DEPENDENCYPART_ARC
(10,9),-0.256525 # DEPENDENCYPART_ARC
(10,11),-0.630737 # DEPENDENCYPART_ARC
(10,12),-0.946428 # DEPENDENCYPART_ARC
(10,14),-1.17459 # DEPENDENCYPART_ARC
(10,15),-1.70609 # DEPENDENCYPART_ARC
(10,16),-1.78178 # DEPENDENCYPART_ARC
(10,17),-1.17021 # DEPENDENCYPART_ARC
(10,18),-1.38275 # DEPENDENCYPART_ARC
(10,22),-1.2262 # DEPENDENCYPART_ARC
(11,10),0.248929 # DEPENDENCYPART_ARC
(11,12),0.159256 # DEPENDENCYPART_ARC
(11,14),-1.02765 # DEPENDENCYPART_ARC
(11,15),-1.62067 # DEPENDENCYPART_ARC
(11,17),-1.22915 # DEPENDENCYPART_ARC
(12,3),-2.53201 # DEPENDENCYPART_ARC
(12,5),-2.1977 # DEPENDENCYPART_ARC
(12,8),-1.27483 # DEPENDENCYPART_ARC
(12,9),-0.554221 # DEPENDENCYPART_ARC
(12,10),-0.700624 # DEPENDENCYPART_ARC
(12,11),0.531213 # DEPENDENCYPART_ARC
(12,13),-0.0206233 # DEPENDENCYPART_ARC
(12,14),-0.927557 # DEPENDENCYPART_ARC
(12,15),-1.09021 # DEPENDENCYPART_ARC
(12,16),-1.22865 # DEPENDENCYPART_ARC
(12,17),-0.749234 # DEPENDENCYPART_ARC
(12,18),-0.864901 # DEPENDENCYPART_ARC
(12,20),-1.1237 # DEPENDENCYPART_ARC
(12,21),-1.24506 # DEPENDENCYPART_ARC
(12,22),-0.911373 # DEPENDENCYPART_ARC
(14,9),-1.02287 # DEPENDENCYPART_ARC
(14,11),-1.21879 # DEPENDENCYPART_ARC
(14,12),-0.944034 # DEPENDENCYPART_ARC
(14,13),0.0831549 # DEPENDENCYPART_ARC
(14,15),0.960306 # DEPENDENCYPART_ARC
(14,16),0.435307 # DEPENDENCYPART_ARC
(14,17),-0.482017 # DEPENDENCYPART_ARC
(14,18),-0.731283 # DEPENDENCYPART_ARC
(14,20),-0.556805 # DEPENDENCYPART_ARC
(14,21),-1.13456 # DEPENDENCYPART_ARC
(14,22),-0.708859 # DEPENDENCYPART_ARC
(15,11),-1.57494 # DEPENDENCYPART_ARC
(15,12),-1.40746 # DEPENDENCYPART_ARC
(15,13),-1.12516 # DEPENDENCYPART_ARC
(15,14),-0.146038 # DEPENDENCYPART_ARC
(15,16),-0.495491 # DEPENDENCYPART_ARC
(15,17),-0.713745 # DEPENDENCYPART_ARC
(15,18),-0.966098 # DEPENDENCYPART_ARC
(15,21),-1.31675 # DEPENDENCYPART_ARC
(15,22),-0.955733 # DEPENDENCYPART_ARC
(16,13),-0.857512 # DEPENDENCYPART_ARC
(16,14),-0.599077 # DEPENDENCYPART_ARC
(16,15),0.194541 # DEPENDENCYPART_ARC
(16,17),-0.150773 # DEPENDENCYPART_ARC
(16,18),-1.12658 # DEPENDENCYPART_ARC
(16,21),-1.39976 # DEPENDENCYPART_ARC
(18,16),-1.4161 # DEPENDENCYPART_ARC
(18,19),0.0389343 # DEPENDENCYPART_ARC
(18,20),-0.540566 # DEPENDENCYPART_ARC
(18,21),-0.388168 # DEPENDENCYPART_ARC
(18,22),-1.1224 # DEPENDENCYPART_ARC
(19,20),-0.376388 # DEPENDENCYPART_ARC
(20,12),-1.55804 # DEPENDENCYPART_ARC
(20,19),-0.193894 # DEPENDENCYPART_ARC
(21,12),-1.6957 # DEPENDENCYPART_ARC
(21,13),-1.30303 # DEPENDENCYPART_ARC
(21,14),-1.43614 # DEPENDENCYPART_ARC
(21,15),-1.48775 # DEPENDENCYPART_ARC
(21,16),-1.11629 # DEPENDENCYPART_ARC
(21,18),-0.777288 # DEPENDENCYPART_ARC
(21,19),0.739432 # DEPENDENCYPART_ARC
(21,20),1.68552 # DEPENDENCYPART_ARC
(21,22),-0.49937 # DEPENDENCYPART_ARC
(22,21),-0.265276 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.118403 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0288248 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0406863 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.105495 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0681868 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.098694 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.170829 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0288464 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0825422 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.104736 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0215248 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0342495 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0215248 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0223226 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0379181 # DEPENDENCYPART_SIBL
(1,2),(1,22),0.00703489 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.021354 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.036982 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0162834 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.0374077 # DEPENDENCYPART_SIBL
(1,3),(1,22),-0.00261008 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0209492 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.00169646 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.01228 # DEPENDENCYPART_SIBL
(1,4),(1,22),0.026319 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0162834 # DEPENDENCYPART_SIBL
(1,5),(1,12),0.0374077 # DEPENDENCYPART_SIBL
(1,5),(1,22),-0.00261008 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.00473109 # DEPENDENCYPART_SIBL
(1,7),(1,22),0.066177 # DEPENDENCYPART_SIBL
(1,12),(1,22),0.00513308 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00129324 # DEPENDENCYPART_SIBL
