# _root_ Most Wall Street firms , in pulling back , have merely stopped such trading for their own accounts .
#goldHeads=4,4,4,10,10,10,6,7,10,0,12,10,12,13,12,18,18,15,10,
#predictedHeads=4,4,4,10,10,10,6,7,10,0,10,10,12,13,14,18,18,15,10,
(0,4),-2.60389 # DEPENDENCYPART_ARC
(0,7),-2.17705 # DEPENDENCYPART_ARC
(0,10),-1.92681 # DEPENDENCYPART_ARC
(0,12),-2.65623 # DEPENDENCYPART_ARC
(0,14),-2.58695 # DEPENDENCYPART_ARC
(1,5),-1.37536 # DEPENDENCYPART_ARC
(1,6),-2.03706 # DEPENDENCYPART_ARC
(1,7),-1.8332 # DEPENDENCYPART_ARC
(2,3),-0.609516 # DEPENDENCYPART_ARC
(2,4),-1.58933 # DEPENDENCYPART_ARC
(2,5),-1.94286 # DEPENDENCYPART_ARC
(2,6),-2.29795 # DEPENDENCYPART_ARC
(2,7),-2.10166 # DEPENDENCYPART_ARC
(2,8),-2.22831 # DEPENDENCYPART_ARC
(2,9),-2.41928 # DEPENDENCYPART_ARC
(3,2),0.227308 # DEPENDENCYPART_ARC
(3,4),-0.872768 # DEPENDENCYPART_ARC
(3,5),-1.93632 # DEPENDENCYPART_ARC
(3,7),-2.28987 # DEPENDENCYPART_ARC
(3,9),-2.55374 # DEPENDENCYPART_ARC
(4,1),-0.316364 # DEPENDENCYPART_ARC
(4,2),0.87332 # DEPENDENCYPART_ARC
(4,3),1.90907 # DEPENDENCYPART_ARC
(4,5),-0.254868 # DEPENDENCYPART_ARC
(4,6),-2.19546 # DEPENDENCYPART_ARC
(4,7),-2.17081 # DEPENDENCYPART_ARC
(4,8),-2.22718 # DEPENDENCYPART_ARC
(4,9),-2.11041 # DEPENDENCYPART_ARC
(4,10),-2.62416 # DEPENDENCYPART_ARC
(4,11),-2.04214 # DEPENDENCYPART_ARC
(4,12),-2.84155 # DEPENDENCYPART_ARC
(4,13),-2.10715 # DEPENDENCYPART_ARC
(4,14),-2.74024 # DEPENDENCYPART_ARC
(4,19),-2.50387 # DEPENDENCYPART_ARC
(5,6),-0.717809 # DEPENDENCYPART_ARC
(5,7),-1.33365 # DEPENDENCYPART_ARC
(6,4),-1.93456 # DEPENDENCYPART_ARC
(6,5),-0.184449 # DEPENDENCYPART_ARC
(6,7),0.593327 # DEPENDENCYPART_ARC
(6,8),-1.1253 # DEPENDENCYPART_ARC
(6,9),-1.22564 # DEPENDENCYPART_ARC
(6,10),-1.82209 # DEPENDENCYPART_ARC
(6,11),-1.92127 # DEPENDENCYPART_ARC
(6,14),-1.90718 # DEPENDENCYPART_ARC
(6,15),-1.96968 # DEPENDENCYPART_ARC
(6,19),-1.51976 # DEPENDENCYPART_ARC
(7,4),-3.09415 # DEPENDENCYPART_ARC
(7,5),-1.94586 # DEPENDENCYPART_ARC
(7,6),-0.370456 # DEPENDENCYPART_ARC
(7,8),0.54221 # DEPENDENCYPART_ARC
(7,9),-0.864514 # DEPENDENCYPART_ARC
(7,10),-1.45538 # DEPENDENCYPART_ARC
(7,11),-1.96582 # DEPENDENCYPART_ARC
(7,12),-2.003 # DEPENDENCYPART_ARC
(7,13),-2.07812 # DEPENDENCYPART_ARC
(7,14),-2.16517 # DEPENDENCYPART_ARC
(7,15),-2.27912 # DEPENDENCYPART_ARC
(7,18),-2.40599 # DEPENDENCYPART_ARC
(7,19),-1.8078 # DEPENDENCYPART_ARC
(8,4),-1.9162 # DEPENDENCYPART_ARC
(8,5),-1.40227 # DEPENDENCYPART_ARC
(8,6),-1.11389 # DEPENDENCYPART_ARC
(8,7),-0.0441214 # DEPENDENCYPART_ARC
(8,9),-0.382949 # DEPENDENCYPART_ARC
(8,10),-1.44876 # DEPENDENCYPART_ARC
