# _root_ Kemper Financial Services Inc. , charging that program trading is ruining the stock market , cut off four big Wall Street firms from doing any of its stock-trading business .
#goldHeads=4,4,4,16,16,16,10,9,10,6,10,14,14,11,16,0,16,22,22,22,22,16,16,23,24,25,29,29,26,16,
#predictedHeads=4,4,4,16,4,4,10,9,10,6,10,14,14,11,4,0,16,22,22,22,22,16,16,23,24,25,29,29,26,16,
(0,4),-2.94717 # DEPENDENCYPART_ARC
(0,6),-1.87355 # DEPENDENCYPART_ARC
(0,10),-2.34432 # DEPENDENCYPART_ARC
(0,11),-2.90663 # DEPENDENCYPART_ARC
(0,16),-1.81191 # DEPENDENCYPART_ARC
(1,2),-0.536632 # DEPENDENCYPART_ARC
(1,3),-1.41968 # DEPENDENCYPART_ARC
(1,4),-1.88571 # DEPENDENCYPART_ARC
(1,5),-1.89285 # DEPENDENCYPART_ARC
(1,6),-1.99689 # DEPENDENCYPART_ARC
(1,9),-2.32976 # DEPENDENCYPART_ARC
(1,10),-2.1947 # DEPENDENCYPART_ARC
(1,15),-2.00026 # DEPENDENCYPART_ARC
(2,1),0.162452 # DEPENDENCYPART_ARC
(2,3),-0.543151 # DEPENDENCYPART_ARC
(2,4),-1.64689 # DEPENDENCYPART_ARC
(2,5),-1.90639 # DEPENDENCYPART_ARC
(2,6),-2.14233 # DEPENDENCYPART_ARC
(2,9),-2.33952 # DEPENDENCYPART_ARC
(2,10),-2.4438 # DEPENDENCYPART_ARC
(2,15),-2.10295 # DEPENDENCYPART_ARC
(2,16),-2.68946 # DEPENDENCYPART_ARC
(3,1),-0.371616 # DEPENDENCYPART_ARC
(3,2),0.447187 # DEPENDENCYPART_ARC
(3,4),-0.838214 # DEPENDENCYPART_ARC
(3,5),-1.84793 # DEPENDENCYPART_ARC
(3,9),-2.39904 # DEPENDENCYPART_ARC
(3,15),-2.30979 # DEPENDENCYPART_ARC
(4,1),0.306856 # DEPENDENCYPART_ARC
(4,2),0.667382 # DEPENDENCYPART_ARC
(4,3),1.69331 # DEPENDENCYPART_ARC
(4,5),0.125506 # DEPENDENCYPART_ARC
(4,6),-1.91959 # DEPENDENCYPART_ARC
(4,8),-1.7909 # DEPENDENCYPART_ARC
(4,9),-1.98267 # DEPENDENCYPART_ARC
(4,10),-2.42349 # DEPENDENCYPART_ARC
(4,14),-1.75594 # DEPENDENCYPART_ARC
(4,15),-1.12809 # DEPENDENCYPART_ARC
(4,16),-2.7283 # DEPENDENCYPART_ARC
(4,22),-2.03075 # DEPENDENCYPART_ARC
(4,30),-2.07929 # DEPENDENCYPART_ARC
(5,6),-0.629178 # DEPENDENCYPART_ARC
(6,4),-2.20489 # DEPENDENCYPART_ARC
(6,5),-0.221272 # DEPENDENCYPART_ARC
(6,7),-0.0373389 # DEPENDENCYPART_ARC
(6,8),-0.0816028 # DEPENDENCYPART_ARC
(6,9),-0.216667 # DEPENDENCYPART_ARC
(6,10),-0.654739 # DEPENDENCYPART_ARC
(6,11),-0.929381 # DEPENDENCYPART_ARC
(6,14),-0.867842 # DEPENDENCYPART_ARC
(6,15),-1.52565 # DEPENDENCYPART_ARC
(6,16),-1.99946 # DEPENDENCYPART_ARC
(6,23),-1.8195 # DEPENDENCYPART_ARC
(6,24),-2.12877 # DEPENDENCYPART_ARC
(6,30),-1.18077 # DEPENDENCYPART_ARC
(7,5),-1.40491 # DEPENDENCYPART_ARC
(8,4),-3.12921 # DEPENDENCYPART_ARC
(8,6),-1.58703 # DEPENDENCYPART_ARC
(8,7),-0.047992 # DEPENDENCYPART_ARC
(8,9),-0.558235 # DEPENDENCYPART_ARC
(8,10),-0.631276 # DEPENDENCYPART_ARC
(8,11),-1.29009 # DEPENDENCYPART_ARC
(8,14),-1.90026 # DEPENDENCYPART_ARC
(8,16),-2.40435 # DEPENDENCYPART_ARC
(8,25),-2.18615 # DEPENDENCYPART_ARC
(9,1),-1.95101 # DEPENDENCYPART_ARC
(9,2),-1.98746 # DEPENDENCYPART_ARC
(9,3),-2.06276 # DEPENDENCYPART_ARC
(9,4),-2.15002 # DEPENDENCYPART_ARC
(9,5),-1.77309 # DEPENDENCYPART_ARC
(9,6),-1.18387 # DEPENDENCYPART_ARC
(9,7),-0.0604231 # DEPENDENCYPART_ARC
(9,8),1.63446 # DEPENDENCYPART_ARC
(9,10),-0.639293 # DEPENDENCYPART_ARC
(9,11),-1.61383 # DEPENDENCYPART_ARC
(9,14),-1.80391 # DEPENDENCYPART_ARC
(9,16),-2.80678 # DEPENDENCYPART_ARC
(9,25),-2.42915 # DEPENDENCYPART_ARC
(10,3),-2.04285 # DEPENDENCYPART_ARC
(10,4),-2.02065 # DEPENDENCYPART_ARC
(10,5),-1.6766 # DEPENDENCYPART_ARC
(10,6),-1.53629 # DEPENDENCYPART_ARC
(10,7),-0.397053 # DEPENDENCYPART_ARC
(10,8),-0.58402 # DEPENDENCYPART_ARC
(10,9),0.925254 # DEPENDENCYPART_ARC
(10,11),1.59946 # DEPENDENCYPART_ARC
(10,13),-1.17396 # DEPENDENCYPART_ARC
(10,14),-1.07448 # DEPENDENCYPART_ARC
(10,15),-1.47711 # DEPENDENCYPART_ARC
(10,16),-2.01411 # DEPENDENCYPART_ARC
(10,19),-2.0149 # DEPENDENCYPART_ARC
(10,23),-2.17999 # DEPENDENCYPART_ARC
(10,30),-0.521859 # DEPENDENCYPART_ARC
(11,7),-1.65631 # DEPENDENCYPART_ARC
(11,8),-1.78883 # DEPENDENCYPART_ARC
(11,9),-1.72814 # DEPENDENCYPART_ARC
(11,10),-1.41626 # DEPENDENCYPART_ARC
(11,12),-0.0355046 # DEPENDENCYPART_ARC
(11,13),-0.0554228 # DEPENDENCYPART_ARC
(11,14),-0.0112453 # DEPENDENCYPART_ARC
(11,15),-0.901096 # DEPENDENCYPART_ARC
(11,16),-1.43668 # DEPENDENCYPART_ARC
(11,19),-1.92244 # DEPENDENCYPART_ARC
(11,20),-1.9164 # DEPENDENCYPART_ARC
(11,22),-1.69823 # DEPENDENCYPART_ARC
(11,23),-1.77075 # DEPENDENCYPART_ARC
(11,24),-2.02683 # DEPENDENCYPART_ARC
(11,30),-1.17675 # DEPENDENCYPART_ARC
(12,13),-0.513957 # DEPENDENCYPART_ARC
(13,12),0.0271102 # DEPENDENCYPART_ARC
(13,16),-2.13613 # DEPENDENCYPART_ARC
(14,4),-2.65428 # DEPENDENCYPART_ARC
(14,5),-1.65476 # DEPENDENCYPART_ARC
(14,6),-1.18773 # DEPENDENCYPART_ARC
(14,7),-2.17924 # DEPENDENCYPART_ARC
(14,8),-0.8804 # DEPENDENCYPART_ARC
(14,9),-1.09193 # DEPENDENCYPART_ARC
(14,10),-1.09994 # DEPENDENCYPART_ARC
(14,11),-0.723867 # DEPENDENCYPART_ARC
(14,12),0.578128 # DEPENDENCYPART_ARC
(14,13),2.0394 # DEPENDENCYPART_ARC
(14,15),-0.131729 # DEPENDENCYPART_ARC
(14,16),-2.0115 # DEPENDENCYPART_ARC
(14,18),-2.5485 # DEPENDENCYPART_ARC
(14,19),-2.39183 # DEPENDENCYPART_ARC
(14,22),-2.17361 # DEPENDENCYPART_ARC
(14,25),-2.4487 # DEPENDENCYPART_ARC
(16,1),-1.02917 # DEPENDENCYPART_ARC
(16,2),-1.07079 # DEPENDENCYPART_ARC
(16,3),-0.902185 # DEPENDENCYPART_ARC
(16,4),-0.775044 # DEPENDENCYPART_ARC
(16,5),-1.99764 # DEPENDENCYPART_ARC
(16,6),-1.29233 # DEPENDENCYPART_ARC
(16,7),-1.0357 # DEPENDENCYPART_ARC
(16,9),-1.83542 # DEPENDENCYPART_ARC
(16,10),-1.35303 # DEPENDENCYPART_ARC
(16,11),-1.24201 # DEPENDENCYPART_ARC
(16,12),-1.50961 # DEPENDENCYPART_ARC
(16,13),-1.56215 # DEPENDENCYPART_ARC
(16,14),-1.11225 # DEPENDENCYPART_ARC
(16,15),0.893397 # DEPENDENCYPART_ARC
(16,17),1.03722 # DEPENDENCYPART_ARC
(16,18),-0.312958 # DEPENDENCYPART_ARC
(16,19),-0.454575 # DEPENDENCYPART_ARC
(16,20),-0.130173 # DEPENDENCYPART_ARC
(16,21),-0.182536 # DEPENDENCYPART_ARC
(16,22),-0.176847 # DEPENDENCYPART_ARC
(16,23),-0.0525213 # DEPENDENCYPART_ARC
(16,24),-0.529987 # DEPENDENCYPART_ARC
(16,26),-1.4707 # DEPENDENCYPART_ARC
(16,29),-1.04887 # DEPENDENCYPART_ARC
(16,30),-0.174172 # DEPENDENCYPART_ARC
(17,22),-1.52692 # DEPENDENCYPART_ARC
(18,14),-1.93622 # DEPENDENCYPART_ARC
(18,17),0.00618004 # DEPENDENCYPART_ARC
(18,19),0.0289431 # DEPENDENCYPART_ARC
(18,20),-0.92203 # DEPENDENCYPART_ARC
(18,21),-1.22863 # DEPENDENCYPART_ARC
(18,22),-1.4108 # DEPENDENCYPART_ARC
(18,23),-1.48246 # DEPENDENCYPART_ARC
(18,24),-1.1456 # DEPENDENCYPART_ARC
(18,26),-1.6854 # DEPENDENCYPART_ARC
(18,29),-1.81966 # DEPENDENCYPART_ARC
(19,14),-1.94533 # DEPENDENCYPART_ARC
(19,18),-0.331218 # DEPENDENCYPART_ARC
(19,20),-0.30224 # DEPENDENCYPART_ARC
(19,21),-1.17111 # DEPENDENCYPART_ARC
(19,23),-1.32207 # DEPENDENCYPART_ARC
(19,24),-1.24129 # DEPENDENCYPART_ARC
(19,26),-1.74864 # DEPENDENCYPART_ARC
(20,18),-1.65593 # DEPENDENCYPART_ARC
(20,19),-0.516546 # DEPENDENCYPART_ARC
(20,21),-0.526915 # DEPENDENCYPART_ARC
(20,22),-1.49336 # DEPENDENCYPART_ARC
(20,23),-1.2498 # DEPENDENCYPART_ARC
(20,24),-1.17047 # DEPENDENCYPART_ARC
(20,26),-2.13829 # DEPENDENCYPART_ARC
(20,29),-2.05218 # DEPENDENCYPART_ARC
(21,18),-1.93306 # DEPENDENCYPART_ARC
(21,19),-1.3628 # DEPENDENCYPART_ARC
(21,20),0.217337 # DEPENDENCYPART_ARC
(21,22),-0.626872 # DEPENDENCYPART_ARC
(21,23),-1.51174 # DEPENDENCYPART_ARC
(21,24),-1.4097 # DEPENDENCYPART_ARC
(21,26),-2.45616 # DEPENDENCYPART_ARC
(21,29),-2.20848 # DEPENDENCYPART_ARC
(22,13),-1.79486 # DEPENDENCYPART_ARC
(22,14),-2.53675 # DEPENDENCYPART_ARC
(22,15),-1.95534 # DEPENDENCYPART_ARC
(22,18),-0.627678 # DEPENDENCYPART_ARC
(22,19),-0.386215 # DEPENDENCYPART_ARC
(22,20),0.719298 # DEPENDENCYPART_ARC
(22,21),1.89642 # DEPENDENCYPART_ARC
(22,23),-0.130356 # DEPENDENCYPART_ARC
(22,24),-1.08581 # DEPENDENCYPART_ARC
(22,25),-1.76787 # DEPENDENCYPART_ARC
(22,26),-1.96465 # DEPENDENCYPART_ARC
(22,29),-1.658 # DEPENDENCYPART_ARC
(22,30),-1.8846 # DEPENDENCYPART_ARC
(23,22),-0.532547 # DEPENDENCYPART_ARC
(23,24),1.04111 # DEPENDENCYPART_ARC
(23,25),-0.87268 # DEPENDENCYPART_ARC
(23,26),-1.21046 # DEPENDENCYPART_ARC
(23,29),-1.9349 # DEPENDENCYPART_ARC
(24,22),-1.7573 # DEPENDENCYPART_ARC
(24,23),-0.661154 # DEPENDENCYPART_ARC
(24,25),0.0370654 # DEPENDENCYPART_ARC
(24,26),-0.806652 # DEPENDENCYPART_ARC
(24,28),-0.681885 # DEPENDENCYPART_ARC
(24,29),-0.34109 # DEPENDENCYPART_ARC
(24,30),-0.362396 # DEPENDENCYPART_ARC
(25,26),0.373923 # DEPENDENCYPART_ARC
(25,28),-0.973733 # DEPENDENCYPART_ARC
(25,30),-0.889977 # DEPENDENCYPART_ARC
(26,25),-0.519429 # DEPENDENCYPART_ARC
(26,27),0.150706 # DEPENDENCYPART_ARC
(26,28),-0.265599 # DEPENDENCYPART_ARC
(26,29),-0.594162 # DEPENDENCYPART_ARC
(26,30),-1.20471 # DEPENDENCYPART_ARC
(28,25),-2.29338 # DEPENDENCYPART_ARC
(28,27),-0.00501892 # DEPENDENCYPART_ARC
(28,29),-0.612051 # DEPENDENCYPART_ARC
(29,19),-2.22835 # DEPENDENCYPART_ARC
(29,24),-1.15219 # DEPENDENCYPART_ARC
(29,25),-0.944394 # DEPENDENCYPART_ARC
(29,26),-0.901279 # DEPENDENCYPART_ARC
(29,27),0.455998 # DEPENDENCYPART_ARC
(29,28),1.96657 # DEPENDENCYPART_ARC
(29,30),-0.280849 # DEPENDENCYPART_ARC
