# _root_ In the diversifed businesses segment , which includes herbicides , profit grew to $ 64 million from $ 27 million .
#goldHeads=12,5,5,5,1,5,8,5,8,5,12,0,12,13,14,14,12,17,18,18,12,
#predictedHeads=12,5,5,5,1,5,8,5,8,12,12,0,12,13,14,14,12,17,18,18,12,
(0,1),-1.82595 # DEPENDENCYPART_ARC
(0,3),-1.85886 # DEPENDENCYPART_ARC
(0,5),-2.75081 # DEPENDENCYPART_ARC
(0,8),-2.99139 # DEPENDENCYPART_ARC
(0,9),-3.35177 # DEPENDENCYPART_ARC
(0,11),-3.09211 # DEPENDENCYPART_ARC
(0,12),-2.21165 # DEPENDENCYPART_ARC
(1,2),0.181022 # DEPENDENCYPART_ARC
(1,3),-0.634619 # DEPENDENCYPART_ARC
(1,4),-1.0279 # DEPENDENCYPART_ARC
(1,5),-1.10628 # DEPENDENCYPART_ARC
(1,6),-1.27932 # DEPENDENCYPART_ARC
(1,8),-2.14251 # DEPENDENCYPART_ARC
(1,9),-2.77376 # DEPENDENCYPART_ARC
(1,10),-1.63077 # DEPENDENCYPART_ARC
(2,1),-0.595617 # DEPENDENCYPART_ARC
(2,3),-0.287868 # DEPENDENCYPART_ARC
(2,5),-1.60327 # DEPENDENCYPART_ARC
(2,6),-1.47171 # DEPENDENCYPART_ARC
(3,1),-0.826625 # DEPENDENCYPART_ARC
(3,2),-0.579274 # DEPENDENCYPART_ARC
(3,4),-0.685356 # DEPENDENCYPART_ARC
(3,5),-0.990591 # DEPENDENCYPART_ARC
(3,6),-1.91244 # DEPENDENCYPART_ARC
(3,8),-2.54145 # DEPENDENCYPART_ARC
(3,9),-3.2331 # DEPENDENCYPART_ARC
(3,10),-2.78913 # DEPENDENCYPART_ARC
(3,12),-2.36753 # DEPENDENCYPART_ARC
(3,13),-2.59396 # DEPENDENCYPART_ARC
(3,17),-2.3289 # DEPENDENCYPART_ARC
(3,21),-1.50463 # DEPENDENCYPART_ARC
(4,1),-1.59136 # DEPENDENCYPART_ARC
(4,2),-0.85846 # DEPENDENCYPART_ARC
(4,3),0.193217 # DEPENDENCYPART_ARC
(4,5),-0.759079 # DEPENDENCYPART_ARC
(4,6),-1.86988 # DEPENDENCYPART_ARC
(4,8),-1.80389 # DEPENDENCYPART_ARC
(4,9),-2.43265 # DEPENDENCYPART_ARC
(4,10),-2.32398 # DEPENDENCYPART_ARC
(4,12),-2.12274 # DEPENDENCYPART_ARC
(5,1),-1.08462 # DEPENDENCYPART_ARC
(5,2),-0.582509 # DEPENDENCYPART_ARC
(5,3),-0.111299 # DEPENDENCYPART_ARC
(5,4),2.44337 # DEPENDENCYPART_ARC
(5,6),0.400027 # DEPENDENCYPART_ARC
(5,8),-1.49649 # DEPENDENCYPART_ARC
(5,9),-1.74579 # DEPENDENCYPART_ARC
(5,10),-1.46869 # DEPENDENCYPART_ARC
(5,11),-2.07018 # DEPENDENCYPART_ARC
(5,12),-2.0917 # DEPENDENCYPART_ARC
(5,13),-2.13633 # DEPENDENCYPART_ARC
(5,15),-2.39492 # DEPENDENCYPART_ARC
(5,16),-2.49548 # DEPENDENCYPART_ARC
(5,17),-2.07888 # DEPENDENCYPART_ARC
(5,21),-1.75372 # DEPENDENCYPART_ARC
(6,1),-1.39154 # DEPENDENCYPART_ARC
(8,1),-1.42649 # DEPENDENCYPART_ARC
(8,2),-2.62029 # DEPENDENCYPART_ARC
(8,3),-1.77628 # DEPENDENCYPART_ARC
(8,5),-2.40606 # DEPENDENCYPART_ARC
(8,6),-1.03257 # DEPENDENCYPART_ARC
(8,7),0.4346 # DEPENDENCYPART_ARC
(8,9),0.579051 # DEPENDENCYPART_ARC
(8,10),-1.16922 # DEPENDENCYPART_ARC
(8,11),-1.57732 # DEPENDENCYPART_ARC
(8,12),-1.73906 # DEPENDENCYPART_ARC
(8,13),-2.05249 # DEPENDENCYPART_ARC
(8,14),-2.0942 # DEPENDENCYPART_ARC
(8,17),-2.07978 # DEPENDENCYPART_ARC
