# _root_ Abby Joseph Cohen , a market strategist at Drexel Burnham Lambert , is n't nearly so sanguine about the market 's chances of surging to new highs anytime soon .
#goldHeads=3,3,13,3,7,7,3,7,11,11,8,3,0,13,17,17,13,17,20,22,20,18,22,23,24,27,25,24,28,13,
#predictedHeads=3,3,13,3,7,7,3,7,11,11,8,3,0,13,17,17,13,17,20,22,20,18,22,23,24,27,25,24,28,13,
(0,3),-2.8518 # DEPENDENCYPART_ARC
(0,13),-2.32537 # DEPENDENCYPART_ARC
(1,2),-0.466434 # DEPENDENCYPART_ARC
(1,3),-1.50644 # DEPENDENCYPART_ARC
(1,4),-1.42428 # DEPENDENCYPART_ARC
(1,7),-2.30878 # DEPENDENCYPART_ARC
(1,8),-2.04966 # DEPENDENCYPART_ARC
(1,11),-2.73376 # DEPENDENCYPART_ARC
(1,12),-1.74556 # DEPENDENCYPART_ARC
(1,13),-1.78535 # DEPENDENCYPART_ARC
(2,1),0.136366 # DEPENDENCYPART_ARC
(2,3),-0.660528 # DEPENDENCYPART_ARC
(2,4),-1.27385 # DEPENDENCYPART_ARC
(2,6),-2.01902 # DEPENDENCYPART_ARC
(2,7),-2.18823 # DEPENDENCYPART_ARC
(2,8),-2.28093 # DEPENDENCYPART_ARC
(2,11),-2.63899 # DEPENDENCYPART_ARC
(2,12),-1.83164 # DEPENDENCYPART_ARC
(2,13),-1.93589 # DEPENDENCYPART_ARC
(3,1),0.598756 # DEPENDENCYPART_ARC
(3,2),1.46889 # DEPENDENCYPART_ARC
(3,4),0.478023 # DEPENDENCYPART_ARC
(3,6),-1.56548 # DEPENDENCYPART_ARC
(3,7),-1.59741 # DEPENDENCYPART_ARC
(3,8),-2.01609 # DEPENDENCYPART_ARC
(3,9),-1.88838 # DEPENDENCYPART_ARC
(3,10),-1.93887 # DEPENDENCYPART_ARC
(3,11),-2.09885 # DEPENDENCYPART_ARC
(3,12),-0.890589 # DEPENDENCYPART_ARC
(3,13),-1.82266 # DEPENDENCYPART_ARC
(3,18),-2.01917 # DEPENDENCYPART_ARC
(3,30),-2.31591 # DEPENDENCYPART_ARC
(5,4),-0.0296264 # DEPENDENCYPART_ARC
(5,6),-0.40718 # DEPENDENCYPART_ARC
(5,8),-1.43149 # DEPENDENCYPART_ARC
(6,4),-1.75946 # DEPENDENCYPART_ARC
(6,5),0.000309929 # DEPENDENCYPART_ARC
(6,8),-1.10263 # DEPENDENCYPART_ARC
(6,11),-2.26528 # DEPENDENCYPART_ARC
(6,12),-1.79273 # DEPENDENCYPART_ARC
(6,17),-2.1148 # DEPENDENCYPART_ARC
(7,1),-1.49103 # DEPENDENCYPART_ARC
(7,2),-1.14567 # DEPENDENCYPART_ARC
(7,3),-1.71682 # DEPENDENCYPART_ARC
(7,4),-1.48703 # DEPENDENCYPART_ARC
(7,5),0.32367 # DEPENDENCYPART_ARC
(7,6),1.63656 # DEPENDENCYPART_ARC
(7,8),0.188243 # DEPENDENCYPART_ARC
(7,9),-1.08675 # DEPENDENCYPART_ARC
(7,10),-1.42348 # DEPENDENCYPART_ARC
(7,11),-1.72083 # DEPENDENCYPART_ARC
(7,12),-1.44164 # DEPENDENCYPART_ARC
(7,13),-1.8642 # DEPENDENCYPART_ARC
(7,15),-2.07335 # DEPENDENCYPART_ARC
(7,16),-1.97456 # DEPENDENCYPART_ARC
(7,17),-1.98352 # DEPENDENCYPART_ARC
(8,7),-0.598179 # DEPENDENCYPART_ARC
(8,9),0.270906 # DEPENDENCYPART_ARC
(8,10),-0.617578 # DEPENDENCYPART_ARC
(8,11),-0.9107 # DEPENDENCYPART_ARC
(8,12),-1.29435 # DEPENDENCYPART_ARC
(8,14),-1.83252 # DEPENDENCYPART_ARC
(8,15),-1.83378 # DEPENDENCYPART_ARC
(8,16),-1.9137 # DEPENDENCYPART_ARC
(9,10),-0.575648 # DEPENDENCYPART_ARC
(10,5),-2.43549 # DEPENDENCYPART_ARC
(10,6),-1.8336 # DEPENDENCYPART_ARC
(10,9),0.0116733 # DEPENDENCYPART_ARC
(10,11),-0.754057 # DEPENDENCYPART_ARC
(10,12),-1.39255 # DEPENDENCYPART_ARC
(11,1),-1.70403 # DEPENDENCYPART_ARC
(11,2),-1.90713 # DEPENDENCYPART_ARC
(11,3),-2.43517 # DEPENDENCYPART_ARC
(11,5),-1.70147 # DEPENDENCYPART_ARC
(11,6),-0.432381 # DEPENDENCYPART_ARC
(11,7),-1.11964 # DEPENDENCYPART_ARC
(11,9),0.693554 # DEPENDENCYPART_ARC
(11,10),1.43119 # DEPENDENCYPART_ARC
(11,12),0.208409 # DEPENDENCYPART_ARC
(11,13),-1.70362 # DEPENDENCYPART_ARC
(11,14),-1.90182 # DEPENDENCYPART_ARC
(11,15),-2.02087 # DEPENDENCYPART_ARC
(11,16),-2.00985 # DEPENDENCYPART_ARC
(11,18),-2.07381 # DEPENDENCYPART_ARC
(11,30),-2.42612 # DEPENDENCYPART_ARC
(13,1),-0.942406 # DEPENDENCYPART_ARC
(13,2),-0.996253 # DEPENDENCYPART_ARC
(13,3),-0.56323 # DEPENDENCYPART_ARC
(13,4),-1.69111 # DEPENDENCYPART_ARC
(13,5),-1.80422 # DEPENDENCYPART_ARC
(13,6),-1.83729 # DEPENDENCYPART_ARC
(13,7),-1.64546 # DEPENDENCYPART_ARC
(13,8),-0.958259 # DEPENDENCYPART_ARC
(13,9),-1.67957 # DEPENDENCYPART_ARC
(13,10),-1.59376 # DEPENDENCYPART_ARC
(13,11),-1.24388 # DEPENDENCYPART_ARC
(13,12),0.474503 # DEPENDENCYPART_ARC
(13,14),1.07901 # DEPENDENCYPART_ARC
(13,15),-0.0622141 # DEPENDENCYPART_ARC
(13,16),-0.492154 # DEPENDENCYPART_ARC
(13,17),-0.0075274 # DEPENDENCYPART_ARC
(13,18),-0.820039 # DEPENDENCYPART_ARC
(13,20),-0.75201 # DEPENDENCYPART_ARC
(13,22),-0.615743 # DEPENDENCYPART_ARC
(13,23),-1.17414 # DEPENDENCYPART_ARC
(13,24),-1.10743 # DEPENDENCYPART_ARC
(13,28),-1.21014 # DEPENDENCYPART_ARC
(13,29),-1.35581 # DEPENDENCYPART_ARC
(13,30),0.436536 # DEPENDENCYPART_ARC
(14,3),-1.64472 # DEPENDENCYPART_ARC
(14,4),-2.36453 # DEPENDENCYPART_ARC
(14,7),-2.06146 # DEPENDENCYPART_ARC
(14,8),-2.15814 # DEPENDENCYPART_ARC
(14,11),-1.96942 # DEPENDENCYPART_ARC
(14,12),-1.26786 # DEPENDENCYPART_ARC
(14,15),0.134425 # DEPENDENCYPART_ARC
(14,16),-0.604693 # DEPENDENCYPART_ARC
(14,17),-0.897589 # DEPENDENCYPART_ARC
(14,18),-1.02389 # DEPENDENCYPART_ARC
(14,20),-1.35061 # DEPENDENCYPART_ARC
(14,22),-1.42016 # DEPENDENCYPART_ARC
(14,23),-1.2266 # DEPENDENCYPART_ARC
(15,4),-2.4233 # DEPENDENCYPART_ARC
(15,7),-2.08647 # DEPENDENCYPART_ARC
(15,8),-2.24889 # DEPENDENCYPART_ARC
(15,11),-2.11759 # DEPENDENCYPART_ARC
(15,14),-0.388958 # DEPENDENCYPART_ARC
(15,16),0.412882 # DEPENDENCYPART_ARC
(15,17),-0.608173 # DEPENDENCYPART_ARC
(15,18),-0.817216 # DEPENDENCYPART_ARC
(15,20),-1.11826 # DEPENDENCYPART_ARC
(15,22),-1.24566 # DEPENDENCYPART_ARC
(15,23),-1.16919 # DEPENDENCYPART_ARC
(16,7),-1.80198 # DEPENDENCYPART_ARC
(16,8),-1.95543 # DEPENDENCYPART_ARC
(16,14),-1.16689 # DEPENDENCYPART_ARC
(16,15),-0.129799 # DEPENDENCYPART_ARC
(16,17),-0.116046 # DEPENDENCYPART_ARC
(16,18),-0.921809 # DEPENDENCYPART_ARC
(16,20),-1.23203 # DEPENDENCYPART_ARC
(16,22),-1.43374 # DEPENDENCYPART_ARC
(16,23),-1.30351 # DEPENDENCYPART_ARC
(17,14),-0.78428 # DEPENDENCYPART_ARC
(17,15),-0.619713 # DEPENDENCYPART_ARC
(17,16),0.600079 # DEPENDENCYPART_ARC
(17,18),0.428228 # DEPENDENCYPART_ARC
(17,20),-1.0577 # DEPENDENCYPART_ARC
(17,22),-1.203 # DEPENDENCYPART_ARC
(17,23),-0.918863 # DEPENDENCYPART_ARC
(17,24),-0.895017 # DEPENDENCYPART_ARC
(17,30),-1.13058 # DEPENDENCYPART_ARC
(18,15),-1.2761 # DEPENDENCYPART_ARC
(18,16),-1.1246 # DEPENDENCYPART_ARC
(18,17),-0.530423 # DEPENDENCYPART_ARC
(18,19),0.324478 # DEPENDENCYPART_ARC
(18,20),-0.0919353 # DEPENDENCYPART_ARC
(18,22),-0.695209 # DEPENDENCYPART_ARC
(18,23),-1.01927 # DEPENDENCYPART_ARC
(18,24),-0.878398 # DEPENDENCYPART_ARC
(18,25),-1.3942 # DEPENDENCYPART_ARC
(18,27),-1.86742 # DEPENDENCYPART_ARC
(18,28),-1.10289 # DEPENDENCYPART_ARC
(18,29),-1.05867 # DEPENDENCYPART_ARC
(20,14),-1.56782 # DEPENDENCYPART_ARC
(20,15),-1.24266 # DEPENDENCYPART_ARC
(20,16),-1.28958 # DEPENDENCYPART_ARC
(20,17),-1.49347 # DEPENDENCYPART_ARC
(20,18),-0.678619 # DEPENDENCYPART_ARC
(20,19),1.59736 # DEPENDENCYPART_ARC
(20,21),0.9958 # DEPENDENCYPART_ARC
(20,23),-0.955394 # DEPENDENCYPART_ARC
(20,24),-0.858326 # DEPENDENCYPART_ARC
(20,25),-1.16288 # DEPENDENCYPART_ARC
(20,28),-1.28258 # DEPENDENCYPART_ARC
(20,29),-1.25952 # DEPENDENCYPART_ARC
(21,24),-1.08432 # DEPENDENCYPART_ARC
(22,14),-1.5916 # DEPENDENCYPART_ARC
(22,15),-1.56152 # DEPENDENCYPART_ARC
(22,16),-1.64452 # DEPENDENCYPART_ARC
(22,17),-1.76879 # DEPENDENCYPART_ARC
(22,18),-1.17302 # DEPENDENCYPART_ARC
(22,19),-1.0269 # DEPENDENCYPART_ARC
(22,20),0.0566957 # DEPENDENCYPART_ARC
(22,21),-0.253018 # DEPENDENCYPART_ARC
(22,23),0.621336 # DEPENDENCYPART_ARC
(22,24),-0.615607 # DEPENDENCYPART_ARC
(22,25),-0.973925 # DEPENDENCYPART_ARC
(22,26),-1.25346 # DEPENDENCYPART_ARC
(22,27),-1.17902 # DEPENDENCYPART_ARC
(22,28),-1.14333 # DEPENDENCYPART_ARC
(22,29),-1.16058 # DEPENDENCYPART_ARC
(22,30),-1.29368 # DEPENDENCYPART_ARC
(23,22),-0.277104 # DEPENDENCYPART_ARC
(23,24),0.548778 # DEPENDENCYPART_ARC
(23,25),-1.03819 # DEPENDENCYPART_ARC
(23,26),-1.28144 # DEPENDENCYPART_ARC
(23,27),-1.53479 # DEPENDENCYPART_ARC
(23,28),-1.49896 # DEPENDENCYPART_ARC
(23,29),-1.484 # DEPENDENCYPART_ARC
(24,20),-1.96584 # DEPENDENCYPART_ARC
(24,22),-1.68871 # DEPENDENCYPART_ARC
(24,23),-0.596397 # DEPENDENCYPART_ARC
(24,25),0.278492 # DEPENDENCYPART_ARC
(24,26),-0.923285 # DEPENDENCYPART_ARC
(24,27),-0.573811 # DEPENDENCYPART_ARC
(24,28),-0.898285 # DEPENDENCYPART_ARC
(24,29),-1.11095 # DEPENDENCYPART_ARC
(24,30),-0.608473 # DEPENDENCYPART_ARC
(25,26),0.165053 # DEPENDENCYPART_ARC
(25,27),-0.242446 # DEPENDENCYPART_ARC
(25,28),-1.07706 # DEPENDENCYPART_ARC
(25,29),-1.17254 # DEPENDENCYPART_ARC
(25,30),-0.934769 # DEPENDENCYPART_ARC
(26,25),-0.178826 # DEPENDENCYPART_ARC
(26,27),-0.48265 # DEPENDENCYPART_ARC
(26,28),-1.22875 # DEPENDENCYPART_ARC
(26,29),-1.33363 # DEPENDENCYPART_ARC
(27,20),-1.84438 # DEPENDENCYPART_ARC
(27,24),-1.00719 # DEPENDENCYPART_ARC
(27,25),-0.785659 # DEPENDENCYPART_ARC
(27,26),1.23694 # DEPENDENCYPART_ARC
(27,28),-0.344256 # DEPENDENCYPART_ARC
(27,29),-1.1087 # DEPENDENCYPART_ARC
(27,30),-1.26442 # DEPENDENCYPART_ARC
(28,22),-1.51035 # DEPENDENCYPART_ARC
(28,24),-1.29127 # DEPENDENCYPART_ARC
(28,25),-1.24811 # DEPENDENCYPART_ARC
(28,26),-1.20881 # DEPENDENCYPART_ARC
(28,27),-0.262801 # DEPENDENCYPART_ARC
(28,29),0.724082 # DEPENDENCYPART_ARC
(28,30),-0.678739 # DEPENDENCYPART_ARC
(29,7),-1.84554 # DEPENDENCYPART_ARC
(29,18),-1.45274 # DEPENDENCYPART_ARC
(29,20),-1.33546 # DEPENDENCYPART_ARC
(29,22),-1.3882 # DEPENDENCYPART_ARC
(29,23),-1.33931 # DEPENDENCYPART_ARC
(29,24),-1.26901 # DEPENDENCYPART_ARC
(29,25),-1.28272 # DEPENDENCYPART_ARC
(29,26),-1.26092 # DEPENDENCYPART_ARC
(29,27),-1.05211 # DEPENDENCYPART_ARC
(29,28),-0.398196 # DEPENDENCYPART_ARC
(29,30),-0.275692 # DEPENDENCYPART_ARC
(0,3),(0,13),-0.102223 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0117706 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.015538 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0117645 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0227407 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0119844 # DEPENDENCYPART_SIBL
(1,2),(1,12),0.015538 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.0305366 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0191879 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.00867588 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.021243 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.00889581 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.0191879 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.0306542 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0419227 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.00947225 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0418706 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.036982 # DEPENDENCYPART_SIBL
(1,4),(1,13),0.0323658 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0239695 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.0117122 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.0155455 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.0305366 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.000212038 # DEPENDENCYPART_SIBL
(1,8),(1,12),0.031603 # DEPENDENCYPART_SIBL
(1,8),(1,13),-0.0178719 # DEPENDENCYPART_SIBL
(1,11),(1,12),0.0155049 # DEPENDENCYPART_SIBL
(1,11),(1,13),-0.0306649 # DEPENDENCYPART_SIBL
(1,12),(1,13),0.0323658 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0258186 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0534906 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.00368628 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0212075 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0930596 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0209734 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0534906 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0082804 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0190081 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.00173039 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.00874211 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0212901 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.00896205 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0190081 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0307024 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.028905 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0418484 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.00942965 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0417963 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0368438 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0323207 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.016852 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0281491 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0170719 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0153532 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0300151 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0240165 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0117784 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0153656 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0305849 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.000226063 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.0315284 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0178729 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.015325 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.0307132 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.0323207 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.00894218 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0575808 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.00490605 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0224273 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.09598 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0171684 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0304503 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0221931 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0575808 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.00828889 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.059606 # DEPENDENCYPART_SIBL
(3,1),(3,30),0.0113534 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0707167 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.00354754 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0210688 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.098953 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0158099 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0290918 # DEPENDENCYPART_SIBL
