# _root_ Like others , Mr. Gabelli says that if futures cause investors to lose confidence in stocks , they will move away from stocks -- as many have already done .
#goldHeads=6,1,6,5,6,0,19,10,10,19,13,13,10,13,14,15,19,19,6,19,20,21,22,20,27,27,20,27,27,6,
#predictedHeads=6,1,6,5,6,0,19,10,10,19,13,13,10,13,14,15,19,19,6,19,20,21,22,20,27,27,20,27,27,6,
(0,1),-1.79093 # DEPENDENCYPART_ARC
(0,2),-2.47044 # DEPENDENCYPART_ARC
(0,5),-3.38274 # DEPENDENCYPART_ARC
(0,6),-1.45708 # DEPENDENCYPART_ARC
(0,10),-3.11398 # DEPENDENCYPART_ARC
(0,13),-3.7359 # DEPENDENCYPART_ARC
(0,19),-2.15926 # DEPENDENCYPART_ARC
(0,20),-3.41091 # DEPENDENCYPART_ARC
(0,29),-4.05077 # DEPENDENCYPART_ARC
(1,2),0.764709 # DEPENDENCYPART_ARC
(1,3),-0.766729 # DEPENDENCYPART_ARC
(1,4),-2.06131 # DEPENDENCYPART_ARC
(1,5),-2.0811 # DEPENDENCYPART_ARC
(1,6),-1.78117 # DEPENDENCYPART_ARC
(2,1),-0.329273 # DEPENDENCYPART_ARC
(2,3),0.26489 # DEPENDENCYPART_ARC
(2,4),-1.0441 # DEPENDENCYPART_ARC
(2,5),-1.63981 # DEPENDENCYPART_ARC
(2,6),-1.5057 # DEPENDENCYPART_ARC
(2,10),-2.00665 # DEPENDENCYPART_ARC
(2,12),-1.59155 # DEPENDENCYPART_ARC
(2,17),-1.42086 # DEPENDENCYPART_ARC
(2,19),-1.73639 # DEPENDENCYPART_ARC
(2,24),-1.33145 # DEPENDENCYPART_ARC
(2,30),-2.60442 # DEPENDENCYPART_ARC
(4,2),-2.15572 # DEPENDENCYPART_ARC
(4,3),-1.08134 # DEPENDENCYPART_ARC
(4,5),-0.714731 # DEPENDENCYPART_ARC
(4,6),-0.8694 # DEPENDENCYPART_ARC
(5,2),-1.61608 # DEPENDENCYPART_ARC
(5,3),-1.25715 # DEPENDENCYPART_ARC
(5,4),1.51702 # DEPENDENCYPART_ARC
(5,6),-0.270679 # DEPENDENCYPART_ARC
(5,7),-1.25242 # DEPENDENCYPART_ARC
(5,8),-1.46547 # DEPENDENCYPART_ARC
(5,9),-1.68068 # DEPENDENCYPART_ARC
(5,10),-1.73532 # DEPENDENCYPART_ARC
(6,1),-0.896424 # DEPENDENCYPART_ARC
(6,2),-1.68965 # DEPENDENCYPART_ARC
(6,3),-0.513198 # DEPENDENCYPART_ARC
(6,4),-0.386667 # DEPENDENCYPART_ARC
(6,5),0.645373 # DEPENDENCYPART_ARC
(6,7),0.629555 # DEPENDENCYPART_ARC
(6,8),-0.641409 # DEPENDENCYPART_ARC
(6,9),-1.25242 # DEPENDENCYPART_ARC
(6,10),-0.78933 # DEPENDENCYPART_ARC
(6,11),-1.63477 # DEPENDENCYPART_ARC
(6,12),-1.17855 # DEPENDENCYPART_ARC
(6,13),-0.959841 # DEPENDENCYPART_ARC
(6,15),-1.25606 # DEPENDENCYPART_ARC
(6,17),-1.41262 # DEPENDENCYPART_ARC
