# _root_ This program , combined with cash grants to needy students , would reduce program costs and much more effectively target the intended beneficiaries .
#goldHeads=2,12,2,2,4,7,5,7,10,8,2,0,16,15,13,12,20,17,17,16,23,23,20,12,
#predictedHeads=2,12,2,2,4,7,5,7,10,8,2,0,12,15,16,13,16,17,20,16,23,23,20,12,
(0,2),-2.33537 # DEPENDENCYPART_ARC
(0,4),-1.94195 # DEPENDENCYPART_ARC
(0,12),-2.33229 # DEPENDENCYPART_ARC
(0,13),-2.40312 # DEPENDENCYPART_ARC
(0,16),-2.41547 # DEPENDENCYPART_ARC
(0,20),-2.34122 # DEPENDENCYPART_ARC
(1,3),-1.27306 # DEPENDENCYPART_ARC
(1,4),-1.75508 # DEPENDENCYPART_ARC
(2,1),1.26053 # DEPENDENCYPART_ARC
(2,3),-0.12058 # DEPENDENCYPART_ARC
(2,4),-1.59999 # DEPENDENCYPART_ARC
(2,5),-1.85111 # DEPENDENCYPART_ARC
(2,7),-2.06458 # DEPENDENCYPART_ARC
(2,8),-2.07705 # DEPENDENCYPART_ARC
(2,9),-2.15883 # DEPENDENCYPART_ARC
(2,10),-1.99614 # DEPENDENCYPART_ARC
(2,11),-1.62464 # DEPENDENCYPART_ARC
(2,24),-2.09114 # DEPENDENCYPART_ARC
(4,1),-2.1428 # DEPENDENCYPART_ARC
(4,2),-2.03578 # DEPENDENCYPART_ARC
(4,3),-0.134825 # DEPENDENCYPART_ARC
(4,5),0.435365 # DEPENDENCYPART_ARC
(4,6),-1.15929 # DEPENDENCYPART_ARC
(4,7),-1.08454 # DEPENDENCYPART_ARC
(4,8),-1.26504 # DEPENDENCYPART_ARC
(4,9),-1.54247 # DEPENDENCYPART_ARC
(4,10),-1.64426 # DEPENDENCYPART_ARC
(4,11),-1.62939 # DEPENDENCYPART_ARC
(4,12),-2.20611 # DEPENDENCYPART_ARC
(4,13),-2.28905 # DEPENDENCYPART_ARC
(4,16),-1.38787 # DEPENDENCYPART_ARC
(4,24),-1.97351 # DEPENDENCYPART_ARC
(5,2),-1.70004 # DEPENDENCYPART_ARC
(5,3),-1.22804 # DEPENDENCYPART_ARC
(5,4),-0.228184 # DEPENDENCYPART_ARC
(5,6),-0.0359253 # DEPENDENCYPART_ARC
(5,7),-0.654392 # DEPENDENCYPART_ARC
(5,8),-1.54313 # DEPENDENCYPART_ARC
(5,9),-1.60451 # DEPENDENCYPART_ARC
(5,10),-1.74946 # DEPENDENCYPART_ARC
(5,12),-2.27406 # DEPENDENCYPART_ARC
(5,13),-1.91197 # DEPENDENCYPART_ARC
(5,16),-1.9529 # DEPENDENCYPART_ARC
(5,18),-2.03783 # DEPENDENCYPART_ARC
(6,4),-1.90163 # DEPENDENCYPART_ARC
(6,7),-0.801957 # DEPENDENCYPART_ARC
(6,8),-1.37241 # DEPENDENCYPART_ARC
(6,9),-1.71156 # DEPENDENCYPART_ARC
(6,10),-1.9974 # DEPENDENCYPART_ARC
(7,1),-2.64742 # DEPENDENCYPART_ARC
(7,2),-2.1692 # DEPENDENCYPART_ARC
(7,3),-1.74239 # DEPENDENCYPART_ARC
(7,4),-1.21292 # DEPENDENCYPART_ARC
(7,5),-0.957607 # DEPENDENCYPART_ARC
(7,6),1.85228 # DEPENDENCYPART_ARC
(7,8),-0.431658 # DEPENDENCYPART_ARC
(7,9),-1.34013 # DEPENDENCYPART_ARC
(7,10),-1.4979 # DEPENDENCYPART_ARC
(7,11),-1.86723 # DEPENDENCYPART_ARC
(7,12),-1.94591 # DEPENDENCYPART_ARC
(7,13),-2.20958 # DEPENDENCYPART_ARC
(7,15),-2.033 # DEPENDENCYPART_ARC
(7,16),-1.16135 # DEPENDENCYPART_ARC
(7,23),-1.8424 # DEPENDENCYPART_ARC
(7,24),-2.13424 # DEPENDENCYPART_ARC
(8,5),-1.03378 # DEPENDENCYPART_ARC
(8,7),-0.302489 # DEPENDENCYPART_ARC
(8,9),-0.0264296 # DEPENDENCYPART_ARC
(8,10),-0.341236 # DEPENDENCYPART_ARC
(8,11),-1.07427 # DEPENDENCYPART_ARC
(8,12),-1.69498 # DEPENDENCYPART_ARC
(8,15),-2.62541 # DEPENDENCYPART_ARC
(8,16),-1.77689 # DEPENDENCYPART_ARC
(9,2),-1.88018 # DEPENDENCYPART_ARC
(9,5),-1.19987 # DEPENDENCYPART_ARC
(9,6),-0.989208 # DEPENDENCYPART_ARC
(9,7),-1.04314 # DEPENDENCYPART_ARC
(9,8),-0.163733 # DEPENDENCYPART_ARC
(9,12),-1.7394 # DEPENDENCYPART_ARC
(10,3),-1.92081 # DEPENDENCYPART_ARC
(10,4),-1.37454 # DEPENDENCYPART_ARC
(10,5),-1.38766 # DEPENDENCYPART_ARC
(10,6),-0.376214 # DEPENDENCYPART_ARC
(10,7),-0.758475 # DEPENDENCYPART_ARC
(10,8),-0.775176 # DEPENDENCYPART_ARC
(10,9),1.40846 # DEPENDENCYPART_ARC
(10,11),-0.0604739 # DEPENDENCYPART_ARC
(10,12),-1.71134 # DEPENDENCYPART_ARC
(10,13),-1.91314 # DEPENDENCYPART_ARC
(10,15),-2.05032 # DEPENDENCYPART_ARC
(10,16),-1.32667 # DEPENDENCYPART_ARC
(10,19),-2.02122 # DEPENDENCYPART_ARC
(10,23),-1.82871 # DEPENDENCYPART_ARC
(12,1),-1.62426 # DEPENDENCYPART_ARC
(12,2),-0.929148 # DEPENDENCYPART_ARC
(12,3),-2.14288 # DEPENDENCYPART_ARC
(12,4),-1.47166 # DEPENDENCYPART_ARC
(12,5),-1.2558 # DEPENDENCYPART_ARC
(12,6),-1.49244 # DEPENDENCYPART_ARC
(12,7),-1.44363 # DEPENDENCYPART_ARC
(12,9),-1.36987 # DEPENDENCYPART_ARC
(12,10),-1.00849 # DEPENDENCYPART_ARC
(12,11),0.695017 # DEPENDENCYPART_ARC
(12,13),1.5489 # DEPENDENCYPART_ARC
(12,14),-0.683718 # DEPENDENCYPART_ARC
(12,15),-1.10158 # DEPENDENCYPART_ARC
(12,16),-0.613374 # DEPENDENCYPART_ARC
(12,17),-1.26197 # DEPENDENCYPART_ARC
(12,19),-1.33743 # DEPENDENCYPART_ARC
(12,20),-1.24763 # DEPENDENCYPART_ARC
(12,24),-0.118131 # DEPENDENCYPART_ARC
(13,2),-2.23476 # DEPENDENCYPART_ARC
(13,3),-2.96835 # DEPENDENCYPART_ARC
(13,5),-2.082 # DEPENDENCYPART_ARC
(13,8),-2.32625 # DEPENDENCYPART_ARC
(13,11),-1.27165 # DEPENDENCYPART_ARC
(13,12),-0.634944 # DEPENDENCYPART_ARC
(13,14),0.254483 # DEPENDENCYPART_ARC
(13,15),-0.131636 # DEPENDENCYPART_ARC
