# _root_ He added : `` Every paper company management has to be saying to itself , ` Before someone comes after me , I 'm going to go after somebody . ' ''
#goldHeads=2,0,2,2,8,8,8,9,2,11,9,11,12,13,12,12,19,19,24,19,20,24,24,12,24,27,25,27,28,2,2,2,
#predictedHeads=2,0,2,2,8,8,8,9,2,11,9,11,12,13,12,12,19,19,24,19,20,24,24,12,24,27,25,27,28,2,12,2,
(0,2),-1.58841 # DEPENDENCYPART_ARC
(0,3),-1.94559 # DEPENDENCYPART_ARC
(0,8),-2.8823 # DEPENDENCYPART_ARC
(0,9),-2.48846 # DEPENDENCYPART_ARC
(0,11),-3.1498 # DEPENDENCYPART_ARC
(0,12),-2.96916 # DEPENDENCYPART_ARC
(0,19),-2.94188 # DEPENDENCYPART_ARC
(0,24),-2.92192 # DEPENDENCYPART_ARC
(0,25),-3.61253 # DEPENDENCYPART_ARC
(1,2),-0.225933 # DEPENDENCYPART_ARC
(1,3),-1.08649 # DEPENDENCYPART_ARC
(2,1),1.12003 # DEPENDENCYPART_ARC
(2,3),0.704414 # DEPENDENCYPART_ARC
(2,4),-0.187257 # DEPENDENCYPART_ARC
(2,6),-0.675873 # DEPENDENCYPART_ARC
(2,7),-0.759322 # DEPENDENCYPART_ARC
(2,8),-0.913682 # DEPENDENCYPART_ARC
(2,9),-0.418558 # DEPENDENCYPART_ARC
(2,10),-0.911276 # DEPENDENCYPART_ARC
(2,11),-0.555415 # DEPENDENCYPART_ARC
(2,12),-0.355822 # DEPENDENCYPART_ARC
(2,13),-0.816056 # DEPENDENCYPART_ARC
(2,15),-0.984552 # DEPENDENCYPART_ARC
(2,16),-1.46292 # DEPENDENCYPART_ARC
(2,17),-1.82832 # DEPENDENCYPART_ARC
(2,19),-1.08553 # DEPENDENCYPART_ARC
(2,20),-2.05138 # DEPENDENCYPART_ARC
(2,22),-1.75891 # DEPENDENCYPART_ARC
(2,24),-0.916983 # DEPENDENCYPART_ARC
(2,25),-0.843731 # DEPENDENCYPART_ARC
(2,28),-1.93032 # DEPENDENCYPART_ARC
(2,30),-0.569552 # DEPENDENCYPART_ARC
(2,31),0.291709 # DEPENDENCYPART_ARC
(2,32),1.11602 # DEPENDENCYPART_ARC
(3,2),-0.00980372 # DEPENDENCYPART_ARC
(3,6),-1.13512 # DEPENDENCYPART_ARC
(3,7),-1.25917 # DEPENDENCYPART_ARC
(3,8),-1.34129 # DEPENDENCYPART_ARC
(3,11),-1.18926 # DEPENDENCYPART_ARC
(5,6),-0.172884 # DEPENDENCYPART_ARC
(5,12),-1.43079 # DEPENDENCYPART_ARC
(6,2),-2.05199 # DEPENDENCYPART_ARC
(6,3),-2.04134 # DEPENDENCYPART_ARC
(6,4),-1.44707 # DEPENDENCYPART_ARC
(6,5),-0.125501 # DEPENDENCYPART_ARC
(6,7),-0.419766 # DEPENDENCYPART_ARC
(6,8),-1.44267 # DEPENDENCYPART_ARC
(6,9),-0.9111 # DEPENDENCYPART_ARC
(6,11),-1.26845 # DEPENDENCYPART_ARC
(6,12),-1.43034 # DEPENDENCYPART_ARC
(6,13),-1.29106 # DEPENDENCYPART_ARC
(6,16),-2.01747 # DEPENDENCYPART_ARC
(7,2),-1.49412 # DEPENDENCYPART_ARC
(7,3),-1.62107 # DEPENDENCYPART_ARC
(7,4),-1.26215 # DEPENDENCYPART_ARC
(7,5),-0.38442 # DEPENDENCYPART_ARC
(7,6),0.61264 # DEPENDENCYPART_ARC
(7,8),-0.749637 # DEPENDENCYPART_ARC
(7,9),-1.09784 # DEPENDENCYPART_ARC
(7,11),-1.57865 # DEPENDENCYPART_ARC
(8,2),-0.826684 # DEPENDENCYPART_ARC
(8,3),-0.887809 # DEPENDENCYPART_ARC
(8,4),-0.467393 # DEPENDENCYPART_ARC
(8,5),-0.153926 # DEPENDENCYPART_ARC
(8,6),0.923442 # DEPENDENCYPART_ARC
(8,7),1.98329 # DEPENDENCYPART_ARC
(8,9),-0.422369 # DEPENDENCYPART_ARC
(8,10),-1.41595 # DEPENDENCYPART_ARC
(8,11),-1.53998 # DEPENDENCYPART_ARC
(8,12),-1.69647 # DEPENDENCYPART_ARC
(8,13),-1.61996 # DEPENDENCYPART_ARC
(8,16),-2.18333 # DEPENDENCYPART_ARC
(8,18),-1.85251 # DEPENDENCYPART_ARC
(8,19),-2.64668 # DEPENDENCYPART_ARC
(9,1),-1.52697 # DEPENDENCYPART_ARC
(9,2),-1.40526 # DEPENDENCYPART_ARC
(9,3),-0.957492 # DEPENDENCYPART_ARC
(9,4),-0.894325 # DEPENDENCYPART_ARC
(9,5),-0.846008 # DEPENDENCYPART_ARC
(9,6),-0.491886 # DEPENDENCYPART_ARC
(9,7),-0.463081 # DEPENDENCYPART_ARC
(9,8),0.761753 # DEPENDENCYPART_ARC
(9,10),0.31583 # DEPENDENCYPART_ARC
(9,11),0.144428 # DEPENDENCYPART_ARC
(9,12),-0.491566 # DEPENDENCYPART_ARC
(9,13),-0.994488 # DEPENDENCYPART_ARC
(9,15),-0.918583 # DEPENDENCYPART_ARC
(9,16),-1.65999 # DEPENDENCYPART_ARC
(9,17),-1.86392 # DEPENDENCYPART_ARC
(9,19),-1.82491 # DEPENDENCYPART_ARC
(9,22),-1.69136 # DEPENDENCYPART_ARC
(9,24),-1.44786 # DEPENDENCYPART_ARC
(9,25),-1.36568 # DEPENDENCYPART_ARC
(9,30),-1.00006 # DEPENDENCYPART_ARC
(9,31),-0.445006 # DEPENDENCYPART_ARC
(9,32),-0.0403075 # DEPENDENCYPART_ARC
(10,11),-0.438956 # DEPENDENCYPART_ARC
(10,12),-1.30852 # DEPENDENCYPART_ARC
(10,13),-1.59214 # DEPENDENCYPART_ARC
(10,18),-2.85059 # DEPENDENCYPART_ARC
(11,4),-1.2227 # DEPENDENCYPART_ARC
(11,6),-1.19835 # DEPENDENCYPART_ARC
(11,7),-1.11124 # DEPENDENCYPART_ARC
(11,8),-0.881907 # DEPENDENCYPART_ARC
(11,9),-1.21902 # DEPENDENCYPART_ARC
(11,10),1.28879 # DEPENDENCYPART_ARC
(11,12),0.922657 # DEPENDENCYPART_ARC
(11,13),-0.81539 # DEPENDENCYPART_ARC
(11,14),-1.09331 # DEPENDENCYPART_ARC
(11,15),-1.24504 # DEPENDENCYPART_ARC
(11,16),-1.74523 # DEPENDENCYPART_ARC
(11,18),-2.50656 # DEPENDENCYPART_ARC
(11,19),-1.87918 # DEPENDENCYPART_ARC
(11,24),-1.59134 # DEPENDENCYPART_ARC
(11,25),-1.32372 # DEPENDENCYPART_ARC
(11,27),-1.44873 # DEPENDENCYPART_ARC
(11,30),-1.92888 # DEPENDENCYPART_ARC
(11,31),-0.588543 # DEPENDENCYPART_ARC
(11,32),-0.238074 # DEPENDENCYPART_ARC
(12,2),-2.10225 # DEPENDENCYPART_ARC
