# _root_ But shortly before then , some of Wall Street 's sharpest traders say , they sensed a turn .
#goldHeads=13,3,13,3,13,13,6,9,12,9,12,7,0,13,16,13,18,16,13,
#predictedHeads=16,3,16,3,16,13,6,9,12,9,12,7,0,13,16,0,18,16,16,
(0,13),-0.146709 # DEPENDENCYPART_ARC
(0,16),-1.42634 # DEPENDENCYPART_ARC
(1,2),-1.76697 # DEPENDENCYPART_ARC
(1,3),-2.34784 # DEPENDENCYPART_ARC
(1,4),-3.0081 # DEPENDENCYPART_ARC
(1,5),-2.74103 # DEPENDENCYPART_ARC
(1,13),-2.26225 # DEPENDENCYPART_ARC
(1,16),-2.4155 # DEPENDENCYPART_ARC
(2,1),-1.47037 # DEPENDENCYPART_ARC
(2,3),-0.793234 # DEPENDENCYPART_ARC
(2,4),-1.2819 # DEPENDENCYPART_ARC
(2,5),-1.6906 # DEPENDENCYPART_ARC
(2,6),-2.26719 # DEPENDENCYPART_ARC
(2,7),-1.7909 # DEPENDENCYPART_ARC
(2,19),-3.3806 # DEPENDENCYPART_ARC
(3,1),-1.08427 # DEPENDENCYPART_ARC
(3,2),-0.122203 # DEPENDENCYPART_ARC
(3,4),0.425454 # DEPENDENCYPART_ARC
(3,5),-1.37419 # DEPENDENCYPART_ARC
(3,6),-2.13012 # DEPENDENCYPART_ARC
(3,7),-1.58737 # DEPENDENCYPART_ARC
(3,9),-2.61247 # DEPENDENCYPART_ARC
(3,11),-1.95145 # DEPENDENCYPART_ARC
(3,12),-1.96894 # DEPENDENCYPART_ARC
(3,13),-0.63314 # DEPENDENCYPART_ARC
(3,14),-1.527 # DEPENDENCYPART_ARC
(3,16),-1.09835 # DEPENDENCYPART_ARC
(3,19),-3.0263 # DEPENDENCYPART_ARC
(4,1),-1.80336 # DEPENDENCYPART_ARC
(4,2),-1.65684 # DEPENDENCYPART_ARC
(4,3),-0.485996 # DEPENDENCYPART_ARC
(4,5),-1.49374 # DEPENDENCYPART_ARC
(4,6),-1.98948 # DEPENDENCYPART_ARC
(4,7),-1.60385 # DEPENDENCYPART_ARC
(4,9),-2.8891 # DEPENDENCYPART_ARC
(4,13),-2.38769 # DEPENDENCYPART_ARC
(4,16),-2.42003 # DEPENDENCYPART_ARC
(4,19),-3.4285 # DEPENDENCYPART_ARC
(5,4),-2.87136 # DEPENDENCYPART_ARC
(6,1),-3.13907 # DEPENDENCYPART_ARC
(6,2),-2.868 # DEPENDENCYPART_ARC
(6,3),-2.115 # DEPENDENCYPART_ARC
(6,4),-2.22657 # DEPENDENCYPART_ARC
(6,5),-1.70584 # DEPENDENCYPART_ARC
(6,7),0.950922 # DEPENDENCYPART_ARC
(6,8),-1.23088 # DEPENDENCYPART_ARC
(6,9),-1.36448 # DEPENDENCYPART_ARC
(6,10),-1.91569 # DEPENDENCYPART_ARC
(6,11),-1.70709 # DEPENDENCYPART_ARC
(6,12),-1.69492 # DEPENDENCYPART_ARC
(6,13),-1.03712 # DEPENDENCYPART_ARC
