# _root_ Hertz Corp. of Park Ridge , N.J. , said it retained Merrill Lynch Capital Markets to sell its Hertz Equipment Rental Corp. unit .
#goldHeads=9,1,1,5,3,5,5,5,0,11,9,15,15,15,11,11,16,23,23,23,23,23,17,9,
#predictedHeads=9,1,1,5,3,5,5,5,0,11,9,15,15,15,11,15,16,23,23,23,23,23,17,9,
(0,1),-3.57054 # DEPENDENCYPART_ARC
(0,9),1.07498 # DEPENDENCYPART_ARC
(0,11),-1.41317 # DEPENDENCYPART_ARC
(1,2),0.889118 # DEPENDENCYPART_ARC
(1,3),0.313269 # DEPENDENCYPART_ARC
(1,4),-1.41925 # DEPENDENCYPART_ARC
(1,5),-1.27894 # DEPENDENCYPART_ARC
(1,6),-0.278202 # DEPENDENCYPART_ARC
(1,7),-1.94997 # DEPENDENCYPART_ARC
(1,8),-0.328764 # DEPENDENCYPART_ARC
(1,9),-1.62414 # DEPENDENCYPART_ARC
(1,10),-1.71172 # DEPENDENCYPART_ARC
(1,11),-1.59918 # DEPENDENCYPART_ARC
(1,15),-3.85725 # DEPENDENCYPART_ARC
(1,16),-2.11224 # DEPENDENCYPART_ARC
(1,23),-4.48525 # DEPENDENCYPART_ARC
(2,1),-0.683119 # DEPENDENCYPART_ARC
(2,3),-0.0289711 # DEPENDENCYPART_ARC
(2,4),-1.87545 # DEPENDENCYPART_ARC
(2,5),-1.6158 # DEPENDENCYPART_ARC
(2,6),-1.56096 # DEPENDENCYPART_ARC
(2,7),-2.4174 # DEPENDENCYPART_ARC
(2,8),-1.4464 # DEPENDENCYPART_ARC
(2,9),-2.32417 # DEPENDENCYPART_ARC
(2,10),-2.37183 # DEPENDENCYPART_ARC
(2,11),-2.24266 # DEPENDENCYPART_ARC
(3,4),0.428786 # DEPENDENCYPART_ARC
(3,5),0.527583 # DEPENDENCYPART_ARC
(3,6),-1.34096 # DEPENDENCYPART_ARC
(3,7),-1.55664 # DEPENDENCYPART_ARC
(3,8),-1.4628 # DEPENDENCYPART_ARC
(3,10),-1.83264 # DEPENDENCYPART_ARC
(3,11),-2.26725 # DEPENDENCYPART_ARC
(3,15),-2.97991 # DEPENDENCYPART_ARC
(3,23),-1.72227 # DEPENDENCYPART_ARC
(4,1),-2.6411 # DEPENDENCYPART_ARC
(4,2),-2.16855 # DEPENDENCYPART_ARC
(4,3),-1.78052 # DEPENDENCYPART_ARC
(4,5),-0.858231 # DEPENDENCYPART_ARC
(4,6),-1.3386 # DEPENDENCYPART_ARC
(4,7),-1.78153 # DEPENDENCYPART_ARC
(4,8),-1.65069 # DEPENDENCYPART_ARC
(4,11),-2.57347 # DEPENDENCYPART_ARC
(5,1),-1.59784 # DEPENDENCYPART_ARC
(5,2),-1.75321 # DEPENDENCYPART_ARC
(5,3),-1.97887 # DEPENDENCYPART_ARC
(5,4),0.988607 # DEPENDENCYPART_ARC
(5,6),0.346897 # DEPENDENCYPART_ARC
(5,7),-0.357994 # DEPENDENCYPART_ARC
(5,8),0.0878506 # DEPENDENCYPART_ARC
(5,9),-1.61792 # DEPENDENCYPART_ARC
(5,10),-1.64034 # DEPENDENCYPART_ARC
(5,11),-1.68873 # DEPENDENCYPART_ARC
(5,12),-3.55713 # DEPENDENCYPART_ARC
(5,13),-3.68971 # DEPENDENCYPART_ARC
(5,14),-3.73614 # DEPENDENCYPART_ARC
(5,15),-3.47202 # DEPENDENCYPART_ARC
(5,16),-2.36273 # DEPENDENCYPART_ARC
(5,23),-4.12294 # DEPENDENCYPART_ARC
(7,1),-3.30842 # DEPENDENCYPART_ARC
(7,2),-2.57743 # DEPENDENCYPART_ARC
(7,3),-2.37778 # DEPENDENCYPART_ARC
