# _root_ Now the Journal , flush with ads and hugely profitable , is even with La Presse in weekend circulation and outsells it 3 to 2 every weekday .
#goldHeads=20,3,20,20,8,5,6,20,10,8,20,20,12,13,16,14,12,19,17,0,20,21,21,23,24,27,21,20,
#predictedHeads=20,3,12,3,8,5,6,3,10,8,3,20,12,12,16,14,16,19,17,0,20,23,21,21,24,27,25,20,
(0,1),-1.51805 # DEPENDENCYPART_ARC
(0,3),-2.4455 # DEPENDENCYPART_ARC
(0,5),-3.24998 # DEPENDENCYPART_ARC
(0,8),-3.29454 # DEPENDENCYPART_ARC
(0,12),-1.21347 # DEPENDENCYPART_ARC
(0,16),-2.62807 # DEPENDENCYPART_ARC
(0,20),-2.51528 # DEPENDENCYPART_ARC
(0,21),-2.53074 # DEPENDENCYPART_ARC
(1,2),0.0070587 # DEPENDENCYPART_ARC
(1,3),-1.01134 # DEPENDENCYPART_ARC
(1,4),-1.23002 # DEPENDENCYPART_ARC
(1,5),-1.63587 # DEPENDENCYPART_ARC
(1,6),-1.88928 # DEPENDENCYPART_ARC
(1,7),-2.06534 # DEPENDENCYPART_ARC
(1,8),-1.31501 # DEPENDENCYPART_ARC
(1,9),-1.9256 # DEPENDENCYPART_ARC
(1,12),-1.33947 # DEPENDENCYPART_ARC
(2,1),-0.353168 # DEPENDENCYPART_ARC
(2,4),-1.36401 # DEPENDENCYPART_ARC
(2,5),-2.04024 # DEPENDENCYPART_ARC
(2,6),-2.15955 # DEPENDENCYPART_ARC
(3,1),-1.01068 # DEPENDENCYPART_ARC
(3,2),0.63839 # DEPENDENCYPART_ARC
(3,4),-0.310529 # DEPENDENCYPART_ARC
(3,5),-1.68607 # DEPENDENCYPART_ARC
(3,6),-1.76304 # DEPENDENCYPART_ARC
(3,7),-1.9413 # DEPENDENCYPART_ARC
(3,8),-1.58134 # DEPENDENCYPART_ARC
(3,9),-1.7766 # DEPENDENCYPART_ARC
(3,11),-1.64855 # DEPENDENCYPART_ARC
(3,12),-2.01785 # DEPENDENCYPART_ARC
(3,13),-1.87728 # DEPENDENCYPART_ARC
(3,14),-2.00465 # DEPENDENCYPART_ARC
(3,20),-1.18382 # DEPENDENCYPART_ARC
(3,28),-1.87708 # DEPENDENCYPART_ARC
(5,1),-1.54941 # DEPENDENCYPART_ARC
(5,2),-1.38289 # DEPENDENCYPART_ARC
(5,3),-1.15087 # DEPENDENCYPART_ARC
(5,4),0.154048 # DEPENDENCYPART_ARC
(5,6),0.258818 # DEPENDENCYPART_ARC
(5,7),-0.859294 # DEPENDENCYPART_ARC
(5,8),-0.749586 # DEPENDENCYPART_ARC
(5,9),-1.01571 # DEPENDENCYPART_ARC
(5,10),-0.86498 # DEPENDENCYPART_ARC
(5,11),-1.0524 # DEPENDENCYPART_ARC
(5,12),-1.60208 # DEPENDENCYPART_ARC
(5,14),-1.97146 # DEPENDENCYPART_ARC
(5,28),-1.91009 # DEPENDENCYPART_ARC
(6,4),-1.40073 # DEPENDENCYPART_ARC
(6,5),-0.265399 # DEPENDENCYPART_ARC
(6,7),0.523568 # DEPENDENCYPART_ARC
(6,8),-1.14832 # DEPENDENCYPART_ARC
(6,9),-1.35553 # DEPENDENCYPART_ARC
(6,10),-1.45356 # DEPENDENCYPART_ARC
(6,11),-1.67619 # DEPENDENCYPART_ARC
(6,12),-1.8666 # DEPENDENCYPART_ARC
(7,1),-2.68911 # DEPENDENCYPART_ARC
(7,2),-2.08247 # DEPENDENCYPART_ARC
(7,3),-2.2482 # DEPENDENCYPART_ARC
(7,4),-2.02173 # DEPENDENCYPART_ARC
(7,5),-1.07328 # DEPENDENCYPART_ARC
(7,6),-0.3374 # DEPENDENCYPART_ARC
(7,8),-0.647177 # DEPENDENCYPART_ARC
(7,9),-1.30584 # DEPENDENCYPART_ARC
(7,10),-1.51898 # DEPENDENCYPART_ARC
(8,1),-1.50746 # DEPENDENCYPART_ARC
(8,2),-1.97112 # DEPENDENCYPART_ARC
(8,3),-1.30296 # DEPENDENCYPART_ARC
(8,4),-0.716417 # DEPENDENCYPART_ARC
(8,5),-0.787969 # DEPENDENCYPART_ARC
(8,6),-0.662648 # DEPENDENCYPART_ARC
(8,7),0.430982 # DEPENDENCYPART_ARC
(8,9),0.215612 # DEPENDENCYPART_ARC
(8,10),-0.555541 # DEPENDENCYPART_ARC
(8,11),-1.09488 # DEPENDENCYPART_ARC
(8,12),-1.70187 # DEPENDENCYPART_ARC
(8,13),-1.96684 # DEPENDENCYPART_ARC
(8,14),-1.99699 # DEPENDENCYPART_ARC
(8,16),-2.16672 # DEPENDENCYPART_ARC
(8,17),-2.11795 # DEPENDENCYPART_ARC
(8,19),-2.94266 # DEPENDENCYPART_ARC
(8,20),-1.4351 # DEPENDENCYPART_ARC
(8,21),-2.57354 # DEPENDENCYPART_ARC
(8,28),-1.44799 # DEPENDENCYPART_ARC
(9,3),-2.47677 # DEPENDENCYPART_ARC
(9,7),-1.86047 # DEPENDENCYPART_ARC
(9,8),-0.490082 # DEPENDENCYPART_ARC
(9,10),-0.210782 # DEPENDENCYPART_ARC
(9,11),-1.22426 # DEPENDENCYPART_ARC
(9,12),-1.62403 # DEPENDENCYPART_ARC
(10,5),-1.09507 # DEPENDENCYPART_ARC
(10,6),-0.733443 # DEPENDENCYPART_ARC
(10,7),-0.661184 # DEPENDENCYPART_ARC
(10,8),-0.611886 # DEPENDENCYPART_ARC
(10,9),0.807416 # DEPENDENCYPART_ARC
(10,11),-0.260659 # DEPENDENCYPART_ARC
(10,12),-1.447 # DEPENDENCYPART_ARC
(10,13),-1.82563 # DEPENDENCYPART_ARC
(10,14),-1.97539 # DEPENDENCYPART_ARC
(10,16),-2.14673 # DEPENDENCYPART_ARC
(12,1),-0.961372 # DEPENDENCYPART_ARC
(12,2),-1.35905 # DEPENDENCYPART_ARC
(12,3),-0.240504 # DEPENDENCYPART_ARC
(12,4),-1.76303 # DEPENDENCYPART_ARC
(12,5),-1.34378 # DEPENDENCYPART_ARC
(12,6),-0.96738 # DEPENDENCYPART_ARC
(12,7),-1.56132 # DEPENDENCYPART_ARC
(12,8),-1.1671 # DEPENDENCYPART_ARC
(12,9),-1.26671 # DEPENDENCYPART_ARC
(12,10),-0.939492 # DEPENDENCYPART_ARC
(12,11),0.880954 # DEPENDENCYPART_ARC
(12,13),0.777522 # DEPENDENCYPART_ARC
(12,14),-0.109921 # DEPENDENCYPART_ARC
(12,15),-0.819416 # DEPENDENCYPART_ARC
(12,16),-0.565496 # DEPENDENCYPART_ARC
(12,17),-0.746815 # DEPENDENCYPART_ARC
(12,19),-1.38461 # DEPENDENCYPART_ARC
(12,20),-0.573142 # DEPENDENCYPART_ARC
(12,21),-1.07544 # DEPENDENCYPART_ARC
(12,24),-1.68108 # DEPENDENCYPART_ARC
(12,28),0.13661 # DEPENDENCYPART_ARC
(13,3),-1.63226 # DEPENDENCYPART_ARC
(13,6),-2.19595 # DEPENDENCYPART_ARC
(13,7),-2.06656 # DEPENDENCYPART_ARC
(13,10),-2.20098 # DEPENDENCYPART_ARC
(13,11),-1.41321 # DEPENDENCYPART_ARC
(13,12),-0.230488 # DEPENDENCYPART_ARC
(13,14),-0.206178 # DEPENDENCYPART_ARC
(13,15),-0.94287 # DEPENDENCYPART_ARC
(13,16),-1.22327 # DEPENDENCYPART_ARC
(13,17),-1.57058 # DEPENDENCYPART_ARC
