# _root_ Mercury shares closed yesterday at $ 4.625 , up 50 cents , in New York Stock Exchange composite trading .
#goldHeads=2,3,0,3,3,7,5,3,3,11,9,3,3,19,19,19,19,19,13,3,
#predictedHeads=2,3,0,3,3,7,5,3,3,11,9,3,3,19,19,19,19,19,13,3,
(0,2),-2.49974 # DEPENDENCYPART_ARC
(0,3),-1.91733 # DEPENDENCYPART_ARC
(0,4),-3.20944 # DEPENDENCYPART_ARC
(1,2),-0.641893 # DEPENDENCYPART_ARC
(1,3),-0.946017 # DEPENDENCYPART_ARC
(1,4),-1.72308 # DEPENDENCYPART_ARC
(1,5),-1.39293 # DEPENDENCYPART_ARC
(1,6),-1.8509 # DEPENDENCYPART_ARC
(1,7),-1.84051 # DEPENDENCYPART_ARC
(1,8),-1.69988 # DEPENDENCYPART_ARC
(1,20),-1.89661 # DEPENDENCYPART_ARC
(2,1),1.95838 # DEPENDENCYPART_ARC
(2,3),-0.115394 # DEPENDENCYPART_ARC
(2,4),-0.868076 # DEPENDENCYPART_ARC
(2,5),-1.12241 # DEPENDENCYPART_ARC
(2,7),-1.5662 # DEPENDENCYPART_ARC
(2,8),-1.33865 # DEPENDENCYPART_ARC
(2,9),-1.72271 # DEPENDENCYPART_ARC
(2,10),-2.31447 # DEPENDENCYPART_ARC
(2,11),-1.92295 # DEPENDENCYPART_ARC
(2,12),-1.63657 # DEPENDENCYPART_ARC
(2,13),-1.89552 # DEPENDENCYPART_ARC
(2,19),-2.50934 # DEPENDENCYPART_ARC
(2,20),-1.71968 # DEPENDENCYPART_ARC
(3,1),-0.210262 # DEPENDENCYPART_ARC
(3,2),0.805918 # DEPENDENCYPART_ARC
(3,4),1.15382 # DEPENDENCYPART_ARC
(3,5),-0.0704336 # DEPENDENCYPART_ARC
(3,6),-0.823023 # DEPENDENCYPART_ARC
(3,7),-0.986642 # DEPENDENCYPART_ARC
(3,8),-0.724346 # DEPENDENCYPART_ARC
(3,9),-1.12499 # DEPENDENCYPART_ARC
(3,11),-2.03107 # DEPENDENCYPART_ARC
(3,12),-0.914875 # DEPENDENCYPART_ARC
(3,13),-1.13574 # DEPENDENCYPART_ARC
(3,18),-1.13077 # DEPENDENCYPART_ARC
(3,19),-1.68499 # DEPENDENCYPART_ARC
(3,20),-0.0533048 # DEPENDENCYPART_ARC
(4,1),-1.42162 # DEPENDENCYPART_ARC
(4,2),-1.26851 # DEPENDENCYPART_ARC
(4,3),0.0695595 # DEPENDENCYPART_ARC
(4,5),0.327451 # DEPENDENCYPART_ARC
(4,6),-1.24534 # DEPENDENCYPART_ARC
(4,7),-1.33116 # DEPENDENCYPART_ARC
(4,8),-1.57983 # DEPENDENCYPART_ARC
(4,9),-1.74944 # DEPENDENCYPART_ARC
(4,10),-2.15436 # DEPENDENCYPART_ARC
(4,11),-1.90953 # DEPENDENCYPART_ARC
(4,12),-1.9166 # DEPENDENCYPART_ARC
(4,13),-1.5533 # DEPENDENCYPART_ARC
(4,19),-2.59084 # DEPENDENCYPART_ARC
(4,20),-1.51308 # DEPENDENCYPART_ARC
(5,2),-1.53275 # DEPENDENCYPART_ARC
(5,4),-0.482154 # DEPENDENCYPART_ARC
(5,6),-0.214064 # DEPENDENCYPART_ARC
(5,7),-0.686031 # DEPENDENCYPART_ARC
(5,8),-1.05754 # DEPENDENCYPART_ARC
(5,9),-1.76353 # DEPENDENCYPART_ARC
(5,10),-1.95341 # DEPENDENCYPART_ARC
(5,11),-2.1826 # DEPENDENCYPART_ARC
(5,13),-1.52689 # DEPENDENCYPART_ARC
(5,17),-2.57967 # DEPENDENCYPART_ARC
(5,19),-2.59907 # DEPENDENCYPART_ARC
(6,4),-1.06103 # DEPENDENCYPART_ARC
(6,5),0.264815 # DEPENDENCYPART_ARC
(6,7),-0.0718831 # DEPENDENCYPART_ARC
(6,8),-1.10691 # DEPENDENCYPART_ARC
(6,9),-1.61753 # DEPENDENCYPART_ARC
(6,11),-2.06594 # DEPENDENCYPART_ARC
(6,12),-1.89912 # DEPENDENCYPART_ARC
(6,13),-1.91191 # DEPENDENCYPART_ARC
(6,18),-1.68039 # DEPENDENCYPART_ARC
(6,19),-2.23127 # DEPENDENCYPART_ARC
(6,20),-1.43929 # DEPENDENCYPART_ARC
(7,4),-0.782761 # DEPENDENCYPART_ARC
(7,5),-0.733677 # DEPENDENCYPART_ARC
(7,6),0.91416 # DEPENDENCYPART_ARC
