# _root_ `` All this may not be obvious to the public , which is concerned about advances in treatment , but I am convinced this basic research will begin showing results there soon . ''
#goldHeads=20,3,4,20,4,4,6,7,10,8,10,13,10,13,14,15,16,17,20,0,22,20,22,26,26,27,23,27,28,29,29,29,20,20,
#predictedHeads=20,3,4,20,4,4,6,7,10,8,10,13,10,13,14,15,16,17,20,0,22,20,22,26,26,27,23,27,28,29,29,31,20,20,
(0,2),-2.3587 # DEPENDENCYPART_ARC
(0,3),-2.38566 # DEPENDENCYPART_ARC
(0,4),-2.24055 # DEPENDENCYPART_ARC
(0,6),-2.17372 # DEPENDENCYPART_ARC
(0,8),-2.51991 # DEPENDENCYPART_ARC
(0,13),-2.58908 # DEPENDENCYPART_ARC
(0,14),-3.20866 # DEPENDENCYPART_ARC
(0,20),-1.27389 # DEPENDENCYPART_ARC
(0,22),-2.69694 # DEPENDENCYPART_ARC
(0,23),-2.85415 # DEPENDENCYPART_ARC
(0,27),-2.94794 # DEPENDENCYPART_ARC
(2,4),-0.816287 # DEPENDENCYPART_ARC
(2,6),-1.00903 # DEPENDENCYPART_ARC
(2,7),-1.42661 # DEPENDENCYPART_ARC
(3,2),0.262208 # DEPENDENCYPART_ARC
(3,4),-0.0888538 # DEPENDENCYPART_ARC
(3,6),-1.04303 # DEPENDENCYPART_ARC
(4,1),-0.776292 # DEPENDENCYPART_ARC
(4,2),-0.652848 # DEPENDENCYPART_ARC
(4,3),0.480625 # DEPENDENCYPART_ARC
(4,5),1.14549 # DEPENDENCYPART_ARC
(4,6),0.985491 # DEPENDENCYPART_ARC
(4,7),-0.559822 # DEPENDENCYPART_ARC
(4,10),-0.998975 # DEPENDENCYPART_ARC
(4,11),-1.12539 # DEPENDENCYPART_ARC
(4,13),-1.54851 # DEPENDENCYPART_ARC
(4,19),-1.49126 # DEPENDENCYPART_ARC
(4,20),-0.829947 # DEPENDENCYPART_ARC
(4,27),-1.24429 # DEPENDENCYPART_ARC
(4,33),-0.024993 # DEPENDENCYPART_ARC
(4,34),-0.65327 # DEPENDENCYPART_ARC
(5,2),-1.78344 # DEPENDENCYPART_ARC
(5,3),-1.58363 # DEPENDENCYPART_ARC
(5,6),-0.586558 # DEPENDENCYPART_ARC
(5,7),-1.60026 # DEPENDENCYPART_ARC
(5,8),-1.71013 # DEPENDENCYPART_ARC
(5,10),-2.01967 # DEPENDENCYPART_ARC
(6,1),-1.33612 # DEPENDENCYPART_ARC
(6,2),-1.37309 # DEPENDENCYPART_ARC
(6,3),-1.19467 # DEPENDENCYPART_ARC
(6,4),-1.18509 # DEPENDENCYPART_ARC
(6,5),0.310075 # DEPENDENCYPART_ARC
(6,7),0.583366 # DEPENDENCYPART_ARC
(6,8),-0.770636 # DEPENDENCYPART_ARC
(6,9),-1.25011 # DEPENDENCYPART_ARC
(6,10),-0.471909 # DEPENDENCYPART_ARC
(6,11),-1.005 # DEPENDENCYPART_ARC
(6,13),-1.67626 # DEPENDENCYPART_ARC
(6,14),-1.97515 # DEPENDENCYPART_ARC
(6,19),-1.64678 # DEPENDENCYPART_ARC
(6,20),-1.50851 # DEPENDENCYPART_ARC
(6,22),-1.74916 # DEPENDENCYPART_ARC
(6,27),-2.05193 # DEPENDENCYPART_ARC
(6,33),-2.10395 # DEPENDENCYPART_ARC
(7,3),-1.58643 # DEPENDENCYPART_ARC
