# _root_ In 1987 , despite a barrage of ads from most of the major investment firms , individuals ran from the market en masse .
#goldHeads=18,1,18,18,6,4,6,7,8,9,10,15,15,15,11,18,18,0,18,21,19,18,22,18,
#predictedHeads=18,1,18,18,6,4,6,7,6,9,10,15,15,15,11,18,18,0,18,21,19,23,19,18,
(0,1),-3.86359 # DEPENDENCYPART_ARC
(0,4),-4.61627 # DEPENDENCYPART_ARC
(0,6),-4.01452 # DEPENDENCYPART_ARC
(0,17),-3.35153 # DEPENDENCYPART_ARC
(0,18),-2.00691 # DEPENDENCYPART_ARC
(1,2),1.37946 # DEPENDENCYPART_ARC
(1,3),-1.25521 # DEPENDENCYPART_ARC
(1,4),-1.38314 # DEPENDENCYPART_ARC
(1,6),-1.17431 # DEPENDENCYPART_ARC
(1,7),-1.61909 # DEPENDENCYPART_ARC
(1,9),-1.92695 # DEPENDENCYPART_ARC
(1,10),-2.13365 # DEPENDENCYPART_ARC
(1,11),-1.83078 # DEPENDENCYPART_ARC
(1,24),-3.00417 # DEPENDENCYPART_ARC
(2,1),-1.60988 # DEPENDENCYPART_ARC
(2,3),-1.32404 # DEPENDENCYPART_ARC
(2,4),-1.80938 # DEPENDENCYPART_ARC
(2,6),-1.93062 # DEPENDENCYPART_ARC
(2,7),-2.14075 # DEPENDENCYPART_ARC
(3,2),-2.40555 # DEPENDENCYPART_ARC
(3,4),-2.24335 # DEPENDENCYPART_ARC
(4,1),-1.91453 # DEPENDENCYPART_ARC
(4,2),-2.62835 # DEPENDENCYPART_ARC
(4,3),-1.52245 # DEPENDENCYPART_ARC
(4,5),-1.21569 # DEPENDENCYPART_ARC
(4,6),0.378237 # DEPENDENCYPART_ARC
(4,7),-1.15378 # DEPENDENCYPART_ARC
(4,8),-1.01165 # DEPENDENCYPART_ARC
(4,9),-1.63507 # DEPENDENCYPART_ARC
(4,10),-1.86387 # DEPENDENCYPART_ARC
(4,11),-1.59095 # DEPENDENCYPART_ARC
(4,16),-1.42128 # DEPENDENCYPART_ARC
(4,18),-0.78768 # DEPENDENCYPART_ARC
(4,24),-3.23068 # DEPENDENCYPART_ARC
(5,3),-2.37978 # DEPENDENCYPART_ARC
(5,4),-1.15172 # DEPENDENCYPART_ARC
(5,7),-1.51495 # DEPENDENCYPART_ARC
(6,1),-2.27512 # DEPENDENCYPART_ARC
(6,2),-2.81536 # DEPENDENCYPART_ARC
(6,3),-1.96496 # DEPENDENCYPART_ARC
(6,4),-1.2438 # DEPENDENCYPART_ARC
(6,5),1.55119 # DEPENDENCYPART_ARC
(6,7),0.989976 # DEPENDENCYPART_ARC
(6,8),-0.783663 # DEPENDENCYPART_ARC
(6,9),-0.439024 # DEPENDENCYPART_ARC
(6,10),-1.48862 # DEPENDENCYPART_ARC
(6,11),-1.50497 # DEPENDENCYPART_ARC
(6,15),-1.56862 # DEPENDENCYPART_ARC
(6,16),-0.992283 # DEPENDENCYPART_ARC
(6,18),-1.49891 # DEPENDENCYPART_ARC
(6,19),-1.76079 # DEPENDENCYPART_ARC
(6,21),-2.39839 # DEPENDENCYPART_ARC
