# _root_ During the takeover , Mr. Hahn said he would put his account up for review if WPP 's bid were successful , but he did n't .
#goldHeads=7,3,1,7,6,7,23,9,7,9,12,10,10,13,14,20,19,17,20,10,20,23,0,25,23,25,23,
#predictedHeads=7,3,1,7,6,7,23,9,7,9,12,10,10,10,14,20,19,17,20,10,20,23,0,25,23,25,23,
(0,1),-1.72336 # DEPENDENCYPART_ARC
(0,7),-1.32197 # DEPENDENCYPART_ARC
(0,9),-2.77011 # DEPENDENCYPART_ARC
(0,10),-3.12663 # DEPENDENCYPART_ARC
(0,20),-3.3962 # DEPENDENCYPART_ARC
(0,23),-0.989429 # DEPENDENCYPART_ARC
(0,25),-2.85375 # DEPENDENCYPART_ARC
(1,2),0.0896369 # DEPENDENCYPART_ARC
(1,3),0.179807 # DEPENDENCYPART_ARC
(1,4),-0.975625 # DEPENDENCYPART_ARC
(1,5),-1.78969 # DEPENDENCYPART_ARC
(1,6),-1.82094 # DEPENDENCYPART_ARC
(1,7),-1.83195 # DEPENDENCYPART_ARC
(1,9),-1.92681 # DEPENDENCYPART_ARC
(2,1),-0.40424 # DEPENDENCYPART_ARC
(2,3),-0.387668 # DEPENDENCYPART_ARC
(3,1),-1.05728 # DEPENDENCYPART_ARC
(3,2),0.925609 # DEPENDENCYPART_ARC
(3,4),0.00981269 # DEPENDENCYPART_ARC
(3,5),-1.15433 # DEPENDENCYPART_ARC
(3,6),-1.67575 # DEPENDENCYPART_ARC
(3,7),-1.60878 # DEPENDENCYPART_ARC
(3,9),-1.78305 # DEPENDENCYPART_ARC
(3,10),-2.09368 # DEPENDENCYPART_ARC
(3,22),-1.52336 # DEPENDENCYPART_ARC
(3,23),-0.753049 # DEPENDENCYPART_ARC
(3,25),-1.84345 # DEPENDENCYPART_ARC
(3,27),-2.27208 # DEPENDENCYPART_ARC
(5,2),-2.21573 # DEPENDENCYPART_ARC
(5,3),-2.05741 # DEPENDENCYPART_ARC
(5,4),-1.08134 # DEPENDENCYPART_ARC
(5,6),-0.714755 # DEPENDENCYPART_ARC
(5,7),-0.960036 # DEPENDENCYPART_ARC
(5,8),-1.63536 # DEPENDENCYPART_ARC
(5,9),-1.46832 # DEPENDENCYPART_ARC
(6,2),-1.08769 # DEPENDENCYPART_ARC
(6,3),-1.70647 # DEPENDENCYPART_ARC
(6,4),-1.20013 # DEPENDENCYPART_ARC
(6,5),1.57405 # DEPENDENCYPART_ARC
(6,7),-0.400461 # DEPENDENCYPART_ARC
(6,8),-1.27473 # DEPENDENCYPART_ARC
(6,9),-1.16376 # DEPENDENCYPART_ARC
(6,10),-1.61244 # DEPENDENCYPART_ARC
(7,1),-0.699248 # DEPENDENCYPART_ARC
(7,2),-1.69138 # DEPENDENCYPART_ARC
(7,3),-1.73791 # DEPENDENCYPART_ARC
(7,4),-0.45713 # DEPENDENCYPART_ARC
(7,5),-0.386011 # DEPENDENCYPART_ARC
(7,6),0.824164 # DEPENDENCYPART_ARC
(7,8),0.296893 # DEPENDENCYPART_ARC
(7,9),-0.0834438 # DEPENDENCYPART_ARC
(7,10),-0.335906 # DEPENDENCYPART_ARC
(7,12),-0.9822 # DEPENDENCYPART_ARC
(7,14),-1.22199 # DEPENDENCYPART_ARC
(7,16),-1.4387 # DEPENDENCYPART_ARC
(7,20),-0.334111 # DEPENDENCYPART_ARC
(7,21),-1.11245 # DEPENDENCYPART_ARC
(7,22),-1.66947 # DEPENDENCYPART_ARC
(7,23),-0.640427 # DEPENDENCYPART_ARC
(7,25),-1.66768 # DEPENDENCYPART_ARC
(7,26),-2.23059 # DEPENDENCYPART_ARC
(7,27),-0.132506 # DEPENDENCYPART_ARC
(8,10),-0.845942 # DEPENDENCYPART_ARC
(9,1),-1.46023 # DEPENDENCYPART_ARC
(9,2),-1.9332 # DEPENDENCYPART_ARC
(9,3),-1.87537 # DEPENDENCYPART_ARC
(9,4),-1.34569 # DEPENDENCYPART_ARC
(9,5),-1.09931 # DEPENDENCYPART_ARC
(9,6),-1.04836 # DEPENDENCYPART_ARC
(9,7),-0.87578 # DEPENDENCYPART_ARC
(9,8),0.94439 # DEPENDENCYPART_ARC
(9,10),1.34415 # DEPENDENCYPART_ARC
(9,12),-1.06625 # DEPENDENCYPART_ARC
(9,14),-1.30876 # DEPENDENCYPART_ARC
(9,20),-1.51592 # DEPENDENCYPART_ARC
(9,22),-1.0826 # DEPENDENCYPART_ARC
(9,23),-1.54977 # DEPENDENCYPART_ARC
(9,25),-2.34118 # DEPENDENCYPART_ARC
(9,27),-0.729399 # DEPENDENCYPART_ARC
(10,1),-1.95692 # DEPENDENCYPART_ARC
(10,4),-2.25209 # DEPENDENCYPART_ARC
(10,6),-1.71706 # DEPENDENCYPART_ARC
(10,8),-1.16012 # DEPENDENCYPART_ARC
(10,9),-0.803577 # DEPENDENCYPART_ARC
(10,11),0.419819 # DEPENDENCYPART_ARC
(10,12),0.166526 # DEPENDENCYPART_ARC
(10,13),-0.378512 # DEPENDENCYPART_ARC
(10,14),-0.635609 # DEPENDENCYPART_ARC
(10,15),-0.611945 # DEPENDENCYPART_ARC
(10,16),-0.93528 # DEPENDENCYPART_ARC
(10,17),-1.28634 # DEPENDENCYPART_ARC
(10,19),-1.14233 # DEPENDENCYPART_ARC
(10,20),-0.566546 # DEPENDENCYPART_ARC
(10,21),-1.0672 # DEPENDENCYPART_ARC
(10,22),-1.34235 # DEPENDENCYPART_ARC
(10,23),-1.31987 # DEPENDENCYPART_ARC
(10,25),-2.07398 # DEPENDENCYPART_ARC
(10,26),-1.89024 # DEPENDENCYPART_ARC
(10,27),-1.5044 # DEPENDENCYPART_ARC
(12,2),-2.81461 # DEPENDENCYPART_ARC
(12,6),-2.19488 # DEPENDENCYPART_ARC
(12,7),-1.89646 # DEPENDENCYPART_ARC
(12,8),-1.71547 # DEPENDENCYPART_ARC
(12,10),-1.03828 # DEPENDENCYPART_ARC
(12,11),0.444804 # DEPENDENCYPART_ARC
(12,13),-0.126024 # DEPENDENCYPART_ARC
(12,14),-0.731895 # DEPENDENCYPART_ARC
(12,15),-1.25152 # DEPENDENCYPART_ARC
(12,16),-1.07801 # DEPENDENCYPART_ARC
(12,17),-1.55427 # DEPENDENCYPART_ARC
(12,19),-1.72849 # DEPENDENCYPART_ARC
(12,20),-1.20435 # DEPENDENCYPART_ARC
(12,21),-1.39959 # DEPENDENCYPART_ARC
(12,22),-1.58943 # DEPENDENCYPART_ARC
(12,23),-1.17591 # DEPENDENCYPART_ARC
(12,25),-2.10256 # DEPENDENCYPART_ARC
(13,14),0.107289 # DEPENDENCYPART_ARC
(13,15),-0.786826 # DEPENDENCYPART_ARC
(14,12),-1.4927 # DEPENDENCYPART_ARC
(14,15),0.674212 # DEPENDENCYPART_ARC
(14,16),-0.854386 # DEPENDENCYPART_ARC
(14,17),-1.23747 # DEPENDENCYPART_ARC
(14,19),-1.38574 # DEPENDENCYPART_ARC
(15,11),-1.60414 # DEPENDENCYPART_ARC
(15,12),-1.36038 # DEPENDENCYPART_ARC
(15,13),-1.10436 # DEPENDENCYPART_ARC
(15,14),-0.39181 # DEPENDENCYPART_ARC
(15,16),0.159365 # DEPENDENCYPART_ARC
(15,17),-1.16741 # DEPENDENCYPART_ARC
(15,18),-1.07154 # DEPENDENCYPART_ARC
(15,19),-1.67545 # DEPENDENCYPART_ARC
(15,20),-1.17846 # DEPENDENCYPART_ARC
(15,21),-1.56174 # DEPENDENCYPART_ARC
(15,22),-1.76507 # DEPENDENCYPART_ARC
(15,23),-1.44077 # DEPENDENCYPART_ARC
(16,15),-0.492908 # DEPENDENCYPART_ARC
(16,17),0.105764 # DEPENDENCYPART_ARC
(16,19),-1.16559 # DEPENDENCYPART_ARC
(17,11),-2.19663 # DEPENDENCYPART_ARC
(17,15),-0.875974 # DEPENDENCYPART_ARC
(17,16),-0.300967 # DEPENDENCYPART_ARC
(17,18),1.09288 # DEPENDENCYPART_ARC
(17,20),-0.637826 # DEPENDENCYPART_ARC
(17,21),-1.12056 # DEPENDENCYPART_ARC
(19,11),-1.66357 # DEPENDENCYPART_ARC
(19,12),-1.687 # DEPENDENCYPART_ARC
(19,14),-1.33564 # DEPENDENCYPART_ARC
(19,15),-0.994757 # DEPENDENCYPART_ARC
(19,16),-1.05891 # DEPENDENCYPART_ARC
(19,17),0.285549 # DEPENDENCYPART_ARC
(19,18),-0.0538584 # DEPENDENCYPART_ARC
(19,20),-0.231189 # DEPENDENCYPART_ARC
(19,21),-1.22185 # DEPENDENCYPART_ARC
(20,1),-1.44788 # DEPENDENCYPART_ARC
(20,3),-2.43625 # DEPENDENCYPART_ARC
(20,4),-1.53806 # DEPENDENCYPART_ARC
(20,5),-1.31634 # DEPENDENCYPART_ARC
(20,6),-1.27038 # DEPENDENCYPART_ARC
(20,7),-2.24152 # DEPENDENCYPART_ARC
(20,8),-1.30921 # DEPENDENCYPART_ARC
(20,9),-1.30452 # DEPENDENCYPART_ARC
(20,10),-1.48332 # DEPENDENCYPART_ARC
