# _root_ These procedures consume millions of man-hours of labor and produce tons of paper , and each year , their end product -- the Five Year Defense Plan -- promptly melts away .
#goldHeads=2,9,9,3,4,5,6,7,15,9,10,11,12,15,0,17,30,30,21,21,30,27,27,27,27,27,21,27,30,15,30,15,
#predictedHeads=2,9,9,3,4,5,6,7,15,9,10,11,12,15,0,17,11,11,21,21,30,27,27,27,27,27,21,27,30,15,30,15,
(0,2),-2.08965 # DEPENDENCYPART_ARC
(0,3),-1.60678 # DEPENDENCYPART_ARC
(0,4),-2.71486 # DEPENDENCYPART_ARC
(0,5),-2.79535 # DEPENDENCYPART_ARC
(0,9),-2.10727 # DEPENDENCYPART_ARC
(0,10),-2.4773 # DEPENDENCYPART_ARC
(0,15),-2.2858 # DEPENDENCYPART_ARC
(0,30),-2.76688 # DEPENDENCYPART_ARC
(1,2),-0.350872 # DEPENDENCYPART_ARC
(1,3),-1.12288 # DEPENDENCYPART_ARC
(2,1),1.15471 # DEPENDENCYPART_ARC
(2,3),-0.112315 # DEPENDENCYPART_ARC
(2,4),-1.19117 # DEPENDENCYPART_ARC
(2,5),-1.19048 # DEPENDENCYPART_ARC
(2,7),-1.68191 # DEPENDENCYPART_ARC
(3,1),-0.399665 # DEPENDENCYPART_ARC
(3,2),0.699189 # DEPENDENCYPART_ARC
(3,4),0.867466 # DEPENDENCYPART_ARC
(3,5),-0.606158 # DEPENDENCYPART_ARC
(3,6),-0.713035 # DEPENDENCYPART_ARC
(3,7),-1.12576 # DEPENDENCYPART_ARC
(3,8),-1.22389 # DEPENDENCYPART_ARC
(3,9),-0.756384 # DEPENDENCYPART_ARC
(3,10),-1.26312 # DEPENDENCYPART_ARC
(3,14),-1.63256 # DEPENDENCYPART_ARC
(3,15),-1.36344 # DEPENDENCYPART_ARC
(3,32),-1.04614 # DEPENDENCYPART_ARC
(4,1),-1.22793 # DEPENDENCYPART_ARC
(4,2),-0.582614 # DEPENDENCYPART_ARC
(4,5),0.897626 # DEPENDENCYPART_ARC
(4,6),-0.677245 # DEPENDENCYPART_ARC
(4,7),-0.492485 # DEPENDENCYPART_ARC
(4,8),-1.25958 # DEPENDENCYPART_ARC
(4,9),-0.630537 # DEPENDENCYPART_ARC
(4,10),-0.822047 # DEPENDENCYPART_ARC
(4,11),-1.28452 # DEPENDENCYPART_ARC
(4,12),-1.20954 # DEPENDENCYPART_ARC
(4,14),-1.56278 # DEPENDENCYPART_ARC
(4,18),-1.62702 # DEPENDENCYPART_ARC
(4,22),-1.15043 # DEPENDENCYPART_ARC
