# _root_ `` The question is how long it 's going to take Barry Wright to make a contribution , '' says F. John Mirek , an analyst at Blunt Ellis Loewi in Milwaukee .
#goldHeads=20,3,4,20,6,11,8,4,8,9,10,13,11,11,14,17,15,20,20,0,23,23,20,23,26,23,26,30,30,27,30,31,20,
#predictedHeads=20,3,4,20,8,5,8,4,8,9,10,13,11,11,14,17,15,20,20,0,23,23,20,23,26,23,26,30,30,27,30,31,20,
(0,4),-1.45817 # DEPENDENCYPART_ARC
(0,8),-3.03778 # DEPENDENCYPART_ARC
(0,20),1.66718 # DEPENDENCYPART_ARC
(1,3),-2.86138 # DEPENDENCYPART_ARC
(1,4),-2.60966 # DEPENDENCYPART_ARC
(2,1),-1.93165 # DEPENDENCYPART_ARC
(2,8),-2.23332 # DEPENDENCYPART_ARC
(3,1),-1.15611 # DEPENDENCYPART_ARC
(3,2),1.32476 # DEPENDENCYPART_ARC
(3,4),-0.781823 # DEPENDENCYPART_ARC
(3,6),-1.85721 # DEPENDENCYPART_ARC
(3,8),-1.28551 # DEPENDENCYPART_ARC
(3,9),-1.91043 # DEPENDENCYPART_ARC
(4,1),-0.260842 # DEPENDENCYPART_ARC
(4,2),-1.09944 # DEPENDENCYPART_ARC
(4,3),1.14322 # DEPENDENCYPART_ARC
(4,5),-0.934681 # DEPENDENCYPART_ARC
(4,6),-0.211264 # DEPENDENCYPART_ARC
(4,7),-1.16818 # DEPENDENCYPART_ARC
(4,8),-0.270006 # DEPENDENCYPART_ARC
(4,9),-0.723937 # DEPENDENCYPART_ARC
(4,10),-1.33843 # DEPENDENCYPART_ARC
(4,11),-1.83368 # DEPENDENCYPART_ARC
(4,14),-1.89498 # DEPENDENCYPART_ARC
(4,17),-2.7119 # DEPENDENCYPART_ARC
(4,18),-1.5235 # DEPENDENCYPART_ARC
(4,19),-0.468622 # DEPENDENCYPART_ARC
(4,20),-1.93758 # DEPENDENCYPART_ARC
(4,23),-3.17168 # DEPENDENCYPART_ARC
(4,24),-2.58991 # DEPENDENCYPART_ARC
(4,33),0.127549 # DEPENDENCYPART_ARC
(5,3),-2.22568 # DEPENDENCYPART_ARC
(5,4),-1.48392 # DEPENDENCYPART_ARC
(5,6),0.830336 # DEPENDENCYPART_ARC
(5,7),-1.1326 # DEPENDENCYPART_ARC
(5,8),-0.762252 # DEPENDENCYPART_ARC
(5,9),-1.35073 # DEPENDENCYPART_ARC
(5,10),-1.59576 # DEPENDENCYPART_ARC
(5,14),-1.8856 # DEPENDENCYPART_ARC
(6,1),-2.08954 # DEPENDENCYPART_ARC
(6,2),-1.99355 # DEPENDENCYPART_ARC
(6,3),-1.78683 # DEPENDENCYPART_ARC
(6,4),-1.71027 # DEPENDENCYPART_ARC
(6,5),-0.214448 # DEPENDENCYPART_ARC
(6,7),-0.688354 # DEPENDENCYPART_ARC
(6,8),-0.767088 # DEPENDENCYPART_ARC
(6,9),-1.42473 # DEPENDENCYPART_ARC
(6,10),-1.27993 # DEPENDENCYPART_ARC
(6,14),-1.80487 # DEPENDENCYPART_ARC
(7,5),-1.75478 # DEPENDENCYPART_ARC
(7,6),-1.42484 # DEPENDENCYPART_ARC
(7,8),-0.726359 # DEPENDENCYPART_ARC
(7,9),-1.49668 # DEPENDENCYPART_ARC
(8,1),-1.33712 # DEPENDENCYPART_ARC
(8,2),-2.31434 # DEPENDENCYPART_ARC
(8,3),-1.75604 # DEPENDENCYPART_ARC
(8,4),-1.68782 # DEPENDENCYPART_ARC
(8,5),-0.047844 # DEPENDENCYPART_ARC
(8,6),-1.56226 # DEPENDENCYPART_ARC
(8,7),1.1662 # DEPENDENCYPART_ARC
(8,9),1.02707 # DEPENDENCYPART_ARC
(8,10),-0.617521 # DEPENDENCYPART_ARC
(8,11),-1.39882 # DEPENDENCYPART_ARC
(8,12),-2.31127 # DEPENDENCYPART_ARC
(8,13),-2.3078 # DEPENDENCYPART_ARC
(8,14),-1.86721 # DEPENDENCYPART_ARC
