# _root_ The French group has an agreement giving it the right to buy all the shares outstanding , and this could be completed within a few months , a BSN spokeswoman said .
#goldHeads=3,3,4,31,6,4,6,7,10,7,10,11,15,15,12,15,4,4,20,18,20,21,22,26,26,23,4,30,30,31,0,31,
#predictedHeads=3,3,4,31,6,4,6,7,10,7,10,11,15,15,12,15,4,4,20,18,20,21,22,26,26,23,31,30,30,31,0,31,
(0,4),-0.836928 # DEPENDENCYPART_ARC
(0,31),4.04168 # DEPENDENCYPART_ARC
(1,6),-2.7614 # DEPENDENCYPART_ARC
(2,1),-0.918268 # DEPENDENCYPART_ARC
(2,6),-2.22245 # DEPENDENCYPART_ARC
(2,7),-2.0903 # DEPENDENCYPART_ARC
(3,1),1.3297 # DEPENDENCYPART_ARC
(3,2),1.47765 # DEPENDENCYPART_ARC
(3,4),-1.11274 # DEPENDENCYPART_ARC
(3,6),-1.88444 # DEPENDENCYPART_ARC
(3,7),-1.69265 # DEPENDENCYPART_ARC
(3,11),-2.09334 # DEPENDENCYPART_ARC
(4,1),-1.42418 # DEPENDENCYPART_ARC
(4,2),-1.07317 # DEPENDENCYPART_ARC
(4,3),0.734992 # DEPENDENCYPART_ARC
(4,5),-0.706609 # DEPENDENCYPART_ARC
(4,6),0.291032 # DEPENDENCYPART_ARC
(4,7),-0.684142 # DEPENDENCYPART_ARC
(4,8),-1.25148 # DEPENDENCYPART_ARC
(4,10),-1.27032 # DEPENDENCYPART_ARC
(4,11),-1.60399 # DEPENDENCYPART_ARC
(4,12),-1.85893 # DEPENDENCYPART_ARC
(4,15),-2.01406 # DEPENDENCYPART_ARC
(4,17),-1.24444 # DEPENDENCYPART_ARC
(4,18),-1.30904 # DEPENDENCYPART_ARC
(4,20),-1.12528 # DEPENDENCYPART_ARC
(4,23),-2.01996 # DEPENDENCYPART_ARC
(4,32),0.413913 # DEPENDENCYPART_ARC
(5,6),-1.08327 # DEPENDENCYPART_ARC
(5,7),-1.67981 # DEPENDENCYPART_ARC
(5,8),-2.21226 # DEPENDENCYPART_ARC
(5,10),-2.32918 # DEPENDENCYPART_ARC
(5,11),-2.13999 # DEPENDENCYPART_ARC
(6,1),-1.87514 # DEPENDENCYPART_ARC
(6,2),-1.24294 # DEPENDENCYPART_ARC
(6,3),-1.33748 # DEPENDENCYPART_ARC
(6,4),-1.40429 # DEPENDENCYPART_ARC
(6,5),1.40086 # DEPENDENCYPART_ARC
(6,7),0.146535 # DEPENDENCYPART_ARC
(6,8),-1.45618 # DEPENDENCYPART_ARC
(6,10),-1.48505 # DEPENDENCYPART_ARC
(6,11),-1.15574 # DEPENDENCYPART_ARC
(6,17),-1.68403 # DEPENDENCYPART_ARC
(6,18),-1.4041 # DEPENDENCYPART_ARC
(7,3),-1.60366 # DEPENDENCYPART_ARC
(7,4),-1.55067 # DEPENDENCYPART_ARC
(7,5),-1.55307 # DEPENDENCYPART_ARC
(7,6),-0.767902 # DEPENDENCYPART_ARC
(7,8),0.595917 # DEPENDENCYPART_ARC
(7,9),-1.26248 # DEPENDENCYPART_ARC
(7,10),0.262263 # DEPENDENCYPART_ARC
(7,11),-0.0703361 # DEPENDENCYPART_ARC
(7,12),-1.04586 # DEPENDENCYPART_ARC
(7,13),-2.03979 # DEPENDENCYPART_ARC
(7,15),-1.27923 # DEPENDENCYPART_ARC
(7,16),-1.59321 # DEPENDENCYPART_ARC
(7,17),-1.17524 # DEPENDENCYPART_ARC
(7,18),-1.61049 # DEPENDENCYPART_ARC
(7,20),-1.63425 # DEPENDENCYPART_ARC
(7,21),-2.20079 # DEPENDENCYPART_ARC
(7,22),-1.83202 # DEPENDENCYPART_ARC
(7,23),-1.79908 # DEPENDENCYPART_ARC
(7,26),-2.2703 # DEPENDENCYPART_ARC
(7,27),-1.55946 # DEPENDENCYPART_ARC
(8,7),-1.68379 # DEPENDENCYPART_ARC
(8,9),-1.0196 # DEPENDENCYPART_ARC
(8,10),-1.63846 # DEPENDENCYPART_ARC
(8,11),-1.3335 # DEPENDENCYPART_ARC
(9,8),-1.39168 # DEPENDENCYPART_ARC
(9,11),-2.27418 # DEPENDENCYPART_ARC
(10,5),-1.79829 # DEPENDENCYPART_ARC
(10,6),-1.95962 # DEPENDENCYPART_ARC
(10,7),-1.99753 # DEPENDENCYPART_ARC
(10,8),-1.45759 # DEPENDENCYPART_ARC
(10,9),1.14607 # DEPENDENCYPART_ARC
(10,11),0.60849 # DEPENDENCYPART_ARC
(10,12),-0.785594 # DEPENDENCYPART_ARC
(10,13),-1.95892 # DEPENDENCYPART_ARC
(10,15),-1.56513 # DEPENDENCYPART_ARC
(10,16),-1.90039 # DEPENDENCYPART_ARC
(10,17),-1.35686 # DEPENDENCYPART_ARC
(10,18),-0.940439 # DEPENDENCYPART_ARC
(10,20),-1.64498 # DEPENDENCYPART_ARC
(10,22),-2.60552 # DEPENDENCYPART_ARC
(10,27),-1.49554 # DEPENDENCYPART_ARC
(10,30),-2.77009 # DEPENDENCYPART_ARC
(11,3),-2.27728 # DEPENDENCYPART_ARC
(11,6),-2.23701 # DEPENDENCYPART_ARC
(11,7),-2.15946 # DEPENDENCYPART_ARC
(11,8),-2.14188 # DEPENDENCYPART_ARC
(11,9),-1.865 # DEPENDENCYPART_ARC
(11,10),-1.49533 # DEPENDENCYPART_ARC
(11,12),1.90718 # DEPENDENCYPART_ARC
(11,13),-1.35334 # DEPENDENCYPART_ARC
(11,15),-1.01517 # DEPENDENCYPART_ARC
(11,18),-1.83789 # DEPENDENCYPART_ARC
(11,21),-2.36042 # DEPENDENCYPART_ARC
(12,3),-2.06649 # DEPENDENCYPART_ARC
(12,8),-2.22377 # DEPENDENCYPART_ARC
(12,9),-1.58592 # DEPENDENCYPART_ARC
(12,10),-1.69419 # DEPENDENCYPART_ARC
(12,13),-0.589548 # DEPENDENCYPART_ARC
(12,14),-1.4597 # DEPENDENCYPART_ARC
(12,15),-0.0209975 # DEPENDENCYPART_ARC
(12,16),-1.14187 # DEPENDENCYPART_ARC
(12,17),-1.30418 # DEPENDENCYPART_ARC
(12,18),-1.31207 # DEPENDENCYPART_ARC
(12,19),-2.14887 # DEPENDENCYPART_ARC
(12,20),-1.61154 # DEPENDENCYPART_ARC
(12,21),-1.67098 # DEPENDENCYPART_ARC
(12,22),-1.56813 # DEPENDENCYPART_ARC
(12,23),-0.797273 # DEPENDENCYPART_ARC
(12,26),-1.60052 # DEPENDENCYPART_ARC
(12,27),-1.76941 # DEPENDENCYPART_ARC
(12,30),-2.43895 # DEPENDENCYPART_ARC
(12,32),-2.04751 # DEPENDENCYPART_ARC
(13,14),-1.43065 # DEPENDENCYPART_ARC
(13,15),-1.51489 # DEPENDENCYPART_ARC
(13,16),-1.78849 # DEPENDENCYPART_ARC
(13,17),-1.48426 # DEPENDENCYPART_ARC
(13,18),-1.10747 # DEPENDENCYPART_ARC
(13,20),-1.54663 # DEPENDENCYPART_ARC
(13,22),-2.0156 # DEPENDENCYPART_ARC
(14,13),-1.4383 # DEPENDENCYPART_ARC
(15,10),-2.29452 # DEPENDENCYPART_ARC
(15,13),0.0317297 # DEPENDENCYPART_ARC
(15,14),1.29042 # DEPENDENCYPART_ARC
(15,16),0.056383 # DEPENDENCYPART_ARC
(15,17),-1.17474 # DEPENDENCYPART_ARC
(15,18),-0.842725 # DEPENDENCYPART_ARC
(15,19),-1.97662 # DEPENDENCYPART_ARC
(15,20),-1.03374 # DEPENDENCYPART_ARC
(15,21),-2.18954 # DEPENDENCYPART_ARC
(15,22),-1.50971 # DEPENDENCYPART_ARC
(15,23),-1.30347 # DEPENDENCYPART_ARC
(15,26),-2.16213 # DEPENDENCYPART_ARC
(15,27),-1.2583 # DEPENDENCYPART_ARC
(15,30),-2.87195 # DEPENDENCYPART_ARC
(16,13),-1.99534 # DEPENDENCYPART_ARC
(16,14),-1.49099 # DEPENDENCYPART_ARC
(16,15),-1.22719 # DEPENDENCYPART_ARC
(16,17),-1.10681 # DEPENDENCYPART_ARC
(16,18),-1.1648 # DEPENDENCYPART_ARC
(16,19),-2.41743 # DEPENDENCYPART_ARC
(16,20),-1.48428 # DEPENDENCYPART_ARC
(16,21),-2.37381 # DEPENDENCYPART_ARC
(16,23),-2.05493 # DEPENDENCYPART_ARC
(17,16),-2.12464 # DEPENDENCYPART_ARC
(18,19),-1.04866 # DEPENDENCYPART_ARC
(18,20),0.751785 # DEPENDENCYPART_ARC
(18,21),-0.912201 # DEPENDENCYPART_ARC
(18,22),-1.00113 # DEPENDENCYPART_ARC
(18,23),-1.61675 # DEPENDENCYPART_ARC
(18,26),-2.14264 # DEPENDENCYPART_ARC
(18,31),-0.672066 # DEPENDENCYPART_ARC
(19,20),-1.33914 # DEPENDENCYPART_ARC
(19,21),-1.86564 # DEPENDENCYPART_ARC
(20,3),-1.68568 # DEPENDENCYPART_ARC
(20,4),-1.89207 # DEPENDENCYPART_ARC
(20,5),-2.25241 # DEPENDENCYPART_ARC
(20,6),-1.30253 # DEPENDENCYPART_ARC
(20,7),-1.0953 # DEPENDENCYPART_ARC
(20,8),-2.32199 # DEPENDENCYPART_ARC
(20,10),-0.889476 # DEPENDENCYPART_ARC
(20,11),-1.74634 # DEPENDENCYPART_ARC
(20,13),-1.68871 # DEPENDENCYPART_ARC
(20,14),-1.68601 # DEPENDENCYPART_ARC
(20,15),-0.854463 # DEPENDENCYPART_ARC
(20,16),-1.65363 # DEPENDENCYPART_ARC
(20,17),-1.19642 # DEPENDENCYPART_ARC
(20,19),0.487719 # DEPENDENCYPART_ARC
(20,21),1.93734 # DEPENDENCYPART_ARC
(20,22),-0.816643 # DEPENDENCYPART_ARC
(20,23),-1.03913 # DEPENDENCYPART_ARC
(20,26),-2.01668 # DEPENDENCYPART_ARC
(20,27),-1.35013 # DEPENDENCYPART_ARC
(20,30),-2.29286 # DEPENDENCYPART_ARC
(20,32),-0.585286 # DEPENDENCYPART_ARC
(21,15),-1.50372 # DEPENDENCYPART_ARC
(21,16),-1.81103 # DEPENDENCYPART_ARC
(21,19),-1.45865 # DEPENDENCYPART_ARC
(21,22),1.3494 # DEPENDENCYPART_ARC
(21,23),-0.784881 # DEPENDENCYPART_ARC
(21,25),-1.74198 # DEPENDENCYPART_ARC
(21,26),-1.13239 # DEPENDENCYPART_ARC
(21,27),-1.50916 # DEPENDENCYPART_ARC
(21,30),-2.23425 # DEPENDENCYPART_ARC
(22,19),-1.73208 # DEPENDENCYPART_ARC
(22,23),0.919327 # DEPENDENCYPART_ARC
(22,24),-1.70514 # DEPENDENCYPART_ARC
(22,25),-1.35226 # DEPENDENCYPART_ARC
(22,26),-1.18664 # DEPENDENCYPART_ARC
(22,27),-1.41193 # DEPENDENCYPART_ARC
(22,30),-1.49645 # DEPENDENCYPART_ARC
(23,19),-2.26345 # DEPENDENCYPART_ARC
(23,24),-1.13449 # DEPENDENCYPART_ARC
(23,25),-0.971671 # DEPENDENCYPART_ARC
(23,26),0.570959 # DEPENDENCYPART_ARC
(23,27),-1.39666 # DEPENDENCYPART_ARC
(23,30),-1.80509 # DEPENDENCYPART_ARC
(23,31),-0.732974 # DEPENDENCYPART_ARC
(24,25),-1.60732 # DEPENDENCYPART_ARC
(25,24),-0.165689 # DEPENDENCYPART_ARC
(25,30),-2.1455 # DEPENDENCYPART_ARC
(26,13),-2.95974 # DEPENDENCYPART_ARC
(26,16),-2.06485 # DEPENDENCYPART_ARC
(26,19),-2.39376 # DEPENDENCYPART_ARC
(26,22),-1.22102 # DEPENDENCYPART_ARC
(26,24),0.891174 # DEPENDENCYPART_ARC
(26,25),1.72161 # DEPENDENCYPART_ARC
(26,27),-1.00162 # DEPENDENCYPART_ARC
(26,29),-2.02488 # DEPENDENCYPART_ARC
(26,30),-1.98636 # DEPENDENCYPART_ARC
(26,31),-1.58884 # DEPENDENCYPART_ARC
(28,29),-1.52619 # DEPENDENCYPART_ARC
(29,28),-0.981375 # DEPENDENCYPART_ARC
(30,24),-0.857698 # DEPENDENCYPART_ARC
(30,25),-0.764618 # DEPENDENCYPART_ARC
(30,26),-1.22284 # DEPENDENCYPART_ARC
(30,28),1.22705 # DEPENDENCYPART_ARC
(30,29),1.35607 # DEPENDENCYPART_ARC
(31,3),-2.5299 # DEPENDENCYPART_ARC
(31,4),0.578802 # DEPENDENCYPART_ARC
(31,6),-2.49419 # DEPENDENCYPART_ARC
(31,7),-2.76526 # DEPENDENCYPART_ARC
(31,8),-3.47862 # DEPENDENCYPART_ARC
