# _root_ But yesterday , Manhattan Cable announced it will launch Showtime on Nov. 1 to over 230,000 subscribers .
#goldHeads=6,6,6,5,6,0,8,6,8,9,9,11,12,9,17,15,14,6,
#predictedHeads=6,6,6,5,6,0,8,6,8,9,9,11,12,9,17,15,14,6,
(0,1),-2.29372 # DEPENDENCYPART_ARC
(0,2),-2.49524 # DEPENDENCYPART_ARC
(0,5),-3.34005 # DEPENDENCYPART_ARC
(0,6),-1.39831 # DEPENDENCYPART_ARC
(0,8),-2.56484 # DEPENDENCYPART_ARC
(0,9),-2.42926 # DEPENDENCYPART_ARC
(1,2),-0.308528 # DEPENDENCYPART_ARC
(1,3),-1.71242 # DEPENDENCYPART_ARC
(1,5),-2.92004 # DEPENDENCYPART_ARC
(1,6),-2.44773 # DEPENDENCYPART_ARC
(1,8),-3.04709 # DEPENDENCYPART_ARC
(1,18),-1.02587 # DEPENDENCYPART_ARC
(2,1),-0.346239 # DEPENDENCYPART_ARC
(2,3),-0.0686436 # DEPENDENCYPART_ARC
(2,4),-1.26852 # DEPENDENCYPART_ARC
(2,5),-1.72651 # DEPENDENCYPART_ARC
(2,6),-2.01947 # DEPENDENCYPART_ARC
(2,8),-2.06608 # DEPENDENCYPART_ARC
(2,10),-1.84101 # DEPENDENCYPART_ARC
(2,11),-1.89351 # DEPENDENCYPART_ARC
(2,12),-1.88833 # DEPENDENCYPART_ARC
(2,13),-2.65655 # DEPENDENCYPART_ARC
(2,14),-2.38922 # DEPENDENCYPART_ARC
(2,17),-1.99334 # DEPENDENCYPART_ARC
(2,18),-2.32804 # DEPENDENCYPART_ARC
(4,1),-2.42779 # DEPENDENCYPART_ARC
(4,2),-2.08678 # DEPENDENCYPART_ARC
(4,3),-1.13134 # DEPENDENCYPART_ARC
(4,5),-0.699554 # DEPENDENCYPART_ARC
(4,6),-1.0707 # DEPENDENCYPART_ARC
(4,7),-1.80452 # DEPENDENCYPART_ARC
(4,8),-1.51945 # DEPENDENCYPART_ARC
(5,1),-1.74474 # DEPENDENCYPART_ARC
(5,2),-1.84741 # DEPENDENCYPART_ARC
(5,3),-1.34017 # DEPENDENCYPART_ARC
(5,4),1.57137 # DEPENDENCYPART_ARC
(5,6),-0.477878 # DEPENDENCYPART_ARC
(5,7),-1.49864 # DEPENDENCYPART_ARC
(5,8),-1.29948 # DEPENDENCYPART_ARC
(5,9),-1.61372 # DEPENDENCYPART_ARC
(5,10),-1.40933 # DEPENDENCYPART_ARC
(5,11),-1.27521 # DEPENDENCYPART_ARC
(5,18),-1.61974 # DEPENDENCYPART_ARC
(6,1),-1.14114 # DEPENDENCYPART_ARC
(6,2),-1.45878 # DEPENDENCYPART_ARC
(6,3),-0.506409 # DEPENDENCYPART_ARC
(6,4),-0.370169 # DEPENDENCYPART_ARC
(6,5),1.04056 # DEPENDENCYPART_ARC
