# _root_ The sales are being dragged down by a glut of 1989 vehicles , said Joel Pitcoff , a Ford analyst .
#goldHeads=2,3,14,3,4,5,5,9,7,9,12,10,14,0,16,14,16,20,20,16,14,
#predictedHeads=2,3,14,3,4,5,5,9,7,9,12,10,14,0,16,14,16,20,20,16,14,
(0,2),-2.10151 # DEPENDENCYPART_ARC
(0,3),-1.47143 # DEPENDENCYPART_ARC
(0,4),-2.5091 # DEPENDENCYPART_ARC
(0,5),-2.72118 # DEPENDENCYPART_ARC
(0,14),-1.53388 # DEPENDENCYPART_ARC
(1,3),-1.2368 # DEPENDENCYPART_ARC
(1,4),-1.62589 # DEPENDENCYPART_ARC
(2,1),1.24848 # DEPENDENCYPART_ARC
(2,3),-0.207491 # DEPENDENCYPART_ARC
(2,4),-1.02962 # DEPENDENCYPART_ARC
(2,5),-1.28079 # DEPENDENCYPART_ARC
(2,7),-1.02628 # DEPENDENCYPART_ARC
(2,10),-1.33292 # DEPENDENCYPART_ARC
(2,17),-2.06184 # DEPENDENCYPART_ARC
(2,21),-2.39885 # DEPENDENCYPART_ARC
(3,1),-0.663998 # DEPENDENCYPART_ARC
(3,2),0.90558 # DEPENDENCYPART_ARC
(3,4),1.22259 # DEPENDENCYPART_ARC
(3,5),-0.0691059 # DEPENDENCYPART_ARC
(3,6),-0.943954 # DEPENDENCYPART_ARC
(3,7),-1.21383 # DEPENDENCYPART_ARC
(3,9),-1.53035 # DEPENDENCYPART_ARC
(3,12),-1.83208 # DEPENDENCYPART_ARC
(3,13),-1.74625 # DEPENDENCYPART_ARC
(3,14),-2.40427 # DEPENDENCYPART_ARC
(3,17),-2.40411 # DEPENDENCYPART_ARC
(3,21),-0.705311 # DEPENDENCYPART_ARC
(4,2),-1.09874 # DEPENDENCYPART_ARC
(4,3),-0.925676 # DEPENDENCYPART_ARC
(4,5),0.932641 # DEPENDENCYPART_ARC
(4,6),-0.793859 # DEPENDENCYPART_ARC
(4,7),-1.01164 # DEPENDENCYPART_ARC
(4,9),-1.26677 # DEPENDENCYPART_ARC
(4,10),-1.62625 # DEPENDENCYPART_ARC
(4,12),-1.8131 # DEPENDENCYPART_ARC
(4,13),-1.46386 # DEPENDENCYPART_ARC
(4,14),-2.39285 # DEPENDENCYPART_ARC
(4,17),-2.1827 # DEPENDENCYPART_ARC
(4,21),-1.74603 # DEPENDENCYPART_ARC
(5,1),-0.981207 # DEPENDENCYPART_ARC
(5,2),-0.619057 # DEPENDENCYPART_ARC
(5,3),-1.25434 # DEPENDENCYPART_ARC
(5,4),-0.0820717 # DEPENDENCYPART_ARC
