# _root_ Across the country , many people took yesterday 's events in stride , while remaining generally uneasy about the stock market in general .
#goldHeads=7,3,1,7,6,7,0,10,8,7,7,11,7,7,14,17,15,17,21,21,18,21,22,7,
#predictedHeads=7,3,1,7,6,7,0,10,8,7,7,11,7,7,14,17,15,17,21,21,18,21,22,7,
(0,1),-3.75855 # DEPENDENCYPART_ARC
(0,3),-3.76428 # DEPENDENCYPART_ARC
(0,6),-3.64291 # DEPENDENCYPART_ARC
(0,7),-1.53232 # DEPENDENCYPART_ARC
(1,2),-1.25691 # DEPENDENCYPART_ARC
(1,3),1.10866 # DEPENDENCYPART_ARC
(1,4),-1.39205 # DEPENDENCYPART_ARC
(1,5),-1.97522 # DEPENDENCYPART_ARC
(1,6),-1.063 # DEPENDENCYPART_ARC
(1,7),-0.0104006 # DEPENDENCYPART_ARC
(1,9),-2.84318 # DEPENDENCYPART_ARC
(1,10),-2.17822 # DEPENDENCYPART_ARC
(1,11),-1.39287 # DEPENDENCYPART_ARC
(1,13),-1.69635 # DEPENDENCYPART_ARC
(1,24),-3.29711 # DEPENDENCYPART_ARC
(2,1),-1.66526 # DEPENDENCYPART_ARC
(3,1),-1.47017 # DEPENDENCYPART_ARC
(3,2),1.45466 # DEPENDENCYPART_ARC
(3,4),-0.785894 # DEPENDENCYPART_ARC
(3,5),-1.35321 # DEPENDENCYPART_ARC
(3,6),-1.58519 # DEPENDENCYPART_ARC
(3,7),-1.36364 # DEPENDENCYPART_ARC
(3,8),-2.1018 # DEPENDENCYPART_ARC
(3,9),-2.13184 # DEPENDENCYPART_ARC
(3,10),-2.47638 # DEPENDENCYPART_ARC
(3,11),-2.0905 # DEPENDENCYPART_ARC
(3,12),-2.53219 # DEPENDENCYPART_ARC
(3,13),-1.65071 # DEPENDENCYPART_ARC
(3,15),-2.66448 # DEPENDENCYPART_ARC
(3,24),-2.70602 # DEPENDENCYPART_ARC
(5,1),-1.92794 # DEPENDENCYPART_ARC
(5,3),-1.77776 # DEPENDENCYPART_ARC
(5,4),-1.32882 # DEPENDENCYPART_ARC
(5,6),-0.72526 # DEPENDENCYPART_ARC
(5,8),-1.55786 # DEPENDENCYPART_ARC
(5,9),-2.16996 # DEPENDENCYPART_ARC
(5,10),-1.79871 # DEPENDENCYPART_ARC
(5,11),-1.60878 # DEPENDENCYPART_ARC
(5,14),-2.10369 # DEPENDENCYPART_ARC
(6,1),-1.95657 # DEPENDENCYPART_ARC
(6,2),-0.353097 # DEPENDENCYPART_ARC
(6,3),-0.98308 # DEPENDENCYPART_ARC
(6,4),-0.961682 # DEPENDENCYPART_ARC
(6,5),1.58159 # DEPENDENCYPART_ARC
(6,7),-0.725316 # DEPENDENCYPART_ARC
(6,8),-1.43786 # DEPENDENCYPART_ARC
(6,9),-1.20898 # DEPENDENCYPART_ARC
(6,10),-1.93148 # DEPENDENCYPART_ARC
(6,11),-1.23612 # DEPENDENCYPART_ARC
(6,13),-1.85208 # DEPENDENCYPART_ARC
(6,14),-2.06597 # DEPENDENCYPART_ARC
(6,15),-1.76292 # DEPENDENCYPART_ARC
(6,18),-1.87262 # DEPENDENCYPART_ARC
(6,24),-3.07419 # DEPENDENCYPART_ARC
(7,1),-0.0246379 # DEPENDENCYPART_ARC
(7,2),-1.29852 # DEPENDENCYPART_ARC
(7,3),-0.160962 # DEPENDENCYPART_ARC
(7,4),0.568775 # DEPENDENCYPART_ARC
(7,5),-0.212918 # DEPENDENCYPART_ARC
(7,6),1.58918 # DEPENDENCYPART_ARC
(7,8),1.48913 # DEPENDENCYPART_ARC
(7,9),-0.205057 # DEPENDENCYPART_ARC
(7,10),-0.0437553 # DEPENDENCYPART_ARC
(7,11),0.378271 # DEPENDENCYPART_ARC
(7,12),-0.616643 # DEPENDENCYPART_ARC
(7,13),-0.0314685 # DEPENDENCYPART_ARC
(7,14),0.164219 # DEPENDENCYPART_ARC
(7,15),-0.801711 # DEPENDENCYPART_ARC
(7,16),-1.28585 # DEPENDENCYPART_ARC
(7,17),-1.57483 # DEPENDENCYPART_ARC
(7,18),-1.3475 # DEPENDENCYPART_ARC
(7,21),-2.1794 # DEPENDENCYPART_ARC
(7,22),-1.18634 # DEPENDENCYPART_ARC
(7,24),0.123008 # DEPENDENCYPART_ARC
(8,5),-2.18544 # DEPENDENCYPART_ARC
(8,6),-1.89942 # DEPENDENCYPART_ARC
(8,9),1.48267 # DEPENDENCYPART_ARC
(8,10),-1.23094 # DEPENDENCYPART_ARC
(8,11),-1.26179 # DEPENDENCYPART_ARC
(8,12),-1.68253 # DEPENDENCYPART_ARC
(8,13),-1.80776 # DEPENDENCYPART_ARC
(8,14),-2.06242 # DEPENDENCYPART_ARC
(8,15),-1.82956 # DEPENDENCYPART_ARC
(8,16),-1.99054 # DEPENDENCYPART_ARC
(8,17),-2.02587 # DEPENDENCYPART_ARC
(8,18),-2.17557 # DEPENDENCYPART_ARC
(8,24),-2.44525 # DEPENDENCYPART_ARC
(9,1),-2.30426 # DEPENDENCYPART_ARC
(9,6),-1.99133 # DEPENDENCYPART_ARC
(9,10),-1.80707 # DEPENDENCYPART_ARC
(10,1),-2.42786 # DEPENDENCYPART_ARC
(10,2),-2.18295 # DEPENDENCYPART_ARC
(10,3),-1.71109 # DEPENDENCYPART_ARC
(10,4),-2.59233 # DEPENDENCYPART_ARC
(10,5),-1.18467 # DEPENDENCYPART_ARC
(10,6),-1.08668 # DEPENDENCYPART_ARC
(10,7),-1.59061 # DEPENDENCYPART_ARC
(10,8),0.436508 # DEPENDENCYPART_ARC
(10,9),-0.412416 # DEPENDENCYPART_ARC
(10,11),0.364916 # DEPENDENCYPART_ARC
(10,12),-0.995016 # DEPENDENCYPART_ARC
(10,13),-1.25852 # DEPENDENCYPART_ARC
(10,14),-1.33105 # DEPENDENCYPART_ARC
(10,15),-1.44705 # DEPENDENCYPART_ARC
(10,16),-1.55176 # DEPENDENCYPART_ARC
(10,17),-1.97248 # DEPENDENCYPART_ARC
(10,18),-1.27668 # DEPENDENCYPART_ARC
(10,21),-2.64712 # DEPENDENCYPART_ARC
(10,22),-1.81677 # DEPENDENCYPART_ARC
(10,24),-2.47058 # DEPENDENCYPART_ARC
(11,1),-1.93366 # DEPENDENCYPART_ARC
(11,9),-1.81772 # DEPENDENCYPART_ARC
(11,10),-1.35832 # DEPENDENCYPART_ARC
(11,12),2.0143 # DEPENDENCYPART_ARC
(11,13),-1.38656 # DEPENDENCYPART_ARC
(11,14),-1.66045 # DEPENDENCYPART_ARC
(11,15),-1.23518 # DEPENDENCYPART_ARC
(11,16),-2.10358 # DEPENDENCYPART_ARC
(11,17),-2.4119 # DEPENDENCYPART_ARC
(12,8),-1.50011 # DEPENDENCYPART_ARC
(12,10),-1.54652 # DEPENDENCYPART_ARC
(12,13),-1.03793 # DEPENDENCYPART_ARC
(12,14),-1.46685 # DEPENDENCYPART_ARC
(12,15),-1.75239 # DEPENDENCYPART_ARC
(12,16),-1.90281 # DEPENDENCYPART_ARC
(12,17),-2.09782 # DEPENDENCYPART_ARC
(12,18),-1.82314 # DEPENDENCYPART_ARC
(12,21),-2.21594 # DEPENDENCYPART_ARC
(12,22),-2.56395 # DEPENDENCYPART_ARC
(12,24),-2.54251 # DEPENDENCYPART_ARC
(14,11),-1.73991 # DEPENDENCYPART_ARC
(14,12),-2.43186 # DEPENDENCYPART_ARC
(14,13),-1.65418 # DEPENDENCYPART_ARC
(14,15),1.22239 # DEPENDENCYPART_ARC
