# _root_ The offer , which also includes common and preferred stock purchase rights , was to expire last night at midnight .
#goldHeads=2,14,2,6,6,2,12,7,8,12,12,6,2,0,14,15,18,16,16,19,14,
#predictedHeads=2,14,2,6,6,2,12,7,8,12,12,6,2,0,14,15,18,16,16,19,14,
(0,2),-3.40706 # DEPENDENCYPART_ARC
(0,6),-1.19438 # DEPENDENCYPART_ARC
(0,14),-1.26817 # DEPENDENCYPART_ARC
(2,1),1.82723 # DEPENDENCYPART_ARC
(2,3),0.116652 # DEPENDENCYPART_ARC
(2,4),-1.65314 # DEPENDENCYPART_ARC
(2,5),-1.48797 # DEPENDENCYPART_ARC
(2,6),-0.675741 # DEPENDENCYPART_ARC
(2,7),-1.84737 # DEPENDENCYPART_ARC
(2,8),-1.51378 # DEPENDENCYPART_ARC
(2,9),-2.0751 # DEPENDENCYPART_ARC
(2,10),-2.28089 # DEPENDENCYPART_ARC
(2,11),-2.26797 # DEPENDENCYPART_ARC
(2,12),-1.79235 # DEPENDENCYPART_ARC
(2,13),0.428793 # DEPENDENCYPART_ARC
(2,14),-1.72261 # DEPENDENCYPART_ARC
(2,15),-2.14421 # DEPENDENCYPART_ARC
(2,18),-3.4599 # DEPENDENCYPART_ARC
(2,19),-2.53905 # DEPENDENCYPART_ARC
(2,21),-2.32147 # DEPENDENCYPART_ARC
(4,2),-2.41917 # DEPENDENCYPART_ARC
(4,3),-1.67711 # DEPENDENCYPART_ARC
(4,5),-1.3833 # DEPENDENCYPART_ARC
(4,6),-1.21383 # DEPENDENCYPART_ARC
(4,7),-2.15842 # DEPENDENCYPART_ARC
(4,8),-1.90151 # DEPENDENCYPART_ARC
(4,14),-2.36901 # DEPENDENCYPART_ARC
(5,2),-2.47089 # DEPENDENCYPART_ARC
(5,3),-2.36453 # DEPENDENCYPART_ARC
(5,4),-1.84666 # DEPENDENCYPART_ARC
(5,6),-0.869188 # DEPENDENCYPART_ARC
(5,7),-1.95913 # DEPENDENCYPART_ARC
(5,8),-1.90223 # DEPENDENCYPART_ARC
(6,1),-2.02091 # DEPENDENCYPART_ARC
(6,2),-0.988797 # DEPENDENCYPART_ARC
(6,3),-1.01923 # DEPENDENCYPART_ARC
(6,4),0.796854 # DEPENDENCYPART_ARC
(6,5),0.497663 # DEPENDENCYPART_ARC
(6,7),0.129216 # DEPENDENCYPART_ARC
(6,8),-0.160245 # DEPENDENCYPART_ARC
(6,9),-0.873134 # DEPENDENCYPART_ARC
(6,10),-0.922121 # DEPENDENCYPART_ARC
(6,11),-1.05382 # DEPENDENCYPART_ARC
(6,12),-1.31745 # DEPENDENCYPART_ARC
(6,13),-1.30939 # DEPENDENCYPART_ARC
(6,14),-1.27232 # DEPENDENCYPART_ARC
(6,15),-1.52032 # DEPENDENCYPART_ARC
(6,18),-2.43484 # DEPENDENCYPART_ARC
(6,19),-1.57129 # DEPENDENCYPART_ARC
(6,21),-0.319862 # DEPENDENCYPART_ARC
(7,2),-2.20115 # DEPENDENCYPART_ARC
(7,3),-2.2541 # DEPENDENCYPART_ARC
(7,4),-1.60034 # DEPENDENCYPART_ARC
(7,5),-1.10455 # DEPENDENCYPART_ARC
(7,6),-1.02078 # DEPENDENCYPART_ARC
(7,8),0.566962 # DEPENDENCYPART_ARC
(7,9),-0.849439 # DEPENDENCYPART_ARC
(7,10),-1.54704 # DEPENDENCYPART_ARC
(7,12),-1.92596 # DEPENDENCYPART_ARC
(7,13),-1.17248 # DEPENDENCYPART_ARC
(7,14),-1.44069 # DEPENDENCYPART_ARC
(7,15),-1.81493 # DEPENDENCYPART_ARC
(7,21),-2.14279 # DEPENDENCYPART_ARC
(8,4),-2.14326 # DEPENDENCYPART_ARC
(8,5),-2.34655 # DEPENDENCYPART_ARC
(8,6),-2.06968 # DEPENDENCYPART_ARC
(8,7),-1.65145 # DEPENDENCYPART_ARC
(8,9),1.16228 # DEPENDENCYPART_ARC
(8,10),-0.247616 # DEPENDENCYPART_ARC
(8,11),-0.930407 # DEPENDENCYPART_ARC
(8,12),-1.15107 # DEPENDENCYPART_ARC
(8,13),-1.13265 # DEPENDENCYPART_ARC
(8,14),-0.684516 # DEPENDENCYPART_ARC
