# _root_ Mr. Carpenter , a former consulting-firm executive who has a love for `` task forces , '' says he has done a `` complete rethink '' of Kidder in recent months .
#goldHeads=2,18,2,7,7,7,2,9,7,11,9,11,12,15,12,2,2,0,20,18,20,25,25,25,21,25,25,27,21,31,29,18,
#predictedHeads=2,18,2,7,7,7,2,9,7,11,9,11,15,15,12,18,18,0,20,18,20,25,25,25,21,25,25,27,21,31,29,18,
(0,2),-2.44081 # DEPENDENCYPART_ARC
(0,9),-2.36561 # DEPENDENCYPART_ARC
(0,18),-0.0984504 # DEPENDENCYPART_ARC
(0,20),-2.3931 # DEPENDENCYPART_ARC
(0,21),-2.50723 # DEPENDENCYPART_ARC
(1,2),-0.869883 # DEPENDENCYPART_ARC
(1,3),-1.7759 # DEPENDENCYPART_ARC
(1,6),-2.18166 # DEPENDENCYPART_ARC
(1,7),-2.3184 # DEPENDENCYPART_ARC
(1,9),-2.09975 # DEPENDENCYPART_ARC
(1,11),-2.40591 # DEPENDENCYPART_ARC
(1,16),-2.31847 # DEPENDENCYPART_ARC
(2,1),1.79605 # DEPENDENCYPART_ARC
(2,3),0.262386 # DEPENDENCYPART_ARC
(2,5),-1.94098 # DEPENDENCYPART_ARC
(2,6),-1.81707 # DEPENDENCYPART_ARC
(2,7),-1.84071 # DEPENDENCYPART_ARC
(2,9),-2.01429 # DEPENDENCYPART_ARC
(2,11),-2.02246 # DEPENDENCYPART_ARC
(2,12),-2.46079 # DEPENDENCYPART_ARC
(2,13),-2.39958 # DEPENDENCYPART_ARC
(2,15),-2.15415 # DEPENDENCYPART_ARC
(2,16),-1.40412 # DEPENDENCYPART_ARC
(2,17),-1.49378 # DEPENDENCYPART_ARC
(2,18),-2.51077 # DEPENDENCYPART_ARC
(2,20),-2.4077 # DEPENDENCYPART_ARC
(2,23),-2.06983 # DEPENDENCYPART_ARC
(2,25),-2.14888 # DEPENDENCYPART_ARC
(2,26),-1.14759 # DEPENDENCYPART_ARC
(2,32),-2.66678 # DEPENDENCYPART_ARC
(4,3),0.0219807 # DEPENDENCYPART_ARC
(4,5),-0.556379 # DEPENDENCYPART_ARC
(4,6),-1.23636 # DEPENDENCYPART_ARC
(5,2),-1.56811 # DEPENDENCYPART_ARC
(5,3),-1.31649 # DEPENDENCYPART_ARC
(5,4),-0.0148324 # DEPENDENCYPART_ARC
(5,6),-0.358962 # DEPENDENCYPART_ARC
(5,9),-1.20279 # DEPENDENCYPART_ARC
(6,2),-2.67869 # DEPENDENCYPART_ARC
(6,3),-2.40601 # DEPENDENCYPART_ARC
(6,4),-0.802192 # DEPENDENCYPART_ARC
(6,5),0.132643 # DEPENDENCYPART_ARC
(6,7),-0.656153 # DEPENDENCYPART_ARC
(6,9),-0.925439 # DEPENDENCYPART_ARC
(6,11),-2.04555 # DEPENDENCYPART_ARC
(6,12),-1.65281 # DEPENDENCYPART_ARC
(6,13),-1.93643 # DEPENDENCYPART_ARC
(6,15),-2.18959 # DEPENDENCYPART_ARC
(7,1),-1.5831 # DEPENDENCYPART_ARC
(7,2),-1.7155 # DEPENDENCYPART_ARC
(7,3),-1.56436 # DEPENDENCYPART_ARC
(7,4),-0.4727 # DEPENDENCYPART_ARC
(7,5),0.219906 # DEPENDENCYPART_ARC
(7,6),1.75786 # DEPENDENCYPART_ARC
(7,9),-0.412681 # DEPENDENCYPART_ARC
