# _root_ Great Northern Nekoosa reacted coolly to Georgia-Pacific 's takeover bid of $ 58 a share , or $ 3.19 billion , though the suitor said all terms are negotiable .
#goldHeads=3,3,4,0,4,4,10,7,10,6,10,13,17,15,13,17,11,17,18,18,17,25,24,25,4,27,28,25,28,4,
#predictedHeads=3,3,4,0,4,4,10,7,10,6,10,13,17,15,13,17,11,17,18,18,4,25,24,25,4,27,28,25,28,4,
(0,3),-2.75648 # DEPENDENCYPART_ARC
(0,4),-1.7134 # DEPENDENCYPART_ARC
(0,6),-2.66959 # DEPENDENCYPART_ARC
(0,25),0.596681 # DEPENDENCYPART_ARC
(0,28),-1.80308 # DEPENDENCYPART_ARC
(1,2),-0.542891 # DEPENDENCYPART_ARC
(1,3),-1.47784 # DEPENDENCYPART_ARC
(1,4),-1.0307 # DEPENDENCYPART_ARC
(2,1),0.136202 # DEPENDENCYPART_ARC
(2,3),-0.663189 # DEPENDENCYPART_ARC
(2,4),-1.1166 # DEPENDENCYPART_ARC
(2,5),-1.69449 # DEPENDENCYPART_ARC
(2,8),-2.04698 # DEPENDENCYPART_ARC
(3,1),0.569391 # DEPENDENCYPART_ARC
(3,2),1.59776 # DEPENDENCYPART_ARC
(3,4),-0.328366 # DEPENDENCYPART_ARC
(3,5),-1.35931 # DEPENDENCYPART_ARC
(3,8),-1.49892 # DEPENDENCYPART_ARC
(3,30),-2.35064 # DEPENDENCYPART_ARC
(4,1),-0.550182 # DEPENDENCYPART_ARC
(4,2),-0.596882 # DEPENDENCYPART_ARC
(4,3),0.648012 # DEPENDENCYPART_ARC
(4,5),0.869786 # DEPENDENCYPART_ARC
(4,6),-0.304139 # DEPENDENCYPART_ARC
(4,7),-0.440231 # DEPENDENCYPART_ARC
(4,9),-0.691021 # DEPENDENCYPART_ARC
(4,10),-0.586376 # DEPENDENCYPART_ARC
(4,11),-0.843234 # DEPENDENCYPART_ARC
(4,12),-0.987198 # DEPENDENCYPART_ARC
(4,15),-1.14305 # DEPENDENCYPART_ARC
(4,16),-0.916836 # DEPENDENCYPART_ARC
(4,17),-1.13242 # DEPENDENCYPART_ARC
(4,21),-1.18997 # DEPENDENCYPART_ARC
(4,22),-1.48476 # DEPENDENCYPART_ARC
(4,25),-1.90237 # DEPENDENCYPART_ARC
(4,28),-1.52702 # DEPENDENCYPART_ARC
(4,30),-0.172852 # DEPENDENCYPART_ARC
(5,1),-1.68533 # DEPENDENCYPART_ARC
(5,2),-1.61096 # DEPENDENCYPART_ARC
(5,3),-1.63932 # DEPENDENCYPART_ARC
(5,6),-0.0527547 # DEPENDENCYPART_ARC
(5,7),-0.912058 # DEPENDENCYPART_ARC
(5,9),-1.29506 # DEPENDENCYPART_ARC
(5,10),-1.38366 # DEPENDENCYPART_ARC
(5,11),-1.63408 # DEPENDENCYPART_ARC
(6,5),-0.0816238 # DEPENDENCYPART_ARC
(6,7),0.402247 # DEPENDENCYPART_ARC
(6,9),-1.13824 # DEPENDENCYPART_ARC
(6,10),-1.24959 # DEPENDENCYPART_ARC
(6,11),-1.63962 # DEPENDENCYPART_ARC
(6,15),-2.04973 # DEPENDENCYPART_ARC
(6,17),-1.62661 # DEPENDENCYPART_ARC
(7,1),-1.9095 # DEPENDENCYPART_ARC
(7,2),-1.43497 # DEPENDENCYPART_ARC
(7,3),-1.748 # DEPENDENCYPART_ARC
(7,4),-1.86969 # DEPENDENCYPART_ARC
(7,5),-1.04468 # DEPENDENCYPART_ARC
(7,8),1.05521 # DEPENDENCYPART_ARC
(7,9),-0.82842 # DEPENDENCYPART_ARC
(7,10),-1.01816 # DEPENDENCYPART_ARC
(7,11),-1.04189 # DEPENDENCYPART_ARC
(7,12),-1.19039 # DEPENDENCYPART_ARC
(7,13),-1.45364 # DEPENDENCYPART_ARC
(7,16),-1.38757 # DEPENDENCYPART_ARC
(7,21),-1.35316 # DEPENDENCYPART_ARC
(9,3),-2.54663 # DEPENDENCYPART_ARC
(9,4),-2.13231 # DEPENDENCYPART_ARC
(9,5),-1.78853 # DEPENDENCYPART_ARC
(9,6),-1.91951 # DEPENDENCYPART_ARC
(9,7),-0.616843 # DEPENDENCYPART_ARC
(9,8),-0.652892 # DEPENDENCYPART_ARC
(9,10),-0.482986 # DEPENDENCYPART_ARC
(9,11),-1.13058 # DEPENDENCYPART_ARC
(9,12),-1.52607 # DEPENDENCYPART_ARC
(9,13),-1.82531 # DEPENDENCYPART_ARC
(10,1),-1.07696 # DEPENDENCYPART_ARC
(10,2),-1.12347 # DEPENDENCYPART_ARC
(10,3),-1.7137 # DEPENDENCYPART_ARC
(10,4),-1.55391 # DEPENDENCYPART_ARC
(10,5),-1.19349 # DEPENDENCYPART_ARC
(10,6),-1.50361 # DEPENDENCYPART_ARC
(10,7),-0.112601 # DEPENDENCYPART_ARC
(10,8),-0.86444 # DEPENDENCYPART_ARC
(10,9),1.82335 # DEPENDENCYPART_ARC
(10,11),0.36068 # DEPENDENCYPART_ARC
(10,12),-1.0536 # DEPENDENCYPART_ARC
(10,13),-1.2293 # DEPENDENCYPART_ARC
(10,14),-1.48417 # DEPENDENCYPART_ARC
(10,15),-1.25446 # DEPENDENCYPART_ARC
(10,16),-1.20497 # DEPENDENCYPART_ARC
(10,17),-1.30226 # DEPENDENCYPART_ARC
(10,19),-2.15429 # DEPENDENCYPART_ARC
(10,20),-2.19494 # DEPENDENCYPART_ARC
(10,21),-1.38669 # DEPENDENCYPART_ARC
(10,22),-1.5698 # DEPENDENCYPART_ARC
(10,25),-1.89567 # DEPENDENCYPART_ARC
(10,27),-1.54328 # DEPENDENCYPART_ARC
(10,28),-2.57777 # DEPENDENCYPART_ARC
(10,29),-1.70136 # DEPENDENCYPART_ARC
(10,30),-1.74759 # DEPENDENCYPART_ARC
(11,6),-1.84096 # DEPENDENCYPART_ARC
