# _root_ `` For all intents and purposes , an agreement appears to have been achieved , '' he said .
#goldHeads=18,10,4,2,4,5,10,9,10,18,10,11,12,13,18,18,18,0,18,
#predictedHeads=18,10,4,2,4,5,10,9,10,18,10,11,12,13,18,18,18,0,18,
(0,10),-2.18296 # DEPENDENCYPART_ARC
(0,18),1.94734 # DEPENDENCYPART_ARC
(1,2),-2.5977 # DEPENDENCYPART_ARC
(1,4),-3.21931 # DEPENDENCYPART_ARC
(2,1),-1.77647 # DEPENDENCYPART_ARC
(2,3),-0.653863 # DEPENDENCYPART_ARC
(2,4),0.87371 # DEPENDENCYPART_ARC
(2,5),-1.0816 # DEPENDENCYPART_ARC
(2,6),-0.411001 # DEPENDENCYPART_ARC
(2,7),-1.43085 # DEPENDENCYPART_ARC
(2,9),-1.98954 # DEPENDENCYPART_ARC
(2,10),-1.20062 # DEPENDENCYPART_ARC
(2,11),-1.39493 # DEPENDENCYPART_ARC
(2,12),-2.08854 # DEPENDENCYPART_ARC
(2,13),-2.0205 # DEPENDENCYPART_ARC
(2,15),-1.41196 # DEPENDENCYPART_ARC
(2,16),-1.5715 # DEPENDENCYPART_ARC
(2,19),-2.08683 # DEPENDENCYPART_ARC
(3,5),-1.01632 # DEPENDENCYPART_ARC
(3,6),-2.14121 # DEPENDENCYPART_ARC
(3,7),-1.643 # DEPENDENCYPART_ARC
(3,10),-1.63598 # DEPENDENCYPART_ARC
(4,1),-1.72901 # DEPENDENCYPART_ARC
(4,2),-1.51814 # DEPENDENCYPART_ARC
(4,3),1.37991 # DEPENDENCYPART_ARC
(4,5),1.32409 # DEPENDENCYPART_ARC
(4,6),-0.625189 # DEPENDENCYPART_ARC
(4,7),-0.873561 # DEPENDENCYPART_ARC
(4,8),-1.84088 # DEPENDENCYPART_ARC
(4,9),-1.53781 # DEPENDENCYPART_ARC
(4,10),-0.901543 # DEPENDENCYPART_ARC
(4,11),-1.20703 # DEPENDENCYPART_ARC
(4,13),-1.69339 # DEPENDENCYPART_ARC
(4,14),-1.77556 # DEPENDENCYPART_ARC
(4,15),-1.17953 # DEPENDENCYPART_ARC
(4,16),-1.28887 # DEPENDENCYPART_ARC
(4,18),-1.88657 # DEPENDENCYPART_ARC
(5,6),1.83093 # DEPENDENCYPART_ARC
(5,7),-0.997769 # DEPENDENCYPART_ARC
(5,9),-1.29452 # DEPENDENCYPART_ARC
(5,10),-0.91221 # DEPENDENCYPART_ARC
(5,11),-1.76565 # DEPENDENCYPART_ARC
(5,13),-2.09261 # DEPENDENCYPART_ARC
(6,1),-2.95155 # DEPENDENCYPART_ARC
(6,3),-1.36741 # DEPENDENCYPART_ARC
(6,4),-1.65167 # DEPENDENCYPART_ARC
(6,7),-0.858242 # DEPENDENCYPART_ARC
(6,8),-2.1294 # DEPENDENCYPART_ARC
(6,9),-1.73979 # DEPENDENCYPART_ARC
(6,10),-1.50819 # DEPENDENCYPART_ARC
(6,11),-1.63453 # DEPENDENCYPART_ARC
(6,13),-2.39858 # DEPENDENCYPART_ARC
(6,14),-2.51281 # DEPENDENCYPART_ARC
(6,15),-1.4551 # DEPENDENCYPART_ARC
(6,16),-1.81738 # DEPENDENCYPART_ARC
(8,10),-1.03554 # DEPENDENCYPART_ARC
(8,11),-1.81897 # DEPENDENCYPART_ARC
(9,2),-2.16121 # DEPENDENCYPART_ARC
(9,4),-2.0659 # DEPENDENCYPART_ARC
(9,6),-1.64529 # DEPENDENCYPART_ARC
(9,7),-1.48079 # DEPENDENCYPART_ARC
(9,8),1.13209 # DEPENDENCYPART_ARC
(9,10),-0.25352 # DEPENDENCYPART_ARC
(9,11),-0.329095 # DEPENDENCYPART_ARC
(9,13),-1.35283 # DEPENDENCYPART_ARC
(9,14),-1.54035 # DEPENDENCYPART_ARC
(9,15),-1.12441 # DEPENDENCYPART_ARC
(9,16),-1.25104 # DEPENDENCYPART_ARC
(9,18),-1.5631 # DEPENDENCYPART_ARC
(10,1),-0.987059 # DEPENDENCYPART_ARC
(10,2),-1.25743 # DEPENDENCYPART_ARC
(10,3),-2.04381 # DEPENDENCYPART_ARC
(10,4),-1.72635 # DEPENDENCYPART_ARC
(10,5),-1.5064 # DEPENDENCYPART_ARC
(10,6),-1.81453 # DEPENDENCYPART_ARC
(10,7),0.296352 # DEPENDENCYPART_ARC
(10,8),-0.943207 # DEPENDENCYPART_ARC
(10,9),1.02135 # DEPENDENCYPART_ARC
(10,11),0.813803 # DEPENDENCYPART_ARC
(10,12),-0.247081 # DEPENDENCYPART_ARC
(10,13),-0.782771 # DEPENDENCYPART_ARC
(10,14),-1.22694 # DEPENDENCYPART_ARC
(10,15),-1.40067 # DEPENDENCYPART_ARC
(10,16),-1.3042 # DEPENDENCYPART_ARC
(10,18),-1.54268 # DEPENDENCYPART_ARC
(10,19),-2.00685 # DEPENDENCYPART_ARC
(11,2),-2.11863 # DEPENDENCYPART_ARC
(11,4),-2.00792 # DEPENDENCYPART_ARC
