# _root_ But the Oct. 17 temblor put a halt to much nonessential building , and heavy rains last week slowed the rest , freeing construction workers for earthquake repairs .
#goldHeads=14,5,5,3,6,14,8,6,6,12,12,9,14,0,16,19,18,16,14,21,19,14,14,25,23,23,28,26,14,
#predictedHeads=14,5,5,3,6,14,8,6,6,12,12,9,14,0,16,19,18,19,14,21,19,19,19,25,23,23,28,26,14,
(0,1),-2.31002 # DEPENDENCYPART_ARC
(0,3),-2.52944 # DEPENDENCYPART_ARC
(0,5),-2.92291 # DEPENDENCYPART_ARC
(0,6),-1.19604 # DEPENDENCYPART_ARC
(0,9),-2.63885 # DEPENDENCYPART_ARC
(0,14),-2.53123 # DEPENDENCYPART_ARC
(0,19),-1.93463 # DEPENDENCYPART_ARC
(0,23),-1.81975 # DEPENDENCYPART_ARC
(1,2),-1.04155 # DEPENDENCYPART_ARC
(1,3),-1.51065 # DEPENDENCYPART_ARC
(1,4),-2.38641 # DEPENDENCYPART_ARC
(1,5),-2.42669 # DEPENDENCYPART_ARC
(1,6),-2.03971 # DEPENDENCYPART_ARC
(1,29),-0.28627 # DEPENDENCYPART_ARC
(2,4),-1.32355 # DEPENDENCYPART_ARC
(3,1),-1.72804 # DEPENDENCYPART_ARC
(3,2),-0.206708 # DEPENDENCYPART_ARC
(3,4),0.137666 # DEPENDENCYPART_ARC
(3,5),-1.19405 # DEPENDENCYPART_ARC
(3,6),-0.926036 # DEPENDENCYPART_ARC
(3,8),-1.61507 # DEPENDENCYPART_ARC
(3,12),-1.70984 # DEPENDENCYPART_ARC
(3,13),-2.07872 # DEPENDENCYPART_ARC
(3,14),-1.21952 # DEPENDENCYPART_ARC
(3,19),-2.41395 # DEPENDENCYPART_ARC
(3,22),-2.14048 # DEPENDENCYPART_ARC
(3,29),-2.1047 # DEPENDENCYPART_ARC
(4,1),-1.2714 # DEPENDENCYPART_ARC
(4,2),-1.19301 # DEPENDENCYPART_ARC
(4,3),-0.341025 # DEPENDENCYPART_ARC
(4,5),-0.527971 # DEPENDENCYPART_ARC
(4,6),-1.13852 # DEPENDENCYPART_ARC
(4,8),-1.82563 # DEPENDENCYPART_ARC
(5,1),-0.742867 # DEPENDENCYPART_ARC
(5,2),-0.223613 # DEPENDENCYPART_ARC
(5,3),-0.049787 # DEPENDENCYPART_ARC
(5,4),1.2577 # DEPENDENCYPART_ARC
(5,6),-0.169308 # DEPENDENCYPART_ARC
(5,8),-1.22908 # DEPENDENCYPART_ARC
(5,9),-1.51564 # DEPENDENCYPART_ARC
(5,10),-1.6157 # DEPENDENCYPART_ARC
(5,12),-1.51332 # DEPENDENCYPART_ARC
(6,1),-0.851289 # DEPENDENCYPART_ARC
(6,2),-1.15473 # DEPENDENCYPART_ARC
(6,3),-0.623658 # DEPENDENCYPART_ARC
(6,4),-0.835431 # DEPENDENCYPART_ARC
(6,5),0.560591 # DEPENDENCYPART_ARC
(6,7),0.212407 # DEPENDENCYPART_ARC
(6,8),0.452278 # DEPENDENCYPART_ARC
(6,9),-0.433037 # DEPENDENCYPART_ARC
(6,10),-0.746217 # DEPENDENCYPART_ARC
(6,11),-0.897535 # DEPENDENCYPART_ARC
(6,12),-0.249574 # DEPENDENCYPART_ARC
(6,13),-0.854178 # DEPENDENCYPART_ARC
(6,14),-0.886759 # DEPENDENCYPART_ARC
(6,15),-1.59218 # DEPENDENCYPART_ARC
(6,16),-1.32453 # DEPENDENCYPART_ARC
(6,17),-1.5203 # DEPENDENCYPART_ARC
(6,18),-1.23743 # DEPENDENCYPART_ARC
(6,19),-1.81635 # DEPENDENCYPART_ARC
(6,21),-1.71519 # DEPENDENCYPART_ARC
(6,22),-1.71928 # DEPENDENCYPART_ARC
(6,23),-1.85206 # DEPENDENCYPART_ARC
(6,26),-1.47078 # DEPENDENCYPART_ARC
(6,29),-0.825808 # DEPENDENCYPART_ARC
(8,1),-1.52541 # DEPENDENCYPART_ARC
(8,2),-2.00774 # DEPENDENCYPART_ARC
(8,3),-1.65005 # DEPENDENCYPART_ARC
(8,4),-1.33177 # DEPENDENCYPART_ARC
(8,5),-1.39234 # DEPENDENCYPART_ARC
(8,6),-1.01409 # DEPENDENCYPART_ARC
(8,7),1.4532 # DEPENDENCYPART_ARC
(8,9),-0.0299563 # DEPENDENCYPART_ARC
(8,10),-1.21028 # DEPENDENCYPART_ARC
(8,11),-1.32734 # DEPENDENCYPART_ARC
(8,12),-1.50095 # DEPENDENCYPART_ARC
(8,13),-2.1036 # DEPENDENCYPART_ARC
(8,14),-1.25997 # DEPENDENCYPART_ARC
(8,15),-1.93932 # DEPENDENCYPART_ARC
(8,16),-1.78528 # DEPENDENCYPART_ARC
(8,17),-1.97428 # DEPENDENCYPART_ARC
(8,18),-1.7629 # DEPENDENCYPART_ARC
(8,19),-2.1746 # DEPENDENCYPART_ARC
(8,22),-2.24689 # DEPENDENCYPART_ARC
(8,23),-2.34429 # DEPENDENCYPART_ARC
(8,25),-2.02296 # DEPENDENCYPART_ARC
(8,26),-1.87467 # DEPENDENCYPART_ARC
(8,29),-1.73052 # DEPENDENCYPART_ARC
(9,8),-0.283917 # DEPENDENCYPART_ARC
(9,10),0.12803 # DEPENDENCYPART_ARC
(9,11),-0.743796 # DEPENDENCYPART_ARC
(9,12),-0.517799 # DEPENDENCYPART_ARC
(9,13),-1.04329 # DEPENDENCYPART_ARC
(9,14),-1.44307 # DEPENDENCYPART_ARC
(9,16),-1.66687 # DEPENDENCYPART_ARC
(9,18),-1.88184 # DEPENDENCYPART_ARC
(9,21),-2.67777 # DEPENDENCYPART_ARC
(10,5),-1.69119 # DEPENDENCYPART_ARC
(10,7),-1.53372 # DEPENDENCYPART_ARC
(10,8),-1.25091 # DEPENDENCYPART_ARC
(10,9),-0.272188 # DEPENDENCYPART_ARC
