# _root_ Laidlaw is 47%-controlled by Canadian Pacific Ltd. , a Montreal transportation , resources and industrial holding concern .
#goldHeads=2,0,4,2,6,4,6,6,11,11,6,11,11,13,17,17,14,2,
#predictedHeads=2,0,2,2,6,4,6,6,11,11,6,11,11,13,17,17,14,2,
(0,1),-3.22091 # DEPENDENCYPART_ARC
(0,2),-0.130164 # DEPENDENCYPART_ARC
(1,2),-0.728965 # DEPENDENCYPART_ARC
(1,3),-1.35124 # DEPENDENCYPART_ARC
(1,4),-1.55768 # DEPENDENCYPART_ARC
(1,6),-2.82262 # DEPENDENCYPART_ARC
(1,7),-2.82181 # DEPENDENCYPART_ARC
(1,8),-1.54589 # DEPENDENCYPART_ARC
(1,11),-3.17699 # DEPENDENCYPART_ARC
(1,12),-1.83979 # DEPENDENCYPART_ARC
(2,1),0.647465 # DEPENDENCYPART_ARC
(2,3),-0.172494 # DEPENDENCYPART_ARC
(2,4),-0.117698 # DEPENDENCYPART_ARC
(2,5),-1.44423 # DEPENDENCYPART_ARC
(2,6),-1.61492 # DEPENDENCYPART_ARC
(2,7),-1.56531 # DEPENDENCYPART_ARC
(2,8),-1.22234 # DEPENDENCYPART_ARC
(2,11),-2.05188 # DEPENDENCYPART_ARC
(2,12),-1.2536 # DEPENDENCYPART_ARC
(2,13),-2.19452 # DEPENDENCYPART_ARC
(2,14),-1.8941 # DEPENDENCYPART_ARC
(2,15),-2.19361 # DEPENDENCYPART_ARC
(2,16),-2.14302 # DEPENDENCYPART_ARC
(2,17),-2.5648 # DEPENDENCYPART_ARC
(2,18),0.0809749 # DEPENDENCYPART_ARC
(3,1),-2.19003 # DEPENDENCYPART_ARC
(3,2),-1.21789 # DEPENDENCYPART_ARC
(3,4),-0.586305 # DEPENDENCYPART_ARC
(3,5),-1.59473 # DEPENDENCYPART_ARC
(3,6),-1.80114 # DEPENDENCYPART_ARC
(3,7),-2.00935 # DEPENDENCYPART_ARC
(3,8),-1.2532 # DEPENDENCYPART_ARC
(3,11),-2.34817 # DEPENDENCYPART_ARC
(3,12),-1.27886 # DEPENDENCYPART_ARC
(3,14),-2.13788 # DEPENDENCYPART_ARC
(3,16),-2.22709 # DEPENDENCYPART_ARC
(4,1),-2.4305 # DEPENDENCYPART_ARC
(4,3),-1.76421 # DEPENDENCYPART_ARC
(4,5),-0.413841 # DEPENDENCYPART_ARC
(4,6),-0.807488 # DEPENDENCYPART_ARC
(4,7),-1.02448 # DEPENDENCYPART_ARC
(4,8),-1.54694 # DEPENDENCYPART_ARC
(4,10),-2.5705 # DEPENDENCYPART_ARC
(4,11),-1.82539 # DEPENDENCYPART_ARC
(4,12),-1.59423 # DEPENDENCYPART_ARC
(4,13),-2.60566 # DEPENDENCYPART_ARC
(4,14),-1.85614 # DEPENDENCYPART_ARC
(4,16),-2.74386 # DEPENDENCYPART_ARC
(4,18),-3.51606 # DEPENDENCYPART_ARC
(5,3),-3.02035 # DEPENDENCYPART_ARC
(5,4),-2.71887 # DEPENDENCYPART_ARC
(5,6),-1.83255 # DEPENDENCYPART_ARC
(5,7),-1.75298 # DEPENDENCYPART_ARC
(5,8),-1.40631 # DEPENDENCYPART_ARC
(5,11),-3.12186 # DEPENDENCYPART_ARC
(6,1),-2.12613 # DEPENDENCYPART_ARC
(6,3),-1.87148 # DEPENDENCYPART_ARC
(6,4),-1.88325 # DEPENDENCYPART_ARC
(6,5),0.551635 # DEPENDENCYPART_ARC
(6,7),0.832904 # DEPENDENCYPART_ARC
(6,8),-0.0711431 # DEPENDENCYPART_ARC
(6,10),-2.40465 # DEPENDENCYPART_ARC
(6,11),-1.10981 # DEPENDENCYPART_ARC
(6,12),-0.720732 # DEPENDENCYPART_ARC
(6,13),-2.00655 # DEPENDENCYPART_ARC
(6,14),-1.88435 # DEPENDENCYPART_ARC
(6,15),-2.13118 # DEPENDENCYPART_ARC
(6,16),-2.27608 # DEPENDENCYPART_ARC
