# _root_ Lawrence B. Seidman , 41 years old , was named chairman of this savings and loan institution .
#goldHeads=3,3,9,3,6,3,6,3,0,9,10,11,15,15,12,15,15,9,
#predictedHeads=3,3,9,3,6,7,3,3,0,9,10,11,15,15,12,15,15,9,
(0,3),-2.81257 # DEPENDENCYPART_ARC
(0,7),-3.10811 # DEPENDENCYPART_ARC
(0,9),-1.56451 # DEPENDENCYPART_ARC
(0,10),-2.32141 # DEPENDENCYPART_ARC
(0,11),-3.48283 # DEPENDENCYPART_ARC
(0,15),-2.09385 # DEPENDENCYPART_ARC
(1,2),-0.608709 # DEPENDENCYPART_ARC
(1,3),-1.64476 # DEPENDENCYPART_ARC
(1,4),-1.90194 # DEPENDENCYPART_ARC
(1,5),-2.40116 # DEPENDENCYPART_ARC
(1,6),-2.25927 # DEPENDENCYPART_ARC
(1,8),-2.16238 # DEPENDENCYPART_ARC
(1,9),-1.85133 # DEPENDENCYPART_ARC
(1,18),-2.12742 # DEPENDENCYPART_ARC
(2,1),0.163202 # DEPENDENCYPART_ARC
(2,3),-0.777321 # DEPENDENCYPART_ARC
(2,4),-1.79671 # DEPENDENCYPART_ARC
(2,5),-2.47885 # DEPENDENCYPART_ARC
(2,6),-2.29346 # DEPENDENCYPART_ARC
(2,7),-2.24859 # DEPENDENCYPART_ARC
(2,8),-2.17645 # DEPENDENCYPART_ARC
(2,9),-2.02197 # DEPENDENCYPART_ARC
(2,11),-2.29632 # DEPENDENCYPART_ARC
(3,1),0.645237 # DEPENDENCYPART_ARC
(3,2),1.54727 # DEPENDENCYPART_ARC
(3,4),0.221414 # DEPENDENCYPART_ARC
(3,5),-1.61966 # DEPENDENCYPART_ARC
(3,6),-1.64106 # DEPENDENCYPART_ARC
(3,7),-1.75842 # DEPENDENCYPART_ARC
(3,8),-1.41479 # DEPENDENCYPART_ARC
(3,9),-1.85307 # DEPENDENCYPART_ARC
(3,10),-2.30554 # DEPENDENCYPART_ARC
(3,11),-1.80203 # DEPENDENCYPART_ARC
(3,12),-2.03128 # DEPENDENCYPART_ARC
(3,15),-1.30607 # DEPENDENCYPART_ARC
(3,17),-1.96111 # DEPENDENCYPART_ARC
(3,18),-1.82528 # DEPENDENCYPART_ARC
(5,2),-1.55782 # DEPENDENCYPART_ARC
(5,3),-1.56226 # DEPENDENCYPART_ARC
(5,4),-0.0426127 # DEPENDENCYPART_ARC
(5,6),-0.450745 # DEPENDENCYPART_ARC
(5,7),-1.25126 # DEPENDENCYPART_ARC
(5,8),-1.40612 # DEPENDENCYPART_ARC
(6,1),-1.94817 # DEPENDENCYPART_ARC
(6,2),-1.91735 # DEPENDENCYPART_ARC
(6,3),-2.03907 # DEPENDENCYPART_ARC
(6,4),-1.27048 # DEPENDENCYPART_ARC
(6,5),0.723419 # DEPENDENCYPART_ARC
(6,7),-0.498897 # DEPENDENCYPART_ARC
