# _root_ Computers that once were the state of the art , The marvels bought three years ago , Are now obsolete .
#goldHeads=18,4,4,1,6,4,6,9,7,1,12,1,12,15,16,13,1,0,18,18,18,
#predictedHeads=18,4,4,1,6,4,6,9,7,1,12,1,12,15,16,13,1,0,18,18,18,
(0,1),-1.76604 # DEPENDENCYPART_ARC
(0,4),-2.22773 # DEPENDENCYPART_ARC
(0,13),-3.04976 # DEPENDENCYPART_ARC
(0,18),-2.30879 # DEPENDENCYPART_ARC
(1,3),-0.942603 # DEPENDENCYPART_ARC
(1,4),-0.607117 # DEPENDENCYPART_ARC
(1,6),-1.39393 # DEPENDENCYPART_ARC
(1,7),-1.35284 # DEPENDENCYPART_ARC
(1,9),-1.50562 # DEPENDENCYPART_ARC
(1,10),-1.5775 # DEPENDENCYPART_ARC
(1,12),-1.76842 # DEPENDENCYPART_ARC
(1,13),-2.27227 # DEPENDENCYPART_ARC
(1,15),-1.62339 # DEPENDENCYPART_ARC
(1,17),-1.73663 # DEPENDENCYPART_ARC
(1,18),-2.15409 # DEPENDENCYPART_ARC
(1,21),-2.21624 # DEPENDENCYPART_ARC
(3,1),-1.60038 # DEPENDENCYPART_ARC
(3,4),-0.300292 # DEPENDENCYPART_ARC
(3,6),-1.40684 # DEPENDENCYPART_ARC
(3,7),-1.48634 # DEPENDENCYPART_ARC
(4,1),-0.60825 # DEPENDENCYPART_ARC
(4,2),-0.209167 # DEPENDENCYPART_ARC
(4,3),0.926042 # DEPENDENCYPART_ARC
(4,5),0.144677 # DEPENDENCYPART_ARC
(4,6),0.53268 # DEPENDENCYPART_ARC
(4,7),-0.891723 # DEPENDENCYPART_ARC
(4,8),-1.12165 # DEPENDENCYPART_ARC
(4,9),-0.468103 # DEPENDENCYPART_ARC
(4,10),-1.12797 # DEPENDENCYPART_ARC
(4,12),-1.716 # DEPENDENCYPART_ARC
(4,13),-1.55442 # DEPENDENCYPART_ARC
(4,16),-2.22213 # DEPENDENCYPART_ARC
(4,17),-1.7615 # DEPENDENCYPART_ARC
(4,18),-1.26769 # DEPENDENCYPART_ARC
(4,19),-2.42763 # DEPENDENCYPART_ARC
(4,20),-1.27158 # DEPENDENCYPART_ARC
(4,21),-0.236848 # DEPENDENCYPART_ARC
(5,7),-1.16712 # DEPENDENCYPART_ARC
(6,1),-1.75827 # DEPENDENCYPART_ARC
(6,2),-1.74786 # DEPENDENCYPART_ARC
(6,3),-1.45099 # DEPENDENCYPART_ARC
(6,4),-1.09445 # DEPENDENCYPART_ARC
(6,5),1.1525 # DEPENDENCYPART_ARC
(6,7),0.465926 # DEPENDENCYPART_ARC
(6,8),-1.38871 # DEPENDENCYPART_ARC
(6,9),-1.29451 # DEPENDENCYPART_ARC
(6,10),-1.78288 # DEPENDENCYPART_ARC
(6,12),-1.68325 # DEPENDENCYPART_ARC
(6,13),-2.00829 # DEPENDENCYPART_ARC
(6,15),-1.71814 # DEPENDENCYPART_ARC
(6,16),-1.99877 # DEPENDENCYPART_ARC
(6,17),-1.9693 # DEPENDENCYPART_ARC
(6,18),-2.32914 # DEPENDENCYPART_ARC
(6,19),-1.5854 # DEPENDENCYPART_ARC
(6,20),-1.84849 # DEPENDENCYPART_ARC
(6,21),-2.01525 # DEPENDENCYPART_ARC
(7,2),-1.88152 # DEPENDENCYPART_ARC
(7,5),-1.56908 # DEPENDENCYPART_ARC
(7,6),-0.649454 # DEPENDENCYPART_ARC
(7,8),-0.0592438 # DEPENDENCYPART_ARC
(7,9),0.0701174 # DEPENDENCYPART_ARC
(7,10),-1.26542 # DEPENDENCYPART_ARC
(7,12),-1.75245 # DEPENDENCYPART_ARC
(7,15),-2.87386 # DEPENDENCYPART_ARC
(7,19),-1.85565 # DEPENDENCYPART_ARC
(9,1),-2.39343 # DEPENDENCYPART_ARC
(9,3),-1.95182 # DEPENDENCYPART_ARC
(9,4),-1.35396 # DEPENDENCYPART_ARC
(9,5),-1.52224 # DEPENDENCYPART_ARC
(9,6),-1.20501 # DEPENDENCYPART_ARC
(9,7),-0.9196 # DEPENDENCYPART_ARC
(9,8),1.21814 # DEPENDENCYPART_ARC
(9,10),-0.2675 # DEPENDENCYPART_ARC
(9,11),-1.82936 # DEPENDENCYPART_ARC
(9,12),-1.68391 # DEPENDENCYPART_ARC
(9,13),-1.9291 # DEPENDENCYPART_ARC
(9,14),-2.4807 # DEPENDENCYPART_ARC
(9,15),-1.7955 # DEPENDENCYPART_ARC
(9,16),-2.03995 # DEPENDENCYPART_ARC
