# _root_ `` The way the world is shaping up , the strategic buyer is going to be the rule and the financial buyer is going to be the exception , '' said one trader .
#goldHeads=31,3,19,5,6,3,6,7,19,12,12,13,19,13,16,14,18,16,31,22,22,23,19,23,26,24,28,26,31,31,0,33,31,31,
#predictedHeads=31,3,13,5,6,3,6,7,13,12,12,13,19,13,16,14,18,16,31,22,22,23,19,23,26,24,28,26,31,31,0,33,31,31,
(0,6),-1.30885 # DEPENDENCYPART_ARC
(0,13),-2.22849 # DEPENDENCYPART_ARC
(0,23),-2.22435 # DEPENDENCYPART_ARC
(0,31),0.786926 # DEPENDENCYPART_ARC
(2,3),-0.321904 # DEPENDENCYPART_ARC
(2,5),-1.47676 # DEPENDENCYPART_ARC
(3,1),-0.828726 # DEPENDENCYPART_ARC
(3,2),1.28042 # DEPENDENCYPART_ARC
(3,4),-0.418813 # DEPENDENCYPART_ARC
(3,5),-0.930925 # DEPENDENCYPART_ARC
(3,6),-0.480665 # DEPENDENCYPART_ARC
(3,7),-1.04257 # DEPENDENCYPART_ARC
(3,9),-1.67219 # DEPENDENCYPART_ARC
(3,12),-1.55592 # DEPENDENCYPART_ARC
(3,13),-1.94289 # DEPENDENCYPART_ARC
(3,19),-1.41681 # DEPENDENCYPART_ARC
(3,34),-3.03407 # DEPENDENCYPART_ARC
(4,6),-1.2022 # DEPENDENCYPART_ARC
(4,7),-1.60944 # DEPENDENCYPART_ARC
(5,1),-1.3126 # DEPENDENCYPART_ARC
(5,2),-0.942491 # DEPENDENCYPART_ARC
(5,3),-0.698598 # DEPENDENCYPART_ARC
(5,4),1.22332 # DEPENDENCYPART_ARC
(5,6),-0.53463 # DEPENDENCYPART_ARC
(5,7),-1.40681 # DEPENDENCYPART_ARC
(6,1),-0.966548 # DEPENDENCYPART_ARC
(6,2),-1.23175 # DEPENDENCYPART_ARC
(6,3),-0.253693 # DEPENDENCYPART_ARC
(6,4),-0.649626 # DEPENDENCYPART_ARC
(6,5),1.00039 # DEPENDENCYPART_ARC
(6,7),1.45973 # DEPENDENCYPART_ARC
(6,8),-0.859097 # DEPENDENCYPART_ARC
(6,9),-1.45718 # DEPENDENCYPART_ARC
(6,13),-2.07904 # DEPENDENCYPART_ARC
(6,14),-1.77876 # DEPENDENCYPART_ARC
(6,19),-1.16679 # DEPENDENCYPART_ARC
(6,30),-0.239644 # DEPENDENCYPART_ARC
(6,34),-2.21682 # DEPENDENCYPART_ARC
(7,3),-1.69104 # DEPENDENCYPART_ARC
(7,5),-1.66174 # DEPENDENCYPART_ARC
(7,6),-1.37923 # DEPENDENCYPART_ARC
(7,8),0.721171 # DEPENDENCYPART_ARC
(7,9),-0.892465 # DEPENDENCYPART_ARC
(7,10),-1.5991 # DEPENDENCYPART_ARC
(7,11),-1.53987 # DEPENDENCYPART_ARC
(7,12),-1.25194 # DEPENDENCYPART_ARC
(7,13),-1.39978 # DEPENDENCYPART_ARC
(7,14),-1.74703 # DEPENDENCYPART_ARC
(7,16),-1.77346 # DEPENDENCYPART_ARC
(7,19),-1.07135 # DEPENDENCYPART_ARC
(7,23),-1.73403 # DEPENDENCYPART_ARC
(7,24),-2.11634 # DEPENDENCYPART_ARC
(7,29),-2.31339 # DEPENDENCYPART_ARC
(7,30),-0.582984 # DEPENDENCYPART_ARC
(7,34),-2.22708 # DEPENDENCYPART_ARC
(8,7),0.318196 # DEPENDENCYPART_ARC
(8,12),-1.97767 # DEPENDENCYPART_ARC
(10,9),-0.0480189 # DEPENDENCYPART_ARC
