# _root_ `` It 's pure psychology , '' said William Au Yeung , an account executive for Drexel Burnham Lambert ( HK ) Ltd. in Hong Kong .
#goldHeads=8,3,8,5,3,8,8,0,11,11,8,11,15,15,11,15,19,19,16,21,19,21,19,19,26,24,8,
#predictedHeads=8,3,8,5,3,8,8,0,11,11,8,11,15,15,11,15,19,19,16,21,19,21,19,19,26,24,8,
(0,3),-1.69805 # DEPENDENCYPART_ARC
(0,8),1.01259 # DEPENDENCYPART_ARC
(1,2),-2.44462 # DEPENDENCYPART_ARC
(1,3),-2.4515 # DEPENDENCYPART_ARC
(2,1),-1.55655 # DEPENDENCYPART_ARC
(2,3),-0.687618 # DEPENDENCYPART_ARC
(2,5),-1.63356 # DEPENDENCYPART_ARC
(2,6),-1.48713 # DEPENDENCYPART_ARC
(2,8),-1.75606 # DEPENDENCYPART_ARC
(2,11),-2.81771 # DEPENDENCYPART_ARC
(2,12),-1.61454 # DEPENDENCYPART_ARC
(3,1),-0.883827 # DEPENDENCYPART_ARC
(3,2),1.33074 # DEPENDENCYPART_ARC
(3,4),0.217977 # DEPENDENCYPART_ARC
(3,5),-0.0905437 # DEPENDENCYPART_ARC
(3,6),-0.733708 # DEPENDENCYPART_ARC
(3,7),-1.30697 # DEPENDENCYPART_ARC
(3,8),-0.95702 # DEPENDENCYPART_ARC
(3,10),-2.52244 # DEPENDENCYPART_ARC
(3,11),-2.47675 # DEPENDENCYPART_ARC
(3,12),-2.53528 # DEPENDENCYPART_ARC
(3,15),-2.67608 # DEPENDENCYPART_ARC
(3,16),-1.88173 # DEPENDENCYPART_ARC
(3,22),-1.70283 # DEPENDENCYPART_ARC
(3,24),-2.4695 # DEPENDENCYPART_ARC
(3,27),-2.98936 # DEPENDENCYPART_ARC
(4,1),-1.68594 # DEPENDENCYPART_ARC
(4,2),-1.82039 # DEPENDENCYPART_ARC
(4,3),-1.21693 # DEPENDENCYPART_ARC
(4,5),-1.16335 # DEPENDENCYPART_ARC
(4,6),-1.9424 # DEPENDENCYPART_ARC
(4,7),-1.83207 # DEPENDENCYPART_ARC
(4,8),-1.74333 # DEPENDENCYPART_ARC
(5,1),-1.15081 # DEPENDENCYPART_ARC
(5,2),-1.37971 # DEPENDENCYPART_ARC
(5,3),-0.817682 # DEPENDENCYPART_ARC
(5,4),1.41085 # DEPENDENCYPART_ARC
(5,6),-0.82378 # DEPENDENCYPART_ARC
(5,7),-1.03775 # DEPENDENCYPART_ARC
(5,8),-1.24155 # DEPENDENCYPART_ARC
(5,9),-2.13968 # DEPENDENCYPART_ARC
