# _root_ ( Reliance floated a $ 357 million petrochemical company in 1988 that was , at the time , the largest public issue in Indian history . )
#goldHeads=3,3,0,9,9,5,5,9,3,3,10,13,9,13,13,17,15,13,22,22,22,13,22,25,23,3,3,
#predictedHeads=3,3,0,9,9,5,5,9,3,3,10,13,9,3,3,17,15,17,22,22,22,17,22,25,23,3,3,
(0,2),-2.32479 # DEPENDENCYPART_ARC
(0,3),-1.71763 # DEPENDENCYPART_ARC
(0,9),-3.04036 # DEPENDENCYPART_ARC
(0,13),-3.42362 # DEPENDENCYPART_ARC
(2,1),0.0410071 # DEPENDENCYPART_ARC
(2,3),0.0330431 # DEPENDENCYPART_ARC
(2,5),-1.14445 # DEPENDENCYPART_ARC
(2,6),-1.39014 # DEPENDENCYPART_ARC
(2,9),-1.26094 # DEPENDENCYPART_ARC
(2,10),-1.10114 # DEPENDENCYPART_ARC
(2,13),-1.10656 # DEPENDENCYPART_ARC
(2,14),-1.16902 # DEPENDENCYPART_ARC
(2,18),-1.26571 # DEPENDENCYPART_ARC
(2,26),-1.82469 # DEPENDENCYPART_ARC
(3,1),-0.342527 # DEPENDENCYPART_ARC
(3,2),0.615002 # DEPENDENCYPART_ARC
(3,4),0.309861 # DEPENDENCYPART_ARC
(3,5),-0.557454 # DEPENDENCYPART_ARC
(3,6),-0.795917 # DEPENDENCYPART_ARC
(3,7),-1.02111 # DEPENDENCYPART_ARC
(3,8),-0.378068 # DEPENDENCYPART_ARC
(3,9),-0.264276 # DEPENDENCYPART_ARC
(3,10),-0.410451 # DEPENDENCYPART_ARC
(3,13),-0.534771 # DEPENDENCYPART_ARC
(3,14),-0.676807 # DEPENDENCYPART_ARC
(3,15),-2.02923 # DEPENDENCYPART_ARC
(3,17),-2.23176 # DEPENDENCYPART_ARC
(3,18),-1.48023 # DEPENDENCYPART_ARC
(3,22),-1.40436 # DEPENDENCYPART_ARC
(3,23),-1.84688 # DEPENDENCYPART_ARC
(3,26),-0.319984 # DEPENDENCYPART_ARC
(3,27),-1.45917 # DEPENDENCYPART_ARC
(4,10),-1.1848 # DEPENDENCYPART_ARC
(5,4),0.134707 # DEPENDENCYPART_ARC
(5,6),0.901334 # DEPENDENCYPART_ARC
(5,7),0.503344 # DEPENDENCYPART_ARC
(5,8),-0.880741 # DEPENDENCYPART_ARC
(5,9),-1.05208 # DEPENDENCYPART_ARC
(5,10),-1.08062 # DEPENDENCYPART_ARC
(5,13),-0.874449 # DEPENDENCYPART_ARC
(5,14),-1.12689 # DEPENDENCYPART_ARC
(5,15),-1.89592 # DEPENDENCYPART_ARC
(5,17),-2.05589 # DEPENDENCYPART_ARC
(5,18),-1.67305 # DEPENDENCYPART_ARC
(5,21),-1.3273 # DEPENDENCYPART_ARC
(5,23),-2.09655 # DEPENDENCYPART_ARC
(5,26),-1.30285 # DEPENDENCYPART_ARC
(6,4),-1.16212 # DEPENDENCYPART_ARC
(6,5),-0.255551 # DEPENDENCYPART_ARC
(6,7),-0.520413 # DEPENDENCYPART_ARC
(6,8),-0.719845 # DEPENDENCYPART_ARC
(6,9),-1.11993 # DEPENDENCYPART_ARC
(6,10),-1.11223 # DEPENDENCYPART_ARC
(6,11),-1.52708 # DEPENDENCYPART_ARC
(6,13),-1.06357 # DEPENDENCYPART_ARC
(6,14),-1.3132 # DEPENDENCYPART_ARC
(6,15),-1.78782 # DEPENDENCYPART_ARC
(7,4),-1.33812 # DEPENDENCYPART_ARC
(7,5),-1.15077 # DEPENDENCYPART_ARC
(7,6),-0.0421009 # DEPENDENCYPART_ARC
(7,8),0.223254 # DEPENDENCYPART_ARC
(7,9),-0.970016 # DEPENDENCYPART_ARC
(7,10),-1.29067 # DEPENDENCYPART_ARC
(7,11),-1.66126 # DEPENDENCYPART_ARC
(8,1),-2.29446 # DEPENDENCYPART_ARC
(8,3),-2.01152 # DEPENDENCYPART_ARC
(8,4),-1.22219 # DEPENDENCYPART_ARC
(8,5),-1.62707 # DEPENDENCYPART_ARC
(8,6),-1.36725 # DEPENDENCYPART_ARC
(8,7),-0.155508 # DEPENDENCYPART_ARC
(8,9),-0.44868 # DEPENDENCYPART_ARC
(8,10),-1.08314 # DEPENDENCYPART_ARC
(8,11),-1.60738 # DEPENDENCYPART_ARC
(8,13),-0.950543 # DEPENDENCYPART_ARC
(8,14),-1.69649 # DEPENDENCYPART_ARC
(8,18),-1.90407 # DEPENDENCYPART_ARC
(8,22),-2.35411 # DEPENDENCYPART_ARC
(9,1),-1.10602 # DEPENDENCYPART_ARC
(9,2),-1.42244 # DEPENDENCYPART_ARC
(9,3),-1.00586 # DEPENDENCYPART_ARC
(9,4),0.251012 # DEPENDENCYPART_ARC
(9,5),-0.565339 # DEPENDENCYPART_ARC
(9,6),-0.703236 # DEPENDENCYPART_ARC
(9,7),0.219018 # DEPENDENCYPART_ARC
(9,8),2.03097 # DEPENDENCYPART_ARC
(9,10),-0.0123347 # DEPENDENCYPART_ARC
(9,11),-1.101 # DEPENDENCYPART_ARC
(9,13),-0.850679 # DEPENDENCYPART_ARC
(9,14),-1.5109 # DEPENDENCYPART_ARC
(9,15),-2.07979 # DEPENDENCYPART_ARC
(9,17),-1.97816 # DEPENDENCYPART_ARC
(9,18),-1.41421 # DEPENDENCYPART_ARC
(9,22),-1.87537 # DEPENDENCYPART_ARC
(9,26),-1.84573 # DEPENDENCYPART_ARC
(10,9),-0.486401 # DEPENDENCYPART_ARC
(10,11),0.147129 # DEPENDENCYPART_ARC
(10,12),-0.498855 # DEPENDENCYPART_ARC
(10,13),-1.09767 # DEPENDENCYPART_ARC
(10,15),-1.83336 # DEPENDENCYPART_ARC
