# _root_ `` Those shares which had posted gains on M&A speculation were dashed with cold water , but as far as major stocks are concerned , there is n't much impact . ''
#goldHeads=11,3,11,5,3,5,6,6,10,8,0,11,12,15,13,11,11,27,18,18,22,23,20,23,27,27,17,27,30,27,11,11,
#predictedHeads=11,3,11,5,3,5,6,7,10,8,0,11,12,15,13,11,11,27,18,18,22,23,20,23,27,27,17,27,30,27,11,11,
(0,3),-3.74241 # DEPENDENCYPART_ARC
(0,5),-2.6998 # DEPENDENCYPART_ARC
(0,6),-3.5372 # DEPENDENCYPART_ARC
(0,11),-2.4751 # DEPENDENCYPART_ARC
(0,12),-3.65724 # DEPENDENCYPART_ARC
(0,23),-3.51208 # DEPENDENCYPART_ARC
(0,27),-4.18746 # DEPENDENCYPART_ARC
(1,3),-2.60862 # DEPENDENCYPART_ARC
(2,1),-1.72271 # DEPENDENCYPART_ARC
(2,3),-0.787053 # DEPENDENCYPART_ARC
(2,4),-1.57043 # DEPENDENCYPART_ARC
(2,5),-0.675674 # DEPENDENCYPART_ARC
(2,6),-1.31312 # DEPENDENCYPART_ARC
(2,7),-1.95964 # DEPENDENCYPART_ARC
(2,8),-1.42811 # DEPENDENCYPART_ARC
(3,1),-1.4592 # DEPENDENCYPART_ARC
(3,2),1.0016 # DEPENDENCYPART_ARC
(3,4),-1.33603 # DEPENDENCYPART_ARC
(3,5),-0.0528624 # DEPENDENCYPART_ARC
(3,6),-1.3974 # DEPENDENCYPART_ARC
(3,7),-1.57871 # DEPENDENCYPART_ARC
(3,8),-1.07954 # DEPENDENCYPART_ARC
(3,11),-1.30648 # DEPENDENCYPART_ARC
(3,12),-2.1204 # DEPENDENCYPART_ARC
(3,13),-1.28298 # DEPENDENCYPART_ARC
(3,16),-1.68036 # DEPENDENCYPART_ARC
(3,23),-2.53306 # DEPENDENCYPART_ARC
(4,1),-1.9012 # DEPENDENCYPART_ARC
(4,2),-1.66795 # DEPENDENCYPART_ARC
(4,3),-1.31935 # DEPENDENCYPART_ARC
(4,5),-1.01501 # DEPENDENCYPART_ARC
(5,1),-1.53065 # DEPENDENCYPART_ARC
(5,2),-2.074 # DEPENDENCYPART_ARC
(5,3),-1.13947 # DEPENDENCYPART_ARC
(5,4),1.1367 # DEPENDENCYPART_ARC
(5,6),1.64124 # DEPENDENCYPART_ARC
(5,7),-0.276473 # DEPENDENCYPART_ARC
(5,8),-1.16344 # DEPENDENCYPART_ARC
(5,9),-1.83461 # DEPENDENCYPART_ARC
(5,10),-1.78968 # DEPENDENCYPART_ARC
(5,11),-1.16299 # DEPENDENCYPART_ARC
(5,12),-1.13244 # DEPENDENCYPART_ARC
(5,13),-2.27678 # DEPENDENCYPART_ARC
(5,15),-2.49403 # DEPENDENCYPART_ARC
(5,16),-1.69108 # DEPENDENCYPART_ARC
(5,17),-1.17147 # DEPENDENCYPART_ARC
(5,31),-1.81759 # DEPENDENCYPART_ARC
(5,32),-1.9377 # DEPENDENCYPART_ARC
(6,1),-1.84573 # DEPENDENCYPART_ARC
(6,2),-2.12037 # DEPENDENCYPART_ARC
(6,3),-1.30838 # DEPENDENCYPART_ARC
(6,4),-0.856251 # DEPENDENCYPART_ARC
(6,5),-1.20014 # DEPENDENCYPART_ARC
(6,7),0.326997 # DEPENDENCYPART_ARC
(6,8),-0.140807 # DEPENDENCYPART_ARC
(6,9),-0.97437 # DEPENDENCYPART_ARC
(6,10),-0.733058 # DEPENDENCYPART_ARC
(6,11),-1.14009 # DEPENDENCYPART_ARC
(6,12),-1.35456 # DEPENDENCYPART_ARC
(6,13),-1.00221 # DEPENDENCYPART_ARC
(6,15),-1.36958 # DEPENDENCYPART_ARC
(6,16),-1.07859 # DEPENDENCYPART_ARC
(6,17),-1.59223 # DEPENDENCYPART_ARC
(6,20),-1.47568 # DEPENDENCYPART_ARC
(6,25),-0.965783 # DEPENDENCYPART_ARC
(6,31),-1.93368 # DEPENDENCYPART_ARC
(7,1),-2.38814 # DEPENDENCYPART_ARC
(7,2),-1.02824 # DEPENDENCYPART_ARC
(7,3),-1.38349 # DEPENDENCYPART_ARC
(7,4),-1.18303 # DEPENDENCYPART_ARC
(7,5),-0.984174 # DEPENDENCYPART_ARC
(7,6),0.840833 # DEPENDENCYPART_ARC
(7,8),0.466255 # DEPENDENCYPART_ARC
