# _root_ The setback , in which Treasury bond prices plummeted , reflected a rebound in the stock market and profit-taking .
#goldHeads=2,11,2,9,4,8,8,9,2,2,0,13,11,13,17,17,14,13,18,11,
#predictedHeads=2,11,2,11,4,8,8,9,2,9,0,13,11,13,17,17,14,17,18,11,
(0,2),-3.42228 # DEPENDENCYPART_ARC
(0,8),-3.25973 # DEPENDENCYPART_ARC
(0,9),-1.5097 # DEPENDENCYPART_ARC
(0,11),-1.11865 # DEPENDENCYPART_ARC
(1,3),-2.73635 # DEPENDENCYPART_ARC
(1,4),-2.22009 # DEPENDENCYPART_ARC
(2,1),1.58834 # DEPENDENCYPART_ARC
(2,3),-1.06741 # DEPENDENCYPART_ARC
(2,4),-1.36351 # DEPENDENCYPART_ARC
(2,5),-2.29311 # DEPENDENCYPART_ARC
(2,6),-2.21798 # DEPENDENCYPART_ARC
(2,7),-2.1354 # DEPENDENCYPART_ARC
(2,8),-2.43196 # DEPENDENCYPART_ARC
(2,9),-1.449 # DEPENDENCYPART_ARC
(2,10),-0.681205 # DEPENDENCYPART_ARC
(2,11),-1.92619 # DEPENDENCYPART_ARC
(2,13),-3.51846 # DEPENDENCYPART_ARC
(2,14),-2.96742 # DEPENDENCYPART_ARC
(2,17),-3.03502 # DEPENDENCYPART_ARC
(2,18),-2.8591 # DEPENDENCYPART_ARC
(2,20),-2.79315 # DEPENDENCYPART_ARC
(3,2),-2.30204 # DEPENDENCYPART_ARC
(3,4),-1.87423 # DEPENDENCYPART_ARC
(4,2),-2.48124 # DEPENDENCYPART_ARC
(4,3),-1.55227 # DEPENDENCYPART_ARC
(4,5),2.10753 # DEPENDENCYPART_ARC
(4,6),-0.767784 # DEPENDENCYPART_ARC
(4,7),-0.966422 # DEPENDENCYPART_ARC
(4,8),-1.10602 # DEPENDENCYPART_ARC
(4,9),-0.403851 # DEPENDENCYPART_ARC
(4,10),-1.47528 # DEPENDENCYPART_ARC
(4,11),-1.5758 # DEPENDENCYPART_ARC
(4,14),-1.83641 # DEPENDENCYPART_ARC
(4,18),-2.20174 # DEPENDENCYPART_ARC
(4,20),-2.14875 # DEPENDENCYPART_ARC
(5,2),-3.12927 # DEPENDENCYPART_ARC
(5,3),-3.03735 # DEPENDENCYPART_ARC
(5,6),-1.65635 # DEPENDENCYPART_ARC
(5,8),-2.47021 # DEPENDENCYPART_ARC
(5,9),-2.1681 # DEPENDENCYPART_ARC
(5,11),-2.50378 # DEPENDENCYPART_ARC
(6,2),-3.54156 # DEPENDENCYPART_ARC
(6,3),-3.07306 # DEPENDENCYPART_ARC
(6,4),-2.67305 # DEPENDENCYPART_ARC
(6,5),-1.97381 # DEPENDENCYPART_ARC
(6,7),-1.51184 # DEPENDENCYPART_ARC
(6,9),-2.06247 # DEPENDENCYPART_ARC
(6,10),-1.73189 # DEPENDENCYPART_ARC
(6,11),-2.69897 # DEPENDENCYPART_ARC
(7,1),-2.57897 # DEPENDENCYPART_ARC
(7,2),-2.66221 # DEPENDENCYPART_ARC
(7,3),-2.64279 # DEPENDENCYPART_ARC
(7,4),-1.92867 # DEPENDENCYPART_ARC
(7,5),-0.929407 # DEPENDENCYPART_ARC
(7,6),-0.094515 # DEPENDENCYPART_ARC
(7,8),-0.911174 # DEPENDENCYPART_ARC
(7,9),-0.985133 # DEPENDENCYPART_ARC
(7,10),-1.37164 # DEPENDENCYPART_ARC
(7,11),-1.62576 # DEPENDENCYPART_ARC
(7,13),-2.56271 # DEPENDENCYPART_ARC
(7,14),-2.3433 # DEPENDENCYPART_ARC
(7,18),-2.12124 # DEPENDENCYPART_ARC
(8,1),-1.6724 # DEPENDENCYPART_ARC
(8,2),-1.48125 # DEPENDENCYPART_ARC
(8,3),-1.59764 # DEPENDENCYPART_ARC
(8,4),-1.37802 # DEPENDENCYPART_ARC
(8,5),-0.707063 # DEPENDENCYPART_ARC
(8,6),1.28907 # DEPENDENCYPART_ARC
(8,7),2.30843 # DEPENDENCYPART_ARC
(8,9),-1.08474 # DEPENDENCYPART_ARC
(8,10),-2.12373 # DEPENDENCYPART_ARC
(8,11),-1.86295 # DEPENDENCYPART_ARC
(8,13),-2.60547 # DEPENDENCYPART_ARC
(8,14),-2.01012 # DEPENDENCYPART_ARC
(8,18),-2.58581 # DEPENDENCYPART_ARC
(9,2),-1.28942 # DEPENDENCYPART_ARC
(9,3),-1.11422 # DEPENDENCYPART_ARC
(9,4),-1.25257 # DEPENDENCYPART_ARC
(9,5),-0.816 # DEPENDENCYPART_ARC
(9,6),-1.2757 # DEPENDENCYPART_ARC
(9,7),-0.843483 # DEPENDENCYPART_ARC
(9,8),0.728991 # DEPENDENCYPART_ARC
(9,10),0.567152 # DEPENDENCYPART_ARC
(9,11),0.238224 # DEPENDENCYPART_ARC
(9,13),-1.32873 # DEPENDENCYPART_ARC
(9,14),-1.14425 # DEPENDENCYPART_ARC
(9,17),-2.12127 # DEPENDENCYPART_ARC
(9,18),-1.80694 # DEPENDENCYPART_ARC
(9,19),-2.27874 # DEPENDENCYPART_ARC
(9,20),-1.3495 # DEPENDENCYPART_ARC
(10,11),-1.29455 # DEPENDENCYPART_ARC
(11,2),-1.18321 # DEPENDENCYPART_ARC
