# _root_ Slated for market by the end of the year , the paper `` could have been introduced a long time ago but the market was n't there then , '' says an Agfa spokesman .
#goldHeads=14,1,2,1,6,4,6,9,7,1,12,14,14,31,14,15,16,20,20,21,17,14,24,25,22,25,25,25,14,14,0,34,34,31,31,
#predictedHeads=31,1,2,1,6,4,6,9,7,14,12,14,14,31,14,15,16,20,20,17,17,14,24,25,22,25,25,27,31,31,0,34,34,31,31,
(0,1),-2.85757 # DEPENDENCYPART_ARC
(0,14),-2.83372 # DEPENDENCYPART_ARC
(0,25),-1.77113 # DEPENDENCYPART_ARC
(0,31),1.84788 # DEPENDENCYPART_ARC
(1,2),0.734679 # DEPENDENCYPART_ARC
(1,3),-0.862584 # DEPENDENCYPART_ARC
(1,4),0.115046 # DEPENDENCYPART_ARC
(1,6),-1.442 # DEPENDENCYPART_ARC
(1,7),-1.26428 # DEPENDENCYPART_ARC
(1,9),-1.52914 # DEPENDENCYPART_ARC
(1,10),-1.69711 # DEPENDENCYPART_ARC
(1,16),-2.78289 # DEPENDENCYPART_ARC
(1,35),-2.73612 # DEPENDENCYPART_ARC
(2,1),-1.28197 # DEPENDENCYPART_ARC
(2,3),1.3727 # DEPENDENCYPART_ARC
(2,4),-1.51061 # DEPENDENCYPART_ARC
(2,6),-1.12024 # DEPENDENCYPART_ARC
(2,7),-1.89854 # DEPENDENCYPART_ARC
(3,1),-1.2747 # DEPENDENCYPART_ARC
(3,2),-1.07749 # DEPENDENCYPART_ARC
(3,4),-0.134363 # DEPENDENCYPART_ARC
(3,6),-1.23581 # DEPENDENCYPART_ARC
(3,7),-1.45789 # DEPENDENCYPART_ARC
(3,9),-1.58954 # DEPENDENCYPART_ARC
(3,10),-1.79012 # DEPENDENCYPART_ARC
(3,14),-1.86874 # DEPENDENCYPART_ARC
(4,2),-1.55271 # DEPENDENCYPART_ARC
(4,3),-1.50155 # DEPENDENCYPART_ARC
(4,5),-1.35688 # DEPENDENCYPART_ARC
(4,6),0.984843 # DEPENDENCYPART_ARC
(4,7),-1.37023 # DEPENDENCYPART_ARC
(4,9),-0.671753 # DEPENDENCYPART_ARC
(4,10),-1.67279 # DEPENDENCYPART_ARC
(4,14),-1.89308 # DEPENDENCYPART_ARC
(6,1),-2.183 # DEPENDENCYPART_ARC
(6,2),-1.90557 # DEPENDENCYPART_ARC
(6,3),-1.9922 # DEPENDENCYPART_ARC
(6,4),-1.41266 # DEPENDENCYPART_ARC
(6,5),1.38081 # DEPENDENCYPART_ARC
(6,7),0.825946 # DEPENDENCYPART_ARC
(6,9),-0.785353 # DEPENDENCYPART_ARC
(6,10),-1.18401 # DEPENDENCYPART_ARC
(6,12),-1.74401 # DEPENDENCYPART_ARC
(6,13),-1.76161 # DEPENDENCYPART_ARC
(6,14),-1.24437 # DEPENDENCYPART_ARC
(6,16),-2.19311 # DEPENDENCYPART_ARC
(6,17),-2.30179 # DEPENDENCYPART_ARC
(6,20),-2.46949 # DEPENDENCYPART_ARC
(6,22),-1.5239 # DEPENDENCYPART_ARC
(6,35),-2.98475 # DEPENDENCYPART_ARC
(7,8),-1.16408 # DEPENDENCYPART_ARC
(7,9),1.38307 # DEPENDENCYPART_ARC
(7,10),-1.49331 # DEPENDENCYPART_ARC
(7,12),-1.13291 # DEPENDENCYPART_ARC
(7,14),-1.35211 # DEPENDENCYPART_ARC
(9,5),-2.24816 # DEPENDENCYPART_ARC
(9,8),1.61151 # DEPENDENCYPART_ARC
(9,10),-1.16075 # DEPENDENCYPART_ARC
(9,11),-2.24572 # DEPENDENCYPART_ARC
(9,12),-1.79302 # DEPENDENCYPART_ARC
(9,13),-1.96399 # DEPENDENCYPART_ARC
(9,14),-1.75553 # DEPENDENCYPART_ARC
(9,16),-2.45198 # DEPENDENCYPART_ARC
(9,17),-2.53525 # DEPENDENCYPART_ARC
(12,8),-1.30182 # DEPENDENCYPART_ARC
(12,9),-1.88858 # DEPENDENCYPART_ARC
(12,10),-1.44523 # DEPENDENCYPART_ARC
(12,11),1.07771 # DEPENDENCYPART_ARC
(12,13),-0.824495 # DEPENDENCYPART_ARC
(12,14),-0.933763 # DEPENDENCYPART_ARC
(12,15),-1.52431 # DEPENDENCYPART_ARC
(12,16),-1.38106 # DEPENDENCYPART_ARC
(12,17),-1.52335 # DEPENDENCYPART_ARC
(12,20),-2.01042 # DEPENDENCYPART_ARC
(12,21),-1.79448 # DEPENDENCYPART_ARC
(12,22),-1.16686 # DEPENDENCYPART_ARC
(12,24),-2.49571 # DEPENDENCYPART_ARC
(12,25),-2.03848 # DEPENDENCYPART_ARC
(12,29),-1.60005 # DEPENDENCYPART_ARC
(12,30),-1.55993 # DEPENDENCYPART_ARC
(12,34),-3.50518 # DEPENDENCYPART_ARC
(12,35),-2.75305 # DEPENDENCYPART_ARC
(13,11),-2.11157 # DEPENDENCYPART_ARC
(13,12),-1.52094 # DEPENDENCYPART_ARC
(13,14),-1.82388 # DEPENDENCYPART_ARC
(14,1),-1.78899 # DEPENDENCYPART_ARC
(14,2),-1.22759 # DEPENDENCYPART_ARC
(14,3),-1.12538 # DEPENDENCYPART_ARC
(14,4),-1.18236 # DEPENDENCYPART_ARC
(14,6),-0.908258 # DEPENDENCYPART_ARC
(14,7),-1.34132 # DEPENDENCYPART_ARC
(14,8),-1.95573 # DEPENDENCYPART_ARC
(14,9),-1.07862 # DEPENDENCYPART_ARC
(14,10),-0.366981 # DEPENDENCYPART_ARC
(14,11),-1.33815 # DEPENDENCYPART_ARC
(14,12),-0.480228 # DEPENDENCYPART_ARC
(14,13),0.450669 # DEPENDENCYPART_ARC
(14,15),2.20689 # DEPENDENCYPART_ARC
(14,16),-0.482072 # DEPENDENCYPART_ARC
(14,17),-1.11025 # DEPENDENCYPART_ARC
(14,19),-1.75895 # DEPENDENCYPART_ARC
(14,20),-1.64715 # DEPENDENCYPART_ARC
(14,21),-1.57798 # DEPENDENCYPART_ARC
(14,22),-0.67488 # DEPENDENCYPART_ARC
(14,25),-1.47684 # DEPENDENCYPART_ARC
(14,26),-1.77163 # DEPENDENCYPART_ARC
(14,27),-1.86436 # DEPENDENCYPART_ARC
(14,28),-1.75702 # DEPENDENCYPART_ARC
(14,29),-1.13321 # DEPENDENCYPART_ARC
(14,30),-0.938938 # DEPENDENCYPART_ARC
(14,31),-1.86893 # DEPENDENCYPART_ARC
(14,35),0.440545 # DEPENDENCYPART_ARC
(15,1),-2.69056 # DEPENDENCYPART_ARC
(15,2),-2.05974 # DEPENDENCYPART_ARC
(15,3),-1.89737 # DEPENDENCYPART_ARC
(15,4),-1.95371 # DEPENDENCYPART_ARC
(15,6),-1.97369 # DEPENDENCYPART_ARC
(15,7),-1.98062 # DEPENDENCYPART_ARC
(15,9),-1.80902 # DEPENDENCYPART_ARC
(15,10),-2.1596 # DEPENDENCYPART_ARC
(15,11),-1.72534 # DEPENDENCYPART_ARC
(15,12),-1.32014 # DEPENDENCYPART_ARC
(15,13),-1.57821 # DEPENDENCYPART_ARC
(15,16),1.51768 # DEPENDENCYPART_ARC
(15,17),0.11116 # DEPENDENCYPART_ARC
(15,19),-1.94278 # DEPENDENCYPART_ARC
(15,20),-1.13804 # DEPENDENCYPART_ARC
(15,21),-1.53586 # DEPENDENCYPART_ARC
(15,22),-1.33467 # DEPENDENCYPART_ARC
(15,24),-1.98571 # DEPENDENCYPART_ARC
(15,25),-1.41744 # DEPENDENCYPART_ARC
(15,30),-1.4576 # DEPENDENCYPART_ARC
(15,35),-1.42707 # DEPENDENCYPART_ARC
(16,1),-2.77422 # DEPENDENCYPART_ARC
(16,2),-2.12622 # DEPENDENCYPART_ARC
(16,4),-1.74311 # DEPENDENCYPART_ARC
(16,6),-2.11419 # DEPENDENCYPART_ARC
(16,7),-1.85624 # DEPENDENCYPART_ARC
(16,12),-1.68534 # DEPENDENCYPART_ARC
(16,13),-1.31258 # DEPENDENCYPART_ARC
(16,17),1.54644 # DEPENDENCYPART_ARC
(16,18),-1.67685 # DEPENDENCYPART_ARC
(16,19),-1.14364 # DEPENDENCYPART_ARC
(16,20),-0.867228 # DEPENDENCYPART_ARC
(16,21),-1.10149 # DEPENDENCYPART_ARC
(16,22),-1.28506 # DEPENDENCYPART_ARC
(16,24),-1.61863 # DEPENDENCYPART_ARC
(16,25),-1.48342 # DEPENDENCYPART_ARC
(16,26),-1.6773 # DEPENDENCYPART_ARC
(16,27),-1.80197 # DEPENDENCYPART_ARC
(16,28),-1.9043 # DEPENDENCYPART_ARC
(16,29),-1.63897 # DEPENDENCYPART_ARC
(16,30),-1.49412 # DEPENDENCYPART_ARC
(16,34),-2.39217 # DEPENDENCYPART_ARC
(16,35),-2.20892 # DEPENDENCYPART_ARC
(17,1),-2.61798 # DEPENDENCYPART_ARC
(17,2),-2.18349 # DEPENDENCYPART_ARC
(17,3),-2.24457 # DEPENDENCYPART_ARC
(17,4),-1.76792 # DEPENDENCYPART_ARC
(17,6),-2.10945 # DEPENDENCYPART_ARC
(17,7),-1.80222 # DEPENDENCYPART_ARC
(17,9),-2.03815 # DEPENDENCYPART_ARC
(17,12),-1.68712 # DEPENDENCYPART_ARC
(17,13),-1.45726 # DEPENDENCYPART_ARC
(17,16),-1.03079 # DEPENDENCYPART_ARC
(17,18),-0.918524 # DEPENDENCYPART_ARC
(17,19),-0.765781 # DEPENDENCYPART_ARC
(17,20),-0.176076 # DEPENDENCYPART_ARC
(17,21),-0.469842 # DEPENDENCYPART_ARC
(17,22),-0.865681 # DEPENDENCYPART_ARC
(17,24),-1.00224 # DEPENDENCYPART_ARC
(17,25),-1.15067 # DEPENDENCYPART_ARC
(17,26),-1.23456 # DEPENDENCYPART_ARC
(17,27),-1.39973 # DEPENDENCYPART_ARC
(17,28),-1.47741 # DEPENDENCYPART_ARC
(17,29),-0.96106 # DEPENDENCYPART_ARC
(17,30),-1.12238 # DEPENDENCYPART_ARC
(17,31),-2.11525 # DEPENDENCYPART_ARC
(17,34),-1.71976 # DEPENDENCYPART_ARC
(17,35),-1.96827 # DEPENDENCYPART_ARC
(18,17),-1.30984 # DEPENDENCYPART_ARC
(18,19),-1.3712 # DEPENDENCYPART_ARC
(19,18),-0.844393 # DEPENDENCYPART_ARC
(20,11),-2.71709 # DEPENDENCYPART_ARC
(20,13),-2.22246 # DEPENDENCYPART_ARC
(20,16),-1.60298 # DEPENDENCYPART_ARC
(20,17),-1.26829 # DEPENDENCYPART_ARC
(20,18),1.39067 # DEPENDENCYPART_ARC
(20,19),1.42931 # DEPENDENCYPART_ARC
(20,21),-0.689364 # DEPENDENCYPART_ARC
(20,22),-0.445913 # DEPENDENCYPART_ARC
(20,24),-1.62243 # DEPENDENCYPART_ARC
(20,25),-1.33166 # DEPENDENCYPART_ARC
(20,26),-1.84888 # DEPENDENCYPART_ARC
(20,27),-1.83361 # DEPENDENCYPART_ARC
(20,28),-1.86343 # DEPENDENCYPART_ARC
(20,30),-1.28403 # DEPENDENCYPART_ARC
(20,31),-2.46495 # DEPENDENCYPART_ARC
(20,34),-3.15404 # DEPENDENCYPART_ARC
(20,35),-1.66538 # DEPENDENCYPART_ARC
(21,18),-1.63843 # DEPENDENCYPART_ARC
(21,19),-1.53196 # DEPENDENCYPART_ARC
(21,20),-0.888911 # DEPENDENCYPART_ARC
(21,22),-0.635174 # DEPENDENCYPART_ARC
(21,24),-1.69517 # DEPENDENCYPART_ARC
(21,25),-1.26194 # DEPENDENCYPART_ARC
(21,26),-1.91925 # DEPENDENCYPART_ARC
(22,21),-1.80884 # DEPENDENCYPART_ARC
(22,23),-0.756472 # DEPENDENCYPART_ARC
(22,24),-0.453954 # DEPENDENCYPART_ARC
(22,25),0.735841 # DEPENDENCYPART_ARC
(22,26),-1.54037 # DEPENDENCYPART_ARC
(22,27),-1.71231 # DEPENDENCYPART_ARC
(22,28),-1.75347 # DEPENDENCYPART_ARC
(22,31),-0.0773502 # DEPENDENCYPART_ARC
(22,34),-2.52985 # DEPENDENCYPART_ARC
(24,18),-1.54077 # DEPENDENCYPART_ARC
(24,19),-1.19187 # DEPENDENCYPART_ARC
(24,20),-1.64163 # DEPENDENCYPART_ARC
(24,21),-1.23354 # DEPENDENCYPART_ARC
(24,23),1.9134 # DEPENDENCYPART_ARC
(25,1),-1.80757 # DEPENDENCYPART_ARC
(25,2),-2.22288 # DEPENDENCYPART_ARC
(25,3),-1.98358 # DEPENDENCYPART_ARC
(25,4),-1.94107 # DEPENDENCYPART_ARC
(25,6),-1.51143 # DEPENDENCYPART_ARC
(25,7),-2.82199 # DEPENDENCYPART_ARC
(25,9),-1.55277 # DEPENDENCYPART_ARC
(25,10),-1.56758 # DEPENDENCYPART_ARC
(25,12),-0.981783 # DEPENDENCYPART_ARC
(25,13),-1.23823 # DEPENDENCYPART_ARC
(25,14),-1.48349 # DEPENDENCYPART_ARC
(25,15),-1.90866 # DEPENDENCYPART_ARC
(25,16),-1.87176 # DEPENDENCYPART_ARC
(25,17),-1.79137 # DEPENDENCYPART_ARC
(25,18),-2.08361 # DEPENDENCYPART_ARC
(25,19),-1.86666 # DEPENDENCYPART_ARC
(25,20),-0.551036 # DEPENDENCYPART_ARC
(25,21),-1.25919 # DEPENDENCYPART_ARC
(25,22),-0.920686 # DEPENDENCYPART_ARC
(25,23),-1.13888 # DEPENDENCYPART_ARC
(25,24),0.971414 # DEPENDENCYPART_ARC
(25,26),1.26628 # DEPENDENCYPART_ARC
(25,27),-0.0492605 # DEPENDENCYPART_ARC
(25,28),-0.366891 # DEPENDENCYPART_ARC
(25,29),-0.819756 # DEPENDENCYPART_ARC
(25,30),-0.604726 # DEPENDENCYPART_ARC
(25,31),-0.744339 # DEPENDENCYPART_ARC
(25,34),-1.35783 # DEPENDENCYPART_ARC
(25,35),-0.436489 # DEPENDENCYPART_ARC
(26,27),-0.67948 # DEPENDENCYPART_ARC
(26,28),-1.19144 # DEPENDENCYPART_ARC
(26,29),-1.80613 # DEPENDENCYPART_ARC
