# _root_ Since the recent deterioration of the junk-bond market , at least two other junk issuers have said they plan to scale back planned high-yield offerings , and several issues have been postponed .
#goldHeads=16,4,4,1,4,8,8,5,16,15,10,10,15,15,16,0,16,19,27,21,19,21,25,25,21,27,17,29,30,27,30,31,16,
#predictedHeads=16,4,4,1,4,8,8,5,4,15,10,10,15,15,16,27,16,19,17,21,19,21,25,25,21,27,0,29,30,27,30,31,27,
(0,1),-1.76014 # DEPENDENCYPART_ARC
(0,4),-2.78147 # DEPENDENCYPART_ARC
(0,16),-3.13021 # DEPENDENCYPART_ARC
(0,17),-1.86557 # DEPENDENCYPART_ARC
(0,19),-3.5989 # DEPENDENCYPART_ARC
(0,21),-4.21336 # DEPENDENCYPART_ARC
(0,27),-1.91333 # DEPENDENCYPART_ARC
(0,30),-3.58548 # DEPENDENCYPART_ARC
(0,31),-2.99301 # DEPENDENCYPART_ARC
(0,32),-3.631 # DEPENDENCYPART_ARC
(1,2),-0.0505934 # DEPENDENCYPART_ARC
(1,3),-0.723215 # DEPENDENCYPART_ARC
(1,4),-0.751696 # DEPENDENCYPART_ARC
(1,5),-1.23383 # DEPENDENCYPART_ARC
(1,7),-1.8165 # DEPENDENCYPART_ARC
(1,8),-1.69947 # DEPENDENCYPART_ARC
(2,1),-0.317132 # DEPENDENCYPART_ARC
(2,3),-0.374592 # DEPENDENCYPART_ARC
(2,5),-1.09902 # DEPENDENCYPART_ARC
(3,1),-1.29419 # DEPENDENCYPART_ARC
(3,2),-0.0784247 # DEPENDENCYPART_ARC
(3,5),-0.946365 # DEPENDENCYPART_ARC
(3,8),-1.57056 # DEPENDENCYPART_ARC
(4,1),-1.05532 # DEPENDENCYPART_ARC
(4,2),0.245598 # DEPENDENCYPART_ARC
(4,3),1.47008 # DEPENDENCYPART_ARC
(4,5),0.743487 # DEPENDENCYPART_ARC
(4,6),-1.0652 # DEPENDENCYPART_ARC
(4,7),-0.92265 # DEPENDENCYPART_ARC
(4,8),-1.15983 # DEPENDENCYPART_ARC
(4,9),-1.16603 # DEPENDENCYPART_ARC
(4,10),-1.65046 # DEPENDENCYPART_ARC
(4,13),-1.49981 # DEPENDENCYPART_ARC
(4,14),-1.64215 # DEPENDENCYPART_ARC
(4,15),-1.79245 # DEPENDENCYPART_ARC
(4,16),-1.66052 # DEPENDENCYPART_ARC
(4,17),-1.69416 # DEPENDENCYPART_ARC
(4,19),-2.01773 # DEPENDENCYPART_ARC
(4,21),-1.88997 # DEPENDENCYPART_ARC
(4,26),-1.73105 # DEPENDENCYPART_ARC
(4,33),-1.89865 # DEPENDENCYPART_ARC
(5,3),-1.44591 # DEPENDENCYPART_ARC
(5,6),-0.0495644 # DEPENDENCYPART_ARC
(5,7),-0.269899 # DEPENDENCYPART_ARC
(5,8),-0.635892 # DEPENDENCYPART_ARC
(5,9),-1.10115 # DEPENDENCYPART_ARC
(5,15),-2.60644 # DEPENDENCYPART_ARC
