# _root_ Still , the market had n't yet crossed into positive territory , and traders were glum .
#goldHeads=0,1,4,5,1,5,5,5,8,11,9,5,5,15,13,15,1,
#predictedHeads=5,5,4,5,0,5,5,5,8,11,9,5,5,15,13,15,5,
(0,1),-2.93699 # DEPENDENCYPART_ARC
(0,4),-3.83892 # DEPENDENCYPART_ARC
(0,5),-1.34962 # DEPENDENCYPART_ARC
(0,8),-4.10328 # DEPENDENCYPART_ARC
(0,15),-2.0359 # DEPENDENCYPART_ARC
(1,2),-1.73842 # DEPENDENCYPART_ARC
(1,4),-2.54818 # DEPENDENCYPART_ARC
(1,5),-1.77193 # DEPENDENCYPART_ARC
(1,6),-2.54634 # DEPENDENCYPART_ARC
(1,7),-2.62448 # DEPENDENCYPART_ARC
(1,8),-3.04182 # DEPENDENCYPART_ARC
(1,9),-2.68901 # DEPENDENCYPART_ARC
(1,13),-2.60438 # DEPENDENCYPART_ARC
(1,17),-2.45205 # DEPENDENCYPART_ARC
(2,1),-2.41941 # DEPENDENCYPART_ARC
(3,1),-2.64328 # DEPENDENCYPART_ARC
(3,2),-2.10765 # DEPENDENCYPART_ARC
(3,5),-1.62593 # DEPENDENCYPART_ARC
(4,1),-1.64275 # DEPENDENCYPART_ARC
(4,2),-1.12419 # DEPENDENCYPART_ARC
(4,3),1.95311 # DEPENDENCYPART_ARC
(4,5),-1.09609 # DEPENDENCYPART_ARC
(4,6),-1.81748 # DEPENDENCYPART_ARC
(4,7),-1.76296 # DEPENDENCYPART_ARC
(4,8),-1.88543 # DEPENDENCYPART_ARC
(4,9),-1.57162 # DEPENDENCYPART_ARC
(4,12),-1.94991 # DEPENDENCYPART_ARC
(5,1),-0.990116 # DEPENDENCYPART_ARC
(5,2),0.315748 # DEPENDENCYPART_ARC
(5,3),-1.10371 # DEPENDENCYPART_ARC
(5,4),0.848659 # DEPENDENCYPART_ARC
(5,6),1.26647 # DEPENDENCYPART_ARC
(5,7),0.0138422 # DEPENDENCYPART_ARC
(5,8),0.309744 # DEPENDENCYPART_ARC
(5,9),-0.377309 # DEPENDENCYPART_ARC
(5,10),-1.35218 # DEPENDENCYPART_ARC
(5,11),-0.894499 # DEPENDENCYPART_ARC
(5,12),-0.848612 # DEPENDENCYPART_ARC
(5,13),-0.494825 # DEPENDENCYPART_ARC
(5,14),-1.82882 # DEPENDENCYPART_ARC
(5,15),-1.19081 # DEPENDENCYPART_ARC
(5,16),-1.94302 # DEPENDENCYPART_ARC
(5,17),-0.113368 # DEPENDENCYPART_ARC
(6,1),-2.67293 # DEPENDENCYPART_ARC
(6,4),-2.02327 # DEPENDENCYPART_ARC
(6,5),-1.31774 # DEPENDENCYPART_ARC
(6,7),-0.571384 # DEPENDENCYPART_ARC
(6,8),-1.40464 # DEPENDENCYPART_ARC
(6,9),-1.35883 # DEPENDENCYPART_ARC
(6,10),-1.7921 # DEPENDENCYPART_ARC
(6,11),-2.17244 # DEPENDENCYPART_ARC
(6,12),-2.11337 # DEPENDENCYPART_ARC
(6,13),-1.95147 # DEPENDENCYPART_ARC
(6,15),-2.09919 # DEPENDENCYPART_ARC
(6,16),-2.67582 # DEPENDENCYPART_ARC
(6,17),-2.27467 # DEPENDENCYPART_ARC
(7,5),-2.43272 # DEPENDENCYPART_ARC
(7,6),-1.59825 # DEPENDENCYPART_ARC
(7,8),-1.21249 # DEPENDENCYPART_ARC
(7,9),-1.29693 # DEPENDENCYPART_ARC
(7,10),-1.93095 # DEPENDENCYPART_ARC
(7,11),-2.28982 # DEPENDENCYPART_ARC
(7,13),-1.92241 # DEPENDENCYPART_ARC
(7,15),-2.33553 # DEPENDENCYPART_ARC
(8,1),-1.75895 # DEPENDENCYPART_ARC
(8,2),-2.24162 # DEPENDENCYPART_ARC
(8,4),-1.68128 # DEPENDENCYPART_ARC
(8,5),-1.61475 # DEPENDENCYPART_ARC
(8,6),-0.729143 # DEPENDENCYPART_ARC
(8,7),-0.115696 # DEPENDENCYPART_ARC
(8,9),0.726367 # DEPENDENCYPART_ARC
(8,10),-1.18856 # DEPENDENCYPART_ARC
(8,11),-0.797599 # DEPENDENCYPART_ARC
(8,12),-1.38456 # DEPENDENCYPART_ARC
(8,13),-1.40572 # DEPENDENCYPART_ARC
(8,14),-1.84565 # DEPENDENCYPART_ARC
(8,15),-1.69666 # DEPENDENCYPART_ARC
(8,16),-2.19056 # DEPENDENCYPART_ARC
(8,17),-1.98311 # DEPENDENCYPART_ARC
(9,1),-2.26447 # DEPENDENCYPART_ARC
(9,6),-1.62176 # DEPENDENCYPART_ARC
(9,7),-1.54144 # DEPENDENCYPART_ARC
(9,8),-1.25046 # DEPENDENCYPART_ARC
(9,10),-0.670674 # DEPENDENCYPART_ARC
(9,11),0.955721 # DEPENDENCYPART_ARC
(9,12),-1.20729 # DEPENDENCYPART_ARC
(9,13),-1.66848 # DEPENDENCYPART_ARC
(9,14),-0.602705 # DEPENDENCYPART_ARC
(9,15),-0.735099 # DEPENDENCYPART_ARC
(9,16),-2.3783 # DEPENDENCYPART_ARC
(9,17),-2.31292 # DEPENDENCYPART_ARC
(10,6),-2.3919 # DEPENDENCYPART_ARC
(10,7),-1.89891 # DEPENDENCYPART_ARC
(10,9),-1.04886 # DEPENDENCYPART_ARC
(10,12),-1.90946 # DEPENDENCYPART_ARC
(10,13),-1.84469 # DEPENDENCYPART_ARC
(11,1),-2.90903 # DEPENDENCYPART_ARC
(11,2),-2.89545 # DEPENDENCYPART_ARC
(11,3),-2.27498 # DEPENDENCYPART_ARC
(11,4),-2.04157 # DEPENDENCYPART_ARC
(11,5),-2.33872 # DEPENDENCYPART_ARC
(11,6),-1.4758 # DEPENDENCYPART_ARC
(11,7),-1.19666 # DEPENDENCYPART_ARC
(11,8),-1.20732 # DEPENDENCYPART_ARC
(11,9),-1.09109 # DEPENDENCYPART_ARC
(11,10),1.22701 # DEPENDENCYPART_ARC
(11,12),-0.776888 # DEPENDENCYPART_ARC
(11,13),-0.77125 # DEPENDENCYPART_ARC
(11,14),-1.37117 # DEPENDENCYPART_ARC
(11,15),-1.23266 # DEPENDENCYPART_ARC
