# _root_ The average plunged some 600 points , or 1.7 % , in the first 20 minutes of trading .
#goldHeads=2,3,0,6,4,3,6,6,10,8,6,3,16,16,16,12,16,17,3,
#predictedHeads=2,3,0,6,4,3,6,6,10,8,6,3,16,16,16,12,16,17,3,
(0,2),-3.22317 # DEPENDENCYPART_ARC
(0,3),-0.790016 # DEPENDENCYPART_ARC
(0,6),-3.29987 # DEPENDENCYPART_ARC
(2,1),1.44654 # DEPENDENCYPART_ARC
(2,3),-0.988975 # DEPENDENCYPART_ARC
(2,4),-2.12586 # DEPENDENCYPART_ARC
(2,5),-1.76393 # DEPENDENCYPART_ARC
(2,6),-1.73089 # DEPENDENCYPART_ARC
(2,7),-1.78632 # DEPENDENCYPART_ARC
(2,8),-1.94012 # DEPENDENCYPART_ARC
(2,10),-2.85983 # DEPENDENCYPART_ARC
(2,11),-1.98955 # DEPENDENCYPART_ARC
(2,12),-2.10018 # DEPENDENCYPART_ARC
(2,19),-1.97659 # DEPENDENCYPART_ARC
(3,1),-1.14076 # DEPENDENCYPART_ARC
(3,2),0.740874 # DEPENDENCYPART_ARC
(3,4),-0.510225 # DEPENDENCYPART_ARC
(3,5),-0.887227 # DEPENDENCYPART_ARC
(3,6),-0.140904 # DEPENDENCYPART_ARC
(3,7),-0.45291 # DEPENDENCYPART_ARC
(3,8),-1.17523 # DEPENDENCYPART_ARC
(3,9),-2.48033 # DEPENDENCYPART_ARC
(3,10),-0.92414 # DEPENDENCYPART_ARC
(3,11),-0.636122 # DEPENDENCYPART_ARC
(3,12),-0.700368 # DEPENDENCYPART_ARC
(3,14),-2.59131 # DEPENDENCYPART_ARC
(3,16),-2.0752 # DEPENDENCYPART_ARC
(3,17),-2.16581 # DEPENDENCYPART_ARC
(3,18),-2.36131 # DEPENDENCYPART_ARC
(3,19),0.484455 # DEPENDENCYPART_ARC
(4,5),0.486158 # DEPENDENCYPART_ARC
(4,6),-1.1644 # DEPENDENCYPART_ARC
(4,7),-0.833411 # DEPENDENCYPART_ARC
(4,8),-0.794343 # DEPENDENCYPART_ARC
(4,9),-1.05439 # DEPENDENCYPART_ARC
(4,10),-1.8045 # DEPENDENCYPART_ARC
(4,11),-1.03909 # DEPENDENCYPART_ARC
(4,12),-1.29076 # DEPENDENCYPART_ARC
(4,15),-1.60087 # DEPENDENCYPART_ARC
(4,16),-2.43286 # DEPENDENCYPART_ARC
(4,17),-1.62545 # DEPENDENCYPART_ARC
(4,19),-1.6522 # DEPENDENCYPART_ARC
(5,2),-2.45957 # DEPENDENCYPART_ARC
(5,3),-1.81029 # DEPENDENCYPART_ARC
(5,4),-0.703243 # DEPENDENCYPART_ARC
(5,6),-1.43983 # DEPENDENCYPART_ARC
(5,7),-1.89092 # DEPENDENCYPART_ARC
(5,8),-1.35205 # DEPENDENCYPART_ARC
(5,10),-2.60102 # DEPENDENCYPART_ARC
(5,11),-1.67037 # DEPENDENCYPART_ARC
(5,12),-2.04235 # DEPENDENCYPART_ARC
(6,1),-1.07053 # DEPENDENCYPART_ARC
(6,2),-1.22365 # DEPENDENCYPART_ARC
(6,3),-1.50927 # DEPENDENCYPART_ARC
(6,4),1.15401 # DEPENDENCYPART_ARC
(6,5),1.30868 # DEPENDENCYPART_ARC
(6,7),-0.433961 # DEPENDENCYPART_ARC
(6,8),-0.436793 # DEPENDENCYPART_ARC
(6,9),-1.88416 # DEPENDENCYPART_ARC
(6,10),-1.57999 # DEPENDENCYPART_ARC
(6,11),-1.04812 # DEPENDENCYPART_ARC
(6,12),-2.07306 # DEPENDENCYPART_ARC
(6,14),-2.16696 # DEPENDENCYPART_ARC
(6,16),-2.69859 # DEPENDENCYPART_ARC
(6,17),-2.75525 # DEPENDENCYPART_ARC
(6,19),-2.21552 # DEPENDENCYPART_ARC
(7,6),-2.19724 # DEPENDENCYPART_ARC
(7,8),-1.59988 # DEPENDENCYPART_ARC
(8,7),-1.92662 # DEPENDENCYPART_ARC
(8,9),-0.5442 # DEPENDENCYPART_ARC
(8,10),0.42519 # DEPENDENCYPART_ARC
(8,11),-1.23632 # DEPENDENCYPART_ARC
(8,12),-1.7714 # DEPENDENCYPART_ARC
(8,14),-2.34086 # DEPENDENCYPART_ARC
(8,16),-2.29464 # DEPENDENCYPART_ARC
(8,17),-2.07645 # DEPENDENCYPART_ARC
(8,19),-2.08191 # DEPENDENCYPART_ARC
(9,5),-1.88974 # DEPENDENCYPART_ARC
(9,6),-2.01321 # DEPENDENCYPART_ARC
(9,7),-1.71561 # DEPENDENCYPART_ARC
(9,8),-0.986314 # DEPENDENCYPART_ARC
(9,10),-1.15186 # DEPENDENCYPART_ARC
(9,11),-1.85162 # DEPENDENCYPART_ARC
(9,12),-1.71009 # DEPENDENCYPART_ARC
(10,2),-2.58911 # DEPENDENCYPART_ARC
(10,4),-1.49256 # DEPENDENCYPART_ARC
(10,5),-1.8861 # DEPENDENCYPART_ARC
(10,6),-1.89328 # DEPENDENCYPART_ARC
(10,7),-1.7398 # DEPENDENCYPART_ARC
(10,8),-1.08798 # DEPENDENCYPART_ARC
(10,9),1.62255 # DEPENDENCYPART_ARC
(10,11),-0.982934 # DEPENDENCYPART_ARC
(10,12),-1.58411 # DEPENDENCYPART_ARC
(10,14),-2.22433 # DEPENDENCYPART_ARC
(10,15),-2.36715 # DEPENDENCYPART_ARC
(10,16),-2.33357 # DEPENDENCYPART_ARC
(10,17),-3.06187 # DEPENDENCYPART_ARC
(10,18),-2.68559 # DEPENDENCYPART_ARC
(10,19),-2.7312 # DEPENDENCYPART_ARC
(11,12),-1.92459 # DEPENDENCYPART_ARC
(12,8),-2.46682 # DEPENDENCYPART_ARC
(12,10),-2.73421 # DEPENDENCYPART_ARC
(12,11),-1.59527 # DEPENDENCYPART_ARC
(12,13),-1.28327 # DEPENDENCYPART_ARC
(12,14),-0.804879 # DEPENDENCYPART_ARC
(12,15),-1.2145 # DEPENDENCYPART_ARC
(12,16),0.241282 # DEPENDENCYPART_ARC
(12,17),-1.66106 # DEPENDENCYPART_ARC
(12,18),-0.604715 # DEPENDENCYPART_ARC
(12,19),-2.46666 # DEPENDENCYPART_ARC
(13,14),-1.87717 # DEPENDENCYPART_ARC
(13,15),-2.28133 # DEPENDENCYPART_ARC
(14,13),-0.686666 # DEPENDENCYPART_ARC
(14,15),-0.732944 # DEPENDENCYPART_ARC
(14,16),-1.26065 # DEPENDENCYPART_ARC
(14,17),-1.02658 # DEPENDENCYPART_ARC
(14,18),-1.70867 # DEPENDENCYPART_ARC
(14,19),-2.0969 # DEPENDENCYPART_ARC
(15,5),-2.44156 # DEPENDENCYPART_ARC
(15,6),-2.41739 # DEPENDENCYPART_ARC
(15,7),-2.54027 # DEPENDENCYPART_ARC
(15,8),-2.40798 # DEPENDENCYPART_ARC
(15,9),-2.12965 # DEPENDENCYPART_ARC
(15,10),-2.44424 # DEPENDENCYPART_ARC
(15,12),-1.41939 # DEPENDENCYPART_ARC
(15,13),-0.437988 # DEPENDENCYPART_ARC
(15,14),-0.256996 # DEPENDENCYPART_ARC
(15,16),-1.54494 # DEPENDENCYPART_ARC
(15,17),-1.59318 # DEPENDENCYPART_ARC
(15,18),-2.19091 # DEPENDENCYPART_ARC
(16,4),-1.9165 # DEPENDENCYPART_ARC
(16,6),-2.72974 # DEPENDENCYPART_ARC
(16,7),-2.79146 # DEPENDENCYPART_ARC
