# _root_ `` And you did n't want me to buy earthquake insurance , '' says Mrs. Hammack , reaching across the table and gently tapping his hand .
#goldHeads=4,4,4,14,4,4,9,9,6,11,9,4,4,0,16,14,14,22,18,21,19,14,24,22,26,24,14,
#predictedHeads=14,14,4,2,4,4,9,9,6,11,9,14,14,0,16,14,16,22,18,21,19,16,24,22,26,24,14,
(0,2),-2.72495 # DEPENDENCYPART_ARC
(0,4),-1.8606 # DEPENDENCYPART_ARC
(0,6),-2.42781 # DEPENDENCYPART_ARC
(0,9),-2.65222 # DEPENDENCYPART_ARC
(0,14),-0.549988 # DEPENDENCYPART_ARC
(0,18),-1.97613 # DEPENDENCYPART_ARC
(0,22),-1.97213 # DEPENDENCYPART_ARC
(2,1),0.454305 # DEPENDENCYPART_ARC
(2,3),0.302811 # DEPENDENCYPART_ARC
(2,4),-0.0489088 # DEPENDENCYPART_ARC
(2,5),-1.03212 # DEPENDENCYPART_ARC
(2,6),-1.21519 # DEPENDENCYPART_ARC
(2,8),-1.23995 # DEPENDENCYPART_ARC
(2,9),-1.70024 # DEPENDENCYPART_ARC
(2,11),-1.52466 # DEPENDENCYPART_ARC
(2,12),-1.33554 # DEPENDENCYPART_ARC
(2,13),-0.930888 # DEPENDENCYPART_ARC
(2,14),-2.50567 # DEPENDENCYPART_ARC
(2,16),-2.57586 # DEPENDENCYPART_ARC
(2,17),-1.82765 # DEPENDENCYPART_ARC
(2,18),-2.46006 # DEPENDENCYPART_ARC
(2,19),-1.64528 # DEPENDENCYPART_ARC
(2,27),-0.143276 # DEPENDENCYPART_ARC
(3,4),-0.233394 # DEPENDENCYPART_ARC
(3,6),-1.381 # DEPENDENCYPART_ARC
(4,1),-0.801336 # DEPENDENCYPART_ARC
(4,2),-0.504404 # DEPENDENCYPART_ARC
(4,3),0.880682 # DEPENDENCYPART_ARC
(4,5),1.19285 # DEPENDENCYPART_ARC
(4,6),0.595431 # DEPENDENCYPART_ARC
(4,7),-0.553902 # DEPENDENCYPART_ARC
