# _root_ `` As long as I am borrowing at 9.9 % and each { bond } yields over that , it enhances the yield , '' he maintains .
#goldHeads=27,21,2,11,6,11,6,7,10,8,2,14,14,16,14,11,16,17,21,21,27,23,21,27,27,27,0,27,
#predictedHeads=27,11,2,6,6,11,6,7,10,8,21,14,14,11,14,21,16,17,21,21,27,23,21,27,27,27,0,27,
(0,2),-2.20557 # DEPENDENCYPART_ARC
(0,3),-2.34401 # DEPENDENCYPART_ARC
(0,6),-2.32792 # DEPENDENCYPART_ARC
(0,7),-2.76506 # DEPENDENCYPART_ARC
(0,11),-2.06968 # DEPENDENCYPART_ARC
(0,16),-2.86778 # DEPENDENCYPART_ARC
(0,21),-3.24287 # DEPENDENCYPART_ARC
(0,27),-2.51417 # DEPENDENCYPART_ARC
(2,1),-0.129427 # DEPENDENCYPART_ARC
(2,3),0.814486 # DEPENDENCYPART_ARC
(2,4),-0.143442 # DEPENDENCYPART_ARC
(2,6),-0.489431 # DEPENDENCYPART_ARC
(2,8),-0.643911 # DEPENDENCYPART_ARC
(2,9),-0.911995 # DEPENDENCYPART_ARC
(2,11),-0.408471 # DEPENDENCYPART_ARC
(2,16),-0.706709 # DEPENDENCYPART_ARC
(2,19),-0.62595 # DEPENDENCYPART_ARC
(3,1),-0.913843 # DEPENDENCYPART_ARC
(3,2),0.0208769 # DEPENDENCYPART_ARC
(3,4),-0.0366902 # DEPENDENCYPART_ARC
(3,5),-0.845205 # DEPENDENCYPART_ARC
(3,6),-0.828364 # DEPENDENCYPART_ARC
(3,9),-1.38897 # DEPENDENCYPART_ARC
(3,10),-1.36331 # DEPENDENCYPART_ARC
(4,2),-0.861992 # DEPENDENCYPART_ARC
(4,3),0.0653544 # DEPENDENCYPART_ARC
(4,5),-0.00211463 # DEPENDENCYPART_ARC
(4,6),-0.897608 # DEPENDENCYPART_ARC
(4,7),-1.43367 # DEPENDENCYPART_ARC
(4,9),-1.53772 # DEPENDENCYPART_ARC
(4,11),-1.12156 # DEPENDENCYPART_ARC
(4,15),-1.40177 # DEPENDENCYPART_ARC
(4,28),-1.48842 # DEPENDENCYPART_ARC
(6,1),-1.03647 # DEPENDENCYPART_ARC
(6,2),-0.912853 # DEPENDENCYPART_ARC
(6,3),-0.923811 # DEPENDENCYPART_ARC
