# _root_ Birkaç tane rapor ve kamuoyunda da bu olayın kaza _ olmadığı , suikast _ olduğu gibi yaygın bir kanaat _ vardı , o kadar .
#goldHeads=2,3,4,5,20,5,8,10,10,11,12,14,14,15,16,19,19,19,20,21,22,24,24,25,0,
#predictedHeads=2,3,4,5,10,5,8,11,11,11,21,0,15,15,16,21,19,19,20,21,22,0,24,25,0,
(0,12),1.63864 # DEPENDENCYPART_ARC
(0,22),1.28879 # DEPENDENCYPART_ARC
(0,25),2.51905 # DEPENDENCYPART_ARC
(1,24),-2.11519 # DEPENDENCYPART_ARC
(2,1),1.73812 # DEPENDENCYPART_ARC
(2,7),-0.895943 # DEPENDENCYPART_ARC
(3,1),1.06845 # DEPENDENCYPART_ARC
(3,2),1.97308 # DEPENDENCYPART_ARC
(3,4),0.0252122 # DEPENDENCYPART_ARC
(3,6),-0.713411 # DEPENDENCYPART_ARC
(3,7),-1.41867 # DEPENDENCYPART_ARC
(3,18),-1.31878 # DEPENDENCYPART_ARC
(4,2),0.490231 # DEPENDENCYPART_ARC
(4,3),2.93182 # DEPENDENCYPART_ARC
(5,1),0.533783 # DEPENDENCYPART_ARC
(5,2),1.1544 # DEPENDENCYPART_ARC
(5,3),1.57994 # DEPENDENCYPART_ARC
(5,4),2.02601 # DEPENDENCYPART_ARC
(5,6),1.85493 # DEPENDENCYPART_ARC
(5,7),-0.118483 # DEPENDENCYPART_ARC
(5,8),0.739525 # DEPENDENCYPART_ARC
(5,9),-0.44349 # DEPENDENCYPART_ARC
(5,10),-0.416053 # DEPENDENCYPART_ARC
(5,18),-0.256411 # DEPENDENCYPART_ARC
(6,3),-1.20463 # DEPENDENCYPART_ARC
(6,4),-1.48582 # DEPENDENCYPART_ARC
(6,5),0.235762 # DEPENDENCYPART_ARC
(6,8),-0.676258 # DEPENDENCYPART_ARC
(7,5),-0.370762 # DEPENDENCYPART_ARC
(7,6),0.503589 # DEPENDENCYPART_ARC
(8,1),-0.812713 # DEPENDENCYPART_ARC
(8,2),-0.628572 # DEPENDENCYPART_ARC
(8,3),-0.684858 # DEPENDENCYPART_ARC
(8,4),-0.393499 # DEPENDENCYPART_ARC
(8,5),-1.56717 # DEPENDENCYPART_ARC
(8,6),-0.534424 # DEPENDENCYPART_ARC
(8,7),1.73828 # DEPENDENCYPART_ARC
(8,9),-1.09015 # DEPENDENCYPART_ARC
(8,11),-0.931507 # DEPENDENCYPART_ARC
(8,23),-0.835396 # DEPENDENCYPART_ARC
(9,1),-1.00577 # DEPENDENCYPART_ARC
(9,2),-0.908863 # DEPENDENCYPART_ARC
(9,3),-1.18963 # DEPENDENCYPART_ARC
(9,4),-0.44524 # DEPENDENCYPART_ARC
(9,5),-1.817 # DEPENDENCYPART_ARC
(9,6),-0.540134 # DEPENDENCYPART_ARC
(9,7),0.184003 # DEPENDENCYPART_ARC
(9,8),1.14863 # DEPENDENCYPART_ARC
(9,10),-0.243154 # DEPENDENCYPART_ARC
(9,11),-0.0958244 # DEPENDENCYPART_ARC
(9,18),-0.427046 # DEPENDENCYPART_ARC
(9,23),-0.207636 # DEPENDENCYPART_ARC
(10,1),-0.0127876 # DEPENDENCYPART_ARC
(10,2),0.720169 # DEPENDENCYPART_ARC
(10,3),0.852227 # DEPENDENCYPART_ARC
(10,4),0.365912 # DEPENDENCYPART_ARC
(10,5),0.930088 # DEPENDENCYPART_ARC
(10,6),-0.317628 # DEPENDENCYPART_ARC
(10,7),0.182519 # DEPENDENCYPART_ARC
(10,8),1.8701 # DEPENDENCYPART_ARC
(10,9),2.47774 # DEPENDENCYPART_ARC
(10,11),0.489913 # DEPENDENCYPART_ARC
(10,12),-0.289892 # DEPENDENCYPART_ARC
(10,13),-2.08005 # DEPENDENCYPART_ARC
(10,15),-1.5433 # DEPENDENCYPART_ARC
(10,16),-0.608904 # DEPENDENCYPART_ARC
(10,19),-1.95142 # DEPENDENCYPART_ARC
(10,24),-2.21369 # DEPENDENCYPART_ARC
(11,2),1.70792 # DEPENDENCYPART_ARC
(11,3),1.33714 # DEPENDENCYPART_ARC
(11,4),0.767303 # DEPENDENCYPART_ARC
(11,5),0.274911 # DEPENDENCYPART_ARC
(11,6),0.205584 # DEPENDENCYPART_ARC
(11,7),0.485427 # DEPENDENCYPART_ARC
(11,8),2.59087 # DEPENDENCYPART_ARC
(11,9),2.88822 # DEPENDENCYPART_ARC
(11,10),3.31103 # DEPENDENCYPART_ARC
(11,15),-0.817449 # DEPENDENCYPART_ARC
(12,1),-1.16668 # DEPENDENCYPART_ARC
(12,6),-1.27 # DEPENDENCYPART_ARC
(12,8),-0.0432923 # DEPENDENCYPART_ARC
(12,9),0.0861086 # DEPENDENCYPART_ARC
(12,10),-0.896763 # DEPENDENCYPART_ARC
(12,11),0.570178 # DEPENDENCYPART_ARC
(12,13),0.203872 # DEPENDENCYPART_ARC
(12,14),-0.766973 # DEPENDENCYPART_ARC
(12,16),0.0161696 # DEPENDENCYPART_ARC
(12,21),-0.728739 # DEPENDENCYPART_ARC
(12,24),-1.36593 # DEPENDENCYPART_ARC
(13,10),-0.532489 # DEPENDENCYPART_ARC
(13,11),-0.645995 # DEPENDENCYPART_ARC
(13,12),0.383244 # DEPENDENCYPART_ARC
(13,14),-0.704604 # DEPENDENCYPART_ARC
(13,15),-0.362117 # DEPENDENCYPART_ARC
(13,17),-0.673028 # DEPENDENCYPART_ARC
(13,18),-0.822321 # DEPENDENCYPART_ARC
(13,19),-0.822134 # DEPENDENCYPART_ARC
(13,21),-1.47098 # DEPENDENCYPART_ARC
(13,23),-0.474349 # DEPENDENCYPART_ARC
(14,2),-0.160661 # DEPENDENCYPART_ARC
(14,3),0.207514 # DEPENDENCYPART_ARC
(14,5),-0.0339279 # DEPENDENCYPART_ARC
(14,8),0.657022 # DEPENDENCYPART_ARC
(14,9),0.118338 # DEPENDENCYPART_ARC
