# _root_ ATO Başkanı Sinan_Aygün , Maliye Bakanı Kemal_Yazıcıoğlu ziyaretinden sonra da Bakan'ın " Vergi_Barışı_Projesi " konusunda , ocak ayının ilk haftasında _ mükelleflere müjde _ _ verebileceklerini _ söylediğini _ bildirdi .
#goldHeads=2,3,30,0,6,7,8,9,27,9,13,0,15,0,24,0,18,20,20,24,22,24,24,25,26,27,28,30,30,31,0,
#predictedHeads=2,3,24,0,6,7,8,9,30,9,13,0,15,0,16,0,18,20,20,21,22,24,25,25,26,27,28,30,30,31,0,
(0,4),1.56344 # DEPENDENCYPART_ARC
(0,12),3.85041 # DEPENDENCYPART_ARC
(0,14),4.30814 # DEPENDENCYPART_ARC
(0,16),0.95365 # DEPENDENCYPART_ARC
(0,31),3.14046 # DEPENDENCYPART_ARC
(2,1),2.82626 # DEPENDENCYPART_ARC
(2,3),0.0189349 # DEPENDENCYPART_ARC
(2,4),-0.0303185 # DEPENDENCYPART_ARC
(3,1),0.580192 # DEPENDENCYPART_ARC
(3,2),1.62036 # DEPENDENCYPART_ARC
(3,5),-0.383411 # DEPENDENCYPART_ARC
(4,1),-0.257656 # DEPENDENCYPART_ARC
(4,2),-0.291829 # DEPENDENCYPART_ARC
(4,3),0.317247 # DEPENDENCYPART_ARC
(5,2),-1.05386 # DEPENDENCYPART_ARC
(5,3),-0.620273 # DEPENDENCYPART_ARC
(5,4),0.235172 # DEPENDENCYPART_ARC
(5,7),-0.588489 # DEPENDENCYPART_ARC
(6,1),-0.526627 # DEPENDENCYPART_ARC
(6,2),-0.348377 # DEPENDENCYPART_ARC
(6,3),-0.358236 # DEPENDENCYPART_ARC
(6,4),0.272562 # DEPENDENCYPART_ARC
(6,5),2.76112 # DEPENDENCYPART_ARC
(6,7),0.14639 # DEPENDENCYPART_ARC
(6,10),0.368798 # DEPENDENCYPART_ARC
(7,4),-0.26943 # DEPENDENCYPART_ARC
(7,5),0.434069 # DEPENDENCYPART_ARC
(7,6),1.49982 # DEPENDENCYPART_ARC
(7,10),0.161015 # DEPENDENCYPART_ARC
(8,4),-0.0935371 # DEPENDENCYPART_ARC
(8,5),0.912355 # DEPENDENCYPART_ARC
(8,6),1.29341 # DEPENDENCYPART_ARC
(8,7),2.77541 # DEPENDENCYPART_ARC
(8,10),-0.00301942 # DEPENDENCYPART_ARC
(9,1),-1.56262 # DEPENDENCYPART_ARC
(9,2),-1.16062 # DEPENDENCYPART_ARC
(9,4),-0.618976 # DEPENDENCYPART_ARC
(9,5),-0.362816 # DEPENDENCYPART_ARC
