# _root_ Hem birileri iş yapacak , hem zarar_edeceksiniz , hem de faiz ödeyeceksiniz " dedi .
#goldHeads=4,4,4,5,7,7,8,12,12,9,12,14,14,15,0,
#predictedHeads=5,4,4,5,7,7,9,12,12,9,12,13,14,15,0,
(0,1),-1.19056 # DEPENDENCYPART_ARC
(0,5),0.141917 # DEPENDENCYPART_ARC
(0,8),-0.142393 # DEPENDENCYPART_ARC
(0,9),-1.39451 # DEPENDENCYPART_ARC
(0,10),-1.56028 # DEPENDENCYPART_ARC
(0,12),-1.91571 # DEPENDENCYPART_ARC
(0,13),1.06601 # DEPENDENCYPART_ARC
(0,14),-2.00832 # DEPENDENCYPART_ARC
(0,15),1.25905 # DEPENDENCYPART_ARC
(1,3),-0.709985 # DEPENDENCYPART_ARC
(2,5),-0.104422 # DEPENDENCYPART_ARC
(2,8),-0.343747 # DEPENDENCYPART_ARC
(3,1),-0.285086 # DEPENDENCYPART_ARC
(3,2),1.41941 # DEPENDENCYPART_ARC
(3,5),0.21814 # DEPENDENCYPART_ARC
(3,6),-0.749171 # DEPENDENCYPART_ARC
(3,12),-1.44734 # DEPENDENCYPART_ARC
(3,14),-2.42425 # DEPENDENCYPART_ARC
(4,1),0.895438 # DEPENDENCYPART_ARC
(4,2),3.08426 # DEPENDENCYPART_ARC
(4,3),3.35762 # DEPENDENCYPART_ARC
(4,5),-0.75388 # DEPENDENCYPART_ARC
(4,6),-0.766438 # DEPENDENCYPART_ARC
(4,7),-2.08791 # DEPENDENCYPART_ARC
(4,11),-1.69582 # DEPENDENCYPART_ARC
(4,12),-2.23788 # DEPENDENCYPART_ARC
(4,13),-1.37436 # DEPENDENCYPART_ARC
(4,14),-2.2986 # DEPENDENCYPART_ARC
(4,15),-2.06067 # DEPENDENCYPART_ARC
(5,1),1.0749 # DEPENDENCYPART_ARC
(5,2),0.0641372 # DEPENDENCYPART_ARC
(5,3),0.569098 # DEPENDENCYPART_ARC
(5,4),1.46102 # DEPENDENCYPART_ARC
(5,6),-0.885344 # DEPENDENCYPART_ARC
(5,7),-0.917056 # DEPENDENCYPART_ARC
(5,8),-1.39495 # DEPENDENCYPART_ARC
(5,11),-0.990243 # DEPENDENCYPART_ARC
(5,12),-0.820209 # DEPENDENCYPART_ARC
(5,14),-0.81969 # DEPENDENCYPART_ARC
(6,3),-0.148707 # DEPENDENCYPART_ARC
(6,4),0.580437 # DEPENDENCYPART_ARC
(6,5),0.438123 # DEPENDENCYPART_ARC
(7,1),-0.0969964 # DEPENDENCYPART_ARC
(7,2),0.736359 # DEPENDENCYPART_ARC
(7,3),-0.604738 # DEPENDENCYPART_ARC
(7,4),0.39339 # DEPENDENCYPART_ARC
