# _root_ Uykusunu bir _ türlü _ _ alamayan eşeğin gönlünü _ almak için _ çeşitli _ komiklikler yapar , ona şeker verir , sağrısını sıvazlarmış .
#goldHeads=6,4,4,6,6,7,8,9,10,11,12,17,14,16,16,17,18,21,21,21,22,24,24,25,0,
#predictedHeads=17,4,4,8,6,7,8,9,10,11,12,17,14,15,16,17,18,21,21,21,22,24,24,25,0,
(0,18),1.11423 # DEPENDENCYPART_ARC
(0,22),0.294183 # DEPENDENCYPART_ARC
(0,25),2.47765 # DEPENDENCYPART_ARC
(1,2),-0.503978 # DEPENDENCYPART_ARC
(1,4),-1.30079 # DEPENDENCYPART_ARC
(2,1),0.273661 # DEPENDENCYPART_ARC
(3,1),0.269909 # DEPENDENCYPART_ARC
(3,2),0.651053 # DEPENDENCYPART_ARC
(4,1),0.374554 # DEPENDENCYPART_ARC
(4,2),1.27746 # DEPENDENCYPART_ARC
(4,3),3.18946 # DEPENDENCYPART_ARC
(4,23),-2.12918 # DEPENDENCYPART_ARC
(5,1),0.312801 # DEPENDENCYPART_ARC
(5,2),-0.525672 # DEPENDENCYPART_ARC
(5,3),0.609645 # DEPENDENCYPART_ARC
(5,4),0.382569 # DEPENDENCYPART_ARC
(5,17),-0.412662 # DEPENDENCYPART_ARC
(6,1),1.1023 # DEPENDENCYPART_ARC
(6,2),0.318676 # DEPENDENCYPART_ARC
(6,3),0.108189 # DEPENDENCYPART_ARC
(6,4),1.03548 # DEPENDENCYPART_ARC
(6,5),2.38174 # DEPENDENCYPART_ARC
(6,17),-1.64312 # DEPENDENCYPART_ARC
(7,1),0.735968 # DEPENDENCYPART_ARC
(7,2),0.545423 # DEPENDENCYPART_ARC
(7,3),0.722723 # DEPENDENCYPART_ARC
(7,4),0.646796 # DEPENDENCYPART_ARC
(7,5),0.55273 # DEPENDENCYPART_ARC
(7,6),2.26012 # DEPENDENCYPART_ARC
(8,3),-1.70169 # DEPENDENCYPART_ARC
(8,4),1.23611 # DEPENDENCYPART_ARC
(8,5),-0.733184 # DEPENDENCYPART_ARC
(8,6),0.0307668 # DEPENDENCYPART_ARC
(8,7),2.19322 # DEPENDENCYPART_ARC
(9,4),0.656974 # DEPENDENCYPART_ARC
(9,5),-1.7972 # DEPENDENCYPART_ARC
(9,6),-0.825118 # DEPENDENCYPART_ARC
(9,7),1.0277 # DEPENDENCYPART_ARC
(9,8),3.58828 # DEPENDENCYPART_ARC
(9,24),-1.97226 # DEPENDENCYPART_ARC
(10,1),0.835317 # DEPENDENCYPART_ARC
(10,2),0.0295116 # DEPENDENCYPART_ARC
(10,3),-4.63748 # DEPENDENCYPART_ARC
(10,4),-0.333757 # DEPENDENCYPART_ARC
(10,5),-3.24867 # DEPENDENCYPART_ARC
(10,6),-2.14614 # DEPENDENCYPART_ARC
(10,7),-0.166434 # DEPENDENCYPART_ARC
(10,8),1.7956 # DEPENDENCYPART_ARC
(10,9),2.57176 # DEPENDENCYPART_ARC
(10,11),-0.181354 # DEPENDENCYPART_ARC
(10,13),-1.11339 # DEPENDENCYPART_ARC
(10,15),-1.59171 # DEPENDENCYPART_ARC
(10,16),-1.43054 # DEPENDENCYPART_ARC
(10,17),-1.40099 # DEPENDENCYPART_ARC
(10,21),-1.5538 # DEPENDENCYPART_ARC
(10,24),-1.4198 # DEPENDENCYPART_ARC
(11,1),-0.966312 # DEPENDENCYPART_ARC
(11,3),-3.68271 # DEPENDENCYPART_ARC
(11,4),0.165123 # DEPENDENCYPART_ARC
(11,7),0.544709 # DEPENDENCYPART_ARC
(11,8),0.380142 # DEPENDENCYPART_ARC
(11,9),1.25636 # DEPENDENCYPART_ARC
(11,10),2.70488 # DEPENDENCYPART_ARC
(12,8),-0.436817 # DEPENDENCYPART_ARC
(12,9),0.440967 # DEPENDENCYPART_ARC
(12,10),0.0745551 # DEPENDENCYPART_ARC
(12,11),3.41105 # DEPENDENCYPART_ARC
(12,13),0.115999 # DEPENDENCYPART_ARC
(12,15),-0.401009 # DEPENDENCYPART_ARC
(12,16),-0.365102 # DEPENDENCYPART_ARC
(13,7),-1.19837 # DEPENDENCYPART_ARC
(13,9),-0.907703 # DEPENDENCYPART_ARC
(13,10),-0.189528 # DEPENDENCYPART_ARC
(13,11),0.163837 # DEPENDENCYPART_ARC
(13,12),0.19009 # DEPENDENCYPART_ARC
(13,14),0.190362 # DEPENDENCYPART_ARC
(13,15),-0.436244 # DEPENDENCYPART_ARC
(13,21),-1.66271 # DEPENDENCYPART_ARC
(14,3),-2.03854 # DEPENDENCYPART_ARC
(14,5),-2.50314 # DEPENDENCYPART_ARC
(14,6),-1.83031 # DEPENDENCYPART_ARC
(14,8),0.0978192 # DEPENDENCYPART_ARC
(14,9),0.165944 # DEPENDENCYPART_ARC
(14,10),-0.277591 # DEPENDENCYPART_ARC
(14,11),0.769223 # DEPENDENCYPART_ARC
(14,12),0.521464 # DEPENDENCYPART_ARC
(14,13),3.01029 # DEPENDENCYPART_ARC
(14,15),-0.530429 # DEPENDENCYPART_ARC
(14,19),-1.19495 # DEPENDENCYPART_ARC
(14,20),-1.55433 # DEPENDENCYPART_ARC
(14,23),-1.49055 # DEPENDENCYPART_ARC
(15,7),-0.124167 # DEPENDENCYPART_ARC
(15,8),-0.500865 # DEPENDENCYPART_ARC
(15,9),-0.422556 # DEPENDENCYPART_ARC
(15,10),-1.70253 # DEPENDENCYPART_ARC
(15,11),-0.0417531 # DEPENDENCYPART_ARC
(15,12),0.100272 # DEPENDENCYPART_ARC
(15,13),0.72774 # DEPENDENCYPART_ARC
(15,14),1.47823 # DEPENDENCYPART_ARC
(15,20),-0.813707 # DEPENDENCYPART_ARC
(15,24),-1.99264 # DEPENDENCYPART_ARC
(16,2),0.56235 # DEPENDENCYPART_ARC
(16,3),-5.5615 # DEPENDENCYPART_ARC
(16,4),-0.134166 # DEPENDENCYPART_ARC
(16,7),-0.0402448 # DEPENDENCYPART_ARC
(16,8),0.64067 # DEPENDENCYPART_ARC
(16,9),-1.37189 # DEPENDENCYPART_ARC
(16,10),-2.04881 # DEPENDENCYPART_ARC
(16,11),0.571512 # DEPENDENCYPART_ARC
(16,12),0.644785 # DEPENDENCYPART_ARC
(16,13),-0.0395726 # DEPENDENCYPART_ARC
(16,14),1.06796 # DEPENDENCYPART_ARC
(16,15),2.96805 # DEPENDENCYPART_ARC
(16,18),-0.32463 # DEPENDENCYPART_ARC
(16,19),-1.86627 # DEPENDENCYPART_ARC
(16,20),-1.49689 # DEPENDENCYPART_ARC
(16,21),-1.64914 # DEPENDENCYPART_ARC
(16,24),-1.7623 # DEPENDENCYPART_ARC
(17,1),2.08263 # DEPENDENCYPART_ARC
(17,2),1.10999 # DEPENDENCYPART_ARC
(17,3),-6.34637 # DEPENDENCYPART_ARC
(17,4),0.468064 # DEPENDENCYPART_ARC
(17,5),-6.36586 # DEPENDENCYPART_ARC
(17,6),-5.6911 # DEPENDENCYPART_ARC
(17,8),0.940978 # DEPENDENCYPART_ARC
(17,9),1.72083 # DEPENDENCYPART_ARC
(17,10),-2.8039 # DEPENDENCYPART_ARC
(17,11),1.73259 # DEPENDENCYPART_ARC
(17,12),2.29812 # DEPENDENCYPART_ARC
(17,13),0.413626 # DEPENDENCYPART_ARC
(17,14),1.05049 # DEPENDENCYPART_ARC
(17,15),2.23606 # DEPENDENCYPART_ARC
(17,16),3.88333 # DEPENDENCYPART_ARC
(17,18),-0.718307 # DEPENDENCYPART_ARC
(17,19),-0.283707 # DEPENDENCYPART_ARC
(17,20),-0.757288 # DEPENDENCYPART_ARC
(17,21),-1.28384 # DEPENDENCYPART_ARC
(17,22),-1.52852 # DEPENDENCYPART_ARC
(17,23),-1.18861 # DEPENDENCYPART_ARC
(17,24),-0.976468 # DEPENDENCYPART_ARC
(17,25),-1.91779 # DEPENDENCYPART_ARC
(18,6),-4.41604 # DEPENDENCYPART_ARC
(18,7),-1.49163 # DEPENDENCYPART_ARC
(18,10),-3.51723 # DEPENDENCYPART_ARC
(18,11),-0.45147 # DEPENDENCYPART_ARC
(18,12),-0.473729 # DEPENDENCYPART_ARC
(18,13),-1.91985 # DEPENDENCYPART_ARC
(18,14),-0.704217 # DEPENDENCYPART_ARC
(18,15),-1.29553 # DEPENDENCYPART_ARC
(18,16),-0.177 # DEPENDENCYPART_ARC
(18,17),0.849615 # DEPENDENCYPART_ARC
(18,20),0.0364096 # DEPENDENCYPART_ARC
