# _root_ Gazete ve dergilerde _ _ yayımlanan güncel , siyasal , toplumsal sorunları _ ele_alan _ yazılardır .
#goldHeads=2,3,5,5,6,12,8,9,10,11,12,13,14,15,16,17,0,
#predictedHeads=2,3,5,5,6,12,8,0,10,0,12,13,14,15,16,17,0,
(0,8),1.16496 # DEPENDENCYPART_ARC
(0,10),1.05284 # DEPENDENCYPART_ARC
(0,17),2.81195 # DEPENDENCYPART_ARC
(1,2),0.150071 # DEPENDENCYPART_ARC
(1,4),-1.62506 # DEPENDENCYPART_ARC
(2,1),3.43201 # DEPENDENCYPART_ARC
(3,1),0.390824 # DEPENDENCYPART_ARC
(3,2),1.74165 # DEPENDENCYPART_ARC
(3,4),-0.189791 # DEPENDENCYPART_ARC
(3,7),-0.486379 # DEPENDENCYPART_ARC
(4,1),0.58494 # DEPENDENCYPART_ARC
(4,2),-0.141776 # DEPENDENCYPART_ARC
(4,3),1.12346 # DEPENDENCYPART_ARC
(4,7),-0.378481 # DEPENDENCYPART_ARC
(4,10),-0.988026 # DEPENDENCYPART_ARC
(4,12),-1.83627 # DEPENDENCYPART_ARC
(4,13),-1.45846 # DEPENDENCYPART_ARC
(5,1),0.505458 # DEPENDENCYPART_ARC
(5,2),-0.065226 # DEPENDENCYPART_ARC
(5,3),1.65409 # DEPENDENCYPART_ARC
(5,4),2.81545 # DEPENDENCYPART_ARC
(5,7),-0.41222 # DEPENDENCYPART_ARC
(5,13),-2.23841 # DEPENDENCYPART_ARC
(6,1),0.96757 # DEPENDENCYPART_ARC
(6,2),0.424181 # DEPENDENCYPART_ARC
(6,3),1.36678 # DEPENDENCYPART_ARC
(6,4),0.665612 # DEPENDENCYPART_ARC
(6,5),2.19245 # DEPENDENCYPART_ARC
(7,1),0.219845 # DEPENDENCYPART_ARC
(7,2),-0.287255 # DEPENDENCYPART_ARC
(7,3),0.302298 # DEPENDENCYPART_ARC
(7,4),-0.514457 # DEPENDENCYPART_ARC
(7,5),0.35764 # DEPENDENCYPART_ARC
(7,6),0.415554 # DEPENDENCYPART_ARC
(7,12),-1.0867 # DEPENDENCYPART_ARC
(7,15),-1.14346 # DEPENDENCYPART_ARC
(8,1),-0.17799 # DEPENDENCYPART_ARC
(8,2),-0.742089 # DEPENDENCYPART_ARC
(8,3),0.0773942 # DEPENDENCYPART_ARC
(8,4),-1.30424 # DEPENDENCYPART_ARC
(8,5),-0.675709 # DEPENDENCYPART_ARC
(8,6),-0.26076 # DEPENDENCYPART_ARC
(8,7),0.845277 # DEPENDENCYPART_ARC
(8,10),-0.713082 # DEPENDENCYPART_ARC
(8,13),-1.13345 # DEPENDENCYPART_ARC
(8,16),-0.912012 # DEPENDENCYPART_ARC
(9,5),-0.858928 # DEPENDENCYPART_ARC
(9,6),-1.16153 # DEPENDENCYPART_ARC
(9,7),-0.844604 # DEPENDENCYPART_ARC
(9,8),1.01793 # DEPENDENCYPART_ARC
(9,12),-0.724116 # DEPENDENCYPART_ARC
(9,15),-0.906048 # DEPENDENCYPART_ARC
(10,4),-1.96555 # DEPENDENCYPART_ARC
(10,5),-1.44591 # DEPENDENCYPART_ARC
(10,6),-0.920361 # DEPENDENCYPART_ARC
(10,7),-0.526075 # DEPENDENCYPART_ARC
(10,8),-0.573947 # DEPENDENCYPART_ARC
(10,9),0.720063 # DEPENDENCYPART_ARC
(10,12),-0.70778 # DEPENDENCYPART_ARC
(10,13),-0.893849 # DEPENDENCYPART_ARC
(10,15),-1.10456 # DEPENDENCYPART_ARC
(10,16),-0.844734 # DEPENDENCYPART_ARC
(10,17),-0.947958 # DEPENDENCYPART_ARC
(11,5),-1.07801 # DEPENDENCYPART_ARC
(11,8),-0.450297 # DEPENDENCYPART_ARC
(11,9),-0.718552 # DEPENDENCYPART_ARC
(11,10),0.700636 # DEPENDENCYPART_ARC
(11,12),0.0562513 # DEPENDENCYPART_ARC
(11,15),-0.49635 # DEPENDENCYPART_ARC
(12,1),-0.49543 # DEPENDENCYPART_ARC
(12,2),0.129202 # DEPENDENCYPART_ARC
(12,3),-1.79086 # DEPENDENCYPART_ARC
(12,5),-3.02604 # DEPENDENCYPART_ARC
(12,6),0.453282 # DEPENDENCYPART_ARC
(12,7),0.392456 # DEPENDENCYPART_ARC
(12,8),-0.233868 # DEPENDENCYPART_ARC
(12,9),0.299161 # DEPENDENCYPART_ARC
(12,10),0.22393 # DEPENDENCYPART_ARC
(12,11),2.24252 # DEPENDENCYPART_ARC
(12,13),-0.229626 # DEPENDENCYPART_ARC
(12,15),-1.17299 # DEPENDENCYPART_ARC
(13,1),-0.634748 # DEPENDENCYPART_ARC
(13,3),0.0623266 # DEPENDENCYPART_ARC
(13,4),-4.46863 # DEPENDENCYPART_ARC
(13,5),-3.81426 # DEPENDENCYPART_ARC
(13,6),-1.07587 # DEPENDENCYPART_ARC
(13,7),-1.08543 # DEPENDENCYPART_ARC
(13,8),-0.902445 # DEPENDENCYPART_ARC
(13,9),-0.744607 # DEPENDENCYPART_ARC
(13,10),-0.0290984 # DEPENDENCYPART_ARC
(13,11),0.268033 # DEPENDENCYPART_ARC
(13,12),2.71765 # DEPENDENCYPART_ARC
(13,15),-0.860788 # DEPENDENCYPART_ARC
(13,16),-1.21699 # DEPENDENCYPART_ARC
(14,3),0.111724 # DEPENDENCYPART_ARC
