# _root_ O kolay , dedi Katana , ben taşırım .
#goldHeads=2,6,4,9,4,4,8,6,0,
#predictedHeads=2,3,4,9,4,4,8,9,0,
(0,3),0.669424 # DEPENDENCYPART_ARC
(0,4),-1.62051 # DEPENDENCYPART_ARC
(0,5),-1.4632 # DEPENDENCYPART_ARC
(0,6),0.567825 # DEPENDENCYPART_ARC
(0,8),-1.69178 # DEPENDENCYPART_ARC
(0,9),1.87853 # DEPENDENCYPART_ARC
(2,1),1.11401 # DEPENDENCYPART_ARC
(2,7),-0.476147 # DEPENDENCYPART_ARC
(3,1),-0.265947 # DEPENDENCYPART_ARC
(3,2),0.956706 # DEPENDENCYPART_ARC
(3,4),0.0880547 # DEPENDENCYPART_ARC
(3,5),0.36861 # DEPENDENCYPART_ARC
(3,6),-0.241648 # DEPENDENCYPART_ARC
(3,8),0.24235 # DEPENDENCYPART_ARC
(3,9),-0.668738 # DEPENDENCYPART_ARC
(4,1),0.0596622 # DEPENDENCYPART_ARC
(4,2),0.282889 # DEPENDENCYPART_ARC
(4,3),1.58572 # DEPENDENCYPART_ARC
(4,5),3.32179 # DEPENDENCYPART_ARC
(4,6),1.25836 # DEPENDENCYPART_ARC
(4,7),0.132839 # DEPENDENCYPART_ARC
(4,8),0.0338919 # DEPENDENCYPART_ARC
(4,9),-0.125663 # DEPENDENCYPART_ARC
(5,2),-0.8971 # DEPENDENCYPART_ARC
(5,3),-0.464734 # DEPENDENCYPART_ARC
(5,4),0.519869 # DEPENDENCYPART_ARC
(6,2),-0.997737 # DEPENDENCYPART_ARC
(6,3),-0.552114 # DEPENDENCYPART_ARC
(6,4),0.607534 # DEPENDENCYPART_ARC
(6,5),0.447765 # DEPENDENCYPART_ARC
(6,8),-0.212399 # DEPENDENCYPART_ARC
(6,9),-0.714514 # DEPENDENCYPART_ARC
(7,3),-0.808294 # DEPENDENCYPART_ARC
(7,6),0.146455 # DEPENDENCYPART_ARC
(8,1),0.0984877 # DEPENDENCYPART_ARC
(8,2),-0.491034 # DEPENDENCYPART_ARC
(8,3),-0.330402 # DEPENDENCYPART_ARC
(8,4),-0.288589 # DEPENDENCYPART_ARC
(8,5),0.502784 # DEPENDENCYPART_ARC
(8,6),0.453871 # DEPENDENCYPART_ARC
(8,7),3.16924 # DEPENDENCYPART_ARC
(8,9),-0.993064 # DEPENDENCYPART_ARC
(9,2),-1.15387 # DEPENDENCYPART_ARC
(9,3),-0.635651 # DEPENDENCYPART_ARC
(9,4),1.55584 # DEPENDENCYPART_ARC
(9,5),-0.507235 # DEPENDENCYPART_ARC
(9,6),0.190528 # DEPENDENCYPART_ARC
(9,7),-0.240502 # DEPENDENCYPART_ARC
(9,8),1.29459 # DEPENDENCYPART_ARC
