# _root_ Ancak özellikle evrenbilim ve parçacık fiziğinde bugün bu ilke ne yazık ki _ çiğnenmiş , bu iki bilim dalı metafizik öğelerle , hayaletlerle dolmuştur .
#goldHeads=15,14,4,6,6,13,14,9,14,11,12,14,14,15,24,19,19,19,24,21,22,23,24,25,0,
#predictedHeads=25,3,4,5,6,14,14,9,10,11,14,11,14,15,0,19,18,19,20,21,24,0,24,25,0,
(0,1),-0.503567 # DEPENDENCYPART_ARC
(0,15),1.31331 # DEPENDENCYPART_ARC
(0,17),-0.811355 # DEPENDENCYPART_ARC
(0,22),0.9885 # DEPENDENCYPART_ARC
(0,25),1.80062 # DEPENDENCYPART_ARC
(1,2),-0.16952 # DEPENDENCYPART_ARC
(1,3),-0.826945 # DEPENDENCYPART_ARC
(2,1),0.0846546 # DEPENDENCYPART_ARC
(3,1),-0.362799 # DEPENDENCYPART_ARC
(3,2),0.492919 # DEPENDENCYPART_ARC
(3,4),0.0460509 # DEPENDENCYPART_ARC
(3,5),-1.36301 # DEPENDENCYPART_ARC
(3,8),-1.61931 # DEPENDENCYPART_ARC
(3,9),-1.60795 # DEPENDENCYPART_ARC
(3,13),-1.7694 # DEPENDENCYPART_ARC
(3,16),-1.32297 # DEPENDENCYPART_ARC
(3,24),-3.4962 # DEPENDENCYPART_ARC
(4,1),0.0671267 # DEPENDENCYPART_ARC
(4,2),0.211495 # DEPENDENCYPART_ARC
(4,3),3.04406 # DEPENDENCYPART_ARC
(4,5),-0.590455 # DEPENDENCYPART_ARC
(5,3),0.375785 # DEPENDENCYPART_ARC
(5,4),1.27794 # DEPENDENCYPART_ARC
(5,6),-1.41809 # DEPENDENCYPART_ARC
(5,8),-0.909125 # DEPENDENCYPART_ARC
(6,2),-0.0550363 # DEPENDENCYPART_ARC
(6,3),0.600444 # DEPENDENCYPART_ARC
(6,4),0.944331 # DEPENDENCYPART_ARC
(6,5),2.87048 # DEPENDENCYPART_ARC
(6,7),-0.40683 # DEPENDENCYPART_ARC
(6,8),-0.582406 # DEPENDENCYPART_ARC
(6,9),-0.691785 # DEPENDENCYPART_ARC
(6,10),-0.729874 # DEPENDENCYPART_ARC
(7,3),-0.972999 # DEPENDENCYPART_ARC
(7,4),-0.0146592 # DEPENDENCYPART_ARC
(7,5),0.296327 # DEPENDENCYPART_ARC
(7,6),0.709394 # DEPENDENCYPART_ARC
(7,8),0.139748 # DEPENDENCYPART_ARC
(7,9),-0.110232 # DEPENDENCYPART_ARC
(7,10),-0.242508 # DEPENDENCYPART_ARC
(7,13),-0.919462 # DEPENDENCYPART_ARC
(7,16),-0.455985 # DEPENDENCYPART_ARC
(7,24),-2.64292 # DEPENDENCYPART_ARC
(8,6),-0.980891 # DEPENDENCYPART_ARC
(8,7),-0.316512 # DEPENDENCYPART_ARC
(9,2),-0.475362 # DEPENDENCYPART_ARC
(9,3),-0.756925 # DEPENDENCYPART_ARC
(9,4),-0.253042 # DEPENDENCYPART_ARC
(9,5),-0.193145 # DEPENDENCYPART_ARC
(9,6),-0.629697 # DEPENDENCYPART_ARC
(9,7),0.86037 # DEPENDENCYPART_ARC
(9,8),1.71127 # DEPENDENCYPART_ARC
(9,10),0.203315 # DEPENDENCYPART_ARC
(9,12),-0.935068 # DEPENDENCYPART_ARC
(9,13),-1.38444 # DEPENDENCYPART_ARC
(9,14),-2.49996 # DEPENDENCYPART_ARC
(9,16),-1.21768 # DEPENDENCYPART_ARC
(9,24),-3.13225 # DEPENDENCYPART_ARC
(10,1),-0.38535 # DEPENDENCYPART_ARC
(10,3),-0.237476 # DEPENDENCYPART_ARC
(10,4),-0.549991 # DEPENDENCYPART_ARC
(10,5),-1.0199 # DEPENDENCYPART_ARC
(10,6),-0.843806 # DEPENDENCYPART_ARC
(10,7),-0.404622 # DEPENDENCYPART_ARC
(10,9),1.4764 # DEPENDENCYPART_ARC
(11,10),0.498961 # DEPENDENCYPART_ARC
(11,12),1.24149 # DEPENDENCYPART_ARC
(12,4),-0.972914 # DEPENDENCYPART_ARC
(12,6),-1.63466 # DEPENDENCYPART_ARC
(12,7),-1.51622 # DEPENDENCYPART_ARC
(12,9),-0.856419 # DEPENDENCYPART_ARC
(12,10),-1.05548 # DEPENDENCYPART_ARC
(13,2),-0.94074 # DEPENDENCYPART_ARC
(13,3),-0.197826 # DEPENDENCYPART_ARC
(13,5),-0.356199 # DEPENDENCYPART_ARC
(13,6),-0.262 # DEPENDENCYPART_ARC
(13,7),0.293208 # DEPENDENCYPART_ARC
(13,8),-1.17581 # DEPENDENCYPART_ARC
(13,9),0.118052 # DEPENDENCYPART_ARC
(13,10),-1.20261 # DEPENDENCYPART_ARC
(13,11),-0.817685 # DEPENDENCYPART_ARC
(13,12),-0.249655 # DEPENDENCYPART_ARC
(13,14),0.542248 # DEPENDENCYPART_ARC
(13,18),-0.685638 # DEPENDENCYPART_ARC
(13,19),-0.808034 # DEPENDENCYPART_ARC
(13,20),-0.932843 # DEPENDENCYPART_ARC
(13,21),-0.708945 # DEPENDENCYPART_ARC
(13,22),-0.0741027 # DEPENDENCYPART_ARC
(13,23),-1.46608 # DEPENDENCYPART_ARC
(13,24),-0.421966 # DEPENDENCYPART_ARC
(14,1),-0.343157 # DEPENDENCYPART_ARC
(14,2),0.362966 # DEPENDENCYPART_ARC
(14,3),0.900899 # DEPENDENCYPART_ARC
(14,4),-0.308862 # DEPENDENCYPART_ARC
(14,5),0.723936 # DEPENDENCYPART_ARC
(14,6),1.08364 # DEPENDENCYPART_ARC
(14,7),1.26429 # DEPENDENCYPART_ARC
(14,8),0.0787939 # DEPENDENCYPART_ARC
(14,9),1.19336 # DEPENDENCYPART_ARC
(14,10),-0.109105 # DEPENDENCYPART_ARC
(14,11),0.498885 # DEPENDENCYPART_ARC
