# _root_ " O zaman , " demiş cadı sesini biraz daha _ _ alçaltarak , " _ alabilirsin , canı ne kadar çekiyorsa _ alabilirsin .
#goldHeads=0,3,4,6,0,14,6,12,10,12,12,13,6,17,0,17,18,24,22,21,22,24,24,25,0,
#predictedHeads=0,3,17,0,0,14,8,12,10,13,12,13,6,0,0,17,18,24,21,21,22,24,24,25,0,
(0,1),4.11305 # DEPENDENCYPART_ARC
(0,4),2.10546 # DEPENDENCYPART_ARC
(0,5),3.24296 # DEPENDENCYPART_ARC
(0,14),1.50337 # DEPENDENCYPART_ARC
(0,15),2.79952 # DEPENDENCYPART_ARC
(0,18),-0.177465 # DEPENDENCYPART_ARC
(0,25),2.37235 # DEPENDENCYPART_ARC
(1,3),-1.05579 # DEPENDENCYPART_ARC
(1,4),-0.899972 # DEPENDENCYPART_ARC
(1,17),-1.40865 # DEPENDENCYPART_ARC
(1,22),-1.54826 # DEPENDENCYPART_ARC
(1,23),-2.0937 # DEPENDENCYPART_ARC
(1,24),-1.62423 # DEPENDENCYPART_ARC
(2,1),0.388036 # DEPENDENCYPART_ARC
(3,1),-0.215569 # DEPENDENCYPART_ARC
(3,2),1.93133 # DEPENDENCYPART_ARC
(3,4),-0.790183 # DEPENDENCYPART_ARC
(4,1),-0.583951 # DEPENDENCYPART_ARC
(4,2),-0.521095 # DEPENDENCYPART_ARC
(4,3),0.211325 # DEPENDENCYPART_ARC
(4,5),-0.270158 # DEPENDENCYPART_ARC
(4,22),-0.861462 # DEPENDENCYPART_ARC
(4,23),-1.50951 # DEPENDENCYPART_ARC
(4,24),-0.755886 # DEPENDENCYPART_ARC
(5,2),-1.26464 # DEPENDENCYPART_ARC
(5,4),-0.179897 # DEPENDENCYPART_ARC
(5,6),-0.178585 # DEPENDENCYPART_ARC
(5,7),-0.164336 # DEPENDENCYPART_ARC
(5,11),-0.516242 # DEPENDENCYPART_ARC
(5,12),-0.329655 # DEPENDENCYPART_ARC
(5,16),-1.04737 # DEPENDENCYPART_ARC
(5,17),-0.610009 # DEPENDENCYPART_ARC
(5,22),-0.903423 # DEPENDENCYPART_ARC
(5,23),-1.26266 # DEPENDENCYPART_ARC
(5,24),-0.758849 # DEPENDENCYPART_ARC
(6,1),-0.701527 # DEPENDENCYPART_ARC
(6,2),-0.609019 # DEPENDENCYPART_ARC
(6,3),0.458286 # DEPENDENCYPART_ARC
(6,4),-0.182493 # DEPENDENCYPART_ARC
(6,5),1.51807 # DEPENDENCYPART_ARC
(6,7),1.25697 # DEPENDENCYPART_ARC
(6,8),1.1575 # DEPENDENCYPART_ARC
(6,9),-0.112443 # DEPENDENCYPART_ARC
(6,10),-0.248355 # DEPENDENCYPART_ARC
(6,11),-0.708567 # DEPENDENCYPART_ARC
(6,12),-1.42598 # DEPENDENCYPART_ARC
(6,13),1.08453 # DEPENDENCYPART_ARC
(6,14),-0.741977 # DEPENDENCYPART_ARC
(6,15),-0.684762 # DEPENDENCYPART_ARC
(6,16),-1.26059 # DEPENDENCYPART_ARC
(6,17),-0.922104 # DEPENDENCYPART_ARC
(6,19),-0.881251 # DEPENDENCYPART_ARC
(6,20),-0.911151 # DEPENDENCYPART_ARC
(7,2),-0.673626 # DEPENDENCYPART_ARC
(7,5),-0.961313 # DEPENDENCYPART_ARC
(7,6),0.612858 # DEPENDENCYPART_ARC
(7,9),0.200414 # DEPENDENCYPART_ARC
(8,2),-0.449436 # DEPENDENCYPART_ARC
(8,3),-0.66733 # DEPENDENCYPART_ARC
(8,4),-0.181827 # DEPENDENCYPART_ARC
(8,5),-0.328341 # DEPENDENCYPART_ARC
(8,6),-0.152654 # DEPENDENCYPART_ARC
(8,7),2.12249 # DEPENDENCYPART_ARC
(8,9),0.0649386 # DEPENDENCYPART_ARC
(8,10),-0.109284 # DEPENDENCYPART_ARC
(9,7),-0.341295 # DEPENDENCYPART_ARC
(9,8),0.0868557 # DEPENDENCYPART_ARC
(9,10),0.246929 # DEPENDENCYPART_ARC
(10,7),-0.48856 # DEPENDENCYPART_ARC
(10,8),-0.0730743 # DEPENDENCYPART_ARC
(10,9),1.69692 # DEPENDENCYPART_ARC
