# _root_ Ancak , o bahçeye _ girmek büyük cesaret istiyormuş , çünkü orası _ güçlü bir cadıya _ aitmiş .
#goldHeads=5,0,4,5,6,9,8,9,10,18,18,18,14,16,16,17,18,19,0,
#predictedHeads=19,0,4,5,6,9,8,9,10,18,19,13,14,16,16,17,18,19,0,
(0,1),-0.394807 # DEPENDENCYPART_ARC
(0,2),2.50119 # DEPENDENCYPART_ARC
(0,9),-1.511 # DEPENDENCYPART_ARC
(0,10),1.02281 # DEPENDENCYPART_ARC
(0,19),2.20967 # DEPENDENCYPART_ARC
(2,1),0.0404119 # DEPENDENCYPART_ARC
(2,4),-0.678965 # DEPENDENCYPART_ARC
(2,9),-0.981799 # DEPENDENCYPART_ARC
(2,18),-1.35552 # DEPENDENCYPART_ARC
(3,2),-0.0529677 # DEPENDENCYPART_ARC
(4,1),-0.66228 # DEPENDENCYPART_ARC
(4,2),-0.175977 # DEPENDENCYPART_ARC
(4,3),1.93465 # DEPENDENCYPART_ARC
(4,5),-0.752448 # DEPENDENCYPART_ARC
(4,6),-1.16258 # DEPENDENCYPART_ARC
(4,7),-0.917646 # DEPENDENCYPART_ARC
(4,15),-1.10002 # DEPENDENCYPART_ARC
(5,1),-0.247489 # DEPENDENCYPART_ARC
(5,2),-0.165421 # DEPENDENCYPART_ARC
(5,3),0.14095 # DEPENDENCYPART_ARC
(5,4),2.71443 # DEPENDENCYPART_ARC
(5,6),-0.0187809 # DEPENDENCYPART_ARC
(5,7),-0.589646 # DEPENDENCYPART_ARC
(5,8),-0.887483 # DEPENDENCYPART_ARC
(5,17),-1.51642 # DEPENDENCYPART_ARC
(6,1),-0.75273 # DEPENDENCYPART_ARC
(6,2),-0.259002 # DEPENDENCYPART_ARC
(6,3),0.399015 # DEPENDENCYPART_ARC
(6,4),0.425743 # DEPENDENCYPART_ARC
(6,5),2.48689 # DEPENDENCYPART_ARC
(6,7),-0.209038 # DEPENDENCYPART_ARC
(7,2),-0.658891 # DEPENDENCYPART_ARC
(7,3),-0.350907 # DEPENDENCYPART_ARC
(7,4),0.409398 # DEPENDENCYPART_ARC
(7,5),0.296185 # DEPENDENCYPART_ARC
(7,6),1.15539 # DEPENDENCYPART_ARC
(7,16),-1.14035 # DEPENDENCYPART_ARC
(8,1),-0.680505 # DEPENDENCYPART_ARC
(8,2),-0.453909 # DEPENDENCYPART_ARC
(8,3),0.232327 # DEPENDENCYPART_ARC
(8,4),-0.428854 # DEPENDENCYPART_ARC
(8,5),-0.6655 # DEPENDENCYPART_ARC
(8,6),0.856062 # DEPENDENCYPART_ARC
(8,7),1.95104 # DEPENDENCYPART_ARC
(8,11),-0.517879 # DEPENDENCYPART_ARC
(8,15),-0.557613 # DEPENDENCYPART_ARC
(9,1),0.035136 # DEPENDENCYPART_ARC
(9,2),0.340685 # DEPENDENCYPART_ARC
(9,3),-0.272813 # DEPENDENCYPART_ARC
(9,4),1.02694 # DEPENDENCYPART_ARC
(9,5),-1.86051 # DEPENDENCYPART_ARC
(9,6),1.63318 # DEPENDENCYPART_ARC
(9,7),0.642395 # DEPENDENCYPART_ARC
(9,8),2.93782 # DEPENDENCYPART_ARC
(9,10),-0.56063 # DEPENDENCYPART_ARC
(9,11),-0.51701 # DEPENDENCYPART_ARC
(9,12),-1.36984 # DEPENDENCYPART_ARC
(9,13),-1.8964 # DEPENDENCYPART_ARC
(9,16),-1.89768 # DEPENDENCYPART_ARC
(9,17),-0.355168 # DEPENDENCYPART_ARC
(9,19),-1.97542 # DEPENDENCYPART_ARC
(10,1),0.524681 # DEPENDENCYPART_ARC
(10,2),0.0615636 # DEPENDENCYPART_ARC
(10,3),-0.414831 # DEPENDENCYPART_ARC
(10,4),0.435443 # DEPENDENCYPART_ARC
(10,5),-1.95669 # DEPENDENCYPART_ARC
(10,6),0.374216 # DEPENDENCYPART_ARC
(10,7),0.298695 # DEPENDENCYPART_ARC
(10,8),0.54986 # DEPENDENCYPART_ARC
(10,9),1.5419 # DEPENDENCYPART_ARC
(10,11),-0.440273 # DEPENDENCYPART_ARC
(10,12),-0.752708 # DEPENDENCYPART_ARC
(10,13),-0.902104 # DEPENDENCYPART_ARC
(10,16),-1.18097 # DEPENDENCYPART_ARC
(10,18),-0.955478 # DEPENDENCYPART_ARC
(11,5),-0.917479 # DEPENDENCYPART_ARC
(11,8),-0.401774 # DEPENDENCYPART_ARC
(11,9),0.370929 # DEPENDENCYPART_ARC
(11,10),0.0857353 # DEPENDENCYPART_ARC
(11,12),-0.301098 # DEPENDENCYPART_ARC
(11,13),-0.459934 # DEPENDENCYPART_ARC
(12,7),-1.09553 # DEPENDENCYPART_ARC
(12,8),-0.426281 # DEPENDENCYPART_ARC
(12,9),-1.76863 # DEPENDENCYPART_ARC
(12,10),-0.318141 # DEPENDENCYPART_ARC
(12,11),-0.123425 # DEPENDENCYPART_ARC
(12,13),-0.278586 # DEPENDENCYPART_ARC
(12,14),-0.670645 # DEPENDENCYPART_ARC
(12,15),-0.822527 # DEPENDENCYPART_ARC
(12,16),-0.480175 # DEPENDENCYPART_ARC
(12,17),-1.27164 # DEPENDENCYPART_ARC
(13,6),-1.3178 # DEPENDENCYPART_ARC
(13,7),-1.66369 # DEPENDENCYPART_ARC
(13,8),-1.45478 # DEPENDENCYPART_ARC
(13,9),-1.97676 # DEPENDENCYPART_ARC
(13,10),-0.187257 # DEPENDENCYPART_ARC
(13,11),-0.351593 # DEPENDENCYPART_ARC
(13,12),1.48128 # DEPENDENCYPART_ARC
(13,14),-0.279435 # DEPENDENCYPART_ARC
(13,15),-0.276762 # DEPENDENCYPART_ARC
(13,17),-0.79157 # DEPENDENCYPART_ARC
(14,3),-0.698835 # DEPENDENCYPART_ARC
(14,5),-2.11221 # DEPENDENCYPART_ARC
(14,6),-0.608156 # DEPENDENCYPART_ARC
(14,8),-0.368076 # DEPENDENCYPART_ARC
(14,9),-0.188917 # DEPENDENCYPART_ARC
(14,10),-0.032404 # DEPENDENCYPART_ARC
(14,11),-0.221152 # DEPENDENCYPART_ARC
(14,12),0.607559 # DEPENDENCYPART_ARC
(14,13),2.70849 # DEPENDENCYPART_ARC
(14,16),-0.815912 # DEPENDENCYPART_ARC
(15,12),-0.855365 # DEPENDENCYPART_ARC
(15,13),-0.511122 # DEPENDENCYPART_ARC
(15,14),0.0510183 # DEPENDENCYPART_ARC
(16,1),-0.711057 # DEPENDENCYPART_ARC
(16,3),-0.54194 # DEPENDENCYPART_ARC
(16,4),-1.22135 # DEPENDENCYPART_ARC
(16,6),-1.05154 # DEPENDENCYPART_ARC
(16,7),-1.05861 # DEPENDENCYPART_ARC
(16,8),-0.829024 # DEPENDENCYPART_ARC
(16,9),-1.99103 # DEPENDENCYPART_ARC
(16,10),-0.119159 # DEPENDENCYPART_ARC
(16,11),-0.251307 # DEPENDENCYPART_ARC
(16,12),0.290736 # DEPENDENCYPART_ARC
(16,13),-0.0552477 # DEPENDENCYPART_ARC
(16,14),1.93962 # DEPENDENCYPART_ARC
(16,15),2.07351 # DEPENDENCYPART_ARC
(16,17),-0.55717 # DEPENDENCYPART_ARC
(17,10),-0.605813 # DEPENDENCYPART_ARC
(17,11),0.363095 # DEPENDENCYPART_ARC
(17,12),-0.549493 # DEPENDENCYPART_ARC
(17,13),-0.476479 # DEPENDENCYPART_ARC
(17,14),-0.329763 # DEPENDENCYPART_ARC
(17,16),3.33119 # DEPENDENCYPART_ARC
(18,2),0.129913 # DEPENDENCYPART_ARC
(18,3),-0.474827 # DEPENDENCYPART_ARC
(18,4),-0.622097 # DEPENDENCYPART_ARC
(18,5),-5.87577 # DEPENDENCYPART_ARC
(18,6),-0.116369 # DEPENDENCYPART_ARC
(18,8),0.100731 # DEPENDENCYPART_ARC
(18,9),-0.666803 # DEPENDENCYPART_ARC
(18,10),1.72487 # DEPENDENCYPART_ARC
(18,11),0.725418 # DEPENDENCYPART_ARC
(18,12),1.01972 # DEPENDENCYPART_ARC
(18,13),-0.411048 # DEPENDENCYPART_ARC
(18,14),0.436647 # DEPENDENCYPART_ARC
(18,15),0.410863 # DEPENDENCYPART_ARC
(18,16),1.09968 # DEPENDENCYPART_ARC
(18,17),2.37995 # DEPENDENCYPART_ARC
(19,1),1.2262 # DEPENDENCYPART_ARC
(19,4),-0.192228 # DEPENDENCYPART_ARC
(19,5),-5.06199 # DEPENDENCYPART_ARC
(19,7),-0.564799 # DEPENDENCYPART_ARC
(19,8),-0.295615 # DEPENDENCYPART_ARC
(19,9),-0.277163 # DEPENDENCYPART_ARC
(19,10),0.0578038 # DEPENDENCYPART_ARC
(19,11),1.69904 # DEPENDENCYPART_ARC
(19,12),0.0383648 # DEPENDENCYPART_ARC
(19,13),-1.45242 # DEPENDENCYPART_ARC
(19,14),-0.439247 # DEPENDENCYPART_ARC
(19,15),-0.396212 # DEPENDENCYPART_ARC
(19,16),0.323779 # DEPENDENCYPART_ARC
(19,17),-1.36804 # DEPENDENCYPART_ARC
(19,18),1.51527 # DEPENDENCYPART_ARC
