# _root_ Kendi yaşam alanını güvence altında _ gören _ Papalık , bunun _ verdiği _ rahatlıkla , yakın geçmişte Darwin'le bile _ barışmakta bir beis görmemiştir .
#goldHeads=3,3,6,5,6,7,8,9,25,0,12,13,14,15,25,0,18,21,21,19,22,25,24,25,26,0,
#predictedHeads=2,3,6,5,6,7,9,9,10,0,12,13,15,15,16,0,18,21,21,21,22,25,24,25,26,0,
(0,10),1.12324 # DEPENDENCYPART_ARC
(0,16),1.27271 # DEPENDENCYPART_ARC
(0,26),2.53948 # DEPENDENCYPART_ARC
(2,1),1.14061 # DEPENDENCYPART_ARC
(3,1),0.731745 # DEPENDENCYPART_ARC
(3,2),2.666 # DEPENDENCYPART_ARC
(4,1),-0.873298 # DEPENDENCYPART_ARC
(4,2),0.457782 # DEPENDENCYPART_ARC
(4,3),1.05291 # DEPENDENCYPART_ARC
(4,6),-1.10736 # DEPENDENCYPART_ARC
(5,2),0.971032 # DEPENDENCYPART_ARC
(5,3),-0.0580538 # DEPENDENCYPART_ARC
(5,4),2.92153 # DEPENDENCYPART_ARC
(5,6),-0.336446 # DEPENDENCYPART_ARC
(5,25),-1.59561 # DEPENDENCYPART_ARC
(6,1),-1.45808 # DEPENDENCYPART_ARC
(6,2),0.514461 # DEPENDENCYPART_ARC
(6,3),1.34071 # DEPENDENCYPART_ARC
(6,4),1.31839 # DEPENDENCYPART_ARC
(6,5),2.47611 # DEPENDENCYPART_ARC
(6,8),-0.891052 # DEPENDENCYPART_ARC
(6,20),-1.11203 # DEPENDENCYPART_ARC
(6,22),-3.30818 # DEPENDENCYPART_ARC
(7,2),0.728459 # DEPENDENCYPART_ARC
(7,3),1.00854 # DEPENDENCYPART_ARC
(7,4),1.21811 # DEPENDENCYPART_ARC
(7,5),1.75444 # DEPENDENCYPART_ARC
(7,6),2.30874 # DEPENDENCYPART_ARC
(8,2),0.00596528 # DEPENDENCYPART_ARC
(8,3),-0.376871 # DEPENDENCYPART_ARC
(8,4),0.397013 # DEPENDENCYPART_ARC
(8,5),-0.331105 # DEPENDENCYPART_ARC
(8,6),-0.153091 # DEPENDENCYPART_ARC
(8,7),1.21054 # DEPENDENCYPART_ARC
(8,23),-0.633611 # DEPENDENCYPART_ARC
(9,2),0.53614 # DEPENDENCYPART_ARC
(9,3),-1.21399 # DEPENDENCYPART_ARC
(9,4),0.862852 # DEPENDENCYPART_ARC
(9,5),-0.749835 # DEPENDENCYPART_ARC
(9,6),-0.886318 # DEPENDENCYPART_ARC
(9,7),1.55654 # DEPENDENCYPART_ARC
(9,8),2.45309 # DEPENDENCYPART_ARC
(9,11),-1.32691 # DEPENDENCYPART_ARC
