# _root_ Dışişleri_Bakanlığı , Türkiye'nin devlet _ olarak dava sürecine müdahil _ olmama kararını , Yunan mevzuatına _ dayanarak aldı .
#goldHeads=18,0,12,5,6,11,8,11,11,11,12,18,0,15,17,17,18,19,0,
#predictedHeads=2,0,5,5,6,9,8,10,11,11,12,13,0,15,16,17,18,19,0,
(0,2),1.90887 # DEPENDENCYPART_ARC
(0,13),1.31585 # DEPENDENCYPART_ARC
(0,19),2.62774 # DEPENDENCYPART_ARC
(1,2),0.053535 # DEPENDENCYPART_ARC
(1,18),-2.64429 # DEPENDENCYPART_ARC
(2,1),0.390142 # DEPENDENCYPART_ARC
(2,16),-1.54744 # DEPENDENCYPART_ARC
(2,18),-1.05941 # DEPENDENCYPART_ARC
(3,1),-1.21323 # DEPENDENCYPART_ARC
(3,2),0.076928 # DEPENDENCYPART_ARC
(4,1),-1.43672 # DEPENDENCYPART_ARC
(4,2),-0.041232 # DEPENDENCYPART_ARC
(4,3),1.49526 # DEPENDENCYPART_ARC
(4,5),-0.723652 # DEPENDENCYPART_ARC
(5,1),-0.167038 # DEPENDENCYPART_ARC
(5,2),-0.380854 # DEPENDENCYPART_ARC
(5,3),1.70871 # DEPENDENCYPART_ARC
(5,4),2.18841 # DEPENDENCYPART_ARC
(5,7),-0.74564 # DEPENDENCYPART_ARC
(5,8),-1.03798 # DEPENDENCYPART_ARC
(5,10),-1.87932 # DEPENDENCYPART_ARC
(5,11),-1.46006 # DEPENDENCYPART_ARC
(5,12),-0.869382 # DEPENDENCYPART_ARC
(5,13),-1.03183 # DEPENDENCYPART_ARC
(5,15),-2.37837 # DEPENDENCYPART_ARC
(5,16),-2.50094 # DEPENDENCYPART_ARC
(5,17),-1.07477 # DEPENDENCYPART_ARC
(5,18),-1.86311 # DEPENDENCYPART_ARC
(6,1),-0.327477 # DEPENDENCYPART_ARC
(6,2),-0.20634 # DEPENDENCYPART_ARC
(6,3),0.909634 # DEPENDENCYPART_ARC
(6,4),1.80567 # DEPENDENCYPART_ARC
(6,5),2.96742 # DEPENDENCYPART_ARC
(7,3),-0.47863 # DEPENDENCYPART_ARC
(7,4),0.161616 # DEPENDENCYPART_ARC
(7,5),0.447325 # DEPENDENCYPART_ARC
(7,6),0.266094 # DEPENDENCYPART_ARC
(7,8),-0.524741 # DEPENDENCYPART_ARC
(7,9),-0.581938 # DEPENDENCYPART_ARC
(7,18),-2.69351 # DEPENDENCYPART_ARC
(8,2),-0.000626118 # DEPENDENCYPART_ARC
(8,3),1.30912 # DEPENDENCYPART_ARC
(8,4),0.310262 # DEPENDENCYPART_ARC
(8,5),-0.412735 # DEPENDENCYPART_ARC
(8,6),0.211932 # DEPENDENCYPART_ARC
(8,7),2.29331 # DEPENDENCYPART_ARC
(8,9),-0.240777 # DEPENDENCYPART_ARC
(8,10),-0.533882 # DEPENDENCYPART_ARC
(8,14),-1.13365 # DEPENDENCYPART_ARC
(8,18),-2.13765 # DEPENDENCYPART_ARC
(9,4),-0.0247184 # DEPENDENCYPART_ARC
(9,5),-0.914086 # DEPENDENCYPART_ARC
(9,6),0.437767 # DEPENDENCYPART_ARC
(9,7),0.517984 # DEPENDENCYPART_ARC
(9,8),1.19581 # DEPENDENCYPART_ARC
(9,14),-0.884217 # DEPENDENCYPART_ARC
(9,15),-0.966183 # DEPENDENCYPART_ARC
(10,1),-0.477536 # DEPENDENCYPART_ARC
(10,3),0.594373 # DEPENDENCYPART_ARC
(10,4),0.5813 # DEPENDENCYPART_ARC
(10,5),-2.74194 # DEPENDENCYPART_ARC
(10,6),0.146165 # DEPENDENCYPART_ARC
(10,7),0.67943 # DEPENDENCYPART_ARC
(10,8),1.66925 # DEPENDENCYPART_ARC
(10,9),0.99632 # DEPENDENCYPART_ARC
(10,11),-0.128045 # DEPENDENCYPART_ARC
(10,12),0.551005 # DEPENDENCYPART_ARC
(10,13),-0.390396 # DEPENDENCYPART_ARC
(10,14),-1.84182 # DEPENDENCYPART_ARC
(10,15),-1.60247 # DEPENDENCYPART_ARC
(10,16),-1.80018 # DEPENDENCYPART_ARC
(10,17),-0.862824 # DEPENDENCYPART_ARC
(10,18),-1.29791 # DEPENDENCYPART_ARC
(10,19),-1.19832 # DEPENDENCYPART_ARC
(11,1),-1.69182 # DEPENDENCYPART_ARC
(11,2),-0.237117 # DEPENDENCYPART_ARC
(11,3),-0.266368 # DEPENDENCYPART_ARC
(11,4),0.498924 # DEPENDENCYPART_ARC
(11,6),0.391457 # DEPENDENCYPART_ARC
(11,7),0.478055 # DEPENDENCYPART_ARC
(11,8),0.434327 # DEPENDENCYPART_ARC
(11,9),1.02865 # DEPENDENCYPART_ARC
(11,10),2.31799 # DEPENDENCYPART_ARC
(11,12),-0.681158 # DEPENDENCYPART_ARC
(12,2),0.630718 # DEPENDENCYPART_ARC
(12,3),1.57996 # DEPENDENCYPART_ARC
(12,4),0.23288 # DEPENDENCYPART_ARC
(12,5),-2.15501 # DEPENDENCYPART_ARC
(12,6),0.421396 # DEPENDENCYPART_ARC
(12,7),1.04202 # DEPENDENCYPART_ARC
(12,8),0.827338 # DEPENDENCYPART_ARC
(12,9),0.436161 # DEPENDENCYPART_ARC
(12,10),0.891597 # DEPENDENCYPART_ARC
(12,11),2.84963 # DEPENDENCYPART_ARC
(12,13),-0.238567 # DEPENDENCYPART_ARC
