# _root_ _ İkimiz de kendimizi yenik hissediyorduk , bu , ilişkimiz _ süreceği anlamına geliyordu .
#goldHeads=2,6,2,6,6,7,14,14,0,11,12,13,14,15,0,
#predictedHeads=2,6,2,6,6,7,0,13,0,11,12,13,14,15,0,
(0,1),-0.383677 # DEPENDENCYPART_ARC
(0,6),-1.91731 # DEPENDENCYPART_ARC
(0,7),0.916997 # DEPENDENCYPART_ARC
(0,9),1.0739 # DEPENDENCYPART_ARC
(0,14),-1.80566 # DEPENDENCYPART_ARC
(0,15),2.04834 # DEPENDENCYPART_ARC
(1,3),0.950863 # DEPENDENCYPART_ARC
(2,1),1.81174 # DEPENDENCYPART_ARC
(2,3),1.85041 # DEPENDENCYPART_ARC
(2,5),-0.338204 # DEPENDENCYPART_ARC
(2,6),-1.10522 # DEPENDENCYPART_ARC
(2,10),-0.08407 # DEPENDENCYPART_ARC
(2,11),-0.950948 # DEPENDENCYPART_ARC
(2,13),-0.28544 # DEPENDENCYPART_ARC
(3,2),0.811875 # DEPENDENCYPART_ARC
(3,5),-0.803764 # DEPENDENCYPART_ARC
(4,3),0.299195 # DEPENDENCYPART_ARC
(5,1),-0.590715 # DEPENDENCYPART_ARC
(5,2),0.293244 # DEPENDENCYPART_ARC
(5,3),-0.177222 # DEPENDENCYPART_ARC
(5,4),0.840948 # DEPENDENCYPART_ARC
(5,6),-0.992178 # DEPENDENCYPART_ARC
(5,7),0.210426 # DEPENDENCYPART_ARC
(5,8),-0.415513 # DEPENDENCYPART_ARC
(5,10),-0.409973 # DEPENDENCYPART_ARC
(5,11),-1.26378 # DEPENDENCYPART_ARC
(5,14),-2.01271 # DEPENDENCYPART_ARC
(6,1),-1.6025 # DEPENDENCYPART_ARC
(6,2),1.85666 # DEPENDENCYPART_ARC
(6,3),0.12711 # DEPENDENCYPART_ARC
(6,4),2.67486 # DEPENDENCYPART_ARC
(6,5),3.11609 # DEPENDENCYPART_ARC
(6,7),-0.238866 # DEPENDENCYPART_ARC
(6,9),-0.797351 # DEPENDENCYPART_ARC
(6,10),-0.258554 # DEPENDENCYPART_ARC
(6,11),-1.49543 # DEPENDENCYPART_ARC
(6,13),-0.0904161 # DEPENDENCYPART_ARC
(6,14),-1.25918 # DEPENDENCYPART_ARC
(6,15),-1.27537 # DEPENDENCYPART_ARC
(7,2),-0.138436 # DEPENDENCYPART_ARC
(7,3),-0.622952 # DEPENDENCYPART_ARC
(7,4),-0.207555 # DEPENDENCYPART_ARC
(7,5),0.144611 # DEPENDENCYPART_ARC
(7,6),0.885319 # DEPENDENCYPART_ARC
(7,9),-0.496137 # DEPENDENCYPART_ARC
(7,10),-0.215881 # DEPENDENCYPART_ARC
(7,11),-0.559328 # DEPENDENCYPART_ARC
(7,14),-0.473139 # DEPENDENCYPART_ARC
(8,7),0.102229 # DEPENDENCYPART_ARC
(9,2),-0.424425 # DEPENDENCYPART_ARC
(9,3),-1.12566 # DEPENDENCYPART_ARC
(9,4),-1.05405 # DEPENDENCYPART_ARC
(9,5),-0.301588 # DEPENDENCYPART_ARC
(9,6),-0.110173 # DEPENDENCYPART_ARC
(9,7),-0.803806 # DEPENDENCYPART_ARC
(9,8),0.0934376 # DEPENDENCYPART_ARC
(9,10),-0.390058 # DEPENDENCYPART_ARC
(9,11),-1.19652 # DEPENDENCYPART_ARC
(9,14),-1.12655 # DEPENDENCYPART_ARC
(9,15),-1.50671 # DEPENDENCYPART_ARC
(10,5),-0.45953 # DEPENDENCYPART_ARC
(10,6),-1.45475 # DEPENDENCYPART_ARC
(10,8),0.164911 # DEPENDENCYPART_ARC
(10,9),0.0294534 # DEPENDENCYPART_ARC
(10,11),-0.346522 # DEPENDENCYPART_ARC
(10,12),-0.236311 # DEPENDENCYPART_ARC
(11,1),-5.78787 # DEPENDENCYPART_ARC
(11,2),-0.91595 # DEPENDENCYPART_ARC
(11,4),-0.22563 # DEPENDENCYPART_ARC
(11,5),-0.551792 # DEPENDENCYPART_ARC
(11,6),-1.72864 # DEPENDENCYPART_ARC
(11,7),-1.02702 # DEPENDENCYPART_ARC
(11,8),-0.859359 # DEPENDENCYPART_ARC
(11,9),-0.314176 # DEPENDENCYPART_ARC
(11,10),1.82969 # DEPENDENCYPART_ARC
(11,13),-0.503701 # DEPENDENCYPART_ARC
(12,5),-0.153182 # DEPENDENCYPART_ARC
(12,7),-0.76254 # DEPENDENCYPART_ARC
(12,9),0.0974944 # DEPENDENCYPART_ARC
(12,10),1.33816 # DEPENDENCYPART_ARC
(12,11),2.56327 # DEPENDENCYPART_ARC
(13,3),-0.619029 # DEPENDENCYPART_ARC
(13,5),0.554821 # DEPENDENCYPART_ARC
(13,6),-2.07168 # DEPENDENCYPART_ARC
(13,7),-0.191674 # DEPENDENCYPART_ARC
(13,8),0.244233 # DEPENDENCYPART_ARC
(13,9),-0.0846535 # DEPENDENCYPART_ARC
(13,10),1.74152 # DEPENDENCYPART_ARC
(13,11),-0.193015 # DEPENDENCYPART_ARC
(13,12),2.35329 # DEPENDENCYPART_ARC
(13,15),-0.170258 # DEPENDENCYPART_ARC
(14,2),-0.311749 # DEPENDENCYPART_ARC
(14,3),-0.858887 # DEPENDENCYPART_ARC
(14,4),0.576131 # DEPENDENCYPART_ARC
(14,5),-0.550819 # DEPENDENCYPART_ARC
(14,6),-2.15277 # DEPENDENCYPART_ARC
(14,7),0.42092 # DEPENDENCYPART_ARC
(14,8),-0.789836 # DEPENDENCYPART_ARC
(14,9),-0.115827 # DEPENDENCYPART_ARC
(14,10),1.00878 # DEPENDENCYPART_ARC
(14,11),-1.46927 # DEPENDENCYPART_ARC
(14,12),-0.094706 # DEPENDENCYPART_ARC
(14,13),2.78223 # DEPENDENCYPART_ARC
(14,15),-0.610446 # DEPENDENCYPART_ARC
(15,2),-0.62858 # DEPENDENCYPART_ARC
(15,3),-1.12548 # DEPENDENCYPART_ARC
(15,6),-0.768716 # DEPENDENCYPART_ARC
(15,7),-0.593941 # DEPENDENCYPART_ARC
(15,8),-0.634737 # DEPENDENCYPART_ARC
(15,9),-0.313716 # DEPENDENCYPART_ARC
(15,10),-0.235259 # DEPENDENCYPART_ARC
(15,11),-1.9522 # DEPENDENCYPART_ARC
(15,13),-0.0853483 # DEPENDENCYPART_ARC
(15,14),1.3076 # DEPENDENCYPART_ARC
