# _root_ Naci_Bey , şu sayfadan şu sayfaya kadar okuyun , demiş .
#goldHeads=9,0,4,8,6,7,8,9,10,11,0,
#predictedHeads=8,0,4,8,6,7,8,9,10,11,0,
(0,1),-0.933609 # DEPENDENCYPART_ARC
(0,2),2.37131 # DEPENDENCYPART_ARC
(0,4),-1.13496 # DEPENDENCYPART_ARC
(0,8),-1.49706 # DEPENDENCYPART_ARC
(0,9),0.11835 # DEPENDENCYPART_ARC
(0,10),-1.41458 # DEPENDENCYPART_ARC
(0,11),2.0787 # DEPENDENCYPART_ARC
(1,2),-0.262538 # DEPENDENCYPART_ARC
(1,3),-0.66392 # DEPENDENCYPART_ARC
(1,4),-1.86737 # DEPENDENCYPART_ARC
(1,5),-0.919928 # DEPENDENCYPART_ARC
(1,6),-1.18124 # DEPENDENCYPART_ARC
(1,7),-1.12593 # DEPENDENCYPART_ARC
(1,8),-2.34514 # DEPENDENCYPART_ARC
(1,10),-2.09079 # DEPENDENCYPART_ARC
(2,1),-0.405872 # DEPENDENCYPART_ARC
(2,4),-0.585863 # DEPENDENCYPART_ARC
(2,6),-0.728497 # DEPENDENCYPART_ARC
(2,8),-0.853817 # DEPENDENCYPART_ARC
(2,9),-1.03171 # DEPENDENCYPART_ARC
(2,10),-0.941398 # DEPENDENCYPART_ARC
(3,1),-1.11262 # DEPENDENCYPART_ARC
(3,2),-0.120784 # DEPENDENCYPART_ARC
(4,1),-1.17349 # DEPENDENCYPART_ARC
(4,2),0.236062 # DEPENDENCYPART_ARC
(4,3),1.89931 # DEPENDENCYPART_ARC
(4,5),-0.199435 # DEPENDENCYPART_ARC
(4,6),-0.553595 # DEPENDENCYPART_ARC
(4,7),-0.764615 # DEPENDENCYPART_ARC
(4,8),-1.46801 # DEPENDENCYPART_ARC
(4,10),-1.67149 # DEPENDENCYPART_ARC
(5,4),0.0383445 # DEPENDENCYPART_ARC
(6,1),-1.55163 # DEPENDENCYPART_ARC
(6,2),-0.0079637 # DEPENDENCYPART_ARC
(6,3),0.367517 # DEPENDENCYPART_ARC
(6,4),-0.295966 # DEPENDENCYPART_ARC
(6,5),1.83365 # DEPENDENCYPART_ARC
(6,7),-0.790459 # DEPENDENCYPART_ARC
(6,8),-1.82149 # DEPENDENCYPART_ARC
(6,9),-0.89587 # DEPENDENCYPART_ARC
(6,10),-2.17262 # DEPENDENCYPART_ARC
(7,1),-0.441421 # DEPENDENCYPART_ARC
(7,2),0.140789 # DEPENDENCYPART_ARC
(7,4),1.37244 # DEPENDENCYPART_ARC
(7,6),4.00777 # DEPENDENCYPART_ARC
(8,1),0.600807 # DEPENDENCYPART_ARC
(8,2),0.48335 # DEPENDENCYPART_ARC
(8,3),0.148584 # DEPENDENCYPART_ARC
(8,4),1.60499 # DEPENDENCYPART_ARC
(8,5),0.390336 # DEPENDENCYPART_ARC
(8,6),2.2898 # DEPENDENCYPART_ARC
(8,7),2.45092 # DEPENDENCYPART_ARC
(8,9),0.0213735 # DEPENDENCYPART_ARC
(8,10),-1.37011 # DEPENDENCYPART_ARC
(8,11),-1.31133 # DEPENDENCYPART_ARC
(9,1),-0.595208 # DEPENDENCYPART_ARC
(9,2),-0.810341 # DEPENDENCYPART_ARC
(9,3),-1.04054 # DEPENDENCYPART_ARC
(9,4),-0.363125 # DEPENDENCYPART_ARC
(9,5),-0.901069 # DEPENDENCYPART_ARC
(9,6),-0.141914 # DEPENDENCYPART_ARC
(9,7),-0.818571 # DEPENDENCYPART_ARC
(9,8),1.10822 # DEPENDENCYPART_ARC
(9,10),0.390958 # DEPENDENCYPART_ARC
(9,11),-0.528649 # DEPENDENCYPART_ARC
(10,1),-0.0991519 # DEPENDENCYPART_ARC
(10,2),-0.993872 # DEPENDENCYPART_ARC
(10,3),-1.04454 # DEPENDENCYPART_ARC
(10,4),-0.142976 # DEPENDENCYPART_ARC
(10,5),-0.899136 # DEPENDENCYPART_ARC
(10,6),-0.256345 # DEPENDENCYPART_ARC
(10,7),-0.00497605 # DEPENDENCYPART_ARC
(10,8),0.170296 # DEPENDENCYPART_ARC
(10,9),1.86194 # DEPENDENCYPART_ARC
(10,11),-0.503545 # DEPENDENCYPART_ARC
(11,1),-0.319261 # DEPENDENCYPART_ARC
(11,2),-1.13828 # DEPENDENCYPART_ARC
(11,3),-1.04587 # DEPENDENCYPART_ARC
(11,4),-0.268086 # DEPENDENCYPART_ARC
(11,5),-0.94518 # DEPENDENCYPART_ARC
(11,6),-0.365003 # DEPENDENCYPART_ARC
(11,7),-1.19394 # DEPENDENCYPART_ARC
(11,8),0.0222106 # DEPENDENCYPART_ARC
(11,9),-0.219109 # DEPENDENCYPART_ARC
(11,10),1.57286 # DEPENDENCYPART_ARC
