# _root_ Annem , telefonda dedeme bir doğum günü partisi _ düzenlediklerini söyledi , yarın dönsem iyi olurmuş ...
#goldHeads=11,0,11,9,8,7,8,9,10,11,12,16,14,16,16,17,0,
#predictedHeads=11,0,11,11,8,7,8,9,10,11,12,16,14,16,16,17,0,
(0,1),-1.2199 # DEPENDENCYPART_ARC
(0,2),1.80985 # DEPENDENCYPART_ARC
(0,12),0.386647 # DEPENDENCYPART_ARC
(0,17),3.79054 # DEPENDENCYPART_ARC
(1,2),0.0422784 # DEPENDENCYPART_ARC
(1,3),-1.73696 # DEPENDENCYPART_ARC
(1,5),-0.860349 # DEPENDENCYPART_ARC
(1,11),-2.41184 # DEPENDENCYPART_ARC
(2,1),0.515849 # DEPENDENCYPART_ARC
(2,11),-0.993011 # DEPENDENCYPART_ARC
(2,14),-1.09124 # DEPENDENCYPART_ARC
(2,16),-1.11885 # DEPENDENCYPART_ARC
(3,1),-1.00844 # DEPENDENCYPART_ARC
(3,2),0.39627 # DEPENDENCYPART_ARC
(3,4),0.55978 # DEPENDENCYPART_ARC
(3,5),-0.53627 # DEPENDENCYPART_ARC
(3,6),-0.834421 # DEPENDENCYPART_ARC
(3,7),-0.71937 # DEPENDENCYPART_ARC
(4,1),-1.92813 # DEPENDENCYPART_ARC
(4,2),-0.131226 # DEPENDENCYPART_ARC
(4,3),0.822381 # DEPENDENCYPART_ARC
(4,5),0.0846678 # DEPENDENCYPART_ARC
(4,6),-1.23385 # DEPENDENCYPART_ARC
(4,7),-1.52283 # DEPENDENCYPART_ARC
(4,14),-0.454224 # DEPENDENCYPART_ARC
(5,4),0.100674 # DEPENDENCYPART_ARC
(6,1),-1.95309 # DEPENDENCYPART_ARC
(6,2),-0.736302 # DEPENDENCYPART_ARC
(6,3),-0.752325 # DEPENDENCYPART_ARC
(6,4),-0.109241 # DEPENDENCYPART_ARC
(6,5),1.29047 # DEPENDENCYPART_ARC
(6,7),-0.261641 # DEPENDENCYPART_ARC
(6,8),-0.603608 # DEPENDENCYPART_ARC
(6,16),-2.11027 # DEPENDENCYPART_ARC
(7,2),-0.08925 # DEPENDENCYPART_ARC
(7,3),-0.158784 # DEPENDENCYPART_ARC
(7,4),0.175776 # DEPENDENCYPART_ARC
(7,5),0.923285 # DEPENDENCYPART_ARC
(7,6),2.6186 # DEPENDENCYPART_ARC
(7,8),-0.229268 # DEPENDENCYPART_ARC
(7,9),-0.842171 # DEPENDENCYPART_ARC
(7,13),-0.186123 # DEPENDENCYPART_ARC
(7,16),-1.8805 # DEPENDENCYPART_ARC
(8,2),0.272744 # DEPENDENCYPART_ARC
(8,3),0.244841 # DEPENDENCYPART_ARC
(8,4),0.326455 # DEPENDENCYPART_ARC
(8,5),1.31339 # DEPENDENCYPART_ARC
(8,6),2.10699 # DEPENDENCYPART_ARC
(8,7),3.21581 # DEPENDENCYPART_ARC
(8,9),-0.552507 # DEPENDENCYPART_ARC
(8,10),-0.291965 # DEPENDENCYPART_ARC
(8,13),-0.505897 # DEPENDENCYPART_ARC
(8,14),-0.285787 # DEPENDENCYPART_ARC
(8,16),-2.02192 # DEPENDENCYPART_ARC
(9,1),-0.314817 # DEPENDENCYPART_ARC
(9,2),-0.759797 # DEPENDENCYPART_ARC
(9,3),0.639793 # DEPENDENCYPART_ARC
(9,4),1.13583 # DEPENDENCYPART_ARC
(9,5),-0.403706 # DEPENDENCYPART_ARC
(9,6),0.682884 # DEPENDENCYPART_ARC
(9,7),1.39896 # DEPENDENCYPART_ARC
(9,8),2.27401 # DEPENDENCYPART_ARC
(9,10),-0.03864 # DEPENDENCYPART_ARC
(9,11),-1.06693 # DEPENDENCYPART_ARC
(9,12),-0.59097 # DEPENDENCYPART_ARC
(9,13),-1.50374 # DEPENDENCYPART_ARC
(9,14),-1.44251 # DEPENDENCYPART_ARC
(9,16),-1.16623 # DEPENDENCYPART_ARC
(9,17),-1.26109 # DEPENDENCYPART_ARC
(10,1),-1.72115 # DEPENDENCYPART_ARC
(10,2),-0.112191 # DEPENDENCYPART_ARC
(10,3),0.500101 # DEPENDENCYPART_ARC
(10,4),-0.497811 # DEPENDENCYPART_ARC
(10,6),1.20361 # DEPENDENCYPART_ARC
(10,7),1.42409 # DEPENDENCYPART_ARC
(10,8),2.06851 # DEPENDENCYPART_ARC
(10,9),2.62051 # DEPENDENCYPART_ARC
(10,11),-0.878756 # DEPENDENCYPART_ARC
(11,1),2.17154 # DEPENDENCYPART_ARC
(11,2),-0.900918 # DEPENDENCYPART_ARC
(11,3),1.57018 # DEPENDENCYPART_ARC
(11,4),1.27576 # DEPENDENCYPART_ARC
(11,5),-0.320092 # DEPENDENCYPART_ARC
(11,6),1.24422 # DEPENDENCYPART_ARC
(11,7),1.40091 # DEPENDENCYPART_ARC
(11,8),1.32137 # DEPENDENCYPART_ARC
(11,9),-0.507214 # DEPENDENCYPART_ARC
(11,10),2.82901 # DEPENDENCYPART_ARC
(11,12),-0.785266 # DEPENDENCYPART_ARC
(11,13),-0.459941 # DEPENDENCYPART_ARC
(11,14),-0.948799 # DEPENDENCYPART_ARC
(11,16),-0.558833 # DEPENDENCYPART_ARC
(11,17),-1.64681 # DEPENDENCYPART_ARC
(12,5),-0.736769 # DEPENDENCYPART_ARC
(12,6),0.141404 # DEPENDENCYPART_ARC
(12,7),0.165185 # DEPENDENCYPART_ARC
(12,8),0.163103 # DEPENDENCYPART_ARC
(12,9),-1.63577 # DEPENDENCYPART_ARC
(12,10),0.150825 # DEPENDENCYPART_ARC
(12,11),1.33229 # DEPENDENCYPART_ARC
(12,13),0.200765 # DEPENDENCYPART_ARC
(12,14),-0.431768 # DEPENDENCYPART_ARC
(12,16),-0.135273 # DEPENDENCYPART_ARC
(12,17),-0.851469 # DEPENDENCYPART_ARC
(13,5),-0.44971 # DEPENDENCYPART_ARC
(13,8),-1.10653 # DEPENDENCYPART_ARC
(13,9),-0.780425 # DEPENDENCYPART_ARC
(13,10),-1.09496 # DEPENDENCYPART_ARC
(13,11),-0.525129 # DEPENDENCYPART_ARC
(13,12),0.449759 # DEPENDENCYPART_ARC
(13,14),0.688433 # DEPENDENCYPART_ARC
(13,15),-0.128842 # DEPENDENCYPART_ARC
(13,16),-1.64511 # DEPENDENCYPART_ARC
(14,1),-0.331249 # DEPENDENCYPART_ARC
(14,3),-0.433322 # DEPENDENCYPART_ARC
(14,4),0.0438977 # DEPENDENCYPART_ARC
(14,6),-0.656382 # DEPENDENCYPART_ARC
(14,7),-0.239375 # DEPENDENCYPART_ARC
(14,8),-0.0233642 # DEPENDENCYPART_ARC
(14,9),-3.34111 # DEPENDENCYPART_ARC
(14,10),0.0948216 # DEPENDENCYPART_ARC
(14,11),-1.12961 # DEPENDENCYPART_ARC
(14,12),0.8494 # DEPENDENCYPART_ARC
(14,13),2.22832 # DEPENDENCYPART_ARC
(14,15),-0.0661655 # DEPENDENCYPART_ARC
(14,16),-1.05405 # DEPENDENCYPART_ARC
(15,8),-1.0995 # DEPENDENCYPART_ARC
(15,9),-2.28229 # DEPENDENCYPART_ARC
(15,11),-1.22175 # DEPENDENCYPART_ARC
(15,12),-0.680011 # DEPENDENCYPART_ARC
(15,13),0.412646 # DEPENDENCYPART_ARC
(15,14),0.653067 # DEPENDENCYPART_ARC
(16,1),1.48829 # DEPENDENCYPART_ARC
(16,3),0.288174 # DEPENDENCYPART_ARC
(16,4),0.626562 # DEPENDENCYPART_ARC
(16,6),0.336216 # DEPENDENCYPART_ARC
(16,7),0.269193 # DEPENDENCYPART_ARC
(16,8),0.730089 # DEPENDENCYPART_ARC
(16,9),-4.44285 # DEPENDENCYPART_ARC
(16,10),0.860415 # DEPENDENCYPART_ARC
(16,11),-1.19067 # DEPENDENCYPART_ARC
(16,12),1.41645 # DEPENDENCYPART_ARC
(16,13),1.79219 # DEPENDENCYPART_ARC
(16,14),2.3306 # DEPENDENCYPART_ARC
(16,15),2.24759 # DEPENDENCYPART_ARC
(16,17),-0.811545 # DEPENDENCYPART_ARC
(17,9),-2.84169 # DEPENDENCYPART_ARC
(17,11),-0.737035 # DEPENDENCYPART_ARC
(17,12),-0.445932 # DEPENDENCYPART_ARC
(17,13),-0.32097 # DEPENDENCYPART_ARC
(17,14),0.234768 # DEPENDENCYPART_ARC
(17,15),-0.689729 # DEPENDENCYPART_ARC
(17,16),1.15426 # DEPENDENCYPART_ARC
