# _root_ Gazetecilere uçak havada _ yanarak geldi yere _ çakıldı _ diyen tanıklar , anket heyetinin _ hazırladığı raporlara göre , _ _ farklı konuşmuşlardı .
#goldHeads=10,6,6,5,6,10,9,9,10,11,12,24,0,15,16,17,18,19,24,0,22,23,24,25,0,
#predictedHeads=6,3,6,5,6,9,6,9,10,11,12,24,0,15,16,17,18,19,24,0,22,23,24,25,0,
(0,13),1.76923 # DEPENDENCYPART_ARC
(0,20),2.10495 # DEPENDENCYPART_ARC
(0,25),2.7272 # DEPENDENCYPART_ARC
(2,1),0.198226 # DEPENDENCYPART_ARC
(3,1),-0.539638 # DEPENDENCYPART_ARC
(3,2),2.0042 # DEPENDENCYPART_ARC
(3,4),-0.354103 # DEPENDENCYPART_ARC
(3,24),-1.97157 # DEPENDENCYPART_ARC
(4,1),0.808257 # DEPENDENCYPART_ARC
(4,2),0.835817 # DEPENDENCYPART_ARC
(4,3),1.64989 # DEPENDENCYPART_ARC
(4,6),-1.29092 # DEPENDENCYPART_ARC
(4,7),-0.263685 # DEPENDENCYPART_ARC
(5,1),0.503924 # DEPENDENCYPART_ARC
(5,2),0.911081 # DEPENDENCYPART_ARC
(5,3),1.53223 # DEPENDENCYPART_ARC
(5,4),3.04579 # DEPENDENCYPART_ARC
(6,1),1.56502 # DEPENDENCYPART_ARC
(6,2),1.78388 # DEPENDENCYPART_ARC
(6,3),1.76606 # DEPENDENCYPART_ARC
(6,4),0.421526 # DEPENDENCYPART_ARC
(6,5),2.85184 # DEPENDENCYPART_ARC
(6,7),1.79985 # DEPENDENCYPART_ARC
(6,8),0.841054 # DEPENDENCYPART_ARC
(6,9),0.36585 # DEPENDENCYPART_ARC
(6,10),-0.764037 # DEPENDENCYPART_ARC
(6,12),1.08368 # DEPENDENCYPART_ARC
(6,14),-0.341726 # DEPENDENCYPART_ARC
(6,15),-1.57869 # DEPENDENCYPART_ARC
(6,16),-0.958896 # DEPENDENCYPART_ARC
(6,18),-0.541592 # DEPENDENCYPART_ARC
(6,19),0.415619 # DEPENDENCYPART_ARC
(6,21),-1.80489 # DEPENDENCYPART_ARC
(7,2),-0.77839 # DEPENDENCYPART_ARC
(7,3),-0.803147 # DEPENDENCYPART_ARC
(7,4),-1.02348 # DEPENDENCYPART_ARC
(7,5),-0.603289 # DEPENDENCYPART_ARC
(7,6),-0.755869 # DEPENDENCYPART_ARC
(8,1),-1.17216 # DEPENDENCYPART_ARC
(8,2),-0.0675897 # DEPENDENCYPART_ARC
(8,3),-0.786717 # DEPENDENCYPART_ARC
(8,4),-1.07965 # DEPENDENCYPART_ARC
(8,5),0.230923 # DEPENDENCYPART_ARC
(8,6),-0.47261 # DEPENDENCYPART_ARC
(8,7),1.63818 # DEPENDENCYPART_ARC
(8,9),0.15555 # DEPENDENCYPART_ARC
(8,10),-0.432388 # DEPENDENCYPART_ARC
(9,1),0.935309 # DEPENDENCYPART_ARC
(9,2),0.871419 # DEPENDENCYPART_ARC
(9,3),0.574745 # DEPENDENCYPART_ARC
(9,4),-2.6859 # DEPENDENCYPART_ARC
(9,5),0.110309 # DEPENDENCYPART_ARC
(9,6),0.502998 # DEPENDENCYPART_ARC
(9,7),1.60315 # DEPENDENCYPART_ARC
(9,8),2.14102 # DEPENDENCYPART_ARC
(9,10),-0.312916 # DEPENDENCYPART_ARC
(9,14),-0.84802 # DEPENDENCYPART_ARC
(9,18),-1.02644 # DEPENDENCYPART_ARC
(9,21),-2.31795 # DEPENDENCYPART_ARC
(10,3),-0.460945 # DEPENDENCYPART_ARC
(10,4),-4.53675 # DEPENDENCYPART_ARC
(10,5),0.378092 # DEPENDENCYPART_ARC
(10,6),-0.175116 # DEPENDENCYPART_ARC
(10,7),0.496874 # DEPENDENCYPART_ARC
(10,8),0.473534 # DEPENDENCYPART_ARC
(10,9),1.85049 # DEPENDENCYPART_ARC
(10,19),-0.621485 # DEPENDENCYPART_ARC
(10,20),-0.755021 # DEPENDENCYPART_ARC
(10,24),-1.75078 # DEPENDENCYPART_ARC
(11,1),0.501985 # DEPENDENCYPART_ARC
(11,2),0.417638 # DEPENDENCYPART_ARC
(11,3),0.738792 # DEPENDENCYPART_ARC
(11,5),0.680865 # DEPENDENCYPART_ARC
(11,7),0.991997 # DEPENDENCYPART_ARC
(11,8),1.37576 # DEPENDENCYPART_ARC
(11,9),0.334024 # DEPENDENCYPART_ARC
(11,10),2.17504 # DEPENDENCYPART_ARC
(12,1),-1.32759 # DEPENDENCYPART_ARC
(12,2),0.210948 # DEPENDENCYPART_ARC
(12,3),-1.03154 # DEPENDENCYPART_ARC
(12,5),0.125233 # DEPENDENCYPART_ARC
(12,6),-0.0309484 # DEPENDENCYPART_ARC
(12,7),-0.110041 # DEPENDENCYPART_ARC
(12,8),-1.11585 # DEPENDENCYPART_ARC
(12,9),-0.227742 # DEPENDENCYPART_ARC
(12,10),0.348341 # DEPENDENCYPART_ARC
(12,11),2.20123 # DEPENDENCYPART_ARC
(12,13),-0.149098 # DEPENDENCYPART_ARC
(12,14),-0.22899 # DEPENDENCYPART_ARC
(12,18),-0.827634 # DEPENDENCYPART_ARC
(12,24),-2.53751 # DEPENDENCYPART_ARC
(13,4),-2.92816 # DEPENDENCYPART_ARC
(13,6),0.45654 # DEPENDENCYPART_ARC
(13,9),0.307123 # DEPENDENCYPART_ARC
(13,10),-0.718009 # DEPENDENCYPART_ARC
(13,11),-0.167425 # DEPENDENCYPART_ARC
(13,12),0.600318 # DEPENDENCYPART_ARC
(13,20),-1.14188 # DEPENDENCYPART_ARC
(13,24),-1.06464 # DEPENDENCYPART_ARC
(14,11),-0.282968 # DEPENDENCYPART_ARC
(14,12),-1.12577 # DEPENDENCYPART_ARC
(14,13),0.253729 # DEPENDENCYPART_ARC
(14,15),-0.393492 # DEPENDENCYPART_ARC
(14,17),-0.807931 # DEPENDENCYPART_ARC
(14,23),-1.06195 # DEPENDENCYPART_ARC
(14,24),-2.49162 # DEPENDENCYPART_ARC
(15,11),0.146447 # DEPENDENCYPART_ARC
(15,12),-0.0623284 # DEPENDENCYPART_ARC
(15,13),0.491171 # DEPENDENCYPART_ARC
(15,14),3.17325 # DEPENDENCYPART_ARC
(15,16),-0.31329 # DEPENDENCYPART_ARC
(15,17),-0.509906 # DEPENDENCYPART_ARC
(15,23),-1.20313 # DEPENDENCYPART_ARC
(15,24),-1.61752 # DEPENDENCYPART_ARC
(16,5),-0.209194 # DEPENDENCYPART_ARC
(16,7),-0.341508 # DEPENDENCYPART_ARC
(16,8),-5.75076 # DEPENDENCYPART_ARC
(16,10),-3.98921 # DEPENDENCYPART_ARC
(16,11),-0.554049 # DEPENDENCYPART_ARC
(16,12),-0.148824 # DEPENDENCYPART_ARC
(16,13),-0.491465 # DEPENDENCYPART_ARC
(16,14),1.17797 # DEPENDENCYPART_ARC
(16,15),2.76504 # DEPENDENCYPART_ARC
(16,19),-0.286674 # DEPENDENCYPART_ARC
(16,20),-0.93674 # DEPENDENCYPART_ARC
(16,21),-2.50586 # DEPENDENCYPART_ARC
(16,23),-2.34828 # DEPENDENCYPART_ARC
(16,24),-1.90669 # DEPENDENCYPART_ARC
(17,8),-2.49989 # DEPENDENCYPART_ARC
(17,12),-1.00794 # DEPENDENCYPART_ARC
