# _root_ Bir konuda bilgi _ verirken veya bir gerçeği _ savunurken , _ türlü kanıtlardan _ _ faydalanan , bunları bilimsel biçimde _ inceleyen gazete ve dergi yazılarına makale _ denir .
#goldHeads=2,4,4,5,6,10,8,9,10,16,0,13,14,16,16,17,18,23,22,21,22,23,24,25,26,27,30,30,30,31,0,
#predictedHeads=2,4,4,5,6,10,8,9,10,30,0,13,14,16,16,17,18,30,22,21,22,23,24,25,26,27,30,30,30,31,0,
(0,11),1.44923 # DEPENDENCYPART_ARC
(0,18),0.536299 # DEPENDENCYPART_ARC
(0,25),-2.01195 # DEPENDENCYPART_ARC
(0,31),1.58929 # DEPENDENCYPART_ARC
(2,1),2.26368 # DEPENDENCYPART_ARC
(2,7),-0.908577 # DEPENDENCYPART_ARC
(3,1),0.605046 # DEPENDENCYPART_ARC
(3,2),0.973676 # DEPENDENCYPART_ARC
(3,7),-0.521232 # DEPENDENCYPART_ARC
(4,1),-0.176536 # DEPENDENCYPART_ARC
(4,2),1.71569 # DEPENDENCYPART_ARC
(4,3),2.65681 # DEPENDENCYPART_ARC
(4,6),0.211335 # DEPENDENCYPART_ARC
(4,8),-0.606938 # DEPENDENCYPART_ARC
(4,10),-0.526821 # DEPENDENCYPART_ARC
(5,1),0.17107 # DEPENDENCYPART_ARC
(5,2),1.51342 # DEPENDENCYPART_ARC
(5,3),1.42656 # DEPENDENCYPART_ARC
(5,4),3.0921 # DEPENDENCYPART_ARC
(5,6),-0.233839 # DEPENDENCYPART_ARC
(6,2),-0.0612269 # DEPENDENCYPART_ARC
(6,3),0.399115 # DEPENDENCYPART_ARC
(6,4),0.763447 # DEPENDENCYPART_ARC
(6,5),1.39923 # DEPENDENCYPART_ARC
(6,8),-0.847929 # DEPENDENCYPART_ARC
(7,6),0.32282 # DEPENDENCYPART_ARC
(8,1),-0.287848 # DEPENDENCYPART_ARC
(8,2),-0.473744 # DEPENDENCYPART_ARC
(8,3),0.0348615 # DEPENDENCYPART_ARC
(8,4),-0.411792 # DEPENDENCYPART_ARC
(8,5),-0.214415 # DEPENDENCYPART_ARC
(8,6),-0.097429 # DEPENDENCYPART_ARC
(8,7),2.22738 # DEPENDENCYPART_ARC
(8,9),-0.48396 # DEPENDENCYPART_ARC
(9,1),-0.800047 # DEPENDENCYPART_ARC
(9,2),0.494089 # DEPENDENCYPART_ARC
(9,3),0.598663 # DEPENDENCYPART_ARC
(9,4),-1.92831 # DEPENDENCYPART_ARC
(9,5),0.711728 # DEPENDENCYPART_ARC
(9,6),-0.0686946 # DEPENDENCYPART_ARC
(9,7),-0.151649 # DEPENDENCYPART_ARC
(9,8),2.37218 # DEPENDENCYPART_ARC
(9,11),-0.695741 # DEPENDENCYPART_ARC
(9,16),-2.06074 # DEPENDENCYPART_ARC
(10,2),1.46422 # DEPENDENCYPART_ARC
(10,3),0.89501 # DEPENDENCYPART_ARC
(10,5),0.354383 # DEPENDENCYPART_ARC
(10,6),0.51889 # DEPENDENCYPART_ARC
(10,7),0.311673 # DEPENDENCYPART_ARC
(10,8),1.97042 # DEPENDENCYPART_ARC
(10,9),2.87554 # DEPENDENCYPART_ARC
(11,1),-0.624673 # DEPENDENCYPART_ARC
(11,3),0.15945 # DEPENDENCYPART_ARC
(11,4),-2.49322 # DEPENDENCYPART_ARC
(11,5),-0.764383 # DEPENDENCYPART_ARC
(11,6),-0.522598 # DEPENDENCYPART_ARC
(11,7),-0.650673 # DEPENDENCYPART_ARC
(11,8),0.300713 # DEPENDENCYPART_ARC
(11,9),-0.593049 # DEPENDENCYPART_ARC
(11,10),-0.102072 # DEPENDENCYPART_ARC
(11,16),-1.45015 # DEPENDENCYPART_ARC
(11,30),-1.57233 # DEPENDENCYPART_ARC
(12,9),-0.619662 # DEPENDENCYPART_ARC
(12,11),0.0808166 # DEPENDENCYPART_ARC
(12,13),0.121902 # DEPENDENCYPART_ARC
(13,1),-0.594654 # DEPENDENCYPART_ARC
(13,4),-1.05864 # DEPENDENCYPART_ARC
(13,7),-0.462397 # DEPENDENCYPART_ARC
(13,8),0.166515 # DEPENDENCYPART_ARC
(13,9),-0.0465912 # DEPENDENCYPART_ARC
(13,10),0.178988 # DEPENDENCYPART_ARC
(13,11),0.35516 # DEPENDENCYPART_ARC
(13,12),3.38344 # DEPENDENCYPART_ARC
(13,15),-0.988043 # DEPENDENCYPART_ARC
(13,28),-2.42009 # DEPENDENCYPART_ARC
(14,1),-1.14493 # DEPENDENCYPART_ARC
(14,7),-0.438786 # DEPENDENCYPART_ARC
(14,9),-2.30139 # DEPENDENCYPART_ARC
(14,11),-0.489494 # DEPENDENCYPART_ARC
(14,12),0.429638 # DEPENDENCYPART_ARC
(14,13),2.78194 # DEPENDENCYPART_ARC
(14,15),-0.652936 # DEPENDENCYPART_ARC
(15,11),-0.543311 # DEPENDENCYPART_ARC
(15,12),-1.28933 # DEPENDENCYPART_ARC
(15,13),0.456773 # DEPENDENCYPART_ARC
(15,14),0.963093 # DEPENDENCYPART_ARC
(15,16),-0.615779 # DEPENDENCYPART_ARC
(16,2),-0.773343 # DEPENDENCYPART_ARC
(16,3),0.370847 # DEPENDENCYPART_ARC
(16,4),-7.27698 # DEPENDENCYPART_ARC
(16,5),0.520397 # DEPENDENCYPART_ARC
(16,6),0.013987 # DEPENDENCYPART_ARC
(16,8),0.234796 # DEPENDENCYPART_ARC
(16,9),-4.27631 # DEPENDENCYPART_ARC
(16,10),0.20422 # DEPENDENCYPART_ARC
(16,11),-0.478407 # DEPENDENCYPART_ARC
(16,12),-0.518309 # DEPENDENCYPART_ARC
(16,13),0.742558 # DEPENDENCYPART_ARC
(16,14),1.57958 # DEPENDENCYPART_ARC
(16,15),3.65782 # DEPENDENCYPART_ARC
(16,30),-1.83619 # DEPENDENCYPART_ARC
(17,8),0.0383851 # DEPENDENCYPART_ARC
(17,10),0.442183 # DEPENDENCYPART_ARC
(17,11),0.216075 # DEPENDENCYPART_ARC
(17,12),0.237698 # DEPENDENCYPART_ARC
(17,13),0.121183 # DEPENDENCYPART_ARC
(17,14),1.2516 # DEPENDENCYPART_ARC
(17,15),2.32919 # DEPENDENCYPART_ARC
(17,16),2.233 # DEPENDENCYPART_ARC
(18,1),-0.626461 # DEPENDENCYPART_ARC
(18,4),-4.40969 # DEPENDENCYPART_ARC
(18,9),-3.07042 # DEPENDENCYPART_ARC
(18,12),-1.65928 # DEPENDENCYPART_ARC
(18,13),-0.708377 # DEPENDENCYPART_ARC
(18,14),-0.0387847 # DEPENDENCYPART_ARC
(18,15),-0.623523 # DEPENDENCYPART_ARC
(18,16),-0.240279 # DEPENDENCYPART_ARC
(18,17),0.672898 # DEPENDENCYPART_ARC
(18,24),-0.37977 # DEPENDENCYPART_ARC
(18,28),-0.68767 # DEPENDENCYPART_ARC
(18,29),-1.3543 # DEPENDENCYPART_ARC
(18,30),-0.749644 # DEPENDENCYPART_ARC
(19,17),-0.438491 # DEPENDENCYPART_ARC
(19,18),0.295409 # DEPENDENCYPART_ARC
(19,21),-0.565409 # DEPENDENCYPART_ARC
(19,24),-0.296301 # DEPENDENCYPART_ARC
(20,15),-0.302556 # DEPENDENCYPART_ARC
(20,16),-0.471528 # DEPENDENCYPART_ARC
(20,17),-1.00562 # DEPENDENCYPART_ARC
(20,18),0.232584 # DEPENDENCYPART_ARC
(20,19),0.675569 # DEPENDENCYPART_ARC
(20,26),-0.866557 # DEPENDENCYPART_ARC
(20,27),-1.03614 # DEPENDENCYPART_ARC
(20,28),-1.1491 # DEPENDENCYPART_ARC
(21,7),-0.647898 # DEPENDENCYPART_ARC
(21,13),-0.386054 # DEPENDENCYPART_ARC
(21,14),-1.8139 # DEPENDENCYPART_ARC
(21,16),-1.49066 # DEPENDENCYPART_ARC
(21,17),0.144209 # DEPENDENCYPART_ARC
