# _root_ Bütün delilleri , dosyayı _ inceleme hakkına _ sahibiz hukuki _ olarak , fakat bu haktan _ mahrum_edildik .
#goldHeads=2,3,4,5,6,7,9,9,14,11,12,9,0,18,16,18,18,19,0,
#predictedHeads=2,3,0,5,6,7,9,9,12,11,12,18,0,19,16,18,18,19,0,
(0,3),1.50546 # DEPENDENCYPART_ARC
(0,13),1.47386 # DEPENDENCYPART_ARC
(0,14),-0.910042 # DEPENDENCYPART_ARC
(0,19),2.54406 # DEPENDENCYPART_ARC
(1,16),-1.72374 # DEPENDENCYPART_ARC
(2,1),2.04967 # DEPENDENCYPART_ARC
(2,3),-0.171271 # DEPENDENCYPART_ARC
(2,4),-0.683822 # DEPENDENCYPART_ARC
(2,15),-0.925263 # DEPENDENCYPART_ARC
(2,18),-2.36642 # DEPENDENCYPART_ARC
(3,1),-0.0286917 # DEPENDENCYPART_ARC
(3,2),0.668998 # DEPENDENCYPART_ARC
(3,9),-0.704213 # DEPENDENCYPART_ARC
(3,11),-1.19697 # DEPENDENCYPART_ARC
(3,18),-1.16563 # DEPENDENCYPART_ARC
(4,1),-0.515702 # DEPENDENCYPART_ARC
(4,2),-1.00891 # DEPENDENCYPART_ARC
(4,3),0.384607 # DEPENDENCYPART_ARC
(4,5),-0.56206 # DEPENDENCYPART_ARC
(4,8),-1.1277 # DEPENDENCYPART_ARC
(4,15),-0.813543 # DEPENDENCYPART_ARC
(4,18),-2.31826 # DEPENDENCYPART_ARC
(5,1),-1.16556 # DEPENDENCYPART_ARC
(5,2),0.185985 # DEPENDENCYPART_ARC
(5,3),-0.265778 # DEPENDENCYPART_ARC
(5,4),2.1857 # DEPENDENCYPART_ARC
(5,6),-0.11372 # DEPENDENCYPART_ARC
(5,7),-0.18318 # DEPENDENCYPART_ARC
(5,8),-1.40945 # DEPENDENCYPART_ARC
(5,9),-1.08424 # DEPENDENCYPART_ARC
(5,11),-1.63586 # DEPENDENCYPART_ARC
(5,12),-0.261985 # DEPENDENCYPART_ARC
(5,13),-0.773895 # DEPENDENCYPART_ARC
(5,16),-2.44021 # DEPENDENCYPART_ARC
(5,18),-1.83149 # DEPENDENCYPART_ARC
(6,1),-0.231349 # DEPENDENCYPART_ARC
(6,2),-1.98363 # DEPENDENCYPART_ARC
(6,3),-0.0979643 # DEPENDENCYPART_ARC
(6,4),0.841966 # DEPENDENCYPART_ARC
(6,5),2.39348 # DEPENDENCYPART_ARC
(6,7),-0.457655 # DEPENDENCYPART_ARC
(7,1),-0.435978 # DEPENDENCYPART_ARC
(7,2),-2.46712 # DEPENDENCYPART_ARC
(7,3),0.109934 # DEPENDENCYPART_ARC
(7,4),-0.688269 # DEPENDENCYPART_ARC
(7,5),0.0105844 # DEPENDENCYPART_ARC
(7,6),2.49657 # DEPENDENCYPART_ARC
(7,8),-1.0185 # DEPENDENCYPART_ARC
(7,10),-0.884111 # DEPENDENCYPART_ARC
(7,15),-0.972882 # DEPENDENCYPART_ARC
(8,3),-0.262221 # DEPENDENCYPART_ARC
(8,4),-0.674872 # DEPENDENCYPART_ARC
(8,5),-0.886321 # DEPENDENCYPART_ARC
(8,6),0.49278 # DEPENDENCYPART_ARC
(8,7),1.37962 # DEPENDENCYPART_ARC
(8,9),-0.111573 # DEPENDENCYPART_ARC
(8,10),0.121514 # DEPENDENCYPART_ARC
(8,15),-0.396737 # DEPENDENCYPART_ARC
(8,18),-1.91978 # DEPENDENCYPART_ARC
(9,2),-0.166801 # DEPENDENCYPART_ARC
(9,3),0.245571 # DEPENDENCYPART_ARC
(9,4),1.19643 # DEPENDENCYPART_ARC
(9,5),-1.78447 # DEPENDENCYPART_ARC
(9,6),1.30754 # DEPENDENCYPART_ARC
(9,7),2.22274 # DEPENDENCYPART_ARC
(9,8),2.79429 # DEPENDENCYPART_ARC
(9,11),-0.907417 # DEPENDENCYPART_ARC
(9,12),0.169911 # DEPENDENCYPART_ARC
(9,16),-2.01875 # DEPENDENCYPART_ARC
(9,17),-1.6054 # DEPENDENCYPART_ARC
(9,18),-1.57822 # DEPENDENCYPART_ARC
(10,4),-0.229537 # DEPENDENCYPART_ARC
(10,5),-1.90484 # DEPENDENCYPART_ARC
(10,6),0.00278705 # DEPENDENCYPART_ARC
(10,7),0.283483 # DEPENDENCYPART_ARC
(10,8),1.12626 # DEPENDENCYPART_ARC
(10,9),0.713382 # DEPENDENCYPART_ARC
(10,12),-0.0717728 # DEPENDENCYPART_ARC
(10,16),-1.0846 # DEPENDENCYPART_ARC
(11,2),-0.0675048 # DEPENDENCYPART_ARC
(11,4),0.921847 # DEPENDENCYPART_ARC
(11,5),-4.79774 # DEPENDENCYPART_ARC
(11,6),0.230403 # DEPENDENCYPART_ARC
(11,7),0.812154 # DEPENDENCYPART_ARC
(11,8),-0.365129 # DEPENDENCYPART_ARC
(11,9),0.257593 # DEPENDENCYPART_ARC
(11,10),1.59137 # DEPENDENCYPART_ARC
(11,12),0.662545 # DEPENDENCYPART_ARC
(11,13),-0.771107 # DEPENDENCYPART_ARC
(11,14),-0.913705 # DEPENDENCYPART_ARC
(11,16),-2.21307 # DEPENDENCYPART_ARC
(11,17),-1.83817 # DEPENDENCYPART_ARC
(11,18),-1.88421 # DEPENDENCYPART_ARC
(11,19),-1.95241 # DEPENDENCYPART_ARC
(12,2),-0.464252 # DEPENDENCYPART_ARC
(12,4),0.609258 # DEPENDENCYPART_ARC
(12,6),0.589843 # DEPENDENCYPART_ARC
(12,7),0.546969 # DEPENDENCYPART_ARC
(12,8),0.862082 # DEPENDENCYPART_ARC
(12,9),0.732604 # DEPENDENCYPART_ARC
(12,10),0.325191 # DEPENDENCYPART_ARC
(12,11),2.69446 # DEPENDENCYPART_ARC
(13,1),-1.39462 # DEPENDENCYPART_ARC
(13,3),-0.00284971 # DEPENDENCYPART_ARC
(13,5),-2.39034 # DEPENDENCYPART_ARC
(13,6),0.18655 # DEPENDENCYPART_ARC
(13,7),0.39529 # DEPENDENCYPART_ARC
(13,8),-0.74599 # DEPENDENCYPART_ARC
(13,9),0.6752 # DEPENDENCYPART_ARC
(13,10),-0.0736957 # DEPENDENCYPART_ARC
