# _root_ Çam fidanı , _ süslü eşyalarla dolu _ olan bu salonda doğadan , topraktan _ iyice _ uzaklaşmıştı .
#goldHeads=2,18,0,5,6,7,8,9,11,11,18,13,14,18,16,18,18,19,0,
#predictedHeads=2,18,0,5,6,8,8,9,11,11,12,13,0,18,16,18,18,19,0,
(0,3),1.55009 # DEPENDENCYPART_ARC
(0,13),1.55889 # DEPENDENCYPART_ARC
(0,19),2.29861 # DEPENDENCYPART_ARC
(1,2),-0.178697 # DEPENDENCYPART_ARC
(1,5),-1.14546 # DEPENDENCYPART_ARC
(1,6),-1.89871 # DEPENDENCYPART_ARC
(1,10),-0.590985 # DEPENDENCYPART_ARC
(1,18),-2.49325 # DEPENDENCYPART_ARC
(2,1),2.81876 # DEPENDENCYPART_ARC
(2,4),-0.483892 # DEPENDENCYPART_ARC
(2,10),-0.850785 # DEPENDENCYPART_ARC
(2,18),-2.4481 # DEPENDENCYPART_ARC
(3,1),0.0552191 # DEPENDENCYPART_ARC
(3,2),0.665409 # DEPENDENCYPART_ARC
(3,18),-1.34183 # DEPENDENCYPART_ARC
(4,2),-0.696957 # DEPENDENCYPART_ARC
(4,3),0.488701 # DEPENDENCYPART_ARC
(4,7),-0.535845 # DEPENDENCYPART_ARC
(4,10),-0.54564 # DEPENDENCYPART_ARC
(5,1),-0.21206 # DEPENDENCYPART_ARC
(5,2),-0.524645 # DEPENDENCYPART_ARC
(5,3),0.216413 # DEPENDENCYPART_ARC
(5,4),3.08421 # DEPENDENCYPART_ARC
(6,1),-0.268573 # DEPENDENCYPART_ARC
(6,2),-0.533777 # DEPENDENCYPART_ARC
(6,3),0.384327 # DEPENDENCYPART_ARC
(6,4),0.57701 # DEPENDENCYPART_ARC
(6,5),2.58064 # DEPENDENCYPART_ARC
(6,7),-0.140636 # DEPENDENCYPART_ARC
(6,8),-0.875135 # DEPENDENCYPART_ARC
(6,10),-0.700663 # DEPENDENCYPART_ARC
(6,18),-1.8572 # DEPENDENCYPART_ARC
(7,3),0.711572 # DEPENDENCYPART_ARC
(7,4),1.17307 # DEPENDENCYPART_ARC
(7,5),0.56248 # DEPENDENCYPART_ARC
(7,6),1.76912 # DEPENDENCYPART_ARC
(7,11),-0.266003 # DEPENDENCYPART_ARC
