# _root_ İki gözü iki çeşme , _ öksürüp _ aksırarak , derdini _ anlatamadan bir köşeye _ çekilirmiş kara _ yazgılı hayvan .
#goldHeads=2,4,4,17,0,7,8,9,17,0,12,13,17,15,17,17,22,19,20,21,17,0,
#predictedHeads=2,3,4,5,0,7,8,9,17,0,12,13,17,15,17,17,22,21,20,21,17,0,
(0,1),-0.274775 # DEPENDENCYPART_ARC
(0,3),-0.772729 # DEPENDENCYPART_ARC
(0,5),1.03887 # DEPENDENCYPART_ARC
(0,10),0.946506 # DEPENDENCYPART_ARC
(0,21),-1.45845 # DEPENDENCYPART_ARC
(0,22),2.10568 # DEPENDENCYPART_ARC
(2,1),1.75298 # DEPENDENCYPART_ARC
(2,3),-0.105234 # DEPENDENCYPART_ARC
(2,4),-0.0193707 # DEPENDENCYPART_ARC
(2,6),-1.35732 # DEPENDENCYPART_ARC
(2,14),-0.632606 # DEPENDENCYPART_ARC
(3,2),0.952022 # DEPENDENCYPART_ARC
(4,1),0.162437 # DEPENDENCYPART_ARC
(4,2),0.611412 # DEPENDENCYPART_ARC
(4,3),1.8345 # DEPENDENCYPART_ARC
(4,5),0.0230335 # DEPENDENCYPART_ARC
(4,6),-1.06208 # DEPENDENCYPART_ARC
(5,1),-0.389311 # DEPENDENCYPART_ARC
(5,2),0.00572238 # DEPENDENCYPART_ARC
(5,3),-0.182143 # DEPENDENCYPART_ARC
(5,4),0.512504 # DEPENDENCYPART_ARC
(5,6),-0.385326 # DEPENDENCYPART_ARC
(5,7),-0.314878 # DEPENDENCYPART_ARC
(5,8),-0.380916 # DEPENDENCYPART_ARC
(5,17),-0.879343 # DEPENDENCYPART_ARC
(6,1),-1.98275 # DEPENDENCYPART_ARC
(6,2),-0.775358 # DEPENDENCYPART_ARC
(6,3),-1.76389 # DEPENDENCYPART_ARC
(6,4),-0.318179 # DEPENDENCYPART_ARC
(6,5),0.444984 # DEPENDENCYPART_ARC
(6,7),0.311701 # DEPENDENCYPART_ARC
(6,8),-0.68328 # DEPENDENCYPART_ARC
(6,9),0.32503 # DEPENDENCYPART_ARC
(6,11),-1.20735 # DEPENDENCYPART_ARC
(6,15),-1.09273 # DEPENDENCYPART_ARC
(6,16),-1.03036 # DEPENDENCYPART_ARC
(6,17),-1.31807 # DEPENDENCYPART_ARC
(6,19),-2.3146 # DEPENDENCYPART_ARC
(6,21),-1.32966 # DEPENDENCYPART_ARC
(7,2),-0.415477 # DEPENDENCYPART_ARC
(7,4),-0.363316 # DEPENDENCYPART_ARC
(7,5),0.145632 # DEPENDENCYPART_ARC
(7,6),2.52502 # DEPENDENCYPART_ARC
(8,1),-1.26375 # DEPENDENCYPART_ARC
(8,2),0.0669097 # DEPENDENCYPART_ARC
(8,3),-1.18853 # DEPENDENCYPART_ARC
(8,4),0.104452 # DEPENDENCYPART_ARC
(8,5),0.550301 # DEPENDENCYPART_ARC
(8,6),0.529163 # DEPENDENCYPART_ARC
(8,7),1.70772 # DEPENDENCYPART_ARC
(8,9),0.677062 # DEPENDENCYPART_ARC
(8,10),-0.621867 # DEPENDENCYPART_ARC
(8,12),-1.48249 # DEPENDENCYPART_ARC
(8,13),-1.00852 # DEPENDENCYPART_ARC
(8,16),-1.55027 # DEPENDENCYPART_ARC
(8,17),-1.52113 # DEPENDENCYPART_ARC
(8,19),-2.60154 # DEPENDENCYPART_ARC
(8,21),-1.86461 # DEPENDENCYPART_ARC
(9,2),0.63306 # DEPENDENCYPART_ARC
(9,4),0.306092 # DEPENDENCYPART_ARC
(9,5),0.255645 # DEPENDENCYPART_ARC
(9,7),0.766015 # DEPENDENCYPART_ARC
(9,8),2.87713 # DEPENDENCYPART_ARC
(10,6),-1.14758 # DEPENDENCYPART_ARC
(10,7),-0.564428 # DEPENDENCYPART_ARC
(10,8),-0.283559 # DEPENDENCYPART_ARC
(10,9),-0.0442181 # DEPENDENCYPART_ARC
(10,12),-0.92822 # DEPENDENCYPART_ARC
(10,17),-0.881592 # DEPENDENCYPART_ARC
(10,21),-1.2356 # DEPENDENCYPART_ARC
(11,3),-0.735864 # DEPENDENCYPART_ARC
(11,6),-1.01198 # DEPENDENCYPART_ARC
(11,8),-0.176647 # DEPENDENCYPART_ARC
(11,9),-0.572885 # DEPENDENCYPART_ARC
(11,10),0.0698991 # DEPENDENCYPART_ARC
(11,12),-0.424287 # DEPENDENCYPART_ARC
(11,14),-0.561309 # DEPENDENCYPART_ARC
(11,15),-0.315447 # DEPENDENCYPART_ARC
(12,1),-1.76218 # DEPENDENCYPART_ARC
(12,2),-0.7005 # DEPENDENCYPART_ARC
(12,3),-1.81286 # DEPENDENCYPART_ARC
(12,4),-0.693817 # DEPENDENCYPART_ARC
(12,5),-0.989747 # DEPENDENCYPART_ARC
(12,6),-3.71052 # DEPENDENCYPART_ARC
(12,7),-0.150535 # DEPENDENCYPART_ARC
(12,8),-2.03192 # DEPENDENCYPART_ARC
(12,9),-0.0350689 # DEPENDENCYPART_ARC
(12,10),-0.1762 # DEPENDENCYPART_ARC
(12,11),2.51345 # DEPENDENCYPART_ARC
(12,15),-0.651746 # DEPENDENCYPART_ARC
(12,16),-1.1468 # DEPENDENCYPART_ARC
(12,19),-1.4671 # DEPENDENCYPART_ARC
(12,21),-0.608659 # DEPENDENCYPART_ARC
(13,2),-0.769729 # DEPENDENCYPART_ARC
(13,4),-0.987678 # DEPENDENCYPART_ARC
(13,7),-0.64436 # DEPENDENCYPART_ARC
(13,9),-0.787424 # DEPENDENCYPART_ARC
(13,10),-0.0669037 # DEPENDENCYPART_ARC
(13,11),0.792977 # DEPENDENCYPART_ARC
(13,12),1.89964 # DEPENDENCYPART_ARC
(14,13),-0.0646753 # DEPENDENCYPART_ARC
(15,5),-0.144209 # DEPENDENCYPART_ARC
(15,8),-1.55944 # DEPENDENCYPART_ARC
(15,10),-0.524978 # DEPENDENCYPART_ARC
(15,11),-1.26695 # DEPENDENCYPART_ARC
(15,12),0.103727 # DEPENDENCYPART_ARC
(15,13),0.402066 # DEPENDENCYPART_ARC
(15,14),2.18906 # DEPENDENCYPART_ARC
(15,16),0.138536 # DEPENDENCYPART_ARC
(15,18),-0.245875 # DEPENDENCYPART_ARC
(15,19),-1.07007 # DEPENDENCYPART_ARC
(15,21),-0.777157 # DEPENDENCYPART_ARC
(16,4),-0.99779 # DEPENDENCYPART_ARC
(16,7),-0.999791 # DEPENDENCYPART_ARC
(16,9),-0.824799 # DEPENDENCYPART_ARC
(16,10),-0.57432 # DEPENDENCYPART_ARC
(16,11),-0.00929084 # DEPENDENCYPART_ARC
(16,12),-1.48141 # DEPENDENCYPART_ARC
(16,13),0.120372 # DEPENDENCYPART_ARC
(16,14),-0.444783 # DEPENDENCYPART_ARC
(16,15),1.16148 # DEPENDENCYPART_ARC
(16,17),0.210992 # DEPENDENCYPART_ARC
(16,18),0.0018314 # DEPENDENCYPART_ARC
(16,19),-0.125338 # DEPENDENCYPART_ARC
(16,21),0.262604 # DEPENDENCYPART_ARC
(17,2),0.459152 # DEPENDENCYPART_ARC
(17,4),-0.0512713 # DEPENDENCYPART_ARC
(17,5),-0.588311 # DEPENDENCYPART_ARC
(17,6),-5.46435 # DEPENDENCYPART_ARC
(17,7),0.118288 # DEPENDENCYPART_ARC
(17,8),-4.45396 # DEPENDENCYPART_ARC
(17,9),0.509808 # DEPENDENCYPART_ARC
(17,10),0.255717 # DEPENDENCYPART_ARC
(17,11),1.18951 # DEPENDENCYPART_ARC
(17,12),-1.97107 # DEPENDENCYPART_ARC
(17,13),0.89116 # DEPENDENCYPART_ARC
(17,14),0.163365 # DEPENDENCYPART_ARC
(17,15),2.5803 # DEPENDENCYPART_ARC
(17,16),2.60677 # DEPENDENCYPART_ARC
(17,18),-0.0506104 # DEPENDENCYPART_ARC
(17,19),0.185545 # DEPENDENCYPART_ARC
(17,20),-0.86441 # DEPENDENCYPART_ARC
(17,21),0.488903 # DEPENDENCYPART_ARC
(18,8),-3.2098 # DEPENDENCYPART_ARC
(18,11),-0.354458 # DEPENDENCYPART_ARC
(18,12),-1.74663 # DEPENDENCYPART_ARC
(18,13),-0.629489 # DEPENDENCYPART_ARC
(18,14),-0.95362 # DEPENDENCYPART_ARC
(18,15),0.115854 # DEPENDENCYPART_ARC
(18,16),-0.407479 # DEPENDENCYPART_ARC
(18,17),0.418966 # DEPENDENCYPART_ARC
(18,19),0.263316 # DEPENDENCYPART_ARC
(18,21),-0.318102 # DEPENDENCYPART_ARC
(19,11),-0.73334 # DEPENDENCYPART_ARC
(19,13),-0.15167 # DEPENDENCYPART_ARC
(19,14),-0.339029 # DEPENDENCYPART_ARC
(19,15),-0.409725 # DEPENDENCYPART_ARC
(19,16),-1.11831 # DEPENDENCYPART_ARC
(19,17),-1.27762 # DEPENDENCYPART_ARC
(19,18),1.10522 # DEPENDENCYPART_ARC
(19,20),-0.0158293 # DEPENDENCYPART_ARC
(20,11),-0.074932 # DEPENDENCYPART_ARC
