# _root_ Sen donunu taşı , dedi Recep oğlana , kayığın üstünde _ unuttuğu donu _ gösterip .
#goldHeads=3,3,4,5,16,5,5,0,10,11,12,13,14,15,5,0,
#predictedHeads=3,3,4,5,16,5,5,0,10,11,12,13,14,15,5,0,
(0,3),-1.18525 # DEPENDENCYPART_ARC
(0,4),0.836952 # DEPENDENCYPART_ARC
(0,5),-1.49364 # DEPENDENCYPART_ARC
(0,8),1.12072 # DEPENDENCYPART_ARC
(0,16),3.30317 # DEPENDENCYPART_ARC
(2,1),0.787727 # DEPENDENCYPART_ARC
(2,14),-1.54392 # DEPENDENCYPART_ARC
(3,1),2.25761 # DEPENDENCYPART_ARC
(3,2),3.36523 # DEPENDENCYPART_ARC
(3,4),-0.362716 # DEPENDENCYPART_ARC
(3,5),-1.72848 # DEPENDENCYPART_ARC
(3,6),-0.67102 # DEPENDENCYPART_ARC
(3,7),0.389611 # DEPENDENCYPART_ARC
(3,9),-2.32802 # DEPENDENCYPART_ARC
(3,10),-0.855964 # DEPENDENCYPART_ARC
(3,11),-1.68173 # DEPENDENCYPART_ARC
(3,13),-1.23841 # DEPENDENCYPART_ARC
(3,14),-1.6842 # DEPENDENCYPART_ARC
(3,15),-1.43576 # DEPENDENCYPART_ARC
(4,1),0.135943 # DEPENDENCYPART_ARC
(4,2),0.50874 # DEPENDENCYPART_ARC
(4,3),2.04017 # DEPENDENCYPART_ARC
(4,5),0.151599 # DEPENDENCYPART_ARC
(4,6),0.437974 # DEPENDENCYPART_ARC
(4,11),-0.472625 # DEPENDENCYPART_ARC
(4,13),-0.0368132 # DEPENDENCYPART_ARC
(4,14),-0.305146 # DEPENDENCYPART_ARC
(5,1),-0.575994 # DEPENDENCYPART_ARC
(5,2),-0.33632 # DEPENDENCYPART_ARC
(5,3),0.37772 # DEPENDENCYPART_ARC
(5,4),2.2186 # DEPENDENCYPART_ARC
(5,6),2.60165 # DEPENDENCYPART_ARC
(5,7),2.96892 # DEPENDENCYPART_ARC
(5,8),1.10925 # DEPENDENCYPART_ARC
(5,9),-0.972026 # DEPENDENCYPART_ARC
(5,10),0.350436 # DEPENDENCYPART_ARC
(5,11),-0.0654547 # DEPENDENCYPART_ARC
(5,13),0.266927 # DEPENDENCYPART_ARC
(5,14),0.0727 # DEPENDENCYPART_ARC
(5,15),0.903599 # DEPENDENCYPART_ARC
(5,16),0.275636 # DEPENDENCYPART_ARC
(6,3),-1.55783 # DEPENDENCYPART_ARC
(6,4),-1.38932 # DEPENDENCYPART_ARC
(6,5),-0.302081 # DEPENDENCYPART_ARC
(6,7),0.613649 # DEPENDENCYPART_ARC
(7,1),-1.07075 # DEPENDENCYPART_ARC
(7,2),-2.88272 # DEPENDENCYPART_ARC
(7,3),-1.76916 # DEPENDENCYPART_ARC
(7,4),-0.013228 # DEPENDENCYPART_ARC
(7,5),-1.02072 # DEPENDENCYPART_ARC
(7,6),1.57743 # DEPENDENCYPART_ARC
(7,8),-0.151382 # DEPENDENCYPART_ARC
(7,9),-0.831653 # DEPENDENCYPART_ARC
(7,13),-1.89946 # DEPENDENCYPART_ARC
(7,14),-1.91688 # DEPENDENCYPART_ARC
(8,3),-0.197855 # DEPENDENCYPART_ARC
(8,4),-0.727801 # DEPENDENCYPART_ARC
(8,5),0.185839 # DEPENDENCYPART_ARC
(8,6),-0.228222 # DEPENDENCYPART_ARC
(8,7),0.455556 # DEPENDENCYPART_ARC
(8,10),-0.43436 # DEPENDENCYPART_ARC
(8,11),-0.939569 # DEPENDENCYPART_ARC
(8,13),-0.805334 # DEPENDENCYPART_ARC
(8,14),-1.15438 # DEPENDENCYPART_ARC
(9,1),-1.11558 # DEPENDENCYPART_ARC
(9,5),-2.12703 # DEPENDENCYPART_ARC
(9,7),-1.24797 # DEPENDENCYPART_ARC
(9,8),0.0808546 # DEPENDENCYPART_ARC
(9,10),-1.28302 # DEPENDENCYPART_ARC
(9,11),-0.872097 # DEPENDENCYPART_ARC
(9,12),-0.925014 # DEPENDENCYPART_ARC
(9,13),-1.62047 # DEPENDENCYPART_ARC
(10,1),-0.284569 # DEPENDENCYPART_ARC
(10,2),-1.82193 # DEPENDENCYPART_ARC
(10,3),-0.88316 # DEPENDENCYPART_ARC
(10,5),-1.43321 # DEPENDENCYPART_ARC
(10,6),-0.551333 # DEPENDENCYPART_ARC
(10,7),-0.977331 # DEPENDENCYPART_ARC
