# _root_ Prens Rapunzel'e _ evlenme teklif_etmiş , Rapunzel de kabul_etmiş , yüzü _ hafifçe _ kızararak .
#goldHeads=5,5,4,5,6,9,9,7,16,0,14,13,14,15,9,0,
#predictedHeads=5,3,4,5,6,9,9,7,10,0,14,13,14,15,9,0,
(0,5),-1.59218 # DEPENDENCYPART_ARC
(0,6),0.639015 # DEPENDENCYPART_ARC
(0,8),-1.28177 # DEPENDENCYPART_ARC
(0,9),-1.52205 # DEPENDENCYPART_ARC
(0,10),0.711808 # DEPENDENCYPART_ARC
(0,16),3.37595 # DEPENDENCYPART_ARC
(1,2),-0.239982 # DEPENDENCYPART_ARC
(1,3),-0.738238 # DEPENDENCYPART_ARC
(1,4),-0.630228 # DEPENDENCYPART_ARC
(1,9),-2.04469 # DEPENDENCYPART_ARC
(1,14),-1.97906 # DEPENDENCYPART_ARC
(2,1),1.34187 # DEPENDENCYPART_ARC
(2,3),-0.542337 # DEPENDENCYPART_ARC
(3,1),1.20137 # DEPENDENCYPART_ARC
(3,2),2.34901 # DEPENDENCYPART_ARC
(3,4),-0.413944 # DEPENDENCYPART_ARC
(3,5),-1.01341 # DEPENDENCYPART_ARC
(3,6),-0.702206 # DEPENDENCYPART_ARC
(3,7),-1.41448 # DEPENDENCYPART_ARC
(3,9),-1.7047 # DEPENDENCYPART_ARC
(3,11),-2.42981 # DEPENDENCYPART_ARC
(3,13),-1.44047 # DEPENDENCYPART_ARC
(3,14),-2.34243 # DEPENDENCYPART_ARC
(3,15),-1.19582 # DEPENDENCYPART_ARC
(4,1),0.656435 # DEPENDENCYPART_ARC
(4,2),1.11036 # DEPENDENCYPART_ARC
(4,3),2.64994 # DEPENDENCYPART_ARC
(5,1),1.78799 # DEPENDENCYPART_ARC
(5,2),1.4652 # DEPENDENCYPART_ARC
(5,3),0.0188563 # DEPENDENCYPART_ARC
(5,4),3.15638 # DEPENDENCYPART_ARC
(5,6),-0.773131 # DEPENDENCYPART_ARC
(5,7),-0.373357 # DEPENDENCYPART_ARC
(5,8),-0.796272 # DEPENDENCYPART_ARC
(5,9),-1.81102 # DEPENDENCYPART_ARC
(5,10),-1.67982 # DEPENDENCYPART_ARC
(5,11),-1.19375 # DEPENDENCYPART_ARC
(5,13),-1.12321 # DEPENDENCYPART_ARC
(5,14),-2.02254 # DEPENDENCYPART_ARC
(5,15),-0.110845 # DEPENDENCYPART_ARC
(5,16),-1.76785 # DEPENDENCYPART_ARC
(6,1),0.496282 # DEPENDENCYPART_ARC
(6,2),0.270018 # DEPENDENCYPART_ARC
(6,3),-1.52886 # DEPENDENCYPART_ARC
(6,4),0.25774 # DEPENDENCYPART_ARC
(6,5),1.3757 # DEPENDENCYPART_ARC
(6,7),0.100619 # DEPENDENCYPART_ARC
(6,9),-0.0784454 # DEPENDENCYPART_ARC
(6,10),-0.664163 # DEPENDENCYPART_ARC
(6,11),-0.331782 # DEPENDENCYPART_ARC
(6,14),-0.618602 # DEPENDENCYPART_ARC
(7,3),-0.949334 # DEPENDENCYPART_ARC
(7,5),-0.404496 # DEPENDENCYPART_ARC
