# _root_ Sanırım _ gezmediği ülke , danışmanı _ olmadığı kimse , _ bilmediği ilke kalmadı .
#goldHeads=15,3,4,5,10,7,8,9,10,13,12,13,14,15,0,
#predictedHeads=2,3,4,14,0,7,8,9,14,0,12,13,14,15,0,
(0,1),-1.09676 # DEPENDENCYPART_ARC
(0,2),-0.775243 # DEPENDENCYPART_ARC
(0,5),0.990729 # DEPENDENCYPART_ARC
(0,10),1.18447 # DEPENDENCYPART_ARC
(0,14),-1.23883 # DEPENDENCYPART_ARC
(0,15),2.35539 # DEPENDENCYPART_ARC
(1,2),-0.274125 # DEPENDENCYPART_ARC
(1,4),0.951127 # DEPENDENCYPART_ARC
(1,5),-0.620832 # DEPENDENCYPART_ARC
(1,6),-1.03247 # DEPENDENCYPART_ARC
(1,7),-1.04503 # DEPENDENCYPART_ARC
(1,9),-0.360935 # DEPENDENCYPART_ARC
(1,10),-0.66156 # DEPENDENCYPART_ARC
(1,11),-0.95508 # DEPENDENCYPART_ARC
(1,13),-1.44517 # DEPENDENCYPART_ARC
(1,14),-1.06601 # DEPENDENCYPART_ARC
(2,1),1.29821 # DEPENDENCYPART_ARC
(2,7),-1.08546 # DEPENDENCYPART_ARC
(2,9),-1.08362 # DEPENDENCYPART_ARC
(2,11),-1.19103 # DEPENDENCYPART_ARC
(2,14),-0.922823 # DEPENDENCYPART_ARC
(3,2),2.24956 # DEPENDENCYPART_ARC
(4,1),-0.285571 # DEPENDENCYPART_ARC
(4,2),0.163712 # DEPENDENCYPART_ARC
(4,3),1.53368 # DEPENDENCYPART_ARC
(4,5),-0.182948 # DEPENDENCYPART_ARC
(4,6),-0.560563 # DEPENDENCYPART_ARC
(4,8),-1.07216 # DEPENDENCYPART_ARC
(4,9),-0.833069 # DEPENDENCYPART_ARC
(4,14),-1.98389 # DEPENDENCYPART_ARC
(5,1),0.347077 # DEPENDENCYPART_ARC
(5,2),-0.788137 # DEPENDENCYPART_ARC
(5,3),-0.177303 # DEPENDENCYPART_ARC
(5,4),0.500299 # DEPENDENCYPART_ARC
(5,7),-0.768132 # DEPENDENCYPART_ARC
(5,10),-1.06587 # DEPENDENCYPART_ARC
(5,14),-0.450187 # DEPENDENCYPART_ARC
(6,1),-0.810083 # DEPENDENCYPART_ARC
(6,2),-1.21044 # DEPENDENCYPART_ARC
(6,3),-0.621349 # DEPENDENCYPART_ARC
(6,4),0.623671 # DEPENDENCYPART_ARC
(6,5),0.577727 # DEPENDENCYPART_ARC
(6,7),-0.261064 # DEPENDENCYPART_ARC
(6,8),-0.488642 # DEPENDENCYPART_ARC
(6,11),-1.36836 # DEPENDENCYPART_ARC
(6,14),-1.97536 # DEPENDENCYPART_ARC
(7,1),0.210624 # DEPENDENCYPART_ARC
(7,2),-2.63831 # DEPENDENCYPART_ARC
(7,3),-0.461921 # DEPENDENCYPART_ARC
(7,4),0.162878 # DEPENDENCYPART_ARC
(7,5),0.0239178 # DEPENDENCYPART_ARC
(7,6),2.50389 # DEPENDENCYPART_ARC
(7,9),-0.147127 # DEPENDENCYPART_ARC
(7,10),-0.637532 # DEPENDENCYPART_ARC
(7,11),-1.2986 # DEPENDENCYPART_ARC
(7,13),-2.18699 # DEPENDENCYPART_ARC
(7,14),-1.40592 # DEPENDENCYPART_ARC
(7,15),-1.56794 # DEPENDENCYPART_ARC
(8,4),-0.188286 # DEPENDENCYPART_ARC
(8,5),-0.199644 # DEPENDENCYPART_ARC
(8,6),1.72734 # DEPENDENCYPART_ARC
(8,7),2.41679 # DEPENDENCYPART_ARC
(9,3),-1.15786 # DEPENDENCYPART_ARC
(9,4),-1.08277 # DEPENDENCYPART_ARC
(9,5),0.229725 # DEPENDENCYPART_ARC
(9,6),0.179392 # DEPENDENCYPART_ARC
(9,7),-0.252595 # DEPENDENCYPART_ARC
(9,8),1.12036 # DEPENDENCYPART_ARC
(9,10),-0.438815 # DEPENDENCYPART_ARC
(9,11),-0.981604 # DEPENDENCYPART_ARC
(9,12),-1.16535 # DEPENDENCYPART_ARC
(9,13),-1.12632 # DEPENDENCYPART_ARC
(10,1),0.0878036 # DEPENDENCYPART_ARC
(10,2),-2.48604 # DEPENDENCYPART_ARC
(10,6),0.139543 # DEPENDENCYPART_ARC
(10,7),-0.586939 # DEPENDENCYPART_ARC
(10,8),-0.100448 # DEPENDENCYPART_ARC
(10,9),0.279082 # DEPENDENCYPART_ARC
(10,11),-0.614581 # DEPENDENCYPART_ARC
(10,14),-0.404942 # DEPENDENCYPART_ARC
(10,15),-1.348 # DEPENDENCYPART_ARC
(11,1),0.0767809 # DEPENDENCYPART_ARC
(11,4),-1.05904 # DEPENDENCYPART_ARC
(11,6),-0.694499 # DEPENDENCYPART_ARC
(11,7),-2.14701 # DEPENDENCYPART_ARC
(11,8),-0.747844 # DEPENDENCYPART_ARC
(11,9),-0.325905 # DEPENDENCYPART_ARC
(11,10),0.37937 # DEPENDENCYPART_ARC
(11,13),-0.604055 # DEPENDENCYPART_ARC
(11,14),-0.679009 # DEPENDENCYPART_ARC
(12,4),-0.96537 # DEPENDENCYPART_ARC
(12,5),-0.923039 # DEPENDENCYPART_ARC
(12,6),-0.200534 # DEPENDENCYPART_ARC
(12,9),-0.423491 # DEPENDENCYPART_ARC
(12,10),-0.323292 # DEPENDENCYPART_ARC
(12,11),2.0786 # DEPENDENCYPART_ARC
(13,3),-0.736581 # DEPENDENCYPART_ARC
(13,4),-0.283187 # DEPENDENCYPART_ARC
