# _root_ İnsan toplumları , _ soyutlama yetisine , meta ekonomisinin _ ortaya_çıkmasıyla ulaşmıştır .
#goldHeads=2,12,0,5,6,12,0,9,10,11,12,13,0,
#predictedHeads=2,12,0,5,6,12,0,9,11,11,12,13,0,
(0,3),1.28839 # DEPENDENCYPART_ARC
(0,7),1.11334 # DEPENDENCYPART_ARC
(0,9),-0.618091 # DEPENDENCYPART_ARC
(0,13),2.46253 # DEPENDENCYPART_ARC
(1,2),-0.152213 # DEPENDENCYPART_ARC
(1,3),-0.267143 # DEPENDENCYPART_ARC
(1,6),-1.10172 # DEPENDENCYPART_ARC
(1,12),-2.60228 # DEPENDENCYPART_ARC
(2,1),2.84487 # DEPENDENCYPART_ARC
(2,3),-0.30466 # DEPENDENCYPART_ARC
(2,4),-1.32434 # DEPENDENCYPART_ARC
(2,6),-0.248959 # DEPENDENCYPART_ARC
(2,8),-0.26448 # DEPENDENCYPART_ARC
(2,12),-2.36255 # DEPENDENCYPART_ARC
(3,1),0.0902845 # DEPENDENCYPART_ARC
(3,2),0.604619 # DEPENDENCYPART_ARC
(3,4),-0.498892 # DEPENDENCYPART_ARC
(3,5),-0.294309 # DEPENDENCYPART_ARC
(3,7),-0.991489 # DEPENDENCYPART_ARC
(3,8),-0.675662 # DEPENDENCYPART_ARC
(3,9),-0.501967 # DEPENDENCYPART_ARC
(3,10),-1.01585 # DEPENDENCYPART_ARC
(3,12),-0.353931 # DEPENDENCYPART_ARC
(4,1),-0.685911 # DEPENDENCYPART_ARC
(4,2),-0.38821 # DEPENDENCYPART_ARC
(4,3),0.134823 # DEPENDENCYPART_ARC
(4,5),0.325085 # DEPENDENCYPART_ARC
(4,6),0.775959 # DEPENDENCYPART_ARC
(4,7),-0.0799469 # DEPENDENCYPART_ARC
(4,8),-1.33569 # DEPENDENCYPART_ARC
(4,9),-1.99012 # DEPENDENCYPART_ARC
(4,10),-1.6197 # DEPENDENCYPART_ARC
(4,11),-1.51041 # DEPENDENCYPART_ARC
(4,12),-1.07682 # DEPENDENCYPART_ARC
(4,13),-0.817445 # DEPENDENCYPART_ARC
(5,1),-0.598149 # DEPENDENCYPART_ARC
(5,2),-0.85521 # DEPENDENCYPART_ARC
(5,3),0.365517 # DEPENDENCYPART_ARC
(5,4),2.42084 # DEPENDENCYPART_ARC
(6,1),-0.14228 # DEPENDENCYPART_ARC
(6,2),-0.694732 # DEPENDENCYPART_ARC
(6,3),0.793375 # DEPENDENCYPART_ARC
(6,4),0.431926 # DEPENDENCYPART_ARC
(6,5),2.79629 # DEPENDENCYPART_ARC
(6,7),-0.159625 # DEPENDENCYPART_ARC
(6,8),-0.78013 # DEPENDENCYPART_ARC
(6,9),-0.362449 # DEPENDENCYPART_ARC
(6,11),-0.902271 # DEPENDENCYPART_ARC
(6,12),-2.38511 # DEPENDENCYPART_ARC
(7,3),-0.401801 # DEPENDENCYPART_ARC
(7,4),-1.25277 # DEPENDENCYPART_ARC
(7,5),0.00734312 # DEPENDENCYPART_ARC
(7,6),0.59567 # DEPENDENCYPART_ARC
(7,8),-0.0956289 # DEPENDENCYPART_ARC
(7,9),-0.317112 # DEPENDENCYPART_ARC
(7,10),-0.833919 # DEPENDENCYPART_ARC
(7,12),-0.671114 # DEPENDENCYPART_ARC
(7,13),-1.37952 # DEPENDENCYPART_ARC
(8,4),-1.14464 # DEPENDENCYPART_ARC
(8,5),-1.04307 # DEPENDENCYPART_ARC
(8,6),-1.21775 # DEPENDENCYPART_ARC
(8,7),0.318845 # DEPENDENCYPART_ARC
(8,9),-0.384218 # DEPENDENCYPART_ARC
(8,10),-1.02684 # DEPENDENCYPART_ARC
(8,11),-1.28709 # DEPENDENCYPART_ARC
(9,1),-0.339402 # DEPENDENCYPART_ARC
(9,2),-0.627824 # DEPENDENCYPART_ARC
(9,3),-0.322523 # DEPENDENCYPART_ARC
(9,4),-1.83349 # DEPENDENCYPART_ARC
(9,5),-0.122961 # DEPENDENCYPART_ARC
(9,6),-0.803291 # DEPENDENCYPART_ARC
(9,7),0.414327 # DEPENDENCYPART_ARC
(9,8),3.12498 # DEPENDENCYPART_ARC
(9,10),-0.370143 # DEPENDENCYPART_ARC
(9,11),-0.155862 # DEPENDENCYPART_ARC
(10,1),-0.388914 # DEPENDENCYPART_ARC
(10,2),-0.310255 # DEPENDENCYPART_ARC
(10,4),-3.9243 # DEPENDENCYPART_ARC
