# _root_ On_altı yaşında av tezkeresi _ _ alabilen _ gençler , tüm yıl boyunca _ _ avlanabiliyor , askere gitmiyor ve vergi vermiyorlar .
#goldHeads=2,6,4,6,6,7,9,9,16,0,12,13,16,15,16,17,19,19,20,22,22,23,0,
#predictedHeads=2,19,4,6,6,7,9,9,16,0,12,13,16,15,16,17,22,19,20,22,22,23,0,
(0,1),-0.206227 # DEPENDENCYPART_ARC
(0,10),1.76776 # DEPENDENCYPART_ARC
(0,17),0.988026 # DEPENDENCYPART_ARC
(0,20),-1.5349 # DEPENDENCYPART_ARC
(0,23),2.38853 # DEPENDENCYPART_ARC
(2,1),1.8723 # DEPENDENCYPART_ARC
(2,11),-0.341269 # DEPENDENCYPART_ARC
(3,1),0.385515 # DEPENDENCYPART_ARC
(3,2),1.12841 # DEPENDENCYPART_ARC
(3,4),-0.470947 # DEPENDENCYPART_ARC
(4,1),-0.124605 # DEPENDENCYPART_ARC
(4,2),0.476859 # DEPENDENCYPART_ARC
(4,3),2.92012 # DEPENDENCYPART_ARC
(4,5),-0.49543 # DEPENDENCYPART_ARC
(4,8),-0.671872 # DEPENDENCYPART_ARC
(4,22),-2.26654 # DEPENDENCYPART_ARC
(5,1),-1.23249 # DEPENDENCYPART_ARC
(5,2),0.858324 # DEPENDENCYPART_ARC
(5,3),0.947976 # DEPENDENCYPART_ARC
(5,4),1.39906 # DEPENDENCYPART_ARC
(5,8),-1.05485 # DEPENDENCYPART_ARC
(5,13),-0.542786 # DEPENDENCYPART_ARC
(5,16),-1.21655 # DEPENDENCYPART_ARC
(5,19),-1.5436 # DEPENDENCYPART_ARC
(6,1),-0.830119 # DEPENDENCYPART_ARC
(6,2),1.33279 # DEPENDENCYPART_ARC
(6,3),1.2392 # DEPENDENCYPART_ARC
(6,4),1.63653 # DEPENDENCYPART_ARC
(6,5),2.80381 # DEPENDENCYPART_ARC
(6,8),-0.959096 # DEPENDENCYPART_ARC
(6,13),-0.97613 # DEPENDENCYPART_ARC
(6,16),-1.21356 # DEPENDENCYPART_ARC
(7,2),0.730525 # DEPENDENCYPART_ARC
(7,3),1.08815 # DEPENDENCYPART_ARC
(7,4),1.2778 # DEPENDENCYPART_ARC
(7,5),0.697088 # DEPENDENCYPART_ARC
(7,6),2.22392 # DEPENDENCYPART_ARC
(8,3),0.221552 # DEPENDENCYPART_ARC
(8,4),0.49223 # DEPENDENCYPART_ARC
(8,5),-0.673829 # DEPENDENCYPART_ARC
(8,6),0.519728 # DEPENDENCYPART_ARC
(8,7),0.406169 # DEPENDENCYPART_ARC
(8,12),-0.679256 # DEPENDENCYPART_ARC
(9,2),-0.823111 # DEPENDENCYPART_ARC
(9,3),0.924695 # DEPENDENCYPART_ARC
(9,4),0.440991 # DEPENDENCYPART_ARC
(9,5),-0.981746 # DEPENDENCYPART_ARC
(9,6),-0.534467 # DEPENDENCYPART_ARC
(9,7),1.58294 # DEPENDENCYPART_ARC
(9,8),2.2972 # DEPENDENCYPART_ARC
